WaveId	WaveType	WaveReward	WaveFinishCondition	MaxMonsterCount	IconType	IconAssets	SpawnGroup	SpawnTime
406	1	20	75	60			[406001, 406002, 406003, 406004, 406005, 406006, 406007, 406008, 406009, 406010, 406011, 406012, 406013]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 62, 68, 72]
407	2	20	100	60			[407001, 407002, 407003, 407004, 407005, 407006, 407007, 407008, 407009, 407010, 407011, 407012, 407013, 407014, 407015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
408	1	20	90	60			[408001, 408002, 408003, 408004, 408005, 408006, 408007, 408008, 408009, 408010, 408011, 408012, 408013, 408014, 408015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
409	3	20	60001|120	60			[409001, 409002, 409003, 409004, 409005, 409006, 409007, 409008, 409009, 409010, 409011, 409012, 409013, 409014, 409015, 409016, 409017, 409018, 409019, 409020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
410	1	20	120	60			[410001, 410002, 410003, 410004, 410005, 410006, 410007, 410008, 410009, 410010, 410011, 410012, 410013, 410014, 410015, 410016, 410017, 410018, 410019, 410020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
411	1	20	120	60			[411001, 411002, 411003, 411004, 411005, 411006, 411007, 411008, 411009, 411010, 411011, 411012, 411013, 411014, 411015, 411016, 411017, 411018, 411019, 411020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
412	3	20	60001|120	60			[412001, 412002, 412003, 412004, 412005, 412006, 412007, 412008, 412009, 412010, 412011, 412012, 412013, 412014, 412015, 412016, 412017, 412018, 412019, 412020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
501	1	20	30	60			[501001, 501002, 501003, 501004, 501005]	[0, 6, 12, 18, 24]
502	1	20	45	60			[502001, 502002, 502003, 502004, 502005, 502006, 502007]	[0, 6, 12, 18, 24, 30, 36]
503	2	20	60	60			[503001, 503002, 503003, 503004, 503005, 503006, 503007, 503008, 503009, 503010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
504	1	20	60	60			[504001, 504002, 504003, 504004, 504005, 504006, 504007, 504008, 504009, 504010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
505	1	20	60	60			[505001, 505002, 505003, 505004, 505005, 505006, 505007, 505008, 505009, 505010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
506	1	20	75	60			[506001, 506002, 506003, 506004, 506005, 506006, 506007, 506008, 506009, 506010, 506011, 506012, 506013, 506014, 506015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
507	2	20	100	60			[507001, 507002, 507003, 507004, 507005, 507006, 507007, 507008, 507009, 507010, 507011, 507012, 507013, 507014, 507015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
508	1	20	90	60			[508001, 508002, 508003, 508004, 508005, 508006, 508007, 508008, 508009, 508010, 508011, 508012, 508013, 508014, 508015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
509	1	20	120	60			[509001, 509002, 509003, 509004, 509005, 509006, 509007, 509008, 509009, 509010, 509011, 509012, 509013, 509014, 509015, 509016, 509017, 509018, 509019, 509020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
510	1	20	120	60			[510001, 510002, 510003, 510004, 510005, 510006, 510007, 510008, 510009, 510010, 510011, 510012, 510013, 510014, 510015, 510016, 510017, 510018, 510019, 510020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
511	1	20	120	60			[511001, 511002, 511003, 511004, 511005, 511006, 511007, 511008, 511009, 511010, 511011, 511012, 511013, 511014, 511015, 511016, 511017, 511018, 511019, 511020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
512	1	20	120	60			[512001, 512002, 512003, 512004, 512005, 512006, 512007, 512008, 512009, 512010, 512011, 512012, 512013, 512014, 512015, 512016, 512017, 512018, 512019, 512020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
601	1	20	30	60			[601001, 601002, 601003, 601004, 601005]	[0, 6, 12, 18, 24]
602	1	20	45	60			[602001, 602002, 602003, 602004, 602005, 602006, 602007]	[0, 6, 12, 18, 24, 30, 36]
603	2	20	60	60			[603001, 603002, 603003, 603004, 603005, 603006, 603007, 603008, 603009, 603010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
604	1	20	60	60			[604001, 604002, 604003, 604004, 604005, 604006, 604007, 604008, 604009, 604010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
605	1	20	60	60			[605001, 605002, 605003, 605004, 605005, 605006, 605007, 605008, 605009, 605010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
606	1	20	75	60			[606001, 606002, 606003, 606004, 606005, 606006, 606007, 606008, 606009, 606010, 606011, 606012, 606013, 606014, 606015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
607	2	20	100	60			[607001, 607002, 607003, 607004, 607005, 607006, 607007, 607008, 607009, 607010, 607011, 607012, 607013, 607014, 607015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
608	1	20	90	60			[608001, 608002, 608003, 608004, 608005, 608006, 608007, 608008, 608009, 608010, 608011, 608012, 608013, 608014, 608015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
609	3	20	70001|120	60			[609001, 609002, 609003, 609004, 609005, 609006, 609007, 609008, 609009, 609010, 609011, 609012, 609013, 609014, 609015, 609016, 609017, 609018, 609019, 609020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
610	1	20	120	60			[610001, 610002, 610003, 610004, 610005, 610006, 610007, 610008, 610009, 610010, 610011, 610012, 610013, 610014, 610015, 610016, 610017, 610018, 610019, 610020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
611	1	20	120	60			[611001, 611002, 611003, 611004, 611005, 611006, 611007, 611008, 611009, 611010, 611011, 611012, 611013, 611014, 611015, 611016, 611017, 611018, 611019, 611020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
612	3	20	60001|120	60			[612001, 612002, 612003, 612004, 612005, 612006, 612007, 612008, 612009, 612010, 612011, 612012, 612013, 612014, 612015, 612016, 612017, 612018, 612019, 612020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
701	1	25	30	60			[701001, 701002, 701003, 701004, 701005]	[0, 6, 12, 18, 24]
702	1	25	45	60			[702001, 702002, 702003, 702004, 702005, 702006, 702007, 702008]	[0, 6, 12, 18, 24, 30, 36, 43]
703	2	25	60	60			[703001, 703002, 703003, 703004, 703005, 703006, 703007, 703008, 703009, 703010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
704	1	25	60	60			[704001, 704002, 704003, 704004, 704005, 704006, 704007, 704008, 704009, 704010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
705	1	25	60	60			[705001, 705002, 705003, 705004, 705005, 705006, 705007, 705008, 705009, 705010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
706	1	25	75	60			[706001, 706002, 706003, 706004, 706005, 706006, 706007, 706008, 706009, 706010, 706011, 706012, 706013]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 62, 68, 73]
707	2	25	120	60			[707001, 707002, 707003, 707004, 707005, 707006, 707007, 707008, 707009, 707010, 707011, 707012, 707013, 707014, 707015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
708	1	25	90	60			[708001, 708002, 708003, 708004, 708005, 708006, 708007, 708008, 708009, 708010, 708011, 708012, 708013, 708014, 708015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
709	1	25	120	60			[709001, 709002, 709003, 709004, 709005, 709006, 709007, 709008, 709009, 709010, 709011, 709012, 709013, 709014, 709015, 709016, 709017, 709018, 709019, 709020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
710	1	25	120	60			[710001, 710002, 710003, 710004, 710005, 710006, 710007, 710008, 710009, 710010, 710011, 710012, 710013, 710014, 710015, 710016, 710017, 710018, 710019, 710020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
711	1	25	120	60			[711001, 711002, 711003, 711004, 711005, 711006, 711007, 711008, 711009, 711010, 711011, 711012, 711013, 711014, 711015, 711016, 711017, 711018, 711019, 711020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
712	1	25	120	60			[712001, 712002, 712003, 712004, 712005, 712006, 712007, 712008, 712009, 712010, 712011, 712012, 712013, 712014, 712015, 712016, 712017, 712018, 712019, 712020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
801	1	25	30	60			[801001, 801002, 801003, 801004, 801005]	[0, 6, 12, 18, 24]
802	1	25	45	60			[802001, 802002, 802003, 802004, 802005, 802006, 802007, 802008]	[0, 6, 12, 18, 24, 30, 36, 43]
803	2	25	60	60			[803001, 803002, 803003, 803004, 803005, 803006, 803007, 803008, 803009, 803010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
804	1	25	60	60			[804001, 804002, 804003, 804004, 804005, 804006, 804007, 804008, 804009, 804010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
805	1	25	60	60			[805001, 805002, 805003, 805004, 805005, 805006, 805007, 805008, 805009, 805010]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
806	1	25	75	60			[806001, 806002, 806003, 806004, 806005, 806006, 806007, 806008, 806009, 806010, 806011, 806012, 806013]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 62, 68, 73]
807	2	25	120	60			[807001, 807002, 807003, 807004, 807005, 807006, 807007, 807008, 807009, 807010, 807011, 807012, 807013, 807014, 807015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
808	3	25	60001|90	60			[808001, 808002, 808003, 808004, 808005, 808006, 808007, 808008, 808009, 808010, 808011, 808012, 808013, 808014, 808015]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84]
809	3	25	70001|120	60			[809001, 809002, 809003, 809004, 809005, 809006, 809007, 809008, 809009, 809010, 809011, 809012, 809013, 809014, 809015, 809016, 809017, 809018, 809019, 809020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
810	1	25	120	60			[810001, 810002, 810003, 810004, 810005, 810006, 810007, 810008, 810009, 810010, 810011, 810012, 810013, 810014, 810015, 810016, 810017, 810018, 810019, 810020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
811	3	25	60001|120	60			[811001, 811002, 811003, 811004, 811005, 811006, 811007, 811008, 811009, 811010, 811011, 811012, 811013, 811014, 811015, 811016, 811017, 811018, 811019, 811020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
812	3	25	70001|120	60			[812001, 812002, 812003, 812004, 812005, 812006, 812007, 812008, 812009, 812010, 812011, 812012, 812013, 812014, 812015, 812016, 812017, 812018, 812019, 812020]	[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114]
