Id	CharacterId	Level	NeedExp
177	5056	79	6724
178	5056	80	6889
179	5056	81	7056
180	5056	82	7225
181	5056	83	7396
182	5056	84	7569
183	5056	85	7744
184	5056	86	7921
185	5056	87	8100
186	5056	88	8281
187	5056	89	8464
188	5056	90	8649
189	5056	91	8836
190	5056	92	9025
191	5056	93	9216
192	5056	94	9409
193	5056	95	9604
194	5056	96	9801
195	5056	97	10000
196	5056	98	10201
197	5057	1	16
198	5057	2	25
199	5057	3	36
200	5057	4	49
201	5057	5	64
202	5057	6	81
203	5057	7	100
204	5057	8	121
205	5057	9	144
206	5057	10	169
207	5057	11	196
208	5057	12	225
209	5057	13	256
210	5057	14	289
211	5057	15	324
212	5057	16	361
213	5057	17	400
214	5057	18	441
215	5057	19	484
216	5057	20	529
217	5057	21	576
218	5057	22	625
219	5057	23	676
220	5057	24	729
221	5057	25	784
222	5057	26	841
223	5057	27	900
224	5057	28	961
225	5057	29	1024
226	5057	30	1089
227	5057	31	1156
228	5057	32	1225
229	5057	33	1296
230	5057	34	1369
231	5057	35	1444
232	5057	36	1521
233	5057	37	1600
234	5057	38	1681
235	5057	39	1764
236	5057	40	1849
237	5057	41	1936
238	5057	42	2025
239	5057	43	2116
240	5057	44	2209
241	5057	45	2304
242	5057	46	2401
243	5057	47	2500
244	5057	48	2601
245	5057	49	2704
246	5057	50	2809
247	5057	51	2916
248	5057	52	3025
249	5057	53	3136
250	5057	54	3249
251	5057	55	3364
252	5057	56	3481
253	5057	57	3600
254	5057	58	3721
255	5057	59	3844
256	5057	60	3969
257	5057	61	4096
258	5057	62	4225
259	5057	63	4356
260	5057	64	4489
261	5057	65	4624
262	5057	66	4761
263	5057	67	4900
264	5057	68	5041
265	5057	69	5184
266	5057	70	5329
267	5057	71	5476
268	5057	72	5625
269	5057	73	5776
270	5057	74	5929
271	5057	75	6084
272	5057	76	6241
273	5057	77	6400
274	5057	78	6561
275	5057	79	6724
276	5057	80	6889
277	5057	81	7056
278	5057	82	7225
279	5057	83	7396
280	5057	84	7569
281	5057	85	7744
282	5057	86	7921
283	5057	87	8100
284	5057	88	8281
285	5057	89	8464
286	5057	90	8649
287	5057	91	8836
288	5057	92	9025
289	5057	93	9216
290	5057	94	9409
291	5057	95	9604
292	5057	96	9801
293	5057	97	10000
294	5057	98	10201
295	5058	1	16
296	5058	2	25
297	5058	3	36
298	5058	4	49
299	5058	5	64
300	5058	6	81
301	5058	7	100
302	5058	8	121
303	5058	9	144
304	5058	10	169
305	5058	11	196
306	5058	12	225
307	5058	13	256
308	5058	14	289
309	5058	15	324
310	5058	16	361
311	5058	17	400
312	5058	18	441
313	5058	19	484
314	5058	20	529
315	5058	21	576
316	5058	22	625
317	5058	23	676
318	5058	24	729
319	5058	25	784
320	5058	26	841
321	5058	27	900
322	5058	28	961
323	5058	29	1024
324	5058	30	1089
325	5058	31	1156
326	5058	32	1225
327	5058	33	1296
328	5058	34	1369
329	5058	35	1444
330	5058	36	1521
331	5058	37	1600
332	5058	38	1681
333	5058	39	1764
334	5058	40	1849
335	5058	41	1936
336	5058	42	2025
337	5058	43	2116
338	5058	44	2209
339	5058	45	2304
340	5058	46	2401
341	5058	47	2500
342	5058	48	2601
343	5058	49	2704
344	5058	50	2809
345	5058	51	2916
346	5058	52	3025
347	5058	53	3136
348	5058	54	3249
349	5058	55	3364
350	5058	56	3481
351	5058	57	3600
352	5058	58	3721
353	5058	59	3844
354	5058	60	3969
355	5058	61	4096
356	5058	62	4225
357	5058	63	4356
358	5058	64	4489
359	5058	65	4624
360	5058	66	4761
361	5058	67	4900
362	5058	68	5041
363	5058	69	5184
364	5058	70	5329
365	5058	71	5476
366	5058	72	5625
367	5058	73	5776
368	5058	74	5929
369	5058	75	6084
370	5058	76	6241
371	5058	77	6400
372	5058	78	6561
373	5058	79	6724
374	5058	80	6889
375	5058	81	7056
376	5058	82	7225
377	5058	83	7396
378	5058	84	7569
379	5058	85	7744
380	5058	86	7921
381	5058	87	8100
382	5058	88	8281
383	5058	89	8464
384	5058	90	8649
385	5058	91	8836
386	5058	92	9025
387	5058	93	9216
388	5058	94	9409
389	5058	95	9604
390	5058	96	9801
391	5058	97	10000
392	5058	98	10201
