ItemId	ItemType	OrbColor	OrbGroup	ItemTier	ItemName	ItemDesc	UnlockProgressionNodeId	Icon	SkillId	SaveSkillNote	ItemMagic	Tags
11	1	1	3	3	横扫Ⅲ	以角色为圆心，朝最近的敌人进行扇形挥砍近战攻击，伤害<color=#3ACC3B>=35+</color>最大生命值<color=#3ACC3B>*15%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>每次释放时，最大生命值<color=#3ACC3B>+1。</color>	6	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505813	['信号球', '近距离', '属性成长']
12	1	1	3	4	横扫Ⅳ	以角色为圆心，朝最近的敌人进行大范围扇形挥砍近战攻击，伤害<color=#3ACC3B>=35+</color>最大生命值<color=#3ACC3B>*15%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>每次释放时，最大生命值<color=#3ACC3B>+1。</color>	6	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505814	['信号球', '近距离', '属性成长']
13	1	1	4	1	绚烂之势Ⅰ	以角色为圆心，持续对周围敌人造成伤害。持续<color=#3ACC3B>2</color>秒，每秒伤害<color=#3ACC3B>=24。</color>		Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505811	['信号球', '近距离', '速度提升']
14	1	1	4	2	绚烂之势Ⅱ	以角色为圆心，持续对周围敌人造成伤害。持续<color=#3ACC3B>2</color>秒，每秒伤害<color=#3ACC3B>=24。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505812	['信号球', '近距离', '速度提升']
15	1	1	4	3	绚烂之势Ⅲ	以角色为圆心，持续对周围敌人造成伤害。持续<color=#3ACC3B>2</color>秒，每秒伤害<color=#3ACC3B>=32。</color>每次命中敌人时，移速<color=#3ACC3B>+20</color>，效果持续<color=#3ACC3B>5</color>秒，重复触发刷新持续时间。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505813	['信号球', '近距离', '速度提升']
16	1	1	4	4	绚烂之势Ⅳ	以角色为圆心，持续对周围大范围敌人造成伤害。持续<color=#3ACC3B>4</color>秒，每秒伤害<color=#3ACC3B>=32。</color>每次命中敌人时，移速<color=#3ACC3B>+20</color>，效果持续<color=#3ACC3B>5</color>秒，重复触发刷新持续时间。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505814	['信号球', '近距离', '速度提升']
17	1	1	5	1	缭乱Ⅰ	后续<color=#3ACC3B>5</color>次普攻信号球掉落概率<color=#3ACC3B>+15%</color>，重复触发叠加普攻次数，至多叠加<color=#3ACC3B>99</color>次。		Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505811	['信号球', '普攻增益', '额外经验']
18	1	1	5	2	缭乱Ⅱ	后续<color=#3ACC3B>5</color>次普攻信号球掉落概率<color=#3ACC3B>+15%</color>，重复触发叠加普攻次数，至多叠加<color=#3ACC3B>99</color>次。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505812	['信号球', '普攻增益', '额外经验']
19	1	1	5	3	缭乱Ⅲ	后续<color=#3ACC3B>7</color>次普攻信号球掉落概率<color=#3ACC3B>+30%</color>，重复触发叠加普攻次数，至多叠加<color=#3ACC3B>99</color>次。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>普攻伤害加成<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505813	['信号球', '普攻增益', '额外经验']
20	1	1	5	4	缭乱Ⅳ	后续<color=#3ACC3B>7</color>次普攻信号球掉落概率<color=#3ACC3B>+30%</color>，重复触发叠加普攻次数，至多叠加<color=#3ACC3B>99</color>次。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>普攻伤害加成<color=#3ACC3B>+25%。</color>拾取信号球时，获得额外<color=#3ACC3B>1</color>经验值。		Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505814	['信号球', '普攻增益', '额外经验']
21	1	1	6	1	掠雷冲Ⅰ	朝最近的敌人进行直刺近战攻击。伤害<color=#3ACC3B>=35。</color>命中超过<color=#3ACC3B>3</color>名敌人时，普攻伤害加成<color=#3ACC3B>+10%。</color>	21	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505811	['信号球', '近距离', '普攻增益']
22	1	1	6	2	掠雷冲Ⅱ	朝最近的敌人进行直刺近战攻击。伤害<color=#3ACC3B>=35。</color>命中超过<color=#3ACC3B>3</color>名敌人时，普攻伤害加成<color=#3ACC3B>+10%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	21	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505812	['信号球', '近距离', '普攻增益']
23	1	1	6	3	掠雷冲Ⅲ	朝最近的敌人进行直刺近战攻击。伤害<color=#3ACC3B>=50。</color>命中超过<color=#3ACC3B>3</color>名敌人时，普攻伤害加成<color=#3ACC3B>+10%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	21	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505813	['信号球', '近距离', '普攻增益']
24	1	1	6	4	掠雷冲Ⅳ	朝最近的敌人进行直刺近战攻击。伤害<color=#3ACC3B>=50。</color>命中超过<color=#3ACC3B>3</color>名敌人时，普攻伤害加成<color=#3ACC3B>+10%</color>，并在<color=#3ACC3B>5</color>秒内大幅提升攻速加成（攻速加成<color=#3ACC3B>+50%</color>）。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	21	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505814	['信号球', '近距离', '普攻增益']
25	1	1	7	1	反应射击Ⅰ	朝最近的敌人发射<color=#3ACC3B>3</color>次直线射击。每次伤害<color=#3ACC3B>=30。</color>		Assets/Product/Texture/Image/UiPBR/PBRItemsIcon100.png	502909	503003	505811	['信号球', '远距离', '高伤害']
26	1	1	7	2	反应射击Ⅱ	朝最近的敌人发射<color=#3ACC3B>3</color>次直线射击。每次伤害<color=#3ACC3B>=30。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/UiPBR/PBRItemsIcon100.png	502909	503003	505812	['信号球', '远距离', '高伤害']
27	1	1	7	3	反应射击Ⅲ	朝最近的敌人发射<color=#3ACC3B>3</color>次直线射击。每次伤害<color=#3ACC3B>=40。</color><color=#3ACC3B>2</color>秒内获得暴击<color=#3ACC3B>+25%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/UiPBR/PBRItemsIcon100.png	502909	503003	505813	['信号球', '远距离', '高伤害']
28	1	1	7	4	反应射击Ⅳ	朝最近的敌人发射<color=#3ACC3B>6</color>次直线射击。每次伤害<color=#3ACC3B>=40+</color>幸运<color=#3ACC3B>*50%。</color><color=#3ACC3B>2</color>秒内获得暴击<color=#3ACC3B>+25%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/UiPBR/PBRItemsIcon100.png	502909	503003	505814	['信号球', '远距离', '高伤害']
29	1	1	8	1	离索跳弹Ⅰ	朝最近的敌人发射追踪子弹，子弹会在敌人间弹跳。跳弹次数上限为<color=#3ACC3B>3</color>，伤害<color=#3ACC3B>=25+</color>射程<color=#3ACC3B>*200%。</color>	13	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505811	['信号球', '远距离', '弹跳攻击']
30	1	1	8	2	离索跳弹Ⅱ	朝最近的敌人发射追踪子弹，子弹会在敌人间弹跳。跳弹次数上限为<color=#3ACC3B>3</color>，伤害<color=#3ACC3B>=25+</color>射程<color=#3ACC3B>*200%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	13	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505812	['信号球', '远距离', '弹跳攻击']
31	1	1	8	3	离索跳弹Ⅲ	朝最近的敌人发射追踪子弹，子弹会在敌人间弹跳。跳弹次数上限为<color=#3ACC3B>5</color>，伤害<color=#3ACC3B>=35+</color>射程<color=#3ACC3B>*300%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	13	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505813	['信号球', '远距离', '弹跳攻击']
32	1	1	8	4	离索跳弹Ⅳ	朝最近的敌人发射追踪子弹，子弹会在敌人间弹跳。无跳弹次数上限，伤害<color=#3ACC3B>=35+</color>射程<color=#3ACC3B>*300%。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	13	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505814	['信号球', '远距离', '弹跳攻击']
33	1	1	9	1	爆烈投掷Ⅰ	朝最近的敌人发射爆弹。爆弹会留下灼烧区域持续造成伤害。持续<color=#3ACC3B>3</color>秒，每秒伤害<color=#3ACC3B>=20。</color>		Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505811	['信号球', '远距离', '持续伤害']
34	1	1	9	2	爆烈投掷Ⅱ	朝最近的敌人发射爆弹。爆弹会留下灼烧区域持续造成伤害。持续<color=#3ACC3B>3</color>秒，每秒伤害<color=#3ACC3B>=20。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505812	['信号球', '远距离', '持续伤害']
35	1	1	9	3	爆烈投掷Ⅲ	朝最近的敌人发射爆弹。爆弹会留下灼烧区域持续造成伤害。持续<color=#3ACC3B>6</color>秒，每秒伤害<color=#3ACC3B>=24。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505813	['信号球', '远距离', '持续伤害']
36	1	1	9	4	爆烈投掷Ⅳ	朝最近的敌人发射爆弹。爆弹会留下大范围灼烧区域持续造成伤害。持续<color=#3ACC3B>8</color>秒，每秒伤害<color=#3ACC3B>=24。</color>每秒伤害会在持续时间内递增至<color=#3ACC3B>32。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505814	['信号球', '远距离', '持续伤害']
37	1	1	10	1	主动近防Ⅰ	召唤棋子，朝最近的敌人发射追踪子弹。棋子持续<color=#3ACC3B>8</color>秒，伤害<color=#3ACC3B>=10。</color>		Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505811	['信号球', '召唤物', '远距离']
38	1	1	10	2	主动近防Ⅱ	召唤棋子，朝最近的敌人发射追踪子弹。棋子持续<color=#3ACC3B>8</color>秒，伤害<color=#3ACC3B>=10。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505812	['信号球', '召唤物', '远距离']
39	1	1	10	3	主动近防Ⅲ	召唤棋子，朝最近的敌人发射追踪子弹。棋子持续<color=#3ACC3B>8</color>秒，伤害<color=#3ACC3B>=13。</color>子弹命中时会小范围爆炸，造成等量伤害。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505813	['信号球', '召唤物', '远距离']
40	1	1	10	4	主动近防Ⅳ	召唤棋子，朝最近的敌人发射追踪子弹。棋子持续<color=#3ACC3B>8</color>秒，伤害<color=#3ACC3B>=13。</color>子弹命中时会大范围爆炸，造成等量伤害。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505814	['信号球', '召唤物', '远距离']
41	1	1	11	1	炽能迸发Ⅰ	召唤棋子，朝最近的敌人进行直刺近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=15。</color>		Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505811	['信号球', '召唤物', '近距离']
42	1	1	11	2	炽能迸发Ⅱ	召唤棋子，朝最近的敌人进行直刺近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=15。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505812	['信号球', '召唤物', '近距离']
43	1	1	11	3	炽能迸发Ⅲ	召唤棋子，朝最近的敌人进行长距离直刺近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=18。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505813	['信号球', '召唤物', '近距离']
44	1	1	11	4	炽能迸发Ⅳ	召唤棋子，朝最近的敌人进行长距离直刺近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=18。</color>大幅提升棋子攻速加成。\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505814	['信号球', '召唤物', '近距离']
45	1	1	12	1	逆反剑技Ⅰ	召唤棋子，朝最近的敌人进行挥砍近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=12。</color>	7	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505811	['信号球', '召唤物', '近距离']
46	1	1	12	2	逆反剑技Ⅱ	召唤棋子，朝最近的敌人进行挥砍近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=12。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	7	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505812	['信号球', '召唤物', '近距离']
47	1	1	12	3	逆反剑技Ⅲ	召唤棋子，朝最近的敌人进行长距离挥砍近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=15。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	7	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505813	['信号球', '召唤物', '近距离']
48	1	1	12	4	逆反剑技Ⅳ	召唤棋子，朝最近的敌人进行长距离横扫近战攻击。棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=15。</color>\n-被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>	7	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505814	['信号球', '召唤物', '近距离']
49	1	2	13	1	装甲突击Ⅰ	持续时间内，角色获得护甲提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，护甲<color=#3ACC3B>+2。</color>		Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505821	['信号球', '护甲提升']
50	1	2	13	2	装甲突击Ⅱ	持续时间内，角色获得护甲提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，护甲<color=#3ACC3B>+2。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505822	['信号球', '护甲提升']
51	1	2	13	3	装甲突击Ⅲ	持续时间内，角色获得护甲提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，护甲<color=#3ACC3B>+4。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505823	['信号球', '护甲提升']
52	1	2	13	4	装甲突击Ⅳ	持续时间内，角色获得护甲提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，护甲<color=#3ACC3B>+4。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>连锁状态下，获得随连锁次数提升的护甲。		Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505824	['信号球', '护甲提升']
53	1	2	14	1	快意波动Ⅰ	持续时间内，角色获得攻速加成提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，攻速加成<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505821	['信号球', '攻速提升']
54	1	2	14	2	快意波动Ⅱ	持续时间内，角色获得攻速加成提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，攻速加成<color=#3ACC3B>+25%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505822	['信号球', '攻速提升']
55	1	2	14	3	快意波动Ⅲ	持续时间内，角色获得攻速加成提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，攻速加成提升至<color=#3ACC3B>40%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505823	['信号球', '攻速提升']
56	1	2	14	4	快意波动Ⅳ	持续时间内，角色获得攻速加成提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，攻速加成提升至<color=#3ACC3B>40%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>连锁状态下，获得随连锁次数提升的攻速加成。		Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505824	['信号球', '攻速提升']
57	1	2	15	1	雷霆迅突Ⅰ	持续时间内，角色获得冲刺充能提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，冲刺充能<color=#3ACC3B>+40%。</color>		Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505821	['信号球', '冲刺能力']
58	1	2	15	2	雷霆迅突Ⅱ	持续时间内，角色获得冲刺充能提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，冲刺充能<color=#3ACC3B>+40%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505822	['信号球', '冲刺能力']
59	1	2	15	3	雷霆迅突Ⅲ	持续时间内，角色获得冲刺充能提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，冲刺充能<color=#3ACC3B>+60%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505823	['信号球', '冲刺能力']
60	1	2	15	4	雷霆迅突Ⅳ	持续时间内，角色获得冲刺充能提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，冲刺充能<color=#3ACC3B>+60%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>连锁状态下，获得随连锁次数提升的冲刺充能。		Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505824	['信号球', '冲刺能力']
61	1	2	16	1	生命渴求Ⅰ	持续时间内，角色获得生命偷取效率提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，生命偷取效率<color=#3ACC3B>+2%。</color>		Assets/Product/Texture/Image/IconSkill/R2Hanyinlan1.png	502918	503004	505821	['信号球', '生命偷取']
62	1	2	16	2	生命渴求Ⅱ	持续时间内，角色获得生命偷取效率提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，生命偷取效率<color=#3ACC3B>+2%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	502918	503004	505822	['信号球', '生命偷取']
63	1	2	16	3	生命渴求Ⅲ	持续时间内，角色获得生命偷取效率提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，生命偷取效率提升至<color=#3ACC3B>3%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2Hanyinlan1.png	502918	503004	505823	['信号球', '生命偷取']
64	1	2	16	4	生命渴求Ⅳ	持续时间内，角色获得生命偷取效率提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，生命偷取效率提升至<color=#3ACC3B>3%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>连锁状态下，获得随连锁次数提升的生命偷取效率。		Assets/Product/Texture/Image/IconSkill/R2Hanyinlan1.png	502918	503004	505824	['信号球', '生命偷取']
65	1	2	17	1	碎光漫步Ⅰ	持续时间内，角色获得速度提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，速度<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505821	['信号球', '速度提升']
66	1	2	17	2	碎光漫步Ⅱ	持续时间内，角色获得速度提升，重复触发刷新持续时间。持续<color=#3ACC3B>5</color>秒，速度<color=#3ACC3B>+25。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505822	['信号球', '速度提升']
67	1	2	17	3	碎光漫步Ⅲ	持续时间内，角色获得速度提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，速度<color=#3ACC3B>+37.5%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505823	['信号球', '速度提升']
68	1	2	17	4	碎光漫步Ⅳ	持续时间内，角色获得速度提升，重复触发刷新持续时间。持续<color=#3ACC3B>8</color>秒，速度<color=#3ACC3B>+37.5%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>连锁状态下，获得随连锁次数提升的速度。		Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505824	['信号球', '速度提升']
69	1	2	18	1	急停共振Ⅰ	<color=#3ACC3B>10</color>秒内，角色停止移动时大幅提升暴击，重复触发刷新持续时间。暴击<color=#3ACC3B>+30%。</color>		Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505821	['信号球', '站桩能力', '暴击提升']
70	1	2	18	2	急停共振Ⅱ	<color=#3ACC3B>10</color>秒内，角色停止移动时大幅提升暴击，重复触发刷新持续时间。暴击<color=#3ACC3B>+30%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505822	['信号球', '站桩能力', '暴击提升']
71	1	2	18	3	急停共振Ⅲ	<color=#3ACC3B>10</color>秒内，角色停止移动时大幅提升暴击，重复触发刷新持续时间。暴击<color=#3ACC3B>+50%。</color>\n-被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505823	['信号球', '站桩能力', '暴击提升']
72	1	2	18	4	急停共振Ⅳ	-被动效果：角色停止移动时暴击<color=#3ACC3B>+50%</color>，暴击伤害<color=#3ACC3B>+75%。</color>蓝球掉落概率<color=#3ACC3B>+25%。</color>		Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505824	['信号球', '站桩能力', '暴击提升']
73	1	2	19	1	磁弹速射Ⅰ	后续<color=#3ACC3B>3</color>次普攻会额外攻击，重复触发叠加普攻次数，至多叠加<color=#3ACC3B>99</color>次。额外攻击伤害=普攻伤害<color=#3ACC3B>*50%。</color>		Assets/Product/Texture/Image/IconSkill/R2lilan1.png	502921	503004	505821	['信号球', '普攻增益']
