Id	Name	Type	Weight	SignType	SignNum	RewardId	RewardWeight	ImageMap
11	2024年大年初一	3		[12, 15]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
12	2024年大年初二	3		[13, 16]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
13	2025年大年初三	3		[14, 17]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
14	2024端午签	3		[18, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
15	2024中秋签	3		[7, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
16	2024国庆	3		[19, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
17	2024五周年	3		[20, 4]	[1, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
18	2025元旦签	3		[10, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
19	2024年除夕	3		[11, 4]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
20	2025年大年初一	3		[12, 15]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
21	2025年大年初二	3		[13, 16]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
22	2025年大年初三	3		[14, 17]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
23	2025年劳动节	3		[21, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
24	2025端午签	3		[18, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
25	2025国庆	3		[19, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
26	2025中秋签	3		[7, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
27	2025六周年	3		[22, 4]	[1, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
28	2026元旦签	3		[10, 4]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
29	2025年除夕	3		[11, 4]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
30	2026年大年初一	3		[12, 15]	[2, 1]	[350605]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult01.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result01.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result01.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result01.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result01.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle05.png'}
31	2026年大年初二	3		[13, 16]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
32	2026年大年初三	3		[14, 17]	[2, 1]	[350604]	[10000]	{'UiGuildSign': 'Assets/Product/Texture/Image/UiGuild/UiGuildSignResult02.png', 'UiGuildSign2': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign2Result02.png', 'UiGuildSign3': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign3Result02.png', 'UiGuildSign4': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign4Result02.png', 'UiGuildSign5': 'Assets/Product/Texture/Image/UiGuild/UiGuildSign5Result02.png', 'UiGuildSign6': 'Assets/Product/Texture/Image/UiGuild/GuildSign6Tittle04.png'}
