SpawnGroupId	SpawnId
308001	[30800101, 30800102, 30800103]
308002	[30800201, 30800202, 30800203, 30800204]
308003	[30800301, 30800302, 30800303, 30800304, 30800305]
308004	[30800401, 30800402, 30800403, 30800404]
308005	[30800501, 30800502, 30800503, 30800504]
308006	[30800601, 30800602, 30800603]
308007	[30800701, 30800702]
308008	[30800801, 30800802]
308009	[30800901, 30800902]
308010	[30801001, 30801002]
309001	[30900101, 30900102]
309002	[30900201, 30900202, 30900203]
309003	[30900301, 30900302]
309004	[30900401, 30900402, 30900403]
309005	[30900501, 30900502, 30900503]
309006	[30900601, 30900602, 30900603, 30900604]
309007	[30900701, 30900702, 30900703]
309008	[30900801, 30900802]
309009	[30900901, 30900902]
309010	[30901001, 30901002]
309011	[30901101, 30901102]
309012	[30901201, 30901202]
309013	[30901301]
309014	[30901401, 30901402, 30901403]
309015	[30901501]
401001	[40100101, 40100102, 40100103, 40100104]
401002	[40100201, 40100202, 40100203, 40100204, 40100205]
401003	[40100301, 40100302, 40100303, 40100304, 40100305]
401004	[40100401, 40100402, 40100403, 40100404, 40100405]
401005	[40100501, 40100502, 40100503, 40100504]
402001	[40200101, 40200102, 40200103, 40200104]
402002	[40200201, 40200202, 40200203]
402003	[40200301, 40200302, 40200303, 40200304]
402004	[40200401, 40200402, 40200403, 40200404]
402005	[40200501, 40200502, 40200503, 40200504]
402006	[40200601, 40200602, 40200603, 40200604]
402007	[40200701]
402008	[40200801]
403001	[40300101, 40300102, 40300103, 40300104, 40300105]
403002	[40300201, 40300202, 40300203, 40300204, 40300205, 40300206, 40300207]
403003	[40300301, 40300302, 40300303, 40300304, 40300305, 40300306]
403004	[40300401, 40300402, 40300403, 40300404, 40300405, 40300406]
403005	[40300501, 40300502, 40300503, 40300504, 40300505]
403006	[40300601, 40300602, 40300603, 40300604, 40300605]
403007	[40300701, 40300702, 40300703, 40300704, 40300705, 40300706]
403008	[40300801, 40300802, 40300803, 40300804, 40300805, 40300806]
403009	[40300901, 40300902, 40300903, 40300904, 40300905, 40300906]
403010	[40301001, 40301002, 40301003, 40301004, 40301005, 40301006]
404001	[40400101, 40400102, 40400103, 40400104]
404002	[40400201, 40400202, 40400203, 40400204]
404003	[40400301, 40400302, 40400303, 40400304, 40400305]
404004	[40400401, 40400402, 40400403, 40400404, 40400405]
404005	[40400501, 40400502, 40400503, 40400504, 40400505, 40400506]
404006	[40400601, 40400602, 40400603, 40400604, 40400605, 40400606, 40400607, 40400608]
404007	[40400701, 40400702, 40400703, 40400704, 40400705, 40400706, 40400707, 40400708, 40400709]
404008	[40400801, 40400802, 40400803, 40400804, 40400805, 40400806, 40400807, 40400808]
404009	[40400901, 40400902, 40400903, 40400904, 40400905, 40400906, 40400907, 40400908]
404010	[40401001, 40401002, 40401003, 40401004, 40401005, 40401006, 40401007, 40401008]
405001	[40500101, 40500102, 40500103, 40500104, 40500105, 40500106, 40500107]
405002	[40500201, 40500202, 40500203, 40500204, 40500205, 40500206]
405003	[40500301, 40500302, 40500303, 40500304, 40500305, 40500306, 40500307, 40500308]
405004	[40500401, 40500402, 40500403, 40500404, 40500405, 40500406, 40500407]
405005	[40500501, 40500502, 40500503, 40500504, 40500505, 40500506, 40500507, 40500508]
405006	[40500601, 40500602, 40500603, 40500604, 40500605, 40500606, 40500607, 40500608]
405007	[40500701, 40500702, 40500703, 40500704, 40500705, 40500706, 40500707, 40500708]
405008	[40500801, 40500802, 40500803, 40500804, 40500805, 40500806, 40500807, 40500808]
405009	[40500901, 40500902, 40500903, 40500904, 40500905, 40500906, 40500907, 40500908]
405010	[40501001, 40501002, 40501003, 40501004, 40501005, 40501006, 40501007]
406001	[40600101, 40600102, 40600103, 40600104, 40600105, 40600106]
406002	[40600201, 40600202, 40600203, 40600204, 40600205]
406003	[40600301, 40600302, 40600303, 40600304, 40600305]
406004	[40600401, 40600402, 40600403, 40600404, 40600405, 40600406]
406005	[40600501, 40600502, 40600503, 40600504, 40600505, 40600506]
406006	[40600601, 40600602, 40600603, 40600604, 40600605, 40600606]
406007	[40600701, 40600702, 40600703, 40600704]
406008	[40600801, 40600802, 40600803, 40600804, 40600805, 40600806]
406009	[40600901, 40600902, 40600903, 40600904, 40600905, 40600906, 40600907]
406010	[40601001, 40601002, 40601003, 40601004, 40601005, 40601006, 40601007, 40601008]
406011	[40601101, 40601102, 40601103, 40601104, 40601105, 40601106, 40601107, 40601108]
406012	[40601201, 40601202, 40601203, 40601204, 40601205, 40601206, 40601207, 40601208]
406013	[40601301, 40601302, 40601303, 40601304, 40601305, 40601306, 40601307, 40601308]
407001	[40700101, 40700102, 40700103, 40700104, 40700105, 40700106]
407002	[40700201, 40700202, 40700203, 40700204, 40700205]
407003	[40700301, 40700302, 40700303, 40700304, 40700305]
407004	[40700401, 40700402, 40700403, 40700404]
407005	[40700501, 40700502, 40700503, 40700504]
407006	[40700601, 40700602, 40700603, 40700604]
407007	[40700701, 40700702, 40700703, 40700704]
407008	[40700801, 40700802, 40700803, 40700804]
407009	[40700901, 40700902, 40700903, 40700904]
407010	[40701001, 40701002, 40701003, 40701004, 40701005, 40701006]
407011	[40701101, 40701102, 40701103, 40701104, 40701105, 40701106]
407012	[40701201, 40701202, 40701203, 40701204, 40701205, 40701206, 40701207]
407013	[40701301, 40701302, 40701303, 40701304, 40701305, 40701306, 40701307]
407014	[40701401, 40701402, 40701403, 40701404, 40701405, 40701406, 40701407]
407015	[40701501, 40701502, 40701503, 40701504, 40701505, 40701506]
408001	[40800101, 40800102, 40800103, 40800104, 40800105, 40800106]
408002	[40800201, 40800202, 40800203, 40800204, 40800205]
408003	[40800301, 40800302, 40800303, 40800304, 40800305, 40800306, 40800307]
408004	[40800401, 40800402, 40800403, 40800404, 40800405, 40800406]
408005	[40800501, 40800502, 40800503, 40800504]
408006	[40800601, 40800602, 40800603, 40800604, 40800605, 40800606, 40800607]
408007	[40800701, 40800702, 40800703, 40800704, 40800705, 40800706]
408008	[40800801, 40800802, 40800803, 40800804, 40800805, 40800806]
408009	[40800901, 40800902, 40800903, 40800904, 40800905, 40800906]
408010	[40801001, 40801002, 40801003, 40801004, 40801005, 40801006]
408011	[40801101, 40801102, 40801103, 40801104, 40801105, 40801106]
408012	[40801201, 40801202, 40801203, 40801204, 40801205, 40801206, 40801207]
408013	[40801301, 40801302, 40801303, 40801304, 40801305, 40801306, 40801307]
408014	[40801401, 40801402, 40801403, 40801404, 40801405, 40801406]
408015	[40801501, 40801502, 40801503, 40801504, 40801505, 40801506]
409001	[40900101, 40900102, 40900103, 40900104, 40900105]
409002	[40900201, 40900202, 40900203, 40900204]
409003	[40900301, 40900302, 40900303]
409004	[40900401, 40900402, 40900403, 40900404]
409005	[40900501, 40900502, 40900503, 40900504]
409006	[40900601, 40900602, 40900603, 40900604, 40900605]
409007	[40900701, 40900702, 40900703, 40900704, 40900705]
409008	[40900801, 40900802, 40900803, 40900804, 40900805]
409009	[40900901, 40900902, 40900903, 40900904, 40900905, 40900906]
409010	[40901001, 40901002, 40901003, 40901004, 40901005, 40901006]
409011	[40901101, 40901102, 40901103, 40901104, 40901105, 40901106]
409012	[40901201, 40901202, 40901203, 40901204, 40901205, 40901206]
409013	[40901301, 40901302, 40901303, 40901304, 40901305, 40901306]
409014	[40901401, 40901402, 40901403, 40901404, 40901405, 40901406]
409015	[40901501, 40901502, 40901503, 40901504, 40901505, 40901506]
409016	[40901601, 40901602, 40901603, 40901604, 40901605, 40901606]
409017	[40901701, 40901702, 40901703, 40901704, 40901705, 40901706]
409018	[40901801, 40901802, 40901803, 40901804, 40901805, 40901806]
409019	[40901901, 40901902, 40901903, 40901904, 40901905, 40901906]
409020	[40902001, 40902002, 40902003, 40902004, 40902005, 40902006]
410001	[41000101, 41000102, 41000103, 41000104, 41000105, 41000106, 41000107]
410002	[41000201, 41000202, 41000203, 41000204, 41000205]
410003	[41000301, 41000302, 41000303]
410004	[41000401, 41000402, 41000403, 41000404]
410005	[41000501, 41000502, 41000503, 41000504, 41000505]
410006	[41000601, 41000602, 41000603, 41000604, 41000605]
410007	[41000701, 41000702, 41000703, 41000704]
410008	[41000801, 41000802, 41000803, 41000804, 41000805]
410009	[41000901, 41000902, 41000903, 41000904, 41000905]
410010	[41001001, 41001002, 41001003, 41001004, 41001005, 41001006]
410011	[41001101, 41001102, 41001103, 41001104, 41001105, 41001106]
410012	[41001201, 41001202, 41001203, 41001204, 41001205, 41001206, 41001207]
410013	[41001301, 41001302, 41001303, 41001304, 41001305, 41001306]
410014	[41001401, 41001402, 41001403, 41001404, 41001405, 41001406]
410015	[41001501, 41001502, 41001503, 41001504, 41001505, 41001506]
410016	[41001601, 41001602, 41001603, 41001604, 41001605, 41001606, 41001607]
410017	[41001701, 41001702, 41001703, 41001704, 41001705, 41001706]
410018	[41001801, 41001802, 41001803, 41001804, 41001805, 41001806]
410019	[41001901, 41001902, 41001903, 41001904, 41001905, 41001906]
410020	[41002001, 41002002, 41002003, 41002004, 41002005, 41002006]
411001	[41100101, 41100102, 41100103, 41100104, 41100105, 41100106]
411002	[41100201, 41100202, 41100203, 41100204]
411003	[41100301, 41100302, 41100303]
411004	[41100401, 41100402, 41100403]
411005	[41100501, 41100502, 41100503, 41100504]
411006	[41100601, 41100602, 41100603, 41100604, 41100605]
411007	[41100701, 41100702, 41100703, 41100704, 41100705]
411008	[41100801, 41100802, 41100803, 41100804, 41100805]
411009	[41100901, 41100902, 41100903, 41100904, 41100905, 41100906]
411010	[41101001, 41101002, 41101003, 41101004, 41101005, 41101006]
411011	[41101101, 41101102, 41101103, 41101104, 41101105, 41101106]
411012	[41101201, 41101202, 41101203, 41101204, 41101205, 41101206]
411013	[41101301, 41101302, 41101303, 41101304, 41101305, 41101306]
411014	[41101401, 41101402, 41101403, 41101404, 41101405, 41101406]
411015	[41101501, 41101502, 41101503, 41101504, 41101505, 41101506]
411016	[41101601, 41101602, 41101603, 41101604, 41101605, 41101606]
411017	[41101701, 41101702, 41101703, 41101704, 41101705, 41101706]
411018	[41101801, 41101802, 41101803, 41101804, 41101805, 41101806]
411019	[41101901, 41101902, 41101903, 41101904, 41101905, 41101906]
411020	[41102001, 41102002, 41102003, 41102004, 41102005, 41102006]
412001	[41200101, 41200102, 41200103, 41200104, 41200105]
412002	[41200201, 41200202, 41200203, 41200204]
412003	[41200301, 41200302, 41200303]
412004	[41200401, 41200402, 41200403, 41200404]
412005	[41200501, 41200502, 41200503, 41200504]
412006	[41200601, 41200602, 41200603, 41200604, 41200605]
412007	[41200701, 41200702, 41200703, 41200704, 41200705]
412008	[41200801, 41200802, 41200803, 41200804, 41200805]
412009	[41200901, 41200902, 41200903, 41200904, 41200905, 41200906]
412010	[41201001, 41201002, 41201003, 41201004, 41201005, 41201006]
412011	[41201101, 41201102, 41201103, 41201104, 41201105, 41201106]
412012	[41201201, 41201202, 41201203, 41201204, 41201205, 41201206]
412013	[41201301, 41201302, 41201303, 41201304, 41201305, 41201306]
412014	[41201401, 41201402, 41201403, 41201404, 41201405, 41201406]
412015	[41201501, 41201502, 41201503, 41201504, 41201505, 41201506]
412016	[41201601, 41201602, 41201603, 41201604, 41201605, 41201606]
412017	[41201701, 41201702, 41201703, 41201704, 41201705, 41201706]
412018	[41201801, 41201802, 41201803, 41201804, 41201805, 41201806]
412019	[41201901, 41201902, 41201903, 41201904, 41201905, 41201906]
412020	[41202001, 41202002, 41202003, 41202004, 41202005, 41202006]
501001	[50100101, 50100102, 50100103, 50100104, 50100105]
501002	[50100201, 50100202, 50100203, 50100204, 50100205]
501003	[50100301, 50100302, 50100303, 50100304, 50100305]
501004	[50100401, 50100402, 50100403, 50100404, 50100405]
501005	[50100501, 50100502, 50100503, 50100504, 50100505]
502001	[50200101, 50200102, 50200103, 50200104, 50200105]
502002	[50200201, 50200202, 50200203, 50200204, 50200205]
502003	[50200301, 50200302, 50200303, 50200304, 50200305]
502004	[50200401, 50200402, 50200403, 50200404, 50200405]
502005	[50200501, 50200502, 50200503, 50200504, 50200505]
502006	[50200601, 50200602, 50200603, 50200604, 50200605]
502007	[50200701, 50200702, 50200703, 50200704, 50200705]
503001	[50300101, 50300102, 50300103, 50300104, 50300105]
503002	[50300201, 50300202, 50300203, 50300204, 50300205]
503003	[50300301, 50300302, 50300303, 50300304, 50300305]
503004	[50300401, 50300402, 50300403, 50300404, 50300405]
503005	[50300501, 50300502, 50300503, 50300504, 50300505]
503006	[50300601, 50300602, 50300603, 50300604, 50300605]
503007	[50300701, 50300702, 50300703, 50300704, 50300705]
503008	[50300801, 50300802, 50300803, 50300804, 50300805]
503009	[50300901, 50300902, 50300903, 50300904, 50300905]
503010	[50301001, 50301002, 50301003, 50301004, 50301005]
504001	[50400101, 50400102, 50400103, 50400104, 50400105]
504002	[50400201, 50400202, 50400203, 50400204, 50400205]
504003	[50400301, 50400302, 50400303, 50400304, 50400305]
504004	[50400401, 50400402, 50400403, 50400404, 50400405]
504005	[50400501, 50400502, 50400503, 50400504, 50400505]
504006	[50400601, 50400602, 50400603, 50400604, 50400605]
504007	[50400701, 50400702, 50400703, 50400704, 50400705]
504008	[50400801, 50400802, 50400803, 50400804, 50400805]
504009	[50400901, 50400902, 50400903, 50400904, 50400905]
504010	[50401001, 50401002, 50401003, 50401004, 50401005]
505001	[50500101, 50500102, 50500103, 50500104, 50500105]
505002	[50500201, 50500202, 50500203, 50500204, 50500205]
505003	[50500301, 50500302, 50500303, 50500304, 50500305]
505004	[50500401, 50500402, 50500403, 50500404, 50500405]
505005	[50500501, 50500502, 50500503, 50500504, 50500505]
505006	[50500601, 50500602, 50500603, 50500604, 50500605]
505007	[50500701, 50500702, 50500703, 50500704, 50500705]
505008	[50500801, 50500802, 50500803, 50500804, 50500805]
505009	[50500901, 50500902, 50500903, 50500904, 50500905]
505010	[50501001, 50501002, 50501003, 50501004, 50501005]
506001	[50600101, 50600102, 50600103, 50600104, 50600105]
506002	[50600201, 50600202, 50600203, 50600204, 50600205]
506003	[50600301, 50600302, 50600303, 50600304, 50600305]
506004	[50600401, 50600402, 50600403, 50600404, 50600405]
506005	[50600501, 50600502, 50600503, 50600504, 50600505]
506006	[50600601, 50600602, 50600603, 50600604, 50600605]
506007	[50600701, 50600702, 50600703, 50600704, 50600705]
506008	[50600801, 50600802, 50600803, 50600804, 50600805]
506009	[50600901, 50600902, 50600903, 50600904, 50600905]
506010	[50601001, 50601002, 50601003, 50601004, 50601005]
506011	[50601101, 50601102, 50601103, 50601104, 50601105]
506012	[50601201, 50601202, 50601203, 50601204, 50601205]
506013	[50601301, 50601302, 50601303, 50601304, 50601305]
506014	[50601401, 50601402, 50601403, 50601404, 50601405]
506015	[50601501, 50601502, 50601503, 50601504, 50601505]
507001	[50700101, 50700102, 50700103, 50700104, 50700105]
507002	[50700201, 50700202, 50700203, 50700204, 50700205]
507003	[50700301, 50700302, 50700303, 50700304, 50700305]
507004	[50700401, 50700402, 50700403, 50700404, 50700405]
507005	[50700501, 50700502, 50700503, 50700504, 50700505]
507006	[50700601, 50700602, 50700603, 50700604, 50700605]
507007	[50700701, 50700702, 50700703, 50700704, 50700705]
507008	[50700801, 50700802, 50700803, 50700804, 50700805]
507009	[50700901, 50700902, 50700903, 50700904, 50700905]
507010	[50701001, 50701002, 50701003, 50701004, 50701005]
507011	[50701101, 50701102, 50701103, 50701104, 50701105]
507012	[50701201, 50701202, 50701203, 50701204, 50701205]
507013	[50701301, 50701302, 50701303, 50701304, 50701305]
507014	[50701401, 50701402, 50701403, 50701404, 50701405]
507015	[50701501, 50701502, 50701503, 50701504, 50701505]
508001	[50800101, 50800102, 50800103, 50800104, 50800105]
508002	[50800201, 50800202, 50800203, 50800204, 50800205]
508003	[50800301, 50800302, 50800303, 50800304, 50800305]
508004	[50800401, 50800402, 50800403, 50800404, 50800405]
508005	[50800501, 50800502, 50800503, 50800504, 50800505]
508006	[50800601, 50800602, 50800603, 50800604, 50800605]
508007	[50800701, 50800702, 50800703, 50800704, 50800705]
508008	[50800801, 50800802, 50800803, 50800804, 50800805]
508009	[50800901, 50800902, 50800903, 50800904, 50800905]
508010	[50801001, 50801002, 50801003, 50801004, 50801005]
508011	[50801101, 50801102, 50801103, 50801104, 50801105]
508012	[50801201, 50801202, 50801203, 50801204, 50801205]
508013	[50801301, 50801302, 50801303, 50801304, 50801305]
508014	[50801401, 50801402, 50801403, 50801404, 50801405]
508015	[50801501, 50801502, 50801503, 50801504, 50801505]
509001	[50900101, 50900102, 50900103, 50900104, 50900105]
509002	[50900201, 50900202, 50900203, 50900204, 50900205]
509003	[50900301, 50900302, 50900303, 50900304, 50900305]
509004	[50900401, 50900402, 50900403, 50900404, 50900405]
509005	[50900501, 50900502, 50900503, 50900504, 50900505]
509006	[50900601, 50900602, 50900603, 50900604, 50900605]
509007	[50900701, 50900702, 50900703, 50900704, 50900705]
509008	[50900801, 50900802, 50900803, 50900804, 50900805]
509009	[50900901, 50900902, 50900903, 50900904, 50900905]
509010	[50901001, 50901002, 50901003, 50901004, 50901005]
509011	[50901101, 50901102, 50901103, 50901104, 50901105]
509012	[50901201, 50901202, 50901203, 50901204, 50901205]
509013	[50901301, 50901302, 50901303, 50901304, 50901305]
509014	[50901401, 50901402, 50901403, 50901404, 50901405]
509015	[50901501, 50901502, 50901503, 50901504, 50901505]
509016	[50901601, 50901602, 50901603, 50901604, 50901605]
509017	[50901701, 50901702, 50901703, 50901704, 50901705]
509018	[50901801, 50901802, 50901803, 50901804, 50901805]
509019	[50901901, 50901902, 50901903, 50901904, 50901905]
509020	[50902001, 50902002, 50902003, 50902004, 50902005]
510001	[51000101, 51000102, 51000103, 51000104, 51000105]
510002	[51000201, 51000202, 51000203, 51000204, 51000205]
510003	[51000301, 51000302, 51000303, 51000304, 51000305]
510004	[51000401, 51000402, 51000403, 51000404, 51000405]
510005	[51000501, 51000502, 51000503, 51000504, 51000505]
510006	[51000601, 51000602, 51000603, 51000604, 51000605]
510007	[51000701, 51000702, 51000703, 51000704, 51000705]
510008	[51000801, 51000802, 51000803, 51000804, 51000805]
510009	[51000901, 51000902, 51000903, 51000904, 51000905]
510010	[51001001, 51001002, 51001003, 51001004, 51001005]
510011	[51001101, 51001102, 51001103, 51001104, 51001105]
510012	[51001201, 51001202, 51001203, 51001204, 51001205]
510013	[51001301, 51001302, 51001303, 51001304, 51001305]
510014	[51001401, 51001402, 51001403, 51001404, 51001405]
510015	[51001501, 51001502, 51001503, 51001504, 51001505]
510016	[51001601, 51001602, 51001603, 51001604, 51001605]
510017	[51001701, 51001702, 51001703, 51001704, 51001705]
510018	[51001801, 51001802, 51001803, 51001804, 51001805]
510019	[51001901, 51001902, 51001903, 51001904, 51001905]
510020	[51002001, 51002002, 51002003, 51002004, 51002005]
511001	[51100101, 51100102, 51100103, 51100104, 51100105]
511002	[51100201, 51100202, 51100203, 51100204, 51100205]
511003	[51100301, 51100302, 51100303, 51100304, 51100305]
511004	[51100401, 51100402, 51100403, 51100404, 51100405]
511005	[51100501, 51100502, 51100503, 51100504, 51100505]
511006	[51100601, 51100602, 51100603, 51100604, 51100605]
511007	[51100701, 51100702, 51100703, 51100704, 51100705]
511008	[51100801, 51100802, 51100803, 51100804, 51100805]
511009	[51100901, 51100902, 51100903, 51100904, 51100905]
511010	[51101001, 51101002, 51101003, 51101004, 51101005]
511011	[51101101, 51101102, 51101103, 51101104, 51101105]
511012	[51101201, 51101202, 51101203, 51101204, 51101205]
511013	[51101301, 51101302, 51101303, 51101304, 51101305]
511014	[51101401, 51101402, 51101403, 51101404, 51101405]
511015	[51101501, 51101502, 51101503, 51101504, 51101505]
511016	[51101601, 51101602, 51101603, 51101604, 51101605]
511017	[51101701, 51101702, 51101703, 51101704, 51101705]
511018	[51101801, 51101802, 51101803, 51101804, 51101805]
511019	[51101901, 51101902, 51101903, 51101904, 51101905]
511020	[51102001, 51102002, 51102003, 51102004, 51102005]
512001	[51200101, 51200102, 51200103, 51200104, 51200105]
512002	[51200201, 51200202, 51200203, 51200204, 51200205]
512003	[51200301, 51200302, 51200303, 51200304, 51200305]
512004	[51200401, 51200402, 51200403, 51200404, 51200405]
512005	[51200501, 51200502, 51200503, 51200504, 51200505]
512006	[51200601, 51200602, 51200603, 51200604, 51200605]
512007	[51200701, 51200702, 51200703, 51200704, 51200705]
512008	[51200801, 51200802, 51200803, 51200804, 51200805]
512009	[51200901, 51200902, 51200903, 51200904, 51200905]
512010	[51201001, 51201002, 51201003, 51201004, 51201005]
512011	[51201101, 51201102, 51201103, 51201104, 51201105]
512012	[51201201, 51201202, 51201203, 51201204, 51201205]
512013	[51201301, 51201302, 51201303, 51201304, 51201305]
512014	[51201401, 51201402, 51201403, 51201404, 51201405]
512015	[51201501, 51201502, 51201503, 51201504, 51201505]
512016	[51201601, 51201602, 51201603, 51201604, 51201605]
512017	[51201701, 51201702, 51201703, 51201704, 51201705]
512018	[51201801, 51201802, 51201803, 51201804, 51201805]
512019	[51201901, 51201902, 51201903, 51201904, 51201905]
512020	[51202001, 51202002, 51202003, 51202004, 51202005]
601001	[60100101, 60100102, 60100103, 60100104, 60100105]
601002	[60100201, 60100202, 60100203, 60100204, 60100205]
601003	[60100301, 60100302, 60100303, 60100304, 60100305]
601004	[60100401, 60100402, 60100403, 60100404, 60100405]
601005	[60100501, 60100502, 60100503, 60100504, 60100505]
602001	[60200101, 60200102, 60200103, 60200104, 60200105]
602002	[60200201, 60200202, 60200203, 60200204, 60200205]
602003	[60200301, 60200302, 60200303, 60200304, 60200305]
602004	[60200401, 60200402, 60200403, 60200404, 60200405]
602005	[60200501, 60200502, 60200503, 60200504, 60200505]
602006	[60200601, 60200602, 60200603, 60200604, 60200605]
602007	[60200701, 60200702, 60200703, 60200704, 60200705]
603001	[60300101, 60300102, 60300103, 60300104, 60300105]
603002	[60300201, 60300202, 60300203, 60300204, 60300205]
603003	[60300301, 60300302, 60300303, 60300304, 60300305]
603004	[60300401, 60300402, 60300403, 60300404, 60300405]
603005	[60300501, 60300502, 60300503, 60300504, 60300505]
603006	[60300601, 60300602, 60300603, 60300604, 60300605]
603007	[60300701, 60300702, 60300703, 60300704, 60300705]
603008	[60300801, 60300802, 60300803, 60300804, 60300805]
603009	[60300901, 60300902, 60300903, 60300904, 60300905]
603010	[60301001, 60301002, 60301003, 60301004, 60301005]
604001	[60400101, 60400102, 60400103, 60400104, 60400105]
604002	[60400201, 60400202, 60400203, 60400204, 60400205]
604003	[60400301, 60400302, 60400303, 60400304, 60400305]
604004	[60400401, 60400402, 60400403, 60400404, 60400405]
604005	[60400501, 60400502, 60400503, 60400504, 60400505]
604006	[60400601, 60400602, 60400603, 60400604, 60400605]
604007	[60400701, 60400702, 60400703, 60400704, 60400705]
604008	[60400801, 60400802, 60400803, 60400804, 60400805]
604009	[60400901, 60400902, 60400903, 60400904, 60400905]
604010	[60401001, 60401002, 60401003, 60401004, 60401005]
605001	[60500101, 60500102, 60500103, 60500104, 60500105]
605002	[60500201, 60500202, 60500203, 60500204, 60500205]
605003	[60500301, 60500302, 60500303, 60500304, 60500305]
605004	[60500401, 60500402, 60500403, 60500404, 60500405]
605005	[60500501, 60500502, 60500503, 60500504, 60500505]
605006	[60500601, 60500602, 60500603, 60500604, 60500605]
605007	[60500701, 60500702, 60500703, 60500704, 60500705]
605008	[60500801, 60500802, 60500803, 60500804, 60500805]
605009	[60500901, 60500902, 60500903, 60500904, 60500905]
605010	[60501001, 60501002, 60501003, 60501004, 60501005]
606001	[60600101, 60600102, 60600103, 60600104, 60600105]
606002	[60600201, 60600202, 60600203, 60600204, 60600205]
606003	[60600301, 60600302, 60600303, 60600304, 60600305]
606004	[60600401, 60600402, 60600403, 60600404, 60600405]
606005	[60600501, 60600502, 60600503, 60600504, 60600505]
