SpawnId	SpawnProbability	IsCheckLuck	IsCheckWave	SpawnMaxInterval	SpawnDistance	SpawnRange	SpawnMonsterId	SpawnMonsterNum
2		12	3	20001	1	30400101	10000	
	75	2	10	3	10001	3	30400102	10000
		1		10	3	10001	2	30400103
6000		1	125	2	12	3	30002	1
30400104	6000		1	1		10	3	10002
2	30400201	10000			75	2	10	3
10001	3	30400202	10000			1		10
3	10001	2	30400203	6000		1	125	2
12	3	30002	1	30400204	6000		1	1
	10	3	10002	2	30400301	10000		
75	2	10	3	10001	3	30400302	10000	
	1		10	3	10001	2	30400303	6000
	1	125	2	12	3	30002	1	30400304
6000		1	1		10	3	10002	2
30400401	10000			75	2	10	3	10001
3	30400402	10000			1		10	3
10001	2	30400403	6000		1	125	2	12
3	30002	1	30400404	6000		1	1	
10	3	10002	2	30400405	8000		1	1
	10	3	10003	2	30400501	10000		
75	2	10	3	10001	3	30400502	10000	
	1		10	3	10001	2	30400503	6000
	1	125	2	12	3	30002	1	30400504
6000		1	1		10	3	10002	2
30400505	8000		1	1		10	3	10003
2	30400601	10000			75	2	10	3
10001	3	30400602	10000			1		10
3	10001	2	30400603	6000		1	125	2
12	3	30002	1	30400604	6000		1	1
	10	3	10002	2	30400605	8000		1
1		10	3	10003	2	30400701	10000	
	75	2	10	3	10001	3	30400702	10000
		1		10	3	10001	2	30400703
6000		1	125	2	12	3	30002	1
30400704	8000		1	1		10	3	10003
2	30400801	10000			75	2	10	3
10001	3	30400802	10000			1		10
3	10001	2	30400803	6000		1	125	2
12	3	30002	1	30400804	8000		1	1
	10	3	10003	2	30500101	10000		
75	2	10	3	10001	3	30500102	10000	
	1		10	3	10001	2	30500103	6000
	1	1		10	3	10002	2	30500104
8000		1	1		10	3	10003	2
30500201	10000			75	2	10	3	10001
3	30500202	10000			1		10	3
10001	2	30500203	6000		1	1		10
3	10002	2	30500204	8000		1	1	
10	3	10003	2	30500301	10000			75
2	10	3	10001	3	30500302	10000		
1		10	3	10001	2	30500303	6000	
1	1		10	3	10002	2	30500304	8000
	1	1		10	3	10003	2	30500305
6000		1	15	1	12	3	20001	1
30500401	10000			75	2	10	3	10001
3	30500402	10000			1		10	3
10001	2	30500403	6000		1	1		10
3	10002	2	30500404	8000		1	1	
10	3	10003	2	30500405	6000		1	15
1	12	3	20001	1	30500501	10000		
75	2	10	3	10001	3	30500502	10000	
	1		10	3	10001	2	30500503	6000
	1	1		10	3	10002	2	30500504
8000		1	1		10	3	10003	2
30500505	6000		1	15	1	12	3	20001
1	30500601	10000			75	2	10	3
10001	3	30500602	10000			1		10
3	10001	2	30500603	6000		1	1	
10	3	10002	2	30500604	8000		1	1
	10	3	10003	2	30500605	6000		1
15	1	12	3	20001	1	30500701	10000	
	75	2	10	3	10001	3	30500702	10000
		1		10	3	10001	2	30500703
6000		1	1		10	3	10002	2
30500704	8000		1	1		10	3	10003
2	30500705	6000		1	15	1	12	3
20001	1	30500801	10000			75	2	10
3	10001	3	30500802	10000			1	
10	3	10001	2	30500803	6000		1	1
	10	3	10002	2	30500804	8000		1
1		10	3	10003	2	30500901	10000	
	75	2	10	3	10001	3	30500902	10000
		1		10	3	10001	2	30500903
6000		1	1		10	3	10002	2
30500904	8000		1	1		10	3	10003
2	30600101	10000			75	2	10	3
10001	3	30600102	10000			1		10
3	10001	2	30600103	6000		1	1	
10	3	10002	2	30600104	8000		1	1
	10	3	10003	2	30600201	10000		
75	2	10	3	10001	3	30600202	10000	
	1		10	3	10001	2	30600203	6000
	1	1		10	3	10002	2	30600301
10000			75	2	10	3	10001	3
30600302	10000			1		10	3	10001
2	30600303	6000		1	1		10	3
10002	2	30600401	10000			75	2	10
3	10001	3	30600402	10000			1	
10	3	10001	2	30600403	6000		1	1
	10	3	10002	2	30600501	10000		
75	2	10	3	10001	3	30600502	500	1
	1		10	3	10004	1	30600503	6000
	1	1		10	3	10002	2	30600601
10000			75	2	10	3	10001	3
30600602	10000			1		10	3	10001
2	30600603	6000		1	1		10	3
10002	2	30600604	8000		1	1		10
3	10003	2	30600701	10000			75	2
10	3	10001	3	30600702	10000			1
	10	3	10001	2	30600703	6000		1
1		10	3	10002	2	30600801	10000	
	75	2	10	3	10001	3	30600802	10000
		1		10	3	10001	2	30600803
6000		1	1		10	3	10002	2
30600901	10000			75	2	10	3	10001
3	30600902	10000			1		10	3
10001	2	30600903	6000		1	1		10
3	10002	2	30600904	8000		1	125	2
12	3	20001	1	30601001	10000			75
2	10	3	10001	3	30601002	10000		
1		10	3	10001	2	30601003	6000	
1	1		10	3	10002	2	30601004	8000
	1	125	2	12	3	20001	1	30700101
10000			75	2	10	3	10001	3
30700102	10000			1		10	3	10001
2	30700103	6000		1	1		10	3
10002	2	30700201	10000			75	2	10
3	10001	3	30700202	10000			1	
10	3	10001	2	30700203	6000		1	1
	10	3	10002	2	30700204	8000		1
1		10	3	10003	2	30700301	10000	
	75	2	10	3	10001	3	30700302	10000
		1		10	3	10001	2	30700303
6000		1	1		10	3	10002	2
30700401	10000			75	2	10	3	10001
3	30700402	10000			1		10	3
10001	2	30700403	6000		1	1		10
3	10002	2	30700404	4000		1	15	1
12	3	30001	1	30700501	10000			75
2	10	3	10001	3	30700502	10000		
1		10	3	10001	2	30700503	6000	
1	1		10	3	10002	2	30700504	4000
	1	15	1	12	3	30001	1	30700601
10000			75	2	10	3	10001	3
30700602	10000			1		10	3	10001
2	30700603	6000		1	1		10	3
10002	2	30700604	6000		1	15	1	12
3	20001	1	30700605	4000		1	15	1
12	3	30001	1	30700701	10000			75
2	10	3	10001	3	30700702	10000		
1		10	3	10001	2	30700703	6000	
1	1		10	3	10002	2	30700704	6000
	1	15	1	12	3	20001	1	30700705
4000		1	15	1	12	3	30001	1
30700706	8000		1	1		10	3	10003
2	30700801	10000			75	2	10	3
10001	3	30700802	10000			1		10
3	10001	2	30700803	6000		1	1	
10	3	10002	2	30700804	6000		1	15
1	12	3	20001	1	30700805	4000		1
15	1	12	3	30001	1	30700901	10000	
	75	2	10	3	10001	3	30700902	10000
		1		10	3	10001	2	30700903
6000		1	1		10	3	10002	2
30700904	6000		1	15	1	12	3	20001
1	30700905	4000		1	15	1	12	3
30001	1	30701001	10000			75	2	10
3	10001	3	30701002	10000			1	
10	3	10001	2	30701003	6000		1	1
	10	3	10002	2	30800101	10000		
5	1	10	3	10001	3	30800102	8000	
1	83	2	12	3	20001	1	30800103	10000
		67	2	10	3	10001	2	30800201
10000			5	1	10	3	10001	3
30800202	8000		1	83	2	12	3	20001
1	30800203	10000			67	2	10	3
10001	2	30800204	6000		1	67	2	10
3	10002	2	30800301	10000			5	1
10	3	10001	3	30800302	8000		1	83
2	12	3	20001	1	30800303	10000		
67	2	10	3	10001	2	30800304	10000	
	67	2	12	3	20001	1	30800305	6000
	1	67	2	10	3	10002	2	30800401
10000			5	1	10	3	10001	3
30800402	8000		1	83	2	12	3	20001
1	30800403	10000			67	2	10	3
10001	2	30800404	10000			67	2	12
3	20001	1	30800501	10000			5	1
10	3	10001	3	30800502	8000		1	83
2	12	3	20001	1	30800503	10000		
67	2	10	3	10001	2	30800504	10000	
	67	2	12	3	20001	1	30800601	10000
		5	1	10	3	10001	3	30800602
8000		1	83	2	12	3	20001	1
30800603	10000			67	2	12	3	20001
1	30800701	10000			5	1	10	3
10001	3	30800702	8000		1	83	2	12
3	20001	1	30800801	10000			5	1
10	3	10001	3	30800802	8000		1	83
2	12	3	20001	1	30800901	10000		
5	1	10	3	10001	3	30800902	8000	
1	83	2	12	3	20001	1	30801001	10000
		5	1	10	3	10001	3	30801002
8000		1	83	2	12	3	20001	1
30900101	10000			5	1	10	3	10001
3	30900102	10000			67	2	10	3
10001	2	30900201	10000			5	1	10
3	10001	3	30900202	10000			67	2
10	3	10001	2	30900203	4000		1	2
	12	3	50001	1	30900301	10000		
5	1	10	3	10001	3	30900302	10000	
	67	2	10	3	10001	2	30900401	10000
		5	1	10	3	10001	3	30900402
10000			67	2	10	3	10001	2
30900403	6000		1	67	2	10	3	10002
2	30900501	10000			5	1	10	3
10001	3	30900502	10000			67	2	10
3	10001	2	30900503	6000		1	1	
12	3	20001	1	30900601	10000			5
1	10	3	10001	3	30900602	10000		
67	2	10	3	10001	2	30900603	6000	
1	1		12	3	20001	1	30900604	4000
	1	2		12	3	50001	1	30900701
10000			5	1	10	3	10001	3
30900702	10000			67	2	10	3	10001
2	30900703	6000		1	1		12	3
20001	1	30900801	10000			5	1	10
3	10001	3	30900802	10000			67	2
10	3	10001	2	30900901	10000			5
1	10	3	10001	3	30900902	4000		1
2		12	3	50001	1	30901001	10000	
	5	1	10	3	10001	3	30901002	6000
	1	67	2	10	3	10002	2	30901101
10000			5	1	10	3	10001	3
30901102	6000		1	67	2	10	3	10002
2	30901201	10000			5	1	10	3
10001	3	30901202	4000		1	2		12
3	50001	1	30901301	10000			5	1
10	3	10001	3	30901401	10000			5
1	10	3	10001	3	30901402	8000		1
83	2	12	3	20001	1	30901403	4000	
1	2		12	3	50001	1	30901501	10000
		5	1	10	3	10001	3	40100101
10000			1		10	3	10001	3
40100102	10000			133	2	10	3	10001
2	40100103	10000			133	2	10	3
10001	1	40100104	8000		1	167	2	12
3	20001	1	40100201	10000			1	
10	3	10001	3	40100202	10000			133
2	10	3	10001	2	40100203	10000		
133	2	12	3	20001	1	40100204	8000	
1	167	2	12	3	20001	1	40100205	7000
	1	133	2	12	3	20003	1	40100301
10000			1		10	3	10001	3
40100302	10000			133	2	10	3	10001
2	40100303	10000			133	2	12	3
20001	1	40100304	8000		1	167	2	12
3	20001	1	40100305	7000		1	133	2
12	3	20003	1	40100401	10000			1
	10	3	10001	3	40100402	10000		
133	2	10	3	10001	2	40100403	10000	
	133	2	12	3	20001	1	40100404	8000
	1	167	2	12	3	20001	1	40100405
7000		1	133	2	12	3	20003	1
40100501	10000			1		10	3	10001
3	40100502	10000			133	2	10	3
10001	2	40100503	10000			133	2	12
3	20001	1	40100504	7000		1	133	2
12	3	20003	1	40200101	10000			1
	10	3	10001	3	40200102	10000		
133	2	10	3	10001	2	40200103	10000	
	133	2	10	3	10001	1	40200104	8000
	1	167	2	12	3	20001	1	40200201
10000			1		10	3	10001	3
40200202	10000			133	2	10	3	10001
2	40200203	8000		1	167	2	12	3
20001	1	40200301	10000			1		10
3	10001	3	40200302	10000			133	2
10	3	10001	2	40200303	10000			133
2	12	3	20001	1	40200304	8000		1
167	2	12	3	20001	1	40200401	10000	
	1		10	3	10001	3	40200402	10000
		133	2	10	3	10001	2	40200403
10000			133	2	12	3	20001	1
40200404	8000		1	167	2	12	3	20001
1	40200501	10000			1		10	3
10001	3	40200502	10000			133	2	10
3	10001	2	40200503	10000			133	2
12	3	20001	1	40200504	7000		1	133
2	12	3	20003	1	40200601	10000		
1		10	3	10001	3	40200602	10000	
	133	2	10	3	10001	2	40200603	10000
		133	2	12	3	20001	1	40200604
7000		1	133	2	12	3	20003	1
40200701	10000			133	2	10	3	10001
2	40200801	10000			133	2	10	3
10001	2	40300101	10000			1		10
3	10001	3	40300102	10000			133	2
10	3	10001	2	40300103	10000			133
2	10	3	10002	2	40300104	6000		1
133	2	10	3	10002	2	40300105	8000	
1	167	2	12	3	20001	1	40300201	10000
		1		10	3	10001	3	40300202
10000			133	2	10	3	10001	2
40300203	10000			133	2	10	3	10002
2	40300204	6000		1	133	2	10	3
10002	2	40300205	10000			133	2	10
3	10001	1	40300206	8000		1	167	2
12	3	20001	1	40300207	6000		1	167
2	12	3	30003	1	40300301	10000		
1		10	3	10001	3	40300302	10000	
	133	2	10	3	10001	2	40300303	10000
		133	2	10	3	10002	2	40300304
6000		1	133	2	10	3	10002	2
40300305	10000			133	2	12	3	20001
1	40300306	8000		1	167	2	12	3
20001	1	40300401	10000			1		10
3	10001	3	40300402	10000			133	2
10	3	10001	2	40300403	10000			133
2	10	3	10002	2	40300404	6000		1
133	2	10	3	10002	2	40300405	10000	
	133	2	12	3	20001	1	40300406	8000
	1	167	2	12	3	20001	1	40300501
10000			1		10	3	10001	3
40300502	10000			133	2	10	3	10001
2	40300503	10000			133	2	12	3
20001	1	40300504	8000		1	167	2	12
3	20001	1	40300505	7000		1	133	2
12	3	20003	1	40300601	10000			1
	10	3	10001	3	40300602	10000		
133	2	10	3	10001	2	40300603	10000	
	133	2	12	3	20001	1	40300604	8000
	1	167	2	12	3	20001	1	40300605
7000		1	133	2	12	3	20003	1
40300701	10000			1		10	3	10001
3	40300702	10000			133	2	10	3
10001	2	40300703	6000		1	1		10
3	10003	3	40300704	10000			133	2
12	3	20001	1	40300705	8000		1	167
2	12	3	20001	1	40300706	7000		1
133	2	12	3	20003	1	40300801	10000	
	1		10	3	10001	3	40300802	10000
		133	2	10	3	10001	2	40300803
6000		1	1		10	3	10003	3
40300804	10000			133	2	12	3	20001
1	40300805	8000		1	167	2	12	3
20001	1	40300806	7000		1	133	2	12
3	20003	1	40300901	10000			1	
10	3	10001	3	40300902	10000			133
2	10	3	10001	2	40300903	6000		1
1		10	3	10003	3	40300904	10000	
	133	2	12	3	20001	1	40300905	8000
	1	167	2	12	3	20001	1	40300906
7000		1	133	2	12	3	20003	1
40301001	10000			1		10	3	10001
3	40301002	10000			133	2	10	3
10001	2	40301003	6000		1	1		10
3	10003	3	40301004	10000			133	2
12	3	20001	1	40301005	8000		1	167
2	12	3	20001	1	40301006	7000		1
133	2	12	3	20003	1	40400101	10000	
	3		12	3	50001	1	40400102	10000
		75	2	10	3	10001	3	40400103
10000			1		10	3	10001	2
40400104	8000		1	125	2	12	3	20001
1	40400201	10000			75	2	10	3
10001	3	40400202	10000			1		10
3	10001	2	40400203	10000			75	2
12	3	20001	2	40400204	8000		1	125
2	12	3	20001	1	40400301	10000		
75	2	10	3	10001	3	40400302	10000	
	1		10	3	10001	2	40400303	10000
		75	2	12	3	20001	2	40400304
8000		1	125	2	12	3	20001	1
40400305	7000		1	125	2	12	3	30001
2	40400401	5000		1	3		12	10
50001	2	40400402	10000			75	2	10
3	10001	3	40400403	10000			1	
10	3	10001	2	40400404	10000			75
2	12	3	20001	2	40400405	8000		1
125	2	12	3	20001	1	40400501	10000	
	75	2	10	3	10001	3	40400502	10000
		1		10	3	10001	2	40400503
10000			75	2	12	3	20001	2
40400504	10000			1		12	3	20003
1	40400505	8000		1	125	2	12	3
20001	1	40400506	7000		1	1		12
3	20003	1	40400601	10000			75	2
10	3	10001	3	40400602	10000			1
	10	3	10001	2	40400603	10000		
1		10	3	10002	2	40400604	8000	
1	1		10	3	10003	2	40400605	10000
		75	2	12	3	20001	2	40400606
10000			1		12	3	20003	1
40400607	8000		1	125	2	12	3	20001
1	40400608	7000		1	1		12	3
20003	1	40400701	5000		1	3		12
10	50001	2	40400702	10000			75	2
10	3	10001	3	40400703	10000			1
	10	3	10001	2	40400704	10000		
1		10	3	10002	2	40400705	8000	
1	1		10	3	10003	2	40400706	10000
		75	2	12	3	20001	2	40400707
10000			1		12	3	20003	1
40400708	8000		1	125	2	12	3	20001
1	40400709	7000		1	1		12	3
20003	1	40400801	10000			75	2	10
3	10001	3	40400802	10000			1	
10	3	10001	2	40400803	10000			1
	10	3	10002	2	40400804	8000		1
1		10	3	10003	2	40400805	10000	
	75	2	12	3	20001	2	40400806	10000
		1		12	3	20003	1	40400807
8000		1	125	2	12	3	20001	1
40400808	7000		1	1		12	3	20003
1	40400901	10000			75	2	10	3
10001	3	40400902	10000			1		10
3	10001	2	40400903	10000			1	
10	3	10002	2	40400904	8000		1	1
	10	3	10003	2	40400905	10000		
75	2	12	3	20001	2	40400906	10000	
	1		12	3	20003	1	40400907	8000
	1	125	2	12	3	20001	1	40400908
7000		1	1		12	3	20003	1
40401001	10000			75	2	10	3	10001
3	40401002	10000			1		10	3
10001	2	40401003	10000			1		10
3	10002	2	40401004	8000		1	1	
10	3	10003	2	40401005	10000			75
2	12	3	20001	2	40401006	10000		
1		12	3	20003	1	40401007	8000	
1	125	2	12	3	20001	1	40401008	7000
	1	1		12	3	20003	1	40500101
10000			75	2	10	3	10001	4
40500102	10000			1		10	3	10001
3	40500103	6000		1	1		10	3
10002	2	40500104	10000			1		10
3	10001	1	40500105	8000		1	125	2
12	3	20001	1	40500106	6000		1	15
1	12	3	20001	1	40500107	4000		1
15	1	12	3	30001	1	40500201	10000	
	75	2	10	3	10001	4	40500202	10000
		1		10	3	10001	3	40500203
6000		1	1		10	3	10002	2
40500204	10000			1		10	3	10001
1	40500205	8000		1	125	2	12	3
20001	1	40500206	6000		1	15	1	12
3	20001	1	40500301	10000			75	2
10	3	10001	4	40500302	10000			1
	10	3	10001	3	40500303	6000		1
1		10	3	10002	2	40500304	10000	
	1		10	3	10001	1	40500305	10000
		1		12	3	20001	1	40500306
8000		1	125	2	12	3	20001	1
40500307	6000		1	15	1	12	3	20001
1	40500308	6000		1	125	2	12	3
30003	1	40500401	10000			75	2	10
3	10001	4	40500402	10000			1	
10	3	10001	3	40500403	6000		1	1
	10	3	10002	2	40500404	10000		
1		10	3	10001	1	40500405	10000	
	1		12	3	20001	1	40500406	8000
	1	125	2	12	3	20001	1	40500407
6000		1	15	1	12	3	20001	1
40500501	10000			75	2	10	3	10001
4	40500502	10000			1		10	3
10001	3	40500503	6000		1	1		10
3	10002	2	40500504	10000			1	
10	3	10001	1	40500505	10000			1
	12	3	20001	1	40500506	8000		1
125	2	12	3	20001	1	40500507	7000	
1	1		12	3	20003	1	40500508	6000
	1	15	1	12	3	20001	1	40500601
10000			75	2	10	3	10001	4
40500602	10000			1		10	3	10001
3	40500603	10000			1		10	3
10001	1	40500604	10000			1		12
3	20001	1	40500605	8000		1	125	2
12	3	20001	1	40500606	7000		1	1
	12	3	20003	1	40500607	6000		1
15	1	12	3	20001	1	40500608	5000	
1	125	2	12	3	30003	2	40500701	10000
		75	2	10	3	10001	4	40500702
10000			1		10	3	10001	3
40500703	10000			1		10	3	10002
2	40500704	10000			1		10	3
10001	1	40500705	10000			1		12
3	20001	1	40500706	8000		1	125	2
12	3	20001	1	40500707	7000		1	1
	12	3	20003	1	40500708	6000		1
15	1	12	3	20001	1	40500801	10000	
	75	2	10	3	10001	4	40500802	10000
		1		10	3	10001	3	40500803
10000			1		10	3	10002	2
40500804	6000		1	75	2	10	3	10003
3	40500805	10000			1		12	3
20001	1	40500806	8000		1	125	2	12
3	20001	1	40500807	7000		1	1	
12	3	20003	1	40500808	6000		1	15
1	12	3	20001	1	40500901	10000		
75	2	10	3	10001	4	40500902	10000	
	1		10	3	10001	3	40500903	10000
		1		10	3	10002	2	40500904
6000		1	75	2	10	3	10003	3
40500905	10000			1		12	3	20001
1	40500906	8000		1	125	2	12	3
20001	1	40500907	7000		1	1		12
3	20003	1	40500908	6000		1	15	1
12	3	20001	1	40501001	10000			75
2	10	3	10001	4	40501002	10000		
1		10	3	10001	3	40501003	10000	
	1		10	3	10002	2	40501004	10000
		1		12	3	20001	1	40501005
8000		1	125	2	12	3	20001	1
40501006	7000		1	1		12	3	20003
1	40501007	6000		1	15	1	12	3
20001	1	40600101	4000		1	3		12
3	50001	1	40600102	10000			75	2
10	3	10001	4	40600103	10000			1
	10	3	10001	3	40600104	6000		1
1		10	3	10002	2	40600105	8000	
1	125	2	12	3	20001	1	40600106	6000
	1	15	1	12	3	20001	1	40600201
10000			75	2	10	3	10001	4
40600202	10000			1		10	3	10001
3	40600203	6000		1	1		10	3
10002	2	40600204	8000		1	125	2	12
3	20001	1	40600205	6000		1	15	1
12	3	20001	1	40600301	10000			75
2	10	3	10001	4	40600302	10000		
1		10	3	10001	3	40600303	6000	
1	1		10	3	10002	2	40600304	8000
	1	125	2	12	3	20001	1	40600305
6000		1	15	1	12	3	20001	1
40600401	10000			75	2	10	3	10001
4	40600402	10000			1		10	3
10001	3	40600403	6000		1	1		10
3	10002	2	40600404	10000			1	
12	3	20001	1	40600405	8000		1	125
2	12	3	20001	1	40600406	6000		1
15	1	12	3	20001	1	40600501	10000	
	75	2	10	3	10001	4	40600502	500
1		1		10	3	10004	1	40600503
6000		1	1		10	3	10002	2
40600504	10000			1		12	3	20001
1	40600505	8000		1	125	2	12	3
20001	1	40600506	6000		1	15	1	12
3	20001	1	40600601	10000			75	2
10	3	10001	4	40600602	10000			1
	10	3	10001	3	40600603	6000		1
1		10	3	10002	2	40600604	10000	
	1		12	3	20001	1	40600605	8000
	1	125	2	12	3	20001	1	40600606
6000		1	15	1	12	3	20001	1
40600701	10000			75	2	10	3	10001
4	40600702	10000			1		10	3
10001	3	40600703	10000			1		12
3	20001	1	40600704	8000		1	125	2
12	3	20001	1	40600801	10000			75
2	10	3	10001	4	40600802	10000		
1		10	3	10001	3	40600803	10000	
	75	2	12	3	20001	2	40600804	10000
		1		12	3	20001	1	40600805
8000		1	125	2	12	3	20001	1
40600806	7000		1	1		12	3	20003
1	40600901	10000			75	2	10	3
10001	4	40600902	10000			1		10
3	10001	3	40600903	6000		1	75	2
10	3	10003	3	40600904	10000			75
2	12	3	20001	2	40600905	10000		
1		12	3	20001	1	40600906	8000	
