Id	GroupId	OptionDesc	OptionDownDesc	OptionIcon	OptionType	OptionItemType	OptionItemId	OptionItemCount	OptionNextStepGroupId	OptionCondition	OptionShowCondition	QuantumEffectShowType
60	100101	就地回收工具箱			3				10010102			
61	100102	拆下它的显示屏			3				10010201			
62	100102	原路返回			3				10010202			
63	100201	去花园里浇水			3				10020101			
64	100201	拿着芯片离开			3				10020102			
65	100201	去书房看一看			3				10020103			
66	101101	近距离观赏断臂维纳斯			3				10110101			
67	101101	近距离观赏大卫的仿品			3				10110102			
68	101103	取走胶囊			3				10110301			
69	101103	保持原样			3				10110302			
70	200103	检视高大的熊布偶			3				20010301			
71	200103	检视护士装的人形			3				20010302			
72	200103	转头看向自己背后			3				20010303			
73	200201	拿出一些算力单元给他			1	1	{1: 96189}	{1: 70}	20020101			
74	200201	拒绝交换，就此离开			3				20020102			
75	201101	拒绝展示胶囊			3				20110101			
76	201101	展示胶囊			3				20110102			
77	201102	收起胶囊离开			3				20110201			
78	201102	接过水咽下胶囊			1	2	{1: 2004}	{1: 1}	20110202			
79	201202	帮助他			3				20120201			
80	201202	抛下他			3				20120202			
81	201302	带女孩回去找她弟弟			3				20130201			
82	201302	询问女孩昆虫的品种			3				20130202			
83	300101	剪断电源线解救它			3				30010101			
84	300101	优先启动档案库			3				30010102			
85	300201	接入游戏机终端			3				30020101			
86	300201	取走游戏机的芯片			3				30020102			
87	300301	打开实验日志阅读			3				30030101			
88	300301	翻走口袋中的金币			3				30030102			
89	301103	进入战斗			3				30110301			
90	301103	逃离这里			3				30110302			
91	301202	撕开巨幅油画			3				30120201			
92	301202	先原地睡一觉			3				30120202			
93	301302	不理会可怜的男人			3				30130201			
94	301302	询问他关于怪物的事			3				30130202			
95	301304	替男人继续追踪怪物			3				30130401			
96	301304	简单安慰对方后离开			3				30130402			
97	301402	调查耍蝴蝶刀的灰发男孩			3				30140201			
98	301402	调查缩在墙角的紫发少女			3				30140202			
99	301402	调查活泼开朗的粉发莉莉			3				30140203			
100	301502	拒绝莉莉的请求			3				30150201			
101	301502	接受莉莉的请求			1	1	{1: 96189}	{1: 150}	30150202			
102	400101	接受少女的好意			3				40010101			
103	400101	掀开少女的面纱			3				40010102			
104	400101	提起树的死亡			3				40010103		1020229	
105	400105	询问她发生了什么			3				40010501			
106	400105	不再过问转身离开			3				40010502			
107	400106	接受祷告			3				40010601			
108	400106	拒绝她			3				40010602			
109	400111	制服对方			3				40011101			
110	400111	向她道歉			3				40011102			
111	400202	让她试试			3				40020201			
112	400202	离开这里			3				40020202			
113	400203	用尽全力拉回绳子			3				40020301			
114	400203	相信洁塔薇能独自处理			3				40020302			
115	400302	关于旅行者的故事			3				40030201			
116	400302	关于背叛者的故事			3				40030202			
117	400302	不听			3				40030203			
118	400401	拿出一些算力单元给他			1	1	{1: 96189}	{1: 100}	40040101			
119	400401	拒绝交换，就此离开			3				40040102			
120	401102	跟她道歉			3				40110201			
121	401102	朝她挥拳			3				40110202			
122	401202	接受她的祝福			3				40120201			
123	401202	拒绝她的祝福			3				40120202			
124	401302	接受洁塔薇的建议			3				40130201			
125	401302	毫不犹豫转身离开			3				40130202			
126	401402	消除恐惧的最好方法就是面对它！			3				40140201			
127	401402	将宝物抛向一旁			1	2	{1: 2007}	{1: 1}	40140202			
128	500102	调查机器人的芯片			3				50010201			
129	500102	调查观星台的系统			3				50010202			
130	500202	答应他的请求			3				50020201			
131	500202	拒绝他的请求			3				50020202			
132	500202	告诉罗伯特真相			3				50020203		1020228	
133	500302	花钱向对方买诗			3				50030201			
134	500302	卖诗给对方赚钱			3				50030202			
135	501102	即使是无数次，这就是我站在这里的原因			3				50110201			
136	501102	重复的失败不会诞生奇迹，放弃进入门扉			3				50110202			
137	501202	直面强敌			3				50120201			
138	501202	临阵脱逃			3				50120202			
139	100302	油画散发的香气			3				10030201			
140	100302	场馆播放的歌曲			3				10030202			
141	100302	夜里撒入的月光			3				10030203			
142	101203	绝境的希望			3				10120301			
143	101203	童话的幻灭			3				10120302			
144	101204	上前取下纸条			3				10120401			
145	101204	转身去追女人			3				10120402			
146	200302	去看看保险柜			3				20030201			
147	200302	去调查储物间			3				20030202			
148	200402	挖掘			3				20040201			
149	200402	离开			3				20040202			
150	200404	搜索坟场周边			3				20040401			
151	200404	搜索坟场后院			3				20040402			
152	200404	搜索水井			3				20040403			
153	200405	安葬骸骨			3				20040501			
154	200405	继续搜索			3				20040502			
155	200503	先吃紫里透红的兔肉火锅			3				20050301			
156	200503	先吃五彩斑斓的蘑菇拼盘			3				20050302			
157	200503	先吃不可名状的爆炒时蔬			3				20050303			
158	201402	挺身迎击			3				20140201			
159	201402	转身逃离			3				20140202			
160	201402	拿出孤儿院工作证			2	2	{1: 2011}	{1: 1}	20140203			
161	201407	将工作证交给她。			1	2	{1: 2011}	{1: 1}	20140701			
162	201407	保持沉默			3				20140702			
163	300402	这是工作人员愚蠢的失误			3				30040201			
164	300402	这是一场布局精妙的谋杀			3				30040202			
165	301603	寻找安全区			3				30160301			
166	301603	注射血清（迎接战斗）			1	2	{1: 2015}	{1: 1}	30160302			
167	301604	出示实验室工作证			2	2	{1: 2017}	{1: 1}	30160401			
168	301604	转身准备战斗			3				30160402			
169	301702	进入里面			3				30170201			
170	301702	转身离开			3				30170202			
171	301703	不顾一切取走资料集			3				30170301			
172	301703	静待火焰燃尽			3				30170302			
173	401502	冒险进入其中			3				40150201			
174	401502	向里面丢石子			3				40150202			
175	401503	试图冲过去夺下			3				40150301			
176	401503	让洁塔薇跑起来			1	2	{1: 2018}	{1: 1}	40150302		1020112	
177	500402	询问游民“洁塔薇”用的武器			3				50040201			
178	500402	询问游民“洁塔薇”说了什么			3				50040202			
179	500403	施舍物资			1	1	{1: 96189}	{1: 100}	50040301			
180	500403	转身离开			3				50040302			
181	501302	将手中的数据结晶摆到镜前			1	2	{1: 2021}	{1: 1}	50130201		1020113	
182	501302	将血滴石放入镜子的凹槽中			1	2	{1: 2020}	{1: 1}	50130202			
183	501302	让洁塔薇看看			3				50130203			
184	501309	补给			3				50130901			
185	501309	保持沉默			3				50130902			
186	501309	100个愿望			3				50130903			
187	9000102	继续靠近			3				900010201			2
188	9000102	萌生退意			3				900010202			
189	9000103	强制启动（跳过剧情）			3				900010301		1020224	2
190	9000103	进行观测			3				900010302			2
191	9000203	调整状态（装备位置调整）			3				900020301			
192	9000203	直接出发			3				900020302			
193	9000303	休整状态（装备位置调整）			3				900030301			
194	9000303	直接离开			3				900030302			
195	9000402	进入工坊（装备定向重铸）			3				900040201			
196	9000402	原地休整（装备位置调整）			3				900040202			
197	9000503	读取数据			3				900050301		1020232	2
198	9000503	读取数据			3				900050302		1020233	
199	9000503	拒绝			3				900050303			
200	9000603	读取数据			3				900060301		1020232	2
201	9000603	读取数据			3				900060302		1020233	
202	9000603	拒绝			3				900060303			
203	9000703	读取数据			3				900070301			1
204	9000703	拒绝			3				900070302			
205	9001003	开枪			3				900100301			
206	9001105	休整状态（装备位置调整）			3				900110501			
207	9001105	直接出发			3				900110502			
208	9001202	使用武器			3				900120201			
209	9001202	拿出<color=#ff6767>「超限秘钥」</color>			2	2	{1: 9005}	{1: 1}	900120202			
210	9001203	高速突进			3				900120301			
211	9001204	投掷秘钥			3				900120401			
212	9001204	收起秘钥			3				900120402			
213	30502	拿出<color=#b73a3a>「黑桃皇后」</color>			2	2	{1: 9003}	{1: 1}	3050201			
214	30502	呼喊洁塔薇躲开			3				3050202			
215	30507	莉莉，你究竟是谁？			3				3050203			
216	30606	休整状态（装备位置调整）			3				3060601			
217	30606	直接出发			3				3060602			
218	70104	别挡道			3				7010401			
219	70104	门后面是中枢吗？			3				7010402			
220	9001302	接受交换			3				900130201			2
221	9001302	拒绝交换			3				900130202			
222	9001303	借给商人			1	2	{1: 9003}	{1: 1}	900130301			2
223	9001303	换取报酬			1	2	{1: 9003}	{1: 1}	900130302		1020235	
224	9001303	拒绝请求			3				900130303			
225	30703	收下卡牌			3				3070301			
226	30703	拿出投影仪			1	2	{1: 9001}	{1: 1}	3070302		1020341	
227	30703	离开这里			3				3070303			
228	9001403	交出「红桃皇后」和「黑桃皇后」			1	2	{1: 9004, 2: 9003}	{1: 1, 2: 1}	900140301			2
229	9001403	交出两张「黑桃皇后」			1	2	{1: 9003}	{1: 2}	900140302			2
230	9001403	拒绝交换			3				900140303			
231	9210002	发动奇袭			3				921000201			
232	9210002	邀请怪物和自己对决			3				921000202			2
233	9210005	先发制人（<color=#ff6767>小概率成功</color>）			3				921000501			2
234	9210005	公平对决			3				921000502			2
235	210002	转动齿轮			3				21000201			1
236	210002	离开这里			3				21000202			
237	9310001	选择三号门			3				931000101			
238	9310001	选择七号门			3				931000102			
239	9310001	选择九号门			3				931000103			2
240	9310002	答应交出芯片			1	1	{1: 96189}	{1: 50}	931000201			
241	9310002	暴力打开门扉			3				931000202			
242	9310006	答应			1	1	{1: 96189}	{1: 50}	931000601			
243	9310006	放弃武器			3				931000602			
244	9310009	释放怪物			3				931000901			2
245	9310009	拒绝怪物			3				931000902			
246	9410002	停下数数转过头			3				941000201			
247	9410002	遵守约定数完数			3				941000202			2
248	9410003	朝天空开枪			3				941000301			
249	9410003	默默收起枪			3				941000302			
250	9510002	转动齿轮			3				951000201			2
251	9510002	离开这里			3				951000202			
252	310002	进入公馆			3				31000201			
253	310002	追逐火焰			3				31000202			1
254	310004	填入夜明珠			3				31000401			
255	310004	填入奇石			3				31000402			
256	310007	观察月亮的方向			3				31000701			
257	310007	观察公馆的方向			3				31000702			1
258	410001	使用复合弓			3				41000101			
259	410001	找点吃的来试试			3				41000102			1
260	410003	使用复合弓			3				41000301			
261	410003	驻足欣赏			3				41000302			1
262	510001	步入斗兽场中央			3				51000102			1
263	510001	赶紧离开这里			3				51000101			
264	510005	先发制人（<color=#b73a3a>小概率成功</color>）			3				51000501			1
265	510005	静待时机			3				51000502			1
266	9200102	优先击倒邪教成员			3				920010201			
267	9200102	优先解救被困少女			3				920010202			
268	9200105	带着少女离开			3				920010501			
269	9200105	让少女接受教徒拥戴			3				920010502			
270	9200202	调查机器人的芯片			3				920020201			
271	9200202	调查观星台的系统			3				920020202			
272	9200203	插入新的芯片			3				920020303			
273	9200203	取走损坏芯片			3				920020304			
274	9200302	花费时间消灭怪物			3				920030201			
275	9200302	摆脱游民赶路			3				920030202			
276	9300101	杀死巨树			3				930010101			
277	9300101	开导少女			3				930010102			
278	9300201	给巨鼠些吃的			3				930020101			
279	9300201	举枪对准巨鼠			3				930020102			
280	9300201	尝试与它沟通			3				930020103			
281	9300302	「与天选者的相遇」			3				930030201			
282	9300302	「天选者消失那天」			3				930030202			
283	9300302	合上日记			3				930030203			
284	9400101	接入该游戏机进行游玩			3				940010101			
285	9400101	尝试对游戏机进行编程			3				940010102			
286	9400201	开枪击退两头感染体			3				940020101			
287	9400201	询问科学家在做什么			3				940020102			
288	9400301	向她索要酬金			3				940030101			
289	9400301	拒绝她的请求			3				940030102			
290	9500101	开枪解决感染体			3				950010101			
291	9500101	提高武器输出功率			3				950010102			
292	9500102	查看向导机器人			3				950010201			
293	9500102	回收感染体的零件			3				950010202			
294	9500201	看向高大的熊布偶			3				950020101			
295	9500201	看向护士装的人形			3				950020102			
296	9500201	转头看向自己背后			3				950020103			
297	9500302	去小花园调查			3				950030201			
298	9500302	去图书馆调查			3				950030202			
299	9500304	随意输入密码			3				950030401			
300	9500304	依靠第六感			3				950030402		1020231	
301	9500401	射击大的捕虫袋			3				950040101			
302	9500401	射击小的捕虫袋			3				950040102			
303	9500401	直接射杀猪笼草			3				950040103			
304	9500502	让他交出物资			3				950050201			
305	9500502	让他带路			3				950050202			
306	9201101	推门而入			3				920110101			
307	9201101	询问少女			3				920110102			
308	9201102	献上祭品			3				920110201			
309	9201102	摧毁祭坛			3				920110202			
310	9301102	直接攻击信号源			3				930110201			
311	9301102	不动声色			3				930110202			
312	9401101	前进			3				940110101			
313	9401101	歇息			3				940110102			
314	9401102	观察四周			3				940110201			
315	9401102	使用武器			3				940110202			
316	9401103	献上「双眼」			1	2	{1: 9017}	{1: 2}	940110301			
317	9401103	撕下巨画			3				940110302			
318	9201202	协助黑衣人			3				920120201			
319	9201202	从正面进入圣殿			3				920120202			
320	9201203	用拳开路			3				920120301			
321	9201203	朝天鸣枪			3				920120302			
322	9201207	退出圣殿			3				920120701			
323	9201207	开枪			3				920120702			
324	9301201	解救羔羊			3				930120101			
325	9301201	捉住羔羊			3				930120102			
326	9301202	花钱买下羔羊			1	1	{1: 96189}	{1: 100}	930120201			
327	9301202	拿出武器			3				930120202			
328	9301207	伊甸园			3				930120701			
329	9301207	毒蛇			3				930120702			
330	9401203	出示信物			2	2	{1: 9020, 2: 9021}	{1: 1, 2: 1}	940120301			
331	9401203	拒绝交出			3				940120302			
332	9301302	射击怪物			3				930130201			
333	9301302	继续观察			3				930130202			
334	9401301	答应帮忙			3				940130101			
335	9401301	留下武器			3				940130102			
336	9401302	拿出「血液样本」			1	2	{1: 9023}	{1: 1}	940130201			
337	9401302	尝试自己制备			3				940130202			
338	9501101	调查雕塑区			3				950110101			
339	9501101	调查画廊			3				950110102			
340	9501107	准备战斗			3				950110701			
341	9501107	使用工作证			2	2	{1: 9024}	{1: 1}	950110702			
342	9301402	接受挑战			3				930140201			
343	9301402	拒绝挑战			3				930140202			
344	9401402	打招呼			3				940140201			
345	9401402	询问出口			3				940140202			
346	9401403	想学			1	1	{1: 96189}	{1: 100}	940140301			
347	9401403	不想学			3				940140302			
348	9501202	发起挑战			3				950120201			
349	9501202	拒绝挑战			3				950120202			
350	9201302	寻找虚空商人			3				920130201			
351	9201302	寻找异界通讯点			3				920130202			
352	9201304	支付芯片			1	1	{1: 96189}	{1: 100}	920130401			
353	9201304	离开			3				920130402			
354	301802	接受请求			3				30180201			
355	301802	离开			3				30180202			
356	9401501	开枪			3				940150101			
357	9401501	保护机器			3				940150102			
358	9001501	进入裂痕			3				900150101			
359	9001501	离开			3				900150102			
360	9001503	查询关键变量			3				900150301			
361	9001503	查询出口			3				900150302			
362	9001601	尝试启动			2	2	{1: 9034}	{1: 1}	900160101			
363	9001602	开枪			3				900160201			
364	9001602	尝试沟通			3				900160202			
365	9001705	休整状态（装备位置调整）			3				900170501			
366	9001705	直接出发			3				900170502			
367	30802	谨慎观察			2	2	{1: 2005}	{1: 1}	3080201			
368	30802	冒险进入			2	2	{1: 9031}	{1: 1}	3080202			
369	30802	离开			3				3080203			
370	30804	拒绝			3				3080401			
371	50302	拿出秘钥			1	2	{1: 2005, 2: 9005}	{1: 1, 2: 1}	5030201			
372	80102	拉住洁塔薇			2	2	{1: 9035}	{1: 1}	8010201			
373	9001904	休整状态（装备位置调整）			3				900190401			
374	9001904	直接出发			3				900190402			
375	9002002	检查邀请函			2	2	{1: 9032, 2: 9033}	{1: 1, 2: 1}	900200201			
376	9002002	交出邀请函			2	2	{1: 9032}	{1: 1}	900200202			
377	9002002	交出一些算力单元			1	1	{1: 96189}	{1: 100}	900200203			
378	9201403	完全品			3				920140301			
379	9201403	劣等品			3				920140302			
380	9201403	残缺品			3				920140303			
381	9201406	完全品			3				920140601			
382	9201406	劣等品			3				920140602			
383	9201406	残缺品			3				920140603			
384	9301502	放入骰子			2	2	{1: 9037}	{1: 1}	930150201			
385	9301502	转身离开			3				930150202			
386	9401602	捧起鲜花			3				940160201			
387	9401602	打扫周围			3				940160202			
388	9401605	收起照片			3				940160501			
389	9401605	拿出另一半照片			2	2	{1: 9038}	{1: 1}	940160502			
