Id	Note	TemplateId	StageId	Weight	Mode	ModeParams	TimeLimit	MonsterGroupId	GroupOrder	IsQubitStage	QubitMonsterGroup	QubitValue	QubitEquipBoxGroup	QubitItemBoxGroup	QubitGoldGroup	FightEventIds	SuggestAbility	ExtraWaveGroupId	ExtraWaveRate	ExtraWaveTime	BaseHp
29112	第二章-困难伤害-前段	2911	30062821	100	4	[1197368]		[291121]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
29121	第二章-困难伤害-后段	2912	30062814	100	4	[1197368]		[291211]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
29122	第二章-困难伤害-后段	2912	30062812	100	4	[1197368]		[291221]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
26261	第二章-困难刷怪-前段-α线量子值困难保底	2626	30062821	100	1	[0, 30]		[262111, 262112]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	598683
26262	第二章-困难刷怪-前段-α线量子值困难保底	2626	30062821	100	1	[0, 30]		[262121, 262122]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	598683
26271	第二章-困难刷怪-后段-α线量子值困难保底	2627	30062814	100	1	[0, 30]		[262211, 262212]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	598683
26272	第二章-困难刷怪-后段-α线量子值困难保底	2627	30062812	100	1	[0, 30]		[262221, 262222]	2		[1262111, 1262111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	598683
27161	第二章-困难生存-前段-α线量子值困难保底	2716	30062821	100	2	[60]		[271111]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
27162	第二章-困难生存-前段-α线量子值困难保底	2716	30062821	100	2	[60]		[271121]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
27171	第二章-困难生存-后段-α线量子值困难保底	2717	30062814	100	2	[60]		[271211]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
27172	第二章-困难生存-后段-α线量子值困难保底	2717	30062812	100	2	[60]		[271221]	1		[1271111, 1271111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251214]					1197368
28161	第二章-保卫萝卜-前段-α线量子值困难保底	2816	30062821	100	5	[200, 30, 500]		[281111]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	199561
28162	第二章-保卫萝卜-前段-α线量子值困难保底	2816	30062821	100	5	[200, 30, 500]		[281121]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	199561
28171	第二章-保卫萝卜-后段-α线量子值困难保底	2817	30062814	100	5	[200, 30, 500]		[281211]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		121	300	30	199561
28172	第二章-保卫萝卜-后段-α线量子值困难保底	2817	30062812	100	5	[200, 30, 500]		[281221]	1		[1281111, 1281111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]		122	300	30	199561
29161	第二章-困难伤害-前段-α线量子值困难保底	2916	30062821	100	4	[1197368]		[291111]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
29162	第二章-困难伤害-前段-α线量子值困难保底	2916	30062821	100	4	[1197368]		[291121]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
29171	第二章-困难伤害-后段-α线量子值困难保底	2917	30062814	100	4	[1197368]		[291211]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
29172	第二章-困难伤害-后段-α线量子值困难保底	2917	30062812	100	4	[1197368]		[291221]	1		[1291211, 1291211]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401]					2394735
31211	第三章-普通刷怪-前段	3121	30062817	100	1	[0, 30]		[312111, 312112]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	992512
31212	第三章-普通刷怪-前段	3121	30062817	100	1	[0, 30]		[312121, 312122]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	992512
31213	第三章-普通刷怪-前段	3121	30062817	100	1	[0, 30]		[312131, 312132]	2		[1331211, 1331211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		131	300	30	992512
31221	第三章-普通刷怪-前段	3122	30062822	100	1	[0, 30]		[312211, 312212]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	992512
31222	第三章-普通刷怪-前段	3122	30062822	100	1	[0, 30]		[312221, 312222]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	992512
31223	第三章-普通刷怪-前段	3122	30062822	100	1	[0, 30]		[312231, 312232]	2		[1331211, 1331211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		132	300	30	992512
31231	第三章-普通刷怪-中段	3123	30062823	100	1	[0, 30]		[312311, 312312]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	992512
31232	第三章-普通刷怪-中段	3123	30062823	100	1	[0, 30]		[312321, 312322]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	992512
31233	第三章-普通刷怪-中段	3123	30062823	100	1	[0, 30]		[312331, 312332]	2		[1331211, 1331211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		131	300	30	992512
31241	第三章-普通刷怪-中段	3124	30062824	100	1	[0, 30]		[312411, 312412]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	992512
31242	第三章-普通刷怪-中段	3124	30062824	100	1	[0, 30]		[312421, 312422]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	992512
31243	第三章-普通刷怪-中段	3124	30062824	100	1	[0, 30]		[312431, 312432]	2		[1331211, 1331211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		131	300	30	992512
31311	第三章-普通刷怪-后段	3131	30062825	100	1	[0, 30, 60]		[313111, 313112, 313113]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	661675
31312	第三章-普通刷怪-后段	3131	30062825	100	1	[0, 30, 60]		[313121, 313122, 313123]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	661675
31313	第三章-普通刷怪-后段	3131	30062825	100	1	[0, 30, 60]		[313131, 313132, 313133]	2		[1331211, 1331211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		132	300	30	661675
31321	第三章-普通刷怪-后段	3132	30062823	100	1	[0, 30, 60]		[313211, 313212, 313213]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	661675
31322	第三章-普通刷怪-后段	3132	30062824	100	1	[0, 30, 60]		[313221, 313222, 313223]	2		[1331211, 1331211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	661675
31323	第三章-普通刷怪-后段	3132	30062825	100	1	[0, 30, 60]		[313231, 313232, 313233]	2		[1331211, 1331211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		131	300	30	661675
33111	第三章-普通割草-前段	3311	30062817	100	3	[20]		[331111]	1		[1331111, 1331111]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	330838
33112	第三章-普通割草-前段	3311	30062817	100	3	[20]		[331121]	1		[1331111, 1331111]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	330838
33113	第三章-普通割草-前段	3311	30062822	100	3	[20]		[331131]	1		[1331111, 1331111]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		131	300	30	330838
33121	第三章-普通割草-中段	3312	30062822	100	3	[20]		[331211]	1		[1331111, 1331111]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	330838
33122	第三章-普通割草-中段	3312	30062823	100	3	[20]		[331221]	1		[1331111, 1331111]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	330838
33123	第三章-普通割草-中段	3312	30062823	100	3	[20]		[331231]	1		[1331111, 1331111]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		132	300	30	330838
33131	第三章-普通割草-后段	3313	30062824	100	3	[20]		[331311]	1		[1331111, 1331111]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		131	300	30	330838
33132	第三章-普通割草-后段	3313	30062824	100	3	[20]		[331321]	1		[1331111, 1331111]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]		132	300	30	330838
33133	第三章-普通割草-后段	3313	30062825	100	3	[20]		[331331]	1		[1331111, 1331111]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]		132	300	30	330838
34111	第三章-普通伤害-前段	3411	30062817	100	4	[1985025]		[341111]	1		[1341211, 1341211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					3970050
34112	第三章-普通伤害-前段	3411	30062822	100	4	[1985025]		[341121]	1		[1341211, 1341211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					3970050
34121	第三章-普通伤害-中段	3412	30062823	100	4	[1985025]		[341211]	1		[1341211, 1341211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]					3970050
34122	第三章-普通伤害-中段	3412	30062824	100	4	[1985025]		[341221]	1		[1341211, 1341211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					3970050
34131	第三章-普通伤害-后段	3413	30062825	100	4	[1985025]		[341311]	1		[1341211, 1341211]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					3970050
34132	第三章-普通伤害-后段	3413	30062825	100	4	[1985025]		[341321]	1		[1341211, 1341211]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]					3970050
35231	第三章-竞速奖励-中段	3523	30062822	100	6	[60, 2, 5]		[312311]	1		[1312332, 1312332]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					1985024
35232	第三章-竞速奖励-中段	3523	30062823	100	6	[60, 2, 5]		[312321]	1		[1312332, 1312332]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					1985024
35233	第三章-竞速奖励-中段	3523	30062824	100	6	[60, 2, 5]		[312331]	1		[1312332, 1312332]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]					1985024
35241	第三章-竞速奖励-中段	3524	30062825	100	6	[60, 2, 5]		[312411]	1		[1312332, 1312332]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					1985024
35242	第三章-竞速奖励-中段	3524	30062822	100	6	[60, 2, 5]		[312421]	1		[1312332, 1312332]	['2|30', '2|60']		[1001, 1002]		[2251401, 2251402, 2251406]					1985024
35243	第三章-竞速奖励-中段	3524	30062823	100	6	[60, 2, 5]		[312431]	1		[1312332, 1312332]	['2|30', '2|60']		[1002]	[103]	[2251401, 2251402, 2251406]					1985024
36311	第三章-困难刷怪-前段	3631	30062817	100	1	[0, 30, 60]		[363111, 363112, 363113]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
36312	第三章-困难刷怪-前段	3631	30062822	100	1	[0, 30, 60]		[363121, 363122, 363123]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	992512
36321	第三章-困难刷怪-中段	3632	30062823	100	1	[0, 30, 60]		[363211, 363212, 363213]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
36322	第三章-困难刷怪-中段	3632	30062824	100	1	[0, 30, 60]		[363221, 363222, 363223]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	992512
36331	第三章-困难刷怪-后段	3633	30062825	100	1	[0, 30, 60]		[363311, 363312, 363313]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
36332	第三章-困难刷怪-后段	3633	30062825	100	1	[0, 30, 60]		[363321, 363322, 363323]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
37111	第三章-困难生存-前段	3711	30062817	100	2	[60]		[371111]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37112	第三章-困难生存-前段	3711	30062822	100	2	[60]		[371121]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37121	第三章-困难生存-中段	3712	30062823	100	2	[60]		[371211]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37122	第三章-困难生存-中段	3712	30062824	100	2	[60]		[371221]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37131	第三章-困难生存-后段	3713	30062825	100	2	[60]		[371311]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37132	第三章-困难生存-后段	3713	30062825	100	2	[60]		[371321]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
38111	第三章-保卫萝卜-前段	3811	30062817	100	5	[200, 30, 500]		[381111]	1		[1381311, 1381311]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	496256
38112	第三章-保卫萝卜-前段	3811	30062822	100	5	[200, 30, 500]		[381121]	1		[1381311, 1381311]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	496256
38121	第三章-保卫萝卜-中段	3812	30062823	100	5	[200, 30, 500]		[381211]	1		[1381311, 1381311]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	496256
38122	第三章-保卫萝卜-中段	3812	30062824	100	5	[200, 30, 500]		[381221]	1		[1381311, 1381311]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	496256
38131	第三章-保卫萝卜-后段	3813	30062825	100	5	[200, 30, 500]		[381311]	1		[1381311, 1381311]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	496256
38132	第三章-保卫萝卜-后段	3813	30062825	100	5	[200, 30, 500]		[381321]	1		[1381311, 1381311]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	496256
39111	第三章-困难伤害-前段	3911	30062817	100	4	[2977538]		[391111]	1		[1391121, 1391121]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]					5955075
39112	第三章-困难伤害-前段	3911	30062822	100	4	[2977538]		[391121]	1		[1391121, 1391121]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]					5955075
39121	第三章-困难伤害-中段	3912	30062823	100	4	[2977538]		[391211]	1		[1391121, 1391121]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]					5955075
39122	第三章-困难伤害-中段	3912	30062824	100	4	[2977538]		[391221]	1		[1391121, 1391121]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]					5955075
39131	第三章-困难伤害-后段	3913	30062825	100	4	[2977538]		[391311]	1		[1391121, 1391121]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]					5955075
39132	第三章-困难伤害-后段	3913	30062825	100	4	[2977538]		[391321]	1		[1391121, 1391121]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]					5955075
36361	第三章-困难刷怪-前段-α线量子值困难保底	3636	30062817	100	1	[0, 30, 60]		[363111, 363112, 363113]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
36362	第三章-困难刷怪-前段-α线量子值困难保底	3636	30062822	100	1	[0, 30, 60]		[363121, 363122, 363123]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	992512
36371	第三章-困难刷怪-中段-α线量子值困难保底	3637	30062823	100	1	[0, 30, 60]		[363211, 363212, 363213]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
36372	第三章-困难刷怪-中段-α线量子值困难保底	3637	30062824	100	1	[0, 30, 60]		[363221, 363222, 363223]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		131	500	30	992512
36381	第三章-困难刷怪-后段-α线量子值困难保底	3638	30062825	100	1	[0, 30, 60]		[363311, 363312, 363313]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
36382	第三章-困难刷怪-后段-α线量子值困难保底	3638	30062825	100	1	[0, 30, 60]		[363321, 363322, 363323]	2		[1363321, 1363321]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406]		132	500	30	992512
37161	第三章-困难生存-前段-α线量子值困难保底	3716	30062817	100	2	[60]		[371111]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37162	第三章-困难生存-前段-α线量子值困难保底	3716	30062822	100	2	[60]		[371121]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
37171	第三章-困难生存-中段-α线量子值困难保底	3717	30062823	100	2	[60]		[371211]	1		[1371111, 1371111]	['2|30', '2|60']		[1001, 1003]	[103, 104]	[2251401, 2251402, 2251406, 2251214]					2977538
