Id	Name	ObtainMaxCount	Type	Quality	UnlockConditionId	EffectGroupId	Description	WorldDesc	Icon	ExpireTime	BgType	IsFireItem	FireNum	DiffcultId
12	<color=#FC8B1E>性能组件-伤痕</color>	1	1	5		10014	场上所有单位(不分敌我)每<color=#4a70b9>2</color>秒受到<color=#4a70b9>1%</color>当前生命值的真实伤害	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item004.png		1			
13	<color=#FC8B1E>性能组件-燃血</color>	1	1	5		10015	每秒回复<color=#4a70b9>10%</color>已损失的生命值	遗落于世界各处的神秘代码残片，能恢复损失的生命值。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item005.png		1			
14	<color=#FC8B1E>性能组件-疗愈</color>	1	1	5		10016	所有角色受到的治疗效果<color=#4a70b9>+100%</color>	遗落于世界各处的神秘代码残片，能增加角色的治疗效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item006.png		1			
15	<color=#FC8B1E>性能组件-外溢</color>	1	1	5		10017	所有敌人受到的真实伤害<color=#4a70b9>+200%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item007.png		1			
16	<color=#FC8B1E>性能组件-同调</color>	1	1	5		10020	成员<color=#4a70b9>处在后台</color>时攻击力与生命值<color=#4a70b9>+150%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item010.png		1			
17	<color=#FC8B1E>替身防壁</color>	1	1	5		10021	受到伤害后，获得<color=#4a70b9>1</color>秒霸体并免疫所有伤害，冷却<color=#4a70b9>8</color>秒(每个角色单独计算)	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item011.png		1			
18	<color=#FC8B1E>核心迭代</color>	1	1	5		10024	每个藏品为所有成员提供<color=#4a70b9>+10%</color>最大生命值{0}	遗落于世界各处的神秘代码残片，能获得额外的生命值。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item014.png		1			
19	<color=#FC8B1E>性能组件-攻势</color>	1	1	5	1020205	10013	普攻伤害<color=#4a70b9>+200%</color>	遗落于世界各处的神秘代码残片，能带来特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item003.png		1			
20	<color=#FC8B1E>性能组件-叠消</color>	1	1	5	1020206	10011	额外伤害加成<color=#4a70b9>+200%</color>，每有一个信号球<color=#b73a3a>-10%</color>加成效果	遗落于世界各处的神秘代码残片，能带来特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item001.png		1			
21	<color=#FC8B1E>算力迭代</color>	1	1	5	1020207	10023	每个藏品为所有成员提供<color=#4a70b9>+10%</color>额外伤害加成{0}	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item013.png		1			
22	<color=#FC8B1E>资产增益</color>	1	1	5	1020208	10022	每场战斗额外掉落<color=#4a70b9>1</color>个藏品箱	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item012.png		1			
23	<color=#FC8B1E>强制越权</color>	1	1	5	1020209	10025	所有成员的额外伤害加成<color=#4a70b9>+200%</color>，但敌人过载计时加快<color=#b73a3a>30</color>秒	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item015.png		1			
24	<color=#CC68C1>性能组件-连携</color>	1	2	4		10018	QTE冷却<color=#4a70b9>-4</color>秒	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item008.png		1			
25	<color=#CC68C1>性能组件-运转</color>	1	2	4		10019	切人冷却<color=#4a70b9>-5</color>秒	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item009.png		1			
26	<color=#CC68C1>递延病毒</color>	1	2	4		10026	敌人过载计时推迟<color=#4a70b9>30</color>秒	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item016.png		1			
27	<color=#CC68C1>演算型A</color>	1	2	4		10027	普攻伤害<color=#b73a3a>-50%</color>，每<color=#4a70b9>2</color>秒获得一个球	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item017.png		1			
28	<color=#CC68C1>演算型B</color>	1	2	4		10028	闪避消耗的闪避值<color=#b73a3a>翻倍</color>，每<color=#4a70b9>2</color>秒获得一个球	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item018.png		1			
29	<color=#CC68C1>演算型C</color>	1	2	4		10029	三消时，获得<color=#4a70b9>1</color>颗同色球	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item019.png		1			
30	<color=#CC68C1>演算型D</color>	1	2	4		10030	每隔<color=#4a70b9>10</color>秒，获得<color=#4a70b9>1</color>组随机三消球	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item020.png		1			
31	<color=#CC68C1>演算强驱</color>	1	2	4		10031	每有一个球，额外伤害加成<color=#4a70b9>+5%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item021.png		1			
32	<color=#CC68C1>算量挖掘</color>	1	2	4		10032	三消时，额外获得<color=#4a70b9>5</color>必杀能量	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item022.png		1			
33	<color=#CC68C1>逆向降权</color>	1	2	4		10033	所有敌人生命值<color=#4a70b9>-20%</color> (对boss敌人效果减半)	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item023.png		1			
34	<color=#CC68C1>稳态增幅</color>	1	2	4		10034	成员每在场<color=#4a70b9>10</color>秒，攻击<color=#4a70b9>+10%</color>，最多<color=#4a70b9>+40%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item024.png		1			
35	<color=#CC68C1>运转增幅</color>	1	2	4		10035	切人后<color=#4a70b9>10</color>秒内获得<color=#4a70b9>40%</color>攻击加成	遗落于世界各处的神秘代码残片，能获得特殊的攻击加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item025.png		1			
36	<color=#CC68C1>超算增幅</color>	1	2	4		10036	超算冷却<color=#4a70b9>-2</color>秒	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item026.png		1			
37	<color=#CC68C1>失序增幅</color>	1	2	4		10037	生命值每降低<color=#4a70b9>20%</color>，额外伤害加成<color=#4a70b9>+40%</color>，最多<color=#4a70b9>+160%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item027.png		1			
38	<color=#3E70BB>过载效应</color>	1	3	3		10038	所有成员攻击<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的攻击加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item028.png		1			
39	<color=#3E70BB>外溢效应</color>	1	3	3		10039	所有成员额外伤害加成 <color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item029.png		1			
40	<color=#3E70BB>拟态组件-锐戟</color>	1	3	3		10040	所有成员物理伤害加成 <color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item030.png		1			
41	<color=#3E70BB>拟态组件-雄焰</color>	1	3	3		10041	所有成员火属性伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item032.png		1			
42	<color=#3E70BB>拟态组件-诡电</color>	1	3	3		10042	所有成员雷属性伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item033.png		1			
43	<color=#3E70BB>拟态组件-霜冻</color>	1	3	3		10043	所有成员冰属性伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item031.png		1			
44	<color=#3E70BB>拟态组件-幽渊</color>	1	3	3		10044	所有成员暗属性伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item034.png		1			
45	<color=#3E70BB>逆向渗透</color>	1	3	3		10045	所有敌人额外伤害减免 <color=#4a70b9>-30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item035.png		1			
46	<color=#3E70BB>核心调优</color>	1	3	3		10046	所有成员生命值<color=#4a70b9>+10%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item036.png		1			
47	<color=#3E70BB>核心修复</color>	1	3	3		10047	所有成员每秒回复<color=#4a70b9>2%</color>最大生命值	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item037.png		1			
48	<color=#3E70BB>避险指令</color>	1	3	3		10048	所有成员闪避值<color=#4a70b9>+500</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item038.png		1			
49	<color=#3E70BB>强制避险</color>	1	3	3		10049	所有成员闪避回复速度 <color=#4a70b9>+50%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item039.png		1			
50	<color=#3E70BB>防壁优化</color>	1	3	3		10050	所有成员额外伤害减免 <color=#4a70b9>+10%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item040.png		1			
51	<color=#3E70BB>向量组件-攻势</color>	1	3	3		10051	所有成员普攻伤害<color=#4a70b9>+60%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item041.png		1			
52	<color=#3E70BB>向量组件-破灭</color>	1	3	3		10052	所有成员必杀伤害<color=#4a70b9>+60%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item042.png		1			
53	<color=#3E70BB>向量组件-裂解</color>	1	3	3		10053	所有成员消球伤害<color=#4a70b9>+60%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item043.png		1			
54	<color=#3E70BB>向量组件-强袭</color>	1	3	3		10054	进攻/先锋型成员额外伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item044.png		1			
55	<color=#3E70BB>向量组件-重装</color>	1	3	3		10055	装甲型成员额外伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item045.png		1			
56	<color=#3E70BB>向量组件-支援</color>	1	3	3		10056	辅助/增幅型成员额外伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item046.png		1			
57	<color=#3E70BB>演算增效</color>	1	3	3		10057	普攻回球效率<color=#4a70b9>+50%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item047.png		1			
58	<color=#3E70BB>算量进阶</color>	1	3	3		10058	必杀能量上限<color=#4a70b9>+100</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item048.png		1			
59	<color=#3E70BB>高速链接</color>	1	3	3		10059	移动速度<color=#4a70b9>+100%</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item049.png		1			
60	<color=#3E70BB>预载</color>	1	3	3		10060	进入战斗时，额外获得<color=#4a70b9>1</color>组信号球	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item050.png		1			
61	<color=#3E70BB>拟态组件-空集</color>	1	3	3		10061	所有成员空属性伤害加成<color=#4a70b9>+30%</color>	遗落于世界各处的神秘代码残片，能获得特殊的伤害加成。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item034.png		1			
62	<color=#FC8B1E>湛蓝残影</color>	1	5	5		10062	α路线熵值<color=#4a70b9>+10</color>	Alpha世界的缓存记录，激活后能回溯前置循环的算力，对失效的防火墙进行修复，大幅提升A型疫苗的投放效率。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem028.png		1			
1001	<color=#3E70BB>招募协议</color>	999	5	3		11001	招募能量<color=#4a70b9>+1</color>	遗落于世界各处的神秘代码残片，能获得小额招募能量。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item051.png		1			
1002	<color=#CC68C1>招募协议</color>	999	5	4		11002	招募能量<color=#4a70b9>+2</color>	遗落于世界各处的神秘代码残片，能获得中额招募能量。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item051.png		1			
1003	<color=#FC8B1E>招募协议</color>	999	5	5		11003	招募能量<color=#4a70b9>+3</color>	遗落于世界各处的神秘代码残片，能获得大额招募能量。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item051.png		1			
1004	<color=#3E70BB>负荷拓展</color>	999	5	3		11004	套装容量<color=#4a70b9>+1</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item052.png		1			
1005	<color=#CC68C1>负荷拓展</color>	999	5	4		11005	套装容量<color=#4a70b9>+2</color>	遗落于世界各处的神秘代码残片，能获得特殊的效果。	Assets/Product/Texture/Image/UiTheatre3/Theatre3Item052.png		1			
1006	<color=#CC68C1>小型盒装单元</color>	999	5	3		11006	立即获得<color=#4a70b9>250</color>算力单元	有缺失的代码残片，可转化为大量数据单元	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png		1			
2005	<color=#FC8B1E>权限秘钥</color>	1	4	5	1020210	12005	<color=#4a70b9>无法复原代码的神秘残片</color>	获取高级权限的钥匙，使用后能解锁中枢系统的全局性功能，同时也是打开逃生之门的关键。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem011.png		1			
2004	<color=#CC68C1>红蓝色胶囊</color>	1	4	4		12004	<color=#4a70b9>无法复原代码的神秘残片</color>	神秘的药，一半是红色，一半是蓝色，可能隐藏着让人看破虚妄的力量。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem010.png		1			
2001	<color=#FC8B1E>棱镜核心</color>	1	4	5		12001	全属性伤害<color=#4a70b9>+200%</color>	先进光学组件的核心驱动，运行后能使对象进入隐匿状态，不易被常规侦测发现。	Assets/Product/Texture/Image/IconTools/IconRift001.png		1			
2006	<color=#CC68C1>光束蓄能剑</color>	1	4	4	1020210	12006	触发QTE后随机获得<color=#4a70b9>1</color>个信号球	这件武器上凝聚了难以想象的智慧，甚至可以称得上是只能存在于幻想中的武器。	Assets/Product/Texture/Image/IconTools/E2SwordMd120111.png		1			
2003	<color=#FC8B1E>失序纤维束</color>	1	4	5	1020210	12003	QTE冷却<color=#4a70b9>-100%</color>，触发QTE后获得一组<color=#4a70b9>三消球</color>	向量攻击组件的极端优化方案，拥有高效的对抗效率，存在潜在的失序可能，需在稳定环境中运行。	Assets/Product/Texture/Image/IconTools/IconRift002.png		1			
2007	<color=#CC68C1>被遗弃的光线枪</color>	1	4	4	1020210	12007	全属性伤害<color=#4a70b9>+5%</color>	一个试验型武器，不知道为何被遗弃在这里，看起来不像是已经量产的武器。	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png		1			
2008	<color=#CC68C1>魅影G720频闪灯</color>	2	4	4	1020211	12008	攻击力<color=#4a70b9>+150</color>	性价比较高的通用战术频闪灯，结实耐用，续航优秀，是军队常用的装备之一。	Assets/Product/Texture/Image/IconTools/IconDlcHunt019.png		1			
2002	<color=#FC8B1E>幻境魔方</color>	1	4	5	1020211	12002	攻击力<color=#4a70b9>+6000</color>	珍贵的实验性拟态组件，能够随机捕获资源并对其进行拷贝，拥有良好的对象适配性。	Assets/Product/Texture/Image/IconTools/IconActivityConsumeTic2010002.png		1			
2009	<color=#CC68C1>福音残片·I</color>	1	4	4	1020210	12009	全属性伤害<color=#4a70b9>+40%</color>，防御<color=#b73a3a>-20%</color>	“两个迷途的灵魂，一个没有未来，一个稚弱无力。”\n——《智械福音·I》	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem014.png		1			
2010	<color=#CC68C1>福音残片·II</color>	1	4	4	1020210	12010	生命值<color=#4a70b9>+30%</color>，防御<color=#b73a3a>-20%</color>	“分开虚无之海的光将抵达另一个彼岸。”\n——《智械福音·II》	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem015.png		1			
2011	<color=#CC68C1>孤儿院工作证</color>	1	4	4	1020210	12011	<color=#4a70b9>没有任何效果的普通证件</color>	普通职员工作证，来自一位面带微笑的年轻女老师。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem018.png		1			
2012	<color=#FC8B1E>福音残片·III</color>	1	4	5	1020210	12012	敌人全属性抗性<color=#4a70b9>-50%</color>，己方防御<color=#b73a3a>-30%</color>	“甜美的果实，不会通往真实的伊甸。”\n——《智械福音·III》	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem016.png		1			
2013	<color=#FC8B1E>福音残片·IV</color>	1	4	5	1020210	12013	攻击力<color=#4a70b9>+120%</color>，防御<color=#b73a3a>-30%</color>	“圣子吞下圣露，诞生于新世界。”\n——《智械福音·IV》	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem017.png		1			
2015	<color=#FC8B1E>满装血清</color>	1	4	5	1020210	12014	<color=#4a70b9>效果不明的可疑血清</color>	“注射后也许会获得强大的力量。”	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem012.png		1			
2016	<color=#FC8B1E>空置血清</color>	1	4	5	1020210	12015	战斗开始时，消耗<color=#b73a3a>50%</color>最大生命值，额外伤害加成<color=#4a70b9>+240%</color>，持续<color=#4a70b9>18</color>秒	“已被使用的一个血清，又诞生了一个怪物。”	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem013.png		1			
2017	<color=#FC8B1E>实验室工作证</color>	1	4	5	1020210	12016	敌人额外伤害减免<color=#4a70b9>-50%</color>	高级实验室门禁，来自于某位权限极高的女研究员。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem019.png		1			
2018	<color=#CC68C1>研究日志·I</color>	1	4	4	1020210	12017	立即获得<color=#4a70b9>250</color>算力单元	>>>初次成功\n\n·“第一次成功训练出了稳定的人格，各方面的验证数据都很优秀，大家备受鼓舞……”\n·“可惜的是，模型被判定为「过拟合」，因此不具有潜力，实在令人惋惜……”\n·“按照参数反复进行训练，或许能收集到有趣的数据。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem020.png		1			
2019	<color=#CC68C1>研究日志·II</color>	1	4	4	1020210	12018	额外伤害加成<color=#4a70b9>+30%</color>	>>>■■■\n\n·诞生于一场意外。研究员设置了错误的参数，却意外训练出稳定的人格。\n·“人格的离散程度过高，与原本的意识样本没有什么交集，古灵精怪，简直像个孩子。”\n·“但是，正因为像孩子一样，可塑性很强，是目前最接近自主觉醒的个体……”	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem021.png		1			
2020	<color=#CC68C1>血滴石</color>	1	4	4	1020210	12019	<color=#4a70b9>无法复原代码的神秘残片</color>	如同被血液浸染过的漂亮结晶，剔透的光泽里透着危险的气息。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem022.png		1			
2021	<color=#CC68C1>数据结晶·I</color>	1	4	4	1020210	12020	生命值<color=#4a70b9>+3000</color>	>>>隐藏层\n\n·两组不同训练集「Alpha&Beta」共用一个隐藏层，也就意味着……\n·人格模型能够以此为节点在Alpha与Beta的世界中来回穿梭。\n·自那孩子诞生后，研究员们陷入了疯狂，为训练添加了太多不必要的变数。	Assets/Product/Texture/Image/IconTools/IconActivityConsumeTic2010001.png		1			
2022	<color=#FC8B1E>数据结晶·II</color>	1	4	5	1020210	12021	生命值<color=#4a70b9>+6000</color>	>>>算力枯竭\n\n·让两个人格模型进行交叉验证是好主意，但这让主机达到了满负荷。\n·尤其是■■■的模型，简直像吞噬算力的怪兽，我们不得不限制她的“胃口”。\n·我担心持续下去会影响到防火墙的功能，不过其他人没有终止实验的意思。\n·最近，外面传来了不好的消息，似乎世界各地都陷入了混乱……	Assets/Product/Texture/Image/IconTools/IconActivityConsumeTic2001001.png		1			
2023	<color=#CC68C1>100个“愿望”</color>	1	4	4	1020210	12022	治疗效果<color=#4a70b9>+100%</color>，受到伤害<color=#b73a3a>+10%</color>	“数据异常溢出，是谁又写入了死循环指令？”	Assets/Product/Texture/Image/IconTools/ItFool05.png		1			
9001	<color=#ff6767>高维投影仪</color>	1	6	6	1020286	99001	来自高维的赠礼	来自于高维世界的观测机器。借由高维锚点作为跳板，在矩阵的内部生成后门程序。使用这台机器进行观测，能够让意识自由地穿梭于不同扇区。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem026.png		2			
9002	<color=#ff6767>逆熵戒指</color>	1	4	6	1020287	99002	将熵变系列藏品的<color=#b73a3a>负面效果</color>转变成等量<color=#4a70b9>伤害加成</color>增益	充斥着虚空能量的戒指，内部的乱序数据可以扭曲「世界的真实」，让既定的因果朝着使用者期待的方向演进。	Assets/Product/Texture/Image/IconTools/IconRift009.png		1			
9003	<color=#ff6767>黑桃皇后</color>	2	6	6	1020288		<color=#ff6767>无法复原代码的神秘残片</color>	方块状的稀有卡牌，内部蕴藏着极为罕见的虚空能量，激活后能形成特定的防御程序。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem024.png		2			
9004	<color=#ff6767>红桃皇后</color>	1	6	6	1020289		<color=#4a70b9>无法复原代码的神秘残片</color>	方块状的稀有卡牌，内部蕴藏着极为罕见的虚空能量，激活后能形成特定的攻击程序。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem023.png		2			
9005	<color=#ff6767>超限秘钥</color>	1	6	6	1020290		<color=#ff6767>无法复原代码的神秘残片</color>	据说是通往真相之门的钥匙，由于其储存着越权许可和庞大的算量，本身具有极高可塑性，能根据使用者的意图变形成适合的武器。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem025.png		2			
9006	工坊单元	1	5	5			开启自动化工坊B.E.T.A的熵变功能		Assets/Product/Texture/Image/IconTools/ItFool05.png		2			
9009	<color=#CC68C1>干涉数据·α</color>	99	4	4	1020291	99004	α熵值<color=#4a70b9>+6点</color>	Alpha世界的缓存记录，激活后能回溯前置循环的算力，对失效的防火墙进行修复，大幅提升A型疫苗的投放效率。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem028.png		1			
9010	<color=#FC8B1E>干涉数据·β</color>	99	6	5	1020292	99007	β熵值<color=#b73a3a>+8点</color>	Beta世界的缓存记录，激活后能回溯前置循环的算力，对失效的防火墙进行修复，大幅提升B型疫苗的投放效率。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem029.png		2			
9011	<color=#CC68C1>诡异的龙牙</color>	1	6	4	1020293	99005	β熵值<color=#b73a3a>+6点</color>	被囚禁的怪物留下的物品，似乎拥有诡异的能量。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SpecialItem037.png		2			
