Id	EquipName	Level	AttType	SuitId	BaseAttFightEventIds	BaseAttDesc	EffectDesc	EffectGroupId	Icon	TraitName	TraitDesc	StoryDesc	UseType	PosType	GlobalFightEventIds	SimpleEffectDesc	RecordDamage	QubitEffectGroupId	QubitEffectDesc	QubitSampleEffectDesc	QubitTraitName	QubitTraitDesc	QubitGlobalFightEventIds
402	辰积原·II	1	4	4	[2251098]	['冰属性', '附加伤害']	· 造成伤害时，附加攻击力<color=#4a70b9>720%</color>的冰属性伤害，冷却时间<color=#4a70b9>1</color>秒	20042	Assets/Product/Texture/Image/IconToolsSp/EZuwenyuanI02001Sp.png				1	2		· 造成伤害时，额外附加冰属性伤害		21042	· 造成伤害时，附加攻击力<color=#17f5cf>1080%</color>的冰属性伤害，冷却时间<color=#17f5cf>1</color>秒	· 造成伤害时，额外附加冰属性伤害			
403	辰积原·III	1	4	4	[2251098]	['冰属性', '减抗']	· 造成伤害时，敌方冰属性抗性<color=#4a70b9>-30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20043	Assets/Product/Texture/Image/IconToolsSp/EZuwenyuanI03001Sp.png				1	3		· 造成伤害时，降低敌方冰属性抗性		21043	· 造成伤害时，敌方冰属性抗性<color=#17f5cf>-40%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 造成伤害时，降低敌方冰属性抗性			
501	勒梅·I	1	5	5	[2251097]	['暗属性', '增伤']	· 造成伤害时，暗属性伤害<color=#4a70b9>+10%</color>，叠加上限<color=#4a70b9>30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20051	Assets/Product/Texture/Image/IconToolsSp/ELemeiI01001Sp.png				1	1		· 造成伤害时，获得暗属性伤害加成		21051	· 造成伤害时，暗属性伤害<color=#17f5cf>+10%</color>，叠加上限<color=#17f5cf>50%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 造成伤害时，获得暗属性伤害加成			
502	勒梅·II	1	5	5	[2251098]	['暗属性', '附加伤害']	· 造成伤害时，附加攻击力<color=#4a70b9>720%</color>的暗属性伤害，冷却时间<color=#4a70b9>1</color>秒	20052	Assets/Product/Texture/Image/IconToolsSp/ELemeiI02001Sp.png				1	2		· 造成伤害时，额外附加暗属性伤害		21052	· 造成伤害时，附加攻击力<color=#17f5cf>1080%</color>的暗属性伤害，冷却时间<color=#17f5cf>1</color>秒	· 造成伤害时，额外附加暗属性伤害			
503	勒梅·III	1	5	5	[2251098]	['暗属性', '减抗']	· 造成伤害时，敌方暗属性抗性<color=#4a70b9>-30%</color>，持续<color=#4a70b9>15</color>秒（重复获取时刷新）	20053	Assets/Product/Texture/Image/IconToolsSp/ELemeiI03001Sp.png				1	3		· 造成伤害时，降低敌方暗属性抗性		21053	· 造成伤害时，敌方暗属性抗性<color=#17f5cf>-40%</color>，持续<color=#17f5cf>15</color>秒（重复获取时刷新）	· 造成伤害时，降低敌方暗属性抗性			
601	狄瑟尔·I	1		6	[2251097]	['信号球']	· 三消后，重排信号球，冷却<color=#4a70b9>2</color>秒	20061	Assets/Product/Texture/Image/IconToolsSp/EDiseerI01001Sp.png				2	1		· 三消后，重排信号球，冷却<color=#4a70b9>2</color>秒		21061	· 三消后，重排信号球，冷却<color=#17f5cf>2</color>秒\n· 重排信号球后，每有<color=#17f5cf>1</color>组三消信号球，攻击力<color=#17f5cf>+20%</color>，持续<color=#17f5cf>3</color>秒	· 三消后，重排信号球，冷却<color=#17f5cf>2</color>秒\n· 重排信号球后，三消信号球组数越多攻击加成越高			
602	狄瑟尔·II	1		6	[2251098]	['信号球']	· 每消除<color=#4a70b9>1</color>个信号球，获得额外伤害加成<color=#4a70b9>+10%</color>，上限<color=#4a70b9>300%</color>，持续<color=#4a70b9>10</color>秒（重复获取时刷新）	20062	Assets/Product/Texture/Image/IconToolsSp/EDiseerI02001Sp.png				2	2		· 消除信号球会获得额外伤害加成		21062	· 每消除<color=#17f5cf>1</color>个信号球，获得额外伤害加成<color=#17f5cf>+25%</color>，上限<color=#17f5cf>425%</color>，持续<color=#17f5cf>10</color>秒（重复获取时刷新）	· 消除信号球会获得额外伤害加成			
603	狄瑟尔·III	1		6	[2251098]	['信号球']	· 信号球少于<color=#4a70b9>8</color>时，补充信号球至<color=#4a70b9>8</color>个，冷却<color=#4a70b9>12</color>秒	20063	Assets/Product/Texture/Image/IconToolsSp/EDiseerI03001Sp.png				2	3		· 信号球较少时，自动补充，冷却<color=#4a70b9>12</color>秒		21063	· 信号球少于<color=#17f5cf>8</color>时，补充信号球至<color=#17f5cf>16</color>个，冷却<color=#17f5cf>8</color>秒	· 信号球较少时，自动补充，冷却<color=#17f5cf>8</color>秒			
701	布恩·I	1		7	[2251097]	['必杀']	· 释放放必杀技消耗的能量<color=#4a70b9>-20%</color>	20071	Assets/Product/Texture/Image/IconToolsSp/EBuenI01001Sp.png				2	1		· 必杀消耗能量小幅降低		21071	· 释放放必杀技消耗的能量<color=#17f5cf>-40%</color>	· 必杀消耗能量大幅降低			
702	布恩·II	1		7	[2251098]	['必杀']	· 每次释放必杀技时，后续的必杀伤害<color=#4a70b9>+40%</color>，叠加上限<color=#4a70b9>200%</color>	20072	Assets/Product/Texture/Image/IconToolsSp/EBuenI02001Sp.png				2	2		· 释放必杀技时，获得可叠加的必杀伤害加成		21072	· 每次释放必杀技时，后续的必杀伤害<color=#17f5cf>+80%</color>，叠加上限<color=#17f5cf>400%</color>	· 释放必杀技时，获得可叠加的必杀伤害加成			
703	布恩·III	1		7	[2251098]	['必杀']	· 战斗开始时，填满必杀能量	20073	Assets/Product/Texture/Image/IconToolsSp/EBuenI03001Sp.png				2	3		· 战斗开始时，填满必杀能量		21073	· 战斗开始时，全队填满必杀能量	· 战斗开始时，全队填满必杀能量			
801	图灵·I	1		8	[2251097]	['普攻']	· 普攻造成伤害时，会对敌方施加<color=#4a70b9>1</color>层【<u>伤口</u>】，冷却<color=#4a70b9>0.5</color>秒	20081	Assets/Product/Texture/Image/IconToolsSp/ETulingI01001Sp.png	['伤口']	['· 受到普攻伤害时，额外造成伤口层数*<color=#4a70b9>200%</color>的属性伤害（基于当前角色属性），冷却<color=#4a70b9>4</color>秒\\n· 伤口叠加上限为<color=#4a70b9>20</color>层，持续<color=#4a70b9>10</color>秒（重复时刷新）']		2	1		· 普攻伤害会对敌方施加【<u>伤口</u>】		21081	· 普攻造成伤害时，会对敌方施加<color=#17f5cf>2</color>层【<u>撕裂</u>】，冷却<color=#17f5cf>0.5</color>秒	· 普攻伤害会对敌方施加【<u>撕裂</u>】	['撕裂']	['· 受到普攻伤害时，额外造成撕裂层数*<color=#17f5cf>200%</color>的属性伤害（基于当前角色属性），冷却<color=#17f5cf>4</color>秒\\n· 撕裂叠加上限为<color=#17f5cf>20</color>层']	
802	图灵·II	1		8	[2251098]	['普攻']	· 普攻伤害<color=#4a70b9>+50%</color>，每层【<u>伤口</u>】额外提供<color=#4a70b9>4%</color>加成（取层数最高的目标）	20082	Assets/Product/Texture/Image/IconToolsSp/ETulingI02001Sp.png	['伤口']	['· 受到普攻伤害时，额外造成伤口层数*<color=#4a70b9>200%</color>的属性伤害（基于当前角色属性），冷却<color=#4a70b9>4</color>秒\\n· 伤口叠加上限为<color=#4a70b9>20</color>层，持续<color=#4a70b9>10</color>秒（重复时刷新）']		2	2		· 普攻伤害提高，且基于【<u>伤口</u>】层数会获得进一步加成		21082	· 普攻伤害<color=#17f5cf>+100%</color>，每层【<u>撕裂</u>】额外提供<color=#17f5cf>5%</color>加成（取层数最高的目标）	· 普攻伤害提高，且基于【<u>撕裂</u>】层数会获得进一步加成	['撕裂']	['· 受到普攻伤害时，额外造成撕裂层数*<color=#17f5cf>200%</color>的属性伤害（基于当前角色属性），冷却<color=#17f5cf>4</color>秒\\n· 撕裂叠加上限为<color=#17f5cf>20</color>层']	
803	图灵·III	1		8	[2251098]	['普攻']	· 每隔<color=#4a70b9>1</color>秒，下次普攻造成的最终伤害提高<color=#4a70b9>200%+5%</color>*【<u>伤口</u>】层数（取层数最高的目标）	20083	Assets/Product/Texture/Image/IconToolsSp/ETulingI03001Sp.png	['伤口']	['· 受到普攻伤害时，额外造成伤口层数*<color=#4a70b9>200%</color>的属性伤害（基于当前角色属性），冷却<color=#4a70b9>4</color>秒\\n· 伤口叠加上限为<color=#4a70b9>20</color>层，持续<color=#4a70b9>10</color>秒（重复时刷新）']		2	3		· 基于【<u>伤口</u>】层数定期获得普攻最终伤害的强化		21083	· 每隔<color=#17f5cf>1</color>秒，下次普攻造成的最终伤害提高<color=#17f5cf>250%+6%</color>*【<u>撕裂</u>】层数（取层数最高的目标）	· 基于【<u>撕裂</u>】层数定期获得普攻最终伤害的强化	['撕裂']	['· 受到普攻伤害时，额外造成撕裂层数*<color=#17f5cf>200%</color>的属性伤害（基于当前角色属性），冷却<color=#17f5cf>4</color>秒\\n· 撕裂叠加上限为<color=#17f5cf>20</color>层']	
901	夏洛蒂·I	1		9	[2251097]	['连击', '暴击率']	· 每<color=#4a70b9>20</color>次连击，暴击率<color=#4a70b9>+10%</color>，叠加上限<color=#4a70b9>100%</color>，持续<color=#4a70b9>10</color>秒（重复获取时刷新）	20091	Assets/Product/Texture/Image/IconToolsSp/EXialuodiI01001Sp.png				2	1		· 基于连击获得暴击率加成		21091	· 每<color=#17f5cf>12</color>次连击，暴击率<color=#17f5cf>+12%</color>，叠加上限<color=#17f5cf>100%</color>，持续<color=#17f5cf>10</color>秒（重复获取时刷新）	· 基于连击获得暴击率加成			
902	夏洛蒂·II	1		9	[2251098]	['连击', '暴击伤害']	· 每<color=#4a70b9>20</color>次连击，暴击伤害<color=#4a70b9>+30%</color>，叠加上限<color=#4a70b9>120%</color>，持续<color=#4a70b9>8</color>秒（每层持续时间独立计算）	20092	Assets/Product/Texture/Image/IconToolsSp/EXialuodiI02001Sp.png				2	2		· 基于连击获得暴击伤害加成		21092	· 每<color=#17f5cf>12</color>次连击，暴击伤害<color=#17f5cf>+30%</color>，叠加上限<color=#17f5cf>180%</color>，持续<color=#17f5cf>8</color>秒（每层持续时间独立计算）	· 基于连击获得暴击伤害加成			
903	夏洛蒂·III	1		9	[2251098]	['连击', '附加伤害']	· 造成伤害时，会额外造成<color=#4a70b9>1</color>次连击数*<color=#4a70b9>1000</color>的真实伤害，冷却<color=#4a70b9>1</color>秒	20093	Assets/Product/Texture/Image/IconToolsSp/EXialuodiI03001Sp.png				2	3		· 基于连击数定期对敌方造成真实伤害		21093	· 造成伤害时，会额外造成<color=#17f5cf>1</color>次连击数*<color=#17f5cf>1750</color>的真实伤害，冷却<color=#17f5cf>1</color>秒	· 基于连击数定期对敌方造成真实伤害			
1001	萨曼达·I	1		10	[2251097]	['算力单元', '额外获取']	· 战斗结算时，获取【算力单元】数量<color=#4a70b9>+40%</color>	20101	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	['算力单元']	['· 演算中用于【战斗内重启】和【鲨士多】购物的货币']		2	1		· 战斗结算获取的【<u>算力单元</u>】提高		21101	· 战斗结算时，获取【算力单元】数量<color=#17f5cf>+60%</color>	· 战斗结算获取的【<u>算力单元</u>】提高	['算力单元']	['· 演算中用于【战斗内重启】和【鲨士多】购物的货币']	
1002	萨曼达·II	1		10	[2251098]	['算力单元', '增伤']	· 每持有<color=#4a70b9>100</color>【算力单元】，额外伤害加成<color=#4a70b9>+10%</color>	20102	Assets/Product/Texture/Image/IconToolsSp/ESamandaI02001Sp.png	['算力单元']	['· 演算中用于【战斗内重启】和【鲨士多】购物的货币']		2	2		· 持有【<u>算力单元</u>】数量越多，额外伤害加成越高		21102	· 每持有<color=#17f5cf>100</color>【算力单元】，额外伤害加成<color=#17f5cf>+20%</color>	· 持有【<u>算力单元</u>】数量越多，额外伤害加成越高	['算力单元']	['· 演算中用于【战斗内重启】和【鲨士多】购物的货币']	
1003	萨曼达·III	1		10	[2251098]	['算力单元', '生命值']	· 每持有<color=#4a70b9>100</color>【算力单元】，最大生命值<color=#4a70b9>+3%</color>	20103	Assets/Product/Texture/Image/IconToolsSp/ESamandaI03001Sp.png	['算力单元']	['· 演算中用于【战斗内重启】和【鲨士多】购物的货币']		2	3		· 持有【<u>算力单元</u>】数量越多，生命值加成越高		21103	· 每持有<color=#17f5cf>100</color>【算力单元】，最大生命值<color=#17f5cf>+5%</color>	· 持有【<u>算力单元</u>】数量越多，生命值加成越高	['算力单元']	['· 演算中用于【战斗内重启】和【鲨士多】购物的货币']	
1101	弗兰·I	1		11	[2251097]	['受击', '减伤']	· 伤害减免<color=#4a70b9>+20%</color>\n· 受到伤害时，该加成额外<color=#4a70b9>+10%</color>，叠加上限<color=#4a70b9>40%</color>，额外效果持续<color=#4a70b9>10</color>秒（重复获取时刷新）	20111	Assets/Product/Texture/Image/IconToolsSp/EFulanI01001Sp.png				2	1		· 伤害减免提高，受到伤害时，该效果会累计提高		21111	· 伤害减免<color=#17f5cf>+20%</color>\n· 受到伤害时，该加成额外<color=#17f5cf>+20%</color>，叠加上限<color=#17f5cf>50%</color>，额外效果持续<color=#17f5cf>10</color>秒（重复获取时刷新）	· 伤害减免提高，受到伤害时，该效果会累计提高			
1102	弗兰·II	1		11	[2251098]	['受击', '增伤']	· 额外伤害加成<color=#4a70b9>+20%</color>\n· 受到伤害时，该加成额外<color=#4a70b9>+20%</color>，叠加上限<color=#4a70b9>60%</color>，额外效果持续<color=#4a70b9>10</color>秒（重复获取时刷新）	20112	Assets/Product/Texture/Image/IconToolsSp/EFulanI02001Sp.png				2	2		· 额外伤害加成提高，受到伤害时，该效果会累计提高		21112	· 额外伤害加成<color=#17f5cf>+30%</color>\n· 受到伤害时，该加成额外<color=#17f5cf>+20%</color>，叠加上限<color=#17f5cf>70%</color>，额外效果持续<color=#17f5cf>10</color>秒（重复获取时刷新）	· 额外伤害加成提高，受到伤害时，该效果会累计提高			
1103	弗兰·III	1		11	[2251098]	['受击', '附加伤害']	· 每秒对周边敌方造成攻击力<color=#4a70b9>200%</color>的属性伤害（基于当前角色属性）\n· 受到伤害时，该倍率<color=#4a70b9>+200%</color>，叠加上限<color=#4a70b9>1200%</color>，额外效果持续<color=#4a70b9>10</color>秒（重复获取时刷新）	20113	Assets/Product/Texture/Image/IconToolsSp/EFulanI03001Sp.png				2	3		· 定期对周边敌人造成属性伤害，受到伤害时，该效果会累计提高		21113	· 每秒对周边敌方造成攻击力<color=#17f5cf>300%</color>的属性伤害（基于当前角色属性）\n· 受到伤害时，该倍率<color=#17f5cf>+200%</color>，叠加上限<color=#17f5cf>1600%</color>，额外效果持续<color=#17f5cf>10</color>秒（重复获取时刷新）	· 定期对周边敌人造成属性伤害，受到伤害时，该效果会累计提高			
1201	提法·I	1		12	[2251097]	['燃血', '附加伤害']	· 进入超算空间时，消耗<color=#b73a3a>10%</color>最大生命值，对场上所有敌方造成攻击力<color=#4a70b9>（消耗生命值*10）%</color>属性伤害（基于当前角色属性）\n· 生命值小于等于<color=#b73a3a>1</color>时，不再消耗生命值，但伤害仍然生效	20121	Assets/Product/Texture/Image/IconToolsSp/ETifaI01001Sp.png				2	1		· 超算时，消耗生命值对所有敌方造成属性伤害		21121	· 进入超算空间时，消耗<color=#b73a3a>15%</color>最大生命值，对场上所有敌方造成攻击力<color=#17f5cf>（消耗生命值*18）%</color>属性伤害（基于当前角色属性）\n· 生命值小于等于<color=#b73a3a>1</color>时，不再消耗生命值，但伤害仍然生效	· 超算时，消耗生命值对所有敌方造成属性伤害			
1202	提法·II	1		12	[2251098]	['燃血', '附加伤害']	· 三消时，消耗<color=#b73a3a>2%</color>最大生命值，对场上所有敌方造成攻击力<color=#4a70b9>（消耗生命值*10）%</color>属性伤害（基于当前角色属性）\n· 生命值小于等于<color=#b73a3a>1</color>时，不再消耗生命值，但伤害仍然生效	20122	Assets/Product/Texture/Image/IconToolsSp/ETifaI02001Sp.png				2	2		· 三消时，消耗生命值对所有敌方造成属性伤害		21122	· 三消时，消耗<color=#b73a3a>3%</color>最大生命值，对场上所有敌方造成攻击力<color=#17f5cf>（消耗生命值*18）%</color>属性伤害（基于当前角色属性）\n· 生命值小于等于<color=#b73a3a>1</color>时，不再消耗生命值，但伤害仍然生效	· 三消时，消耗生命值对所有敌方造成属性伤害			
1203	提法·III	1		12	[2251098]	['燃血', '附加伤害']	· 释放必杀技时，消耗<color=#b73a3a>30%</color>最大生命值，对场上所有敌方造成攻击力<color=#4a70b9>（消耗生命值*10）%</color>属性伤害（基于当前角色属性）\n· 生命值小于等于<color=#b73a3a>1</color>时，不再消耗生命值，但伤害仍然生效	20123	Assets/Product/Texture/Image/IconToolsSp/ETifaI03001Sp.png				2	3		· 释放必杀时，消耗生命值对所有敌方造成伤害		21123	· 释放必杀技时，消耗<color=#b73a3a>35%</color>最大生命值，对场上所有敌方造成攻击力<color=#17f5cf>（消耗生命值*18）%</color>属性伤害（基于当前角色属性）\n· 生命值小于等于<color=#b73a3a>1</color>时，不再消耗生命值，但伤害仍然生效	· 释放必杀时，消耗生命值对所有敌方造成伤害			
1301	萨贺芬·I	1		13	[2251097]	['治疗', '附加伤害']	· 受到治疗时，对当前锁定的敌方造成治疗量<color=#4a70b9>2800%</color>的真实伤害	20131	Assets/Product/Texture/Image/IconToolsSp/EFanniI01001Sp.png				2	1		· 治疗时对敌方造成真实伤害		21131	· 受到治疗时，对当前锁定的敌方造成治疗量<color=#17f5cf>4200%</color>的真实伤害	· 治疗时对敌方造成真实伤害			
1302	萨贺芬·II	1		13	[2251098]	['治疗效率']	· 自身的治疗效果<color=#4a70b9>+100%</color>	20132	Assets/Product/Texture/Image/IconToolsSp/EFanniI02001Sp.png				2	2		· 治疗效果大幅提高		21132	· 自身的治疗效果<color=#17f5cf>+150%</color>	· 治疗效果大幅提高			
1303	萨贺芬·III	1		13	[2251098]	['治疗', '自动恢复']	· 每秒恢复<color=#4a70b9>10%</color>最大生命值	20133	Assets/Product/Texture/Image/IconToolsSp/EFanniI03001Sp.png				2	3		· 每秒恢复少量生命值		21133	· 每秒恢复<color=#17f5cf>10%</color>最大生命值\n· 治疗时，溢出生命值的<color=#17f5cf>20%</color>转化为护盾，转化上限为<color=#17f5cf>50%</color>最大生命值，护盾持续<color=#17f5cf>10</color>秒（重复获取时刷新）	· 每秒恢复少量生命值\n· 部分溢出治疗值转化为护盾			
1401	坎宁安·I	1		14	[2251097]	['闪避', '附加伤害']	· 常规闪避时，对范围内所有敌方释放<color=#4a70b9>2</color>次【<u>斩击</u>】\n· 极限闪避时，【<u>斩击</u>】次数<color=#4a70b9>+1</color>	20141	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	['斩击']	['· 造成攻击力<color=#4a70b9>210%</color>的属性伤害（基于当前角色属性）\\n· 每次释放后，斩击倍率<color=#4a70b9>+80%</color>，倍率总上限<color=#4a70b9>450%</color>，持续<color=#4a70b9>5</color>秒（重复获取时刷新）']		2	1		· 闪避时对范围内敌方进行【<u>斩击</u>】\n· 极限闪避时，【<u>斩击</u>】次数提高		21141	· 常规闪避时，对范围内所有敌方释放<color=#17f5cf>3</color>次【<u>重斩击</u>】\n· 极限闪避时，【<u>重斩击</u>】次数<color=#17f5cf>+1</color>	· 闪避时对范围内敌方进行【<u>重斩击</u>】\n· 极限闪避时，【<u>重斩击</u>】次数提高	['重斩击']	['· 造成攻击力<color=#17f5cf>290%</color>的属性伤害（基于当前角色属性）\\n· 每次释放后，斩击倍率<color=#17f5cf>+80%</color>，倍率总上限<color=#17f5cf>530%</color>，持续<color=#17f5cf>5</color>秒（重复获取时刷新）']	
1402	坎宁安·II	1		14	[2251098]	['闪避', '附加伤害']	· 常规闪避时，对范围内所有敌方释放<color=#4a70b9>2</color>次【<u>斩击</u>】\n· 极限闪避时，【<u>斩击</u>】次数<color=#4a70b9>+1</color>	20142	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	['斩击']	['· 造成攻击力<color=#4a70b9>210%</color>的属性伤害（基于当前角色属性）\\n· 每次释放后，斩击倍率<color=#4a70b9>+80%</color>，倍率总上限<color=#4a70b9>450%</color>，持续<color=#4a70b9>5</color>秒（重复获取时刷新）']		2	2		· 闪避时对范围内敌方进行【<u>斩击</u>】\n· 极限闪避时，【<u>斩击</u>】次数提高		21142	· 常规闪避时，对范围内所有敌方释放<color=#17f5cf>3</color>次【<u>重斩击</u>】\n· 极限闪避时，【<u>重斩击</u>】次数<color=#17f5cf>+1</color>	· 闪避时对范围内敌方进行【<u>重斩击</u>】\n· 极限闪避时，【<u>重斩击</u>】次数提高	['重斩击']	['· 造成攻击力<color=#17f5cf>290%</color>的属性伤害（基于当前角色属性）\\n· 每次释放后，斩击倍率<color=#17f5cf>+80%</color>，倍率总上限<color=#17f5cf>530%</color>，持续<color=#17f5cf>5</color>秒（重复获取时刷新）']	
1403	坎宁安·III	1		14	[2251098]	['闪避', '附加伤害']	· 常规闪避时，对范围内所有敌方释放<color=#4a70b9>2</color>次【<u>斩击</u>】\n· 极限闪避时，【<u>斩击</u>】次数<color=#4a70b9>+1</color>	20143	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	['斩击']	['· 造成攻击力<color=#4a70b9>210%</color>的属性伤害（基于当前角色属性）\\n· 每次释放后，斩击倍率<color=#4a70b9>+80%</color>，倍率总上限<color=#4a70b9>450%</color>，持续<color=#4a70b9>5</color>秒（重复获取时刷新）']		2	3		· 闪避时对范围内敌方进行【<u>斩击</u>】\n· 极限闪避时，【<u>斩击</u>】次数提高		21143	· 常规闪避时，对范围内所有敌方释放<color=#17f5cf>3</color>次【<u>重斩击</u>】\n· 极限闪避时，【<u>重斩击</u>】次数<color=#17f5cf>+1</color>	· 闪避时对范围内敌方进行【<u>重斩击</u>】\n· 极限闪避时，【<u>重斩击</u>】次数提高	['重斩击']	['· 造成攻击力<color=#17f5cf>290%</color>的属性伤害（基于当前角色属性）\\n· 每次释放后，斩击倍率<color=#17f5cf>+80%</color>，倍率总上限<color=#17f5cf>530%</color>，持续<color=#17f5cf>5</color>秒（重复获取时刷新）']	
