Id	AttType	SuitName	UseType	SuitEffectGroupId	Desc	TraitName	TraitDesc	StoryDesc	Icon	RecommendDesc	SimpleEffectDesc	QubitSuitEffectGroupId	QubitDesc	QubitSampleEffectDesc	QubitTraitName	QubitTraitDesc
11		弗兰	2	11	· 每<color=#4a70b9>5</color>秒，获得<color=#4a70b9>1</color>层套装内各部位的额外效果\n· <color=#4a70b9>I</color>伤害减免上限提高至<color=#4a70b9>60%</color>\n· <color=#4a70b9>II</color>额外伤害加成提高至<color=#4a70b9>120%</color>\n· <color=#4a70b9>III</color>倍率上限提高至<color=#4a70b9>2400%</color>				Assets/Product/Texture/Image/RoleWaferBag/EFulanI01002.png	-推荐驻场角色-	· 定期获得套装内各部位的效果\n· 各部位效果叠加上限提高	1011	· 每<color=#17f5cf>5</color>秒，获得<color=#17f5cf>1</color>层套装内各部位的额外效果\n· <color=#17f5cf>I</color>伤害减免上限提高至<color=#17f5cf>70%</color>\n· <color=#17f5cf>II</color>额外伤害加成提高至<color=#17f5cf>160%</color>\n· <color=#17f5cf>III</color>倍率上限提高至<color=#17f5cf>3200%</color>	· 定期获得套装内各部位的效果\n· 各部位效果叠加上限提高		
12		提法	2	12	· 每损失<color=#b73a3a>1000</color>点生命值，生命值上限<color=#4a70b9>+200</color>点，至多<color=#4a70b9>20000</color>点				Assets/Product/Texture/Image/RoleWaferBag/ETifaI01002.png	-推荐驻场角色-	· 损失生命值时，提高生命值上限	1012	· 生命值<color=#17f5cf>+30000</color>	· 生命值大幅提升		
13		萨贺芬	2	13	· 治疗伤害对场上所有敌方生效\n· 只有<color=#4a70b9>1</color>名敌方时，伤害值<color=#4a70b9>+100%</color>				Assets/Product/Texture/Image/RoleWaferBag/EFanniI01002.png	-推荐驻场角色-	· 治疗伤害对场上所有敌方生效\n· 敌方数量较少时，伤害值提高	1013	· 治疗伤害对场上所有敌方生效\n· 只有<color=#17f5cf>1</color>名敌方时，伤害值<color=#17f5cf>+100%</color>	· 治疗伤害对场上所有敌方生效\n· 敌方数量较少时，伤害值提高		
14		坎宁安	2	14	· 闪避恢复效率<color=#4a70b9>+200%</color>\n· 每次闪避视为极限闪避				Assets/Product/Texture/Image/RoleWaferBag/EKanninganI01002.png	-推荐驻场角色-	· 闪避恢复效率大幅提高\n· 每次闪避视为极限闪避	1014	· 闪避无消耗\n· 每次闪避视为极限闪避	· 闪避无消耗\n· 每次闪避视为极限闪避		
15		伏尔泰	2	15	· 战斗结算时，获得<color=#4a70b9>1</color>层【<u>处决</u>】效果（单局演算内永久累计）\n· BOSS战提供<color=#4a70b9>4</color>层{0}	['处决']	['· 对目标造成伤害时，若目标生命值比例低于处决层数，将其秒杀']		Assets/Product/Texture/Image/RoleWaferBag/EFuertaiI01002.png	-推荐驻场角色-	· 通过战斗节点时，局内永久获得固定层数的【<u>处决</u>】效果\n· BOSS战额外提供层数	1015	· 战斗结算时，获得<color=#17f5cf>2</color>层【<u>处决</u>】效果（单局演算内永久累计）\n· BOSS战提供<color=#17f5cf>5</color>层{0}	· 通过战斗节点时，局内永久获得固定层数的【<u>处决</u>】效果\n· BOSS战额外提供层数	['处决']	['· 对目标造成伤害时，若目标生命值比例低于处决层数，将其秒杀']
16		希格娜	2	16	· 敌方【<u>中毒</u>】层数上限<color=#4a70b9>+30</color>\n· 施加【<u>中毒</u>】时，额外施加<color=#4a70b9>1</color>层	['中毒']	['· 中毒状态下，每秒受到角色攻击力<color=#4a70b9>600%</color>的真实伤害，上限<color=#4a70b9>30</color>层，持续<color=#4a70b9>5</color>秒（重复获取时刷新，每层伤害独立计算）']		Assets/Product/Texture/Image/RoleWaferBag/EXigenaI01002.png	-推荐驻场角色-	· 敌方【<u>中毒</u>】层数上限提高\n· 施加【<u>中毒</u>】时，获得额外层数	1016	· 敌方【<u>剧毒</u>】层数上限<color=#17f5cf>+40</color>\n· 施加【<u>剧毒</u>】时，额外施加<color=#17f5cf>1</color>层	· 敌方【<u>剧毒</u>】层数上限提高\n· 施加【<u>剧毒</u>】时，获得额外层数	['剧毒']	['· 剧毒状态下，每秒受到角色攻击力<color=#17f5cf>600%</color>的真实伤害，上限<color=#17f5cf>30</color>层']
17		德珂朵	2	17	· <color=#4a70b9>I</color>、<color=#4a70b9>II</color>加成效果提高<color=#4a70b9>100%</color>\n· <color=#4a70b9>III</color>冷却降低至<color=#4a70b9>7</color>秒，护盾持续时间提高至<color=#4a70b9>10</color>秒				Assets/Product/Texture/Image/RoleWaferBag/EDekeduoI01002.png	-推荐驻场角色-	· 各部位加成效果提高	1017	· <color=#17f5cf>I</color>、<color=#17f5cf>II</color>加成效果提高<color=#17f5cf>120%</color>\n· <color=#17f5cf>III</color>冷却降低至<color=#17f5cf>5</color>秒，护盾持续时间提高至<color=#17f5cf>10</color>秒	· 各部位加成效果提高		
18		莫扎特	2	18	· 任意单段伤害，超过敌方<color=#4a70b9>1%</color>最大生命值时，额外造成<color=#4a70b9>1</color>次伤害值<color=#4a70b9>65%</color>的真实伤害，冷却<color=#4a70b9>2</color>秒\n· <color=#4a70b9>I</color>、<color=#4a70b9>II</color>、<color=#4a70b9>III</color>达标时额外提供治疗效果				Assets/Product/Texture/Image/RoleWaferBag/EMozateI01002.png	-推荐驻场角色-	· 任意单段伤害达标时，额外造成等量真实伤害\n· 各部位达标时额外提供治疗效果	1018	· 任意单段伤害，超过敌方<color=#17f5cf>1%</color>最大生命值时，额外造成<color=#17f5cf>1</color>次伤害值<color=#17f5cf>85%</color>的真实伤害，冷却<color=#17f5cf>2</color>秒\n· <color=#17f5cf>I</color>、<color=#17f5cf>II</color>、<color=#17f5cf>III</color>达标时额外提供治疗效果	· 任意单段伤害达标时，额外造成等量真实伤害\n· 各部位达标时额外提供治疗效果		
19		卢克雷齐娅	2	19	· 位移时生成持续<color=#4a70b9>2</color>秒的跟随火圈（重复获取时刷新），圈内所有敌方每<color=#4a70b9>0.5</color>秒受到<color=#4a70b9>1</color>次攻击力*<color=#4a70b9>（累计位移距离*10）%</color>的属性伤害（基于当前角色属性），累计位移距离上限<color=#4a70b9>500m</color>				Assets/Product/Texture/Image/RoleWaferBag/ELukeleiqiyaI01002.png	-推荐驻场角色-	· 位移时生成跟随火圈，对周边敌方造成持续伤害	1019	· 位移时生成持续<color=#4a70b9>2</color>秒的跟随火圈（重复获取时刷新），圈内所有敌方每<color=#4a70b9>0.5</color>秒受到<color=#4a70b9>1</color>次攻击力*<color=#4a70b9>（累计位移距离*20）%</color>的属性伤害（基于当前角色属性），累计位移距离上限<color=#4a70b9>1000m</color>	· 位移时生成跟随火圈，对周边敌方造成持续伤害		
20		艾夏	2	20	· I、II、III加成效果提高150%（套装上限不受影响）				Assets/Product/Texture/Image/RoleWaferBag/EAixiaI01002.png	-推荐驻场角色-	· 各部位加成效果提高	1020	· I、II、III加成效果提高<color=#17f5cf>150%</color>（套装上限不受影响）	· 各部位加成效果提高		
21		雪莱	2	21	·【<u>机械</u>】每<color=#4a70b9>10</color>级进化一次，解锁更强的形态和效果	['机械']	['· 机械跟随角色作战，战中阵亡时无法复活\\n· 机械攻击力和生命值随等级提高\\n· 战斗结算时，机械等级<color=#4a70b9>+1</color>，上限<color=#4a70b9>30</color>级']		Assets/Product/Texture/Image/RoleWaferBag/EXueLaiI01002.png	-推荐驻场角色-	·【<u>机械</u>】依据等级进化	1021	·【<u>机械</u>】升至满级，并突破上限进化至终极形态	·【<u>机械</u>】升至满级，并突破上限进化至终极形态	['机械']	['· 机械跟随角色作战，战中阵亡时无法复活\\n· 机械攻击力和生命值随等级提高\\n· 战斗结算时，机械等级<color=#4a70b9>+1</color>，上限<color=#4a70b9>30</color>级']
22		武安君	2	22	· 持有护盾期间获得霸体\n· I护盾获取效率提升至15%最大生命值，叠加上限提升至150%最大生命值				Assets/Product/Texture/Image/RoleWaferBag/EWuanjunI01002.png	-推荐驻场角色-	· 持有护盾期间获得霸体\n· I获取护盾的效率和叠加上限提高	1022	· 持有护盾期间获得霸体\n· I护盾获取效率提升至<color=#17f5cf>25%</color>最大生命值，叠加上限提升至<color=#17f5cf>250%</color>最大生命值	· 持有护盾期间获得霸体\n· I获取护盾的效率和叠加上限提高		
23	6	克娄帕特拉	1	23	· 敌方受到的空属性伤害<color=#4a70b9>+120%</color>				Assets/Product/Texture/Image/RoleWaferBag/ECleopatraI01002.png	-推荐驻场角色-	· 敌方受到的空属性伤害提高	1023	· 敌方受到的空属性伤害<color=#17f5cf>+120%</color>\n· 队内每存在<color=#17f5cf>1</color>个不同属性的角色，敌方受到的全属性伤害<color=#17f5cf>+50%</color>	· 敌方受到的空属性伤害提高\n· 队伍不同属性角色越多，敌方受到的全属性伤害越高		
50		艾琳	3	50	· 造成伤害时，使敌方受到的全属性伤害<color=#4a70b9>+100%</color>，持续<color=#4a70b9>8</color>秒				Assets/Product/Texture/Image/RoleWaferBag/EYileinuoyaI01002.png	-推荐后台角色-	· 造成伤害时，一定时间内使敌方受到的全属性伤害提高	1050	· 造成伤害时，使敌方受到的全属性伤害<color=#17f5cf>+150%</color>（重复触发不叠加）	· 造成伤害时，使敌方受到的全属性伤害提高		
51		黎塞留	3	51	· 治疗目标时，目标的攻击力<color=#4a70b9>+150%</color>，持续8秒				Assets/Product/Texture/Image/RoleWaferBag/ELisailiuI01002.png	-推荐后台角色-	· 治疗目标时，一定时间内目标攻击力大幅提高	1051	· 治疗目标时，目标的攻击力<color=#17f5cf>+150%</color>（重复触发不叠加）	· 治疗目标时，目标攻击力大幅提高		
52		艾克	3	52	· 下一名入场角色也会获得套装内各部位的效果（套装效果不计入）\n· <color=#4a70b9>II</color>效果提升至<color=#4a70b9>200%</color>				Assets/Product/Texture/Image/RoleWaferBag/EAikeI01002.png	-推荐后台角色-	· 下一名入场角色也会获得套装内各部位的效果（套装效果不计入）\n· <color=#4a70b9>II</color>效果提升	1052	· 下一名入场角色也会获得套装内各部位的效果（套装效果不计入）\n· <color=#17f5cf>II</color>效果提升至<color=#17f5cf>300%</color>	· 下一名入场角色也会获得套装内各部位的效果（套装效果不计入）\n· <color=#17f5cf>II</color>效果提升		
53		爱芙	3	53	· 出场时，重置后台角色切人冷却时间				Assets/Product/Texture/Image/RoleWaferBag/EAifuI01002.png	-推荐后台角色-	· 出场时，重置后台角色切人冷却时间	1053	· 出场时，重置后台角色切人冷却时间\n· 触发超算时，全队额外伤害加成<color=#17f5cf>+100%</color>，持续<color=#17f5cf>15</color>秒	· 出场时，重置后台角色切人冷却时间\n· 触发超算时，全队获得额外伤害加成		
54		伊丽莎白	3	54	· <color=#4a70b9>I</color>的加成比例提高至<color=#4a70b9>100%</color>\n· 场上角色受到致命伤害时，替代场上角色<color=#b73a3a>死亡</color>，并使场上角色在<color=#4a70b9>2</color>秒内免疫所有伤害，恢复<color=#4a70b9>100%</color>生命值				Assets/Product/Texture/Image/RoleWaferBag/EYilishabaiI01002.png	-推荐后台角色-	· <color=#4a70b9>I</color>和<color=#4a70b9>II</color>的加成比例提高\n· 场上角色受到致命伤害时，替代场上角色死亡，并恢复场上角色生命值	1054	· <color=#17f5cf>I</color>的加成比例提高至<color=#17f5cf>150%</color>\n· 场上角色受到致命伤害时，替代场上角色<color=#b73a3a>死亡</color>，并使场上角色在<color=#17f5cf>10</color>秒内免疫所有伤害，恢复<color=#17f5cf>100%</color>生命值	· <color=#17f5cf>I</color>和<color=#17f5cf>II</color>的加成比例提高\n· 场上角色受到致命伤害时，替代场上角色死亡，并恢复场上角色生命值		
55		尤尼梅特	3	55	· 队伍角色的职业均不相同时，额外获得<color=#4a70b9>1</color>次各部位加成效果				Assets/Product/Texture/Image/RoleWaferBag/EYounimeiteI01002.png	-推荐后台角色-	· 队伍角色的职业均不相同时，额外获得<color=#4a70b9>1</color>次各部位加成效果	1055	· 队伍角色的职业均不相同时，额外获得<color=#17f5cf>2</color>次各部位加成效果	· 队伍角色的职业均不相同时，额外获得<color=#17f5cf>2</color>次各部位加成效果		
56		爱丽丝	3	56	· 处于后台时，生命值上限每秒<color=#4a70b9>+900</color>点，上限<color=#4a70b9>9000</color>点				Assets/Product/Texture/Image/RoleWaferBag/EAliceI01002.png	-推荐后台角色-	· 处于后台时，持续提高自身生命值上限	1056	· 处于后台时，生命值上限每秒<color=#17f5cf>+1200</color>点，上限<color=#17f5cf>12000</color>点	· 处于后台时，持续大幅提高自身生命值上限		
57		歌罗达	3	57	· 导弹支援数目翻倍，伤害倍率提高至<color=#4a70b9>1777%</color>\n· 导弹支援有<color=#4a70b9>77%</color>的概率将伤害倍率提高至<color=#4a70b9>7777%</color>				Assets/Product/Texture/Image/RoleWaferBag/EGeluodaI01002.png	-推荐后台角色-	· 导弹支援能力Up!\n· 导弹支援有概率获得超级Up!!!	1057	· 导弹支援数目翻倍，伤害倍率提高至<color=#17f5cf>2333%</color>\n· 导弹支援有<color=#17f5cf>77%</color>的概率将伤害倍率提高至<color=#17f5cf>11111%</color>	· 导弹支援能力Up!\n· 导弹支援有概率获得究极Up!!!!!!		
58		嘉莉埃妮	3	58	· <color=#4a70b9>I</color>切换加成提升至<color=#4a70b9>40%</color>，叠加上限提升至<color=#4a70b9>160%</color>\n· <color=#4a70b9>II</color>效果全队生效				Assets/Product/Texture/Image/RoleWaferBag/ELongmeierI01002.png	-推荐后台角色-	· <color=#4a70b9>I</color>切换加成提高\n· <color=#4a70b9>II</color>效果全队生效	1058	· <color=#17f5cf>I</color>切换加成提升至<color=#17f5cf>50%</color>，叠加上限提升至<color=#17f5cf>200%</color>\n· <color=#17f5cf>II</color>效果全队生效	· <color=#17f5cf>I</color>切换加成提高\n· <color=#17f5cf>II</color>效果全队生效		
59		阿尔冯斯	3	59	· 切换入场时，离场角色记录场上角色 <color=#4a70b9>10</color>秒内造成的伤害\n·离场角色切换入场时，对场上所有敌方造成伤害记录值 <color=#4a70b9>90%</color>的真实伤害（造成伤害后记录值清空）				Assets/Product/Texture/Image/RoleWaferBag/EAlphonseI01002.png	-推荐后台角色-	· 切换入场时，离场角色记录场上角色造成的伤害\n· 离场角色切换入场时，基于记录值对场上所有敌方造成真实伤害	1059	· 切换入场时，离场角色记录场上角色 <color=#17f5cf>10</color>秒内造成的伤害\n·离场角色切换入场时，对场上所有敌方造成伤害记录值 <color=#17f5cf>130%</color>的真实伤害（造成伤害后记录值清空）	· 切换入场时，离场角色记录场上角色造成的伤害\n· 离场角色切换入场时，基于记录值对场上所有敌方造成真实伤害		
60		科亚	3	60	· 记录缓速领域持续期间，内部所有敌方承受的伤害值，领域结束后，对内部所有敌方造成记录值*<color=#4a70b9>20%</color>的真实伤害				Assets/Product/Texture/Image/RoleWaferBag/EKeya01002.png	-推荐后台角色-	· 记录缓速领域持续期间，内部所有敌方承受的伤害值，领域结束后，基于记录值对内部所有敌方造成真实伤害	1060	· 记录缓速领域持续期间，内部所有敌方承受的伤害值，领域结束后，对内部所有敌方造成记录值*<color=#17f5cf>40%</color>的真实伤害	· 记录缓速领域持续期间，内部所有敌方承受的伤害值，领域结束后，基于记录值对内部所有敌方造成真实伤害		
