Id	FightEvents	SystemEvents	Note
10049	[2251149]		道具效果-闪避回复
10050	[2251150]		道具效果-防御提升
10051	[2251151]		道具效果-套娃A
10052	[2251152]		道具效果-套娃A
10053	[2251153]		道具效果-套娃A
10054	[2251154]		道具效果-套娃B
10055	[2251155]		道具效果-套娃B
10056	[2251156]		道具效果-套娃B
10057	[2251157]		道具效果-回球效率
10058	[2251158]		道具效果-能量提升
10059	[2251159]		道具效果-移速提升
10060	[2251160]		道具效果-初动
10061	[2251179]		道具效果-+30%空属性伤害
10062		[10062]	道具效果-α量子值+10
11001		[11001]	道具效果-招募能量+1
11002		[11002]	道具效果-招募能量+2
11003		[11003]	道具效果-招募能量+3
11004		[11004]	道具效果-负重+1
11005		[11005]	道具效果-负重+2
11006		[11006]	道具效果-金币+250
12001	[2251166]		道具效果-全属性伤害+200%
12002	[2251167]		道具效果-攻击力+6000
12003	[2251168]		道具效果-QTE无冷却时间，每次触发QTE后随即获得一组三消
12004	[2251161]		道具效果-红蓝色胶囊
12005	[2251162]		道具效果-权限密钥
12006	[2251163]		道具效果-光束蓄能剑
12007	[2251164]		道具效果-被遗弃的光线枪
12008	[2251165]		道具效果-魅影G720频闪灯
12009	[2251169]		道具效果-福音残片·I
12010	[2251170]		道具效果-福音残片·II
12011			道具效果-孤儿园工作证
12012	[2251171]		道具效果-福音残片·III
12013	[2251172]		道具效果-福音残片·IV
12014			道具效果-满装血清
12015	[2251173]		道具效果-空置血清
12016	[2251174]		道具效果-实验室工作证
12017		[11006]	道具效果-研究日志·I
12018	[2251175]		道具效果-研究日志·II
12019			道具效果-血滴石
12020	[2251176]		道具效果-数据结晶·I
12021	[2251177]		道具效果-数据结晶·II
12022	[2251178]		道具效果-100个愿望
110001	[2252141]	[110001, 110013]	肉鸽3.0DLC-金色道具-购买藏品概率得额外藏品
110002	[2252101, 2252141]	[110013]	肉鸽3.0DLC-金色道具-已使用招募能量加攻
110003	[2252102, 2252141]	[110013]	肉鸽3.0DLC-金色道具-量子值加伤害
110004	[2252103, 2252141]	[110013]	肉鸽3.0DLC-金色道具-量子值阈值提供强化
110005	[2252141]	[110003, 110004, 110013]	肉鸽3.0DLC-金色道具-战斗结算给量子值
110006	[2252141]	[110005, 110013]	肉鸽3.0DLC-金色道具-立即获得3个金箱子
110007	[2252104, 2252141]	[110013]	肉鸽3.0DLC-金色道具-闪避全队回血
110008	[2252105, 2252141]	[110013]	肉鸽3.0DLC-金色道具-入场100%护盾
110009	[2252106, 2252141]	[110013]	肉鸽3.0DLC-金色道具-造成伤害追加30%真伤
110010	[2252107, 2252141]	[110013]	肉鸽3.0DLC-金色道具-根据造成伤害的属性加伤
110011	[2252108, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-角色超算内加伤
110012	[2252109, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-怪物超算内减抗
110013	[2252142]	[110006, 110012]	肉鸽3.0DLC-紫色道具-休整节点装备交换次数
110014	[2252142]	[110012]	肉鸽3.0DLC-紫色道具-扭蛋机事件概率
110015	[2252110, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-闪避超级加速
110016	[2252111, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-全程加伤
110017	[2252112, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-受伤后提升伤害加成
110018	[2252113, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-闪避后加伤
110019	[2252114, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-两侧量子值相等，大幅加攻
110020	[2252115, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-α量子值大于阈值强化
110021	[2252116, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-β量子值大于阈值强化
110022	[2252142]	[110008, 110012]	肉鸽3.0DLC-紫色道具-立即获得1个金箱子
110023	[2252142]	[110009, 110010, 110012]	肉鸽3.0DLC-紫色道具-立即获得1个红箱子和一个蓝箱子
110024	[2252117, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-打人的怪减速
110025	[2252118, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-入场50%护盾
110026	[2252119, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-造成伤害追加20%属性伤害
110027	[2252120, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-根据造成伤害的属性加伤
110028	[2252121, 2252142]	[110012]	肉鸽3.0DLC-紫色道具-攻击量子化敌人加伤50%
110029	[2252122, 2252143]		肉鸽3.0DLC-蓝色道具-闪避小幅加速
110030	[2252123, 2252143]		肉鸽3.0DLC-蓝色道具-怪物超算内减抗
110031	[2252124, 2252143]		肉鸽3.0DLC-蓝色道具-全程加伤
110032	[2252125, 2252143]		肉鸽3.0DLC-蓝色道具-受伤后提升伤害加成
110033	[2252126, 2252143]		肉鸽3.0DLC-蓝色道具-闪避给少量盾
110034	[2252127, 2252143]		肉鸽3.0DLC-蓝色道具-停止移动，霸体+减伤
110035	[2252128, 2252143]		肉鸽3.0DLC-蓝色道具-闪避30%减伤
110036	[2252143]	[110011]	肉鸽3.0DLC-蓝色道具-立即获得一个随机箱子
110037	[2252129, 2252143]		肉鸽3.0DLC-蓝色道具-闪避自己回血
110038	[2252130, 2252143]		肉鸽3.0DLC-蓝色道具-受伤进超算
110039	[2252131, 2252143]		肉鸽3.0DLC-蓝色道具-入场20%护盾
110040	[2252132, 2252143]		肉鸽3.0DLC-蓝色道具-造成伤害的效果-物理伤害
110041	[2252133, 2252143]		肉鸽3.0DLC-蓝色道具-造成伤害的效果-雷伤害
110042	[2252134, 2252143]		肉鸽3.0DLC-蓝色道具-造成伤害的效果-冰伤害
110043	[2252135, 2252143]		肉鸽3.0DLC-蓝色道具-造成伤害的效果-暗伤害
110044	[2252136, 2252143]		肉鸽3.0DLC-蓝色道具-造成伤害的效果-火伤害
110045	[2252137, 2252143]		肉鸽3.0DLC-蓝色道具-造成伤害的效果-空伤害
110046	[2252138, 2252143]		肉鸽3.0DLC-蓝色道具-停止移动每秒+100hp上限
110047	[2252139, 2252143]		肉鸽3.0DLC-蓝色道具-停止移动每秒+50atk
110048	[2252140, 2252143]		肉鸽3.0DLC-蓝色道具-根据造成伤害的属性给护盾
110049		[110049]	肉鸽3.0DLC-金色道具-β值+10
110050	[2252141, 2252145]	[110013]	肉鸽3.0DLC-金色道具-每有一个双刃藏品，额外伤害加成+20%
110051	[2252141, 2252146]	[110013]	肉鸽3.0DLC-金色道具-每有一个双刃藏品，生命+15%
110052	[2252142, 2252147]	[110012]	肉鸽3.0DLC-紫色道具-造成伤害时，附加伤害值10%的物理伤害与10%的空属性伤害，冷却1秒
110053	[2252142, 2252148]	[110012]	肉鸽3.0DLC-紫色道具-造成伤害时，附加伤害值10%的雷属性伤害与10%的暗属性伤害，冷却1秒
110054	[2252142, 2252149]	[110012]	肉鸽3.0DLC-紫色道具-造成伤害时，附加伤害值10%的冰属性伤害与10%的火属性伤害，冷却1秒
110055	[2252142, 2252150]	[110012]	肉鸽3.0DLC-紫色道具-物理伤害+60%
110056	[2252142, 2252151]	[110012]	肉鸽3.0DLC-紫色道具-火属性伤害+60%
110057	[2252142, 2252152]	[110012]	肉鸽3.0DLC-紫色道具-雷属性伤害+60%
110058	[2252142, 2252153]	[110012]	肉鸽3.0DLC-紫色道具-冰属性伤害+60%
110059	[2252142, 2252154]	[110012]	肉鸽3.0DLC-紫色道具-暗属性伤害+60%
110060	[2252142, 2252155]		肉鸽3.0DLC-紫色道具-空属性伤害+60%
110061	[2252143, 2252156]		肉鸽3.0DLC-蓝色道具-α量子值≥β量子值时，生命+45%
110062	[2252143, 2252157]		肉鸽3.0DLC-蓝色道具-α量子值≤β量子值时，攻击+45%
210001	[2252161]		添火道具-红色-<color=#b73a3a>护盾4</color>
210002	[2252162]		添火道具-红色-<color=#b73a3a>过载</color>
210003	[2252163]		添火道具-红色-<color=#b73a3a>汲取</color>
210004	[2252164]		添火道具-红色-<color=#b73a3a>急救</color>
210005	[2252165]		添火道具-红色-<color=#b73a3a>失速</color>
210006	[2252166]		添火道具-金色-<color=#FC8B1E>强攻</color>
210007	[2252167]		添火道具-金色-<color=#FC8B1E>冻结</color>
210008	[2252168]		添火道具-金色-<color=#FC8B1E>适应性装甲</color>
210009	[2252169]		添火道具-金色-<color=#FC8B1E>刚体</color>
210010	[2252170]		添火道具-金色-<color=#FC8B1E>粉碎</color>
210011	[2252171]		添火道具-金色-<color=#FC8B1E>护盾3</color>
210012	[2252172]		添火道具-紫色-<color=#CC68C1>暴击2</color>
210013	[2252173]		添火道具-紫色-<color=#CC68C1>减速</color>
210014	[2252174]		添火道具-紫色-<color=#CC68C1>攻击2</color>
210015	[2252175]		添火道具-紫色-<color=#CC68C1>劣化</color>
210016	[2252176]		添火道具-紫色-<color=#CC68C1>散失</color>
210017	[2252177]		添火道具-紫色-<color=#CC68C1>失能</color>
210018	[2252178]		添火道具-紫色-<color=#CC68C1>暴走3</color>
210019	[2252179]		添火道具-紫色-<color=#CC68C1>护盾2</color>
210020	[2252180]		添火道具-紫色-<color=#CC68C1>生命2</color>
210021	[2252181]		添火道具-蓝色-<color=#3E70BB>电盾</color>
210022	[2252182]		添火道具-蓝色-<color=#3E70BB>暴击1</color>
210023	[2252183]		添火道具-蓝色-<color=#3E70BB>迅捷3</color>
210024	[2252184]		添火道具-蓝色-<color=#3E70BB>自爆虫</color>
210025	[2252185]		添火道具-蓝色-<color=#3E70BB>不动</color>
210026	[2252186]		添火道具-蓝色-<color=#3E70BB>失衡</color>
210027	[2252187]		添火道具-蓝色-<color=#3E70BB>生命值1</color>
210028	[2252188]		添火道具-蓝色-<color=#3E70BB>护盾1</color>
20011	[2251001]		肉鸽3.0-物属性装备1
20012	[2251002]		肉鸽3.0-物属性装备2
20013	[2251003]		肉鸽3.0-物属性装备3
20014			肉鸽3.0-物属性套装（废弃，配到外部Globle）
20021	[2251005]		肉鸽3.0-火属性装备1
20022	[2251006]		肉鸽3.0-火属性装备2
20023	[2251007]		肉鸽3.0-火属性装备3
20024			肉鸽3.0-火属性套装（废弃，配到外部Globle）
20031	[2251009]		肉鸽3.0-雷属性装备1
20032	[2251010]		肉鸽3.0-雷属性装备2
20033	[2251011]		肉鸽3.0-雷属性装备3
20034			肉鸽3.0-雷属性套装（废弃，配到外部Globle）
20041	[2251013]		肉鸽3.0-冰属性装备1
20042	[2251014]		肉鸽3.0-冰属性装备2
20043	[2251015]		肉鸽3.0-冰属性装备3
20044			肉鸽3.0-冰属性套装（废弃，配到外部Globle）
20051	[2251017]		肉鸽3.0-暗属性装备1
20052	[2251018]		肉鸽3.0-暗属性装备2
20053	[2251019]		肉鸽3.0-暗属性装备3
20054			肉鸽3.0-暗属性套装（废弃，配到外部Globle）
20061	[2251021]		肉鸽3.0-消球强化装备1
20062	[2251022]		肉鸽3.0-消球强化装备2
20063	[2251023]		肉鸽3.0-消球强化装备3
20064	[2251024]		肉鸽3.0-消球强化套装
20071	[2251025]		肉鸽3.0-大招强化装备1
20072	[2251026]		肉鸽3.0-大招强化装备2
20073	[2251027]		肉鸽3.0-大招强化装备3
20074	[2251028]		肉鸽3.0-大招强化套装
20081	[2251029]		肉鸽3.0-普攻强化装备1
20082	[2251030]		肉鸽3.0-普攻强化装备2
20083	[2251031]		肉鸽3.0-普攻强化装备3
20084	[2251032]		肉鸽3.0-普攻强化套装
20091	[2251033]		肉鸽3.0-暴击强化装备1
20092	[2251034]		肉鸽3.0-暴击强化装备2
20093	[2251035]		肉鸽3.0-暴击强化装备3
20094	[2251036]		肉鸽3.0-暴击强化套装
20101	[2251037]	[20101]	肉鸽3.0-金币强化装备1
20102	[2251038]		肉鸽3.0-金币强化装备2
20103	[2251039]		肉鸽3.0-金币强化装备3
20104	[2251040]	[20104]	肉鸽3.0-金币强化套装
20111	[2251041]		肉鸽3.0-受伤强化装备1
20112	[2251042]		肉鸽3.0-受伤强化装备2
20113	[2251043]		肉鸽3.0-受伤强化装备3
20114	[2251044]		肉鸽3.0-受伤强化套装
20121	[2251045]		肉鸽3.0-燃血强化装备1
20122	[2251046]		肉鸽3.0-燃血强化装备2
20123	[2251047]		肉鸽3.0-燃血强化装备3
20124	[2251048]		肉鸽3.0-燃血强化套装
20131	[2251049]		肉鸽3.0-治疗毒奶装备1
20132	[2251050]		肉鸽3.0-治疗毒奶装备2
20133	[2251051]		肉鸽3.0-治疗毒奶装备3
20134	[2251052]		肉鸽3.0-治疗毒奶套装
20141	[2251053]		肉鸽3.0-闪避强化装备1
20142	[2251054]		肉鸽3.0-闪避强化装备2
20143	[2251055]		肉鸽3.0-闪避强化装备3
20144	[2251056]		肉鸽3.0-闪避强化套装
20151	[2251057]	[20151]	肉鸽3.0-单局成长装备1
20152	[2251058]	[20152]	肉鸽3.0-单局成长装备2
20153	[2251059]	[20153]	肉鸽3.0-单局成长装备3
20154	[2251060]	[20154, 20155]	肉鸽3.0-单局成长套装
20161	[2251099]		肉鸽3.0-中毒套装装备1-【入场中毒需要globe外部效果】
20162	[2251062]		肉鸽3.0-中毒套装装备2
20163	[2251063]		肉鸽3.0-中毒套装装备3
20164	[2251064]		肉鸽3.0-中毒套装
20171	[2251065]		肉鸽3.0-普通QTE装备1
20172	[2251066, 2251067]		肉鸽3.0-普通QTE装备2
20173	[2251065]		肉鸽3.0-普通QTE装备3
20174	[2251068]		肉鸽3.0-普通QTE套装
20181	[2251069]		肉鸽3.0-治疗QTE装备1
20182	[2251070, 2251071]		肉鸽3.0-治疗QTE装备2
20183	[2251071]		肉鸽3.0-治疗QTE装备3
20184	[2251072]		肉鸽3.0-治疗QTE套装
20191	[2251074]		肉鸽3.0-爆发切人装备1
20192	[2251073, 2251075]		肉鸽3.0-爆发切人装备2
20193	[2251075]		肉鸽3.0-爆发切人装备3
20194	[2251076]		肉鸽3.0-爆发切人套装
20201	[2251077]		肉鸽3.0-工具切人装备1
20202	[2251079]		肉鸽3.0-工具切人装备2
20203	[2251078]		肉鸽3.0-工具切人装备3
20204	[2251080]		肉鸽3.0-工具切人套装
20211	[2251081, 2251082]		肉鸽3.0-后台BUFF装备1
20212	[2251083]		肉鸽3.0-后台BUFF装备2
20213	[2251082]		肉鸽3.0-后台BUFF装备3
20214	[2251084]		肉鸽3.0-后台BUFF套装
20221	[2251085, 2251086]		肉鸽3.0-职业BUFF装备1
20222	[2251087]		肉鸽3.0-职业BUFF装备2
20223	[2251086]		肉鸽3.0-职业BUFF装备3
20224	[2251088]		肉鸽3.0-职业BUFF套装
20231	[2251089]		肉鸽3.0-炸弹人装备1
20232	[2251090]		肉鸽3.0-炸弹人装备2
20233	[2251091]		肉鸽3.0-炸弹人装备3
20234	[2251092]		肉鸽3.0-炸弹人套装
20241	[2251093]		肉鸽3.0-70支援装备1
20242	[2251095]		肉鸽3.0-70支援装备2
20243	[2251094]		肉鸽3.0-70支援装备3
20244	[2251096]		肉鸽3.0-70支援套装
20251	[2251408]		肉鸽3.0-背水装备1
20252	[2251409]		肉鸽3.0-背水装备2
20253	[2251410]		肉鸽3.0-背水装备3
20254	[2251411]		肉鸽3.0-背水套装
20261	[2251412]		肉鸽3.0-单点装备1
20262	[2251413]		肉鸽3.0-单点装备2
20263	[2251414]		肉鸽3.0-单点装备3
20264	[2251415]		肉鸽3.0-单点套装
20271	[2251416]		肉鸽3.0-后台轮切加攻装备1
20272	[2251417]		肉鸽3.0-后台轮切加攻装备2
20273	[2251418]		肉鸽3.0-后台轮切加攻套装
20281	[2251419]		肉鸽3.0-后台暖机装备1
20282	[2251420]		肉鸽3.0-后台暖机装备2
20283	[2251421]		肉鸽3.0-后台暖机套装
20291	[2253097]		肉鸽3.0-DLC-空元素套1-空元素伤害提升
20292	[2253098]		肉鸽3.0-DLC-空元素套2-附加空元素伤害
20293	[2253099]		肉鸽3.0-DLC-空元素套3-攻击降低空元素抗性
20294			肉鸽3.0-DLC-空元素套-套装-降低怪物空元素弱点【配置到外部globe】
20301	[2252001]	[20301]	肉鸽3.0-DLC-独行套1-招募能量加伤
20302	[2252002]	[20302]	肉鸽3.0-DLC-独行套2-招募能量加血
20303	[2252003]	[20303]	肉鸽3.0-DLC-独行套3-招募能量加敌人元素弱点
20304	[2252004]		肉鸽3.0-DLC-独行套-套装标记-单件效果大幅提升
20311	[2252008]		肉鸽3.0-DLC-护盾套1-打人得盾
20312	[2252009]		肉鸽3.0-DLC-护盾套2-打人碎盾附加护盾伤害
20313	[2252010]		肉鸽3.0-DLC-护盾套3-挨打附加护盾伤害
20314	[2252011]		肉鸽3.0-DLC-护盾套-套装-加速叠盾效率
20321	[2252012]	[20321]	肉鸽3.0-DLC-召唤套1-召唤机械体光环加攻
20322	[2252013]	[20322]	肉鸽3.0-DLC-召唤套2-召唤机械体光环减伤
20323	[2252014]	[20323]	肉鸽3.0-DLC-召唤套3-召唤机械体永生程序
20324	[2252015]		肉鸽3.0-DLC-召唤套-套装-机械体额外升级机制
20331	[2252016]		肉鸽3.0-DLC-位移套1-位移回血且血转盾
20332	[2252017]		肉鸽3.0-DLC-位移套2-位移根据距离造成伤害
20333	[2252018]		肉鸽3.0-DLC-位移套3-位移获得伤害加成
20334	[2252019]		肉鸽3.0-DLC-位移套-套装-位移留下火环
20341	[2252005]		肉鸽3.0-DLC-减速套1-QTE出领域
20342	[2252006]		肉鸽3.0-DLC-减速套2-领域内打人减QTECD
20343	[2252007]		肉鸽3.0-DLC-减速套-套装-领域结算额外比例伤害
21011	[2253077]		肉鸽3.0-DLC-物理套1-装备数值升级-物伤提升
21012	[2253078]		肉鸽3.0-DLC-物理套2-装备数值升级-附加伤害
21013	[2253079]		肉鸽3.0-DLC-物理套3-装备数值升级-造成伤害减物抗
21014	[2253080]		肉鸽3.0-DLC-物理套-套装-锐矛表现【也还需要外部globe配减弱点】
21021	[2253081]		肉鸽3.0-DLC-火元素套1-装备数值升级-物伤提升
21022	[2253082]		肉鸽3.0-DLC-火元素套2-装备数值升级-附加伤害
21023	[2253083]		肉鸽3.0-DLC-火元素套3-装备数值升级-造成伤害减物抗
21024	[2253084]		肉鸽3.0-DLC-火元素套-套装-陨石表现【也还需要外部globe配减弱点】
21031	[2253085]		肉鸽3.0-DLC-雷元素套1-装备数值升级-物伤提升
21032	[2253086]		肉鸽3.0-DLC-雷元素套2-装备数值升级-附加伤害
21033	[2253087]		肉鸽3.0-DLC-雷元素套3-装备数值升级-造成伤害减物抗
21034	[2253088]		肉鸽3.0-DLC-雷元素套-套装-雷击表现【也还需要外部globe配减弱点】
21041	[2253089]		肉鸽3.0-DLC-冰元素套1-装备数值升级-物伤提升
21042	[2253090]		肉鸽3.0-DLC-冰元素套2-装备数值升级-附加伤害
21043	[2253091]		肉鸽3.0-DLC-冰元素套3-装备数值升级-造成伤害减物抗
21044	[2253092]		肉鸽3.0-DLC-冰元素套-套装-冰阵表现【也还需要外部globe配减弱点】
21051	[2253093]		肉鸽3.0-DLC-暗元素套1-装备数值升级-物伤提升
21052	[2253094]		肉鸽3.0-DLC-暗元素套2-装备数值升级-附加伤害
21053	[2253095]		肉鸽3.0-DLC-暗元素套3-装备数值升级-造成伤害减物抗
21054	[2253096]		肉鸽3.0-DLC-暗元素套-套装-黑洞表现【也还需要外部globe配减弱点】
21061	[2253001]		肉鸽3.0-DLC-消球套1-装备机制升级-三消给重排球
21062	[2253002]		肉鸽3.0-DLC-消球套2-装备数值升级-消球给增伤
21063	[2253003]		肉鸽3.0-DLC-消球套3-装备机制升级-少于特定球数自动加球
21064	[2253004]		肉鸽3.0-DLC-消球套-套装-装备机制升级-根据三消额外加伤
21071	[2253005]		肉鸽3.0-DLC-大招套1-装备数值升级-消耗必杀能量降低
21072	[2253006]		肉鸽3.0-DLC-大招套2-装备数值升级-释放必杀叠必杀伤害
21073	[2253007]		肉鸽3.0-DLC-大招套3-装备机制升级-入场给全队能量
21074	[2253008]		肉鸽3.0-DLC-大招套-套装-装备机制升级-根据耗能提升大招伤害
21081	[2253009]		肉鸽3.0-DLC-普攻套1-装备数值升级-伤口增伤提升
21082	[2253010]		肉鸽3.0-DLC-普攻套2-装备数值升级-普攻伤口增伤
21083	[2253011]		肉鸽3.0-DLC-普攻套3-装备数值升级-间隔普攻暴击
21084	[2253012]		肉鸽3.0-DLC-普攻套-套装-装备数值升级-伤口上限增加
21091	[2253013]		肉鸽3.0-DLC-暴击套1-装备数值升级-连击加暴击率
21092	[2253014]		肉鸽3.0-DLC-暴击套2-装备数值升级-连击加爆伤
21093	[2253015]		肉鸽3.0-DLC-暴击套3-装备数值升级-攻击加连击数
21094	[2253016]		肉鸽3.0-DLC-暴击套-套装-装备数值升级-溢出爆率转爆伤
21101		[21101]	肉鸽3.0-DLC-金币套2-装备数值升级-获得金币比例提升
21102	[2253017]		肉鸽3.0-DLC-金币套2-装备数值升级-金币加伤
21103	[2253018]		肉鸽3.0-DLC-金币套3-装备数值升级-金币加血
21104	[2253019]	[21104]	肉鸽3.0-DLC-金币套-套装-装备数值升级-buff叠层翻倍
21111	[2253020]		肉鸽3.0-DLC-受伤套1-装备数值升级-受伤叠减伤
21112	[2253021]		肉鸽3.0-DLC-受伤套2-装备数值升级-受伤叠增伤
21113	[2253022]		肉鸽3.0-DLC-受伤套3-装备数值升级-受伤叠光环伤害
21114	[2253023]		肉鸽3.0-DLC-受伤套-套装-装备数值升级-叠层上限提升
21121	[2253024]		肉鸽3.0-DLC-燃血套1-装备数值升级-超算燃血伤害
21122	[2253025]		肉鸽3.0-DLC-燃血套2-装备数值升级-三消燃血伤害
21123	[2253026]		肉鸽3.0-DLC-燃血套3-装备数值升级-大招燃血伤害
21124	[2253027]		肉鸽3.0-DLC-燃血套-套装-装备数值升级-损失血量叠最大血量
21131	[2253028]		肉鸽3.0-DLC-毒奶套1-装备数值升级-毒奶打人
21132	[2253029]		肉鸽3.0-DLC-毒奶套2-装备数值升级-加治疗
21133	[2253030]		肉鸽3.0-DLC-毒奶套3-装备机制升级-回血溢出转盾
21134	[2253031]		肉鸽3.0-DLC-毒奶套-套装-装备数值升级-套装标记
21141	[2253039]		肉鸽3.0-DLC-闪避套1-装备数值升级-闪避斩击
21142	[2253040]		肉鸽3.0-DLC-闪避套2-装备数值升级-闪避斩击
21143	[2253041]		肉鸽3.0-DLC-闪避套3-装备数值升级-闪避斩击
21144	[2253042]		肉鸽3.0-DLC-闪避套-套装-装备数值升级-不消耗闪避
21151	[2253032]	[21151]	肉鸽3.0-DLC-RPG成长套1-装备数值升级-节点加血
21152	[2253033]	[21152]	肉鸽3.0-DLC-RPG成长套2-装备数值升级-节点加攻
21153		[21153]	肉鸽3.0-DLC-RPG成长套2-装备数值升级-节点加钱
21154	[2253034]	[21154, 21155]	肉鸽3.0-DLC-RPG成长套-套装-装备数值升级-节点加斩杀
21161	[2253035]		肉鸽3.0-DLC-中毒套1-装备数值升级-出场中毒层数-【入场需要globe外部效果】
21162	[2253036]		肉鸽3.0-DLC-中毒套2-装备数值升级-超算生成毒圈
21163	[2253037]		肉鸽3.0-DLC-中毒套3-装备数值升级-伤害叠加中毒
21164	[2253038]		肉鸽3.0-DLC-中毒套-套装-装备数值升级-套装标记
21171	[2253043]		肉鸽3.0-DLC-QTE套1-装备数值升级-QTE减抗
21172	[2253044, 2253045]		肉鸽3.0-DLC-QTE套2-装备数值升级-QTE超算
21173	[2253045]		肉鸽3.0-DLC-QTE套3-装备数值升级-QTE双拉
21174	[2253046]		肉鸽3.0-DLC-QTE套-套装-QTE减弱点
21181	[2253047]		肉鸽3.0-DLC-治疗QTE套1-装备数值升级-治疗增伤
21182	[2253048, 2253049]		肉鸽3.0-DLC-治疗QTE套2-装备数值升级-治疗回球
21183	[2253049]		肉鸽3.0-DLC-治疗QTE套3-装备数值升级-治疗回闪
21184	[2253050]		肉鸽3.0-DLC-治疗QTE套-套装-治疗加攻
21191	[2253052]		肉鸽3.0-DLC-爆发切人套1-装备数值升级-切人给能量
21192	[2253051, 2253053]		肉鸽3.0-DLC-爆发切人套2-装备机制升级-切人给球&加伤
21193	[2253053]		肉鸽3.0-DLC-爆发切人套3-装备数值升级-切人给加伤
21194	[2253054]		肉鸽3.0-DLC-爆发切人套-套装-切人buff继承
21201	[2253074]		肉鸽3.0-DLC-工具切人套1-装备机制升级-放大后台角色获得能量与上限
21202	[2253075]		肉鸽3.0-DLC-工具切人套2-装备机制升级-入场离场超算并qte
21203			肉鸽3.0-DLC-工具切人装备3-装备机制升级-合并废弃
21204	[2253076]		肉鸽3.0-DLC-工具切人套-套装-下场重置换人冷却，超算加伤
21211	[2253055, 2253056]		肉鸽3.0-DLC-后台buff套1-装备数值升级-后台加攻&加血
21212	[2253057]		肉鸽3.0-DLC-后台buff套2-装备数值升级-后台承伤
21213	[2253057]		肉鸽3.0-DLC-后台buff套3-装备数值升级-后台承伤
21214	[2253058]		肉鸽3.0-DLC-后台buff套-套装-加成提升&替死
21221	[2253059, 2253060]		肉鸽3.0-DLC-职业buff套1-装备数值升级-职业加攻&加血
21222	[2253061]		肉鸽3.0-DLC-职业buff套2-装备数值升级-职业回能量
21223	[2253061]		肉鸽3.0-DLC-职业buff套3-装备数值升级-职业回能量
21224	[2253062]		肉鸽3.0-DLC-职业buff套-套装-加成提升
21231	[2253063]		肉鸽3.0-DLC-炸弹人套1-装备数值升级-入场/QTE爆破、后台回血
21232	[2253064]		肉鸽3.0-DLC-炸弹人套2-装备数值升级-入场/QTE爆破、后台回血
21233	[2253065]		肉鸽3.0-DLC-炸弹人套3-装备数值升级-入场/QTE爆破、后台回血
21234	[2253066]		肉鸽3.0-DLC-炸弹人套-套装-后台涨血量
21241	[2253067]		肉鸽3.0-DLC-777套1-装备数值升级-消7球给支援
21242	[2253068]		肉鸽3.0-DLC-777套2-装备数值升级-闪避给支援-废弃
