Id	Desc	Type	Params
30112	肉鸽3.0外循环-装备箱免费刷新次数+1	33	[1.0]
30131	肉鸽3.0外循环-装备箱付费刷新价格-50%	34	[0.5]
99001	投影仪-双值-α	28	[1.0, 12.0, 15.0]
99002	投影仪-双值-β	28	[2.0, 12.0, 15.0]
99003	招募能量+2	22	[2.0]
99004	测试量子值事件-α	28	[1.0, 6.0, 6.0]
99005	测试量子值事件-β	28	[2.0, 6.0, 6.0]
99006	测试量子值事件-α2	28	[1.0, 8.0, 8.0]
99007	测试量子值事件-β2	28	[2.0, 8.0, 8.0]
99008	金币+500	12	[96189.0, 500.0]
99991	肉鸽量子路线开启	26	[1.0]
99992	肉鸽量子路线关闭	26	[0.0]
99993	肉鸽直接切换量子路线	27	
99994	肉鸽量子化套装加β量子值	28	[2.0, 8.0, 8.0]
99995	肉鸽净化戒指加α量子值	28	[1.0, 8.0, 8.0]
110001	购买道具-50%概率额外获得一个藏品，10%概率损失20%当前金币	30	[5000.0, 1000.0, 104.0, 0.0, 999.0, 12345.0, 12345.0]
110003	每场战斗额外给量子值-α给1点	32	[1.0, 2.0]
110004	每场战斗额外给量子值-β给1点	32	[2.0, 2.0]
110005	立即给3个金箱子	25	[5.0, 3.0]
110006	工坊节点装备交换次数+1	29	[2.0, 1.0]
110008	立即给1个金箱子	25	[5.0, 1.0]
110009	立即给1个红箱子+1个蓝箱子（红）	25	[2.0, 1.0]
110010	立即给1个红箱子+1个蓝箱子（蓝）	25	[3.0, 1.0]
110011	立即给1个红蓝混箱	25	[4.0, 1.0]
110012	紫色双刃藏品-β量子值	28	[2.0, 2.0, 2.0]
110013	金色双刃藏品-β量子值	28	[2.0, 5.0, 5.0]
110049	β量子值+10	28	[2.0, 10.0, 10.0]
110050	α量子值+10	28	[1.0, 5.0, 10.0]
110051	β量子值+10	28	[2.0, 5.0, 10.0]
110052	立即切换路线	35	
110053	立即给6个金箱子	25	[5.0, 6.0]
110054	工坊节点装备重铸次数+1	29	[1.0, 1.0]
