Id	EventId	StepId	NextStepId	Type	FightNodeId	WorkShopId	EffectGroupId	StoryId	StepRewardItemType	StepRewardItemId	StepRewardItemCount	OptionGroupId	Title	TitleContent	RoleIcon	RoleName	RoleContent	RoleEffect	EventDesc	ConfirmContent	BgAsset
31	6	611	617	3					1	{1: 96189}	{1: 30}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
32	6	612	617	3					1	{1: 96189}	{1: 70}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
33	6	613	617	3					1	{1: 96189}	{1: 85}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#EA4323>太阳</color>、<color=#34A853>菠萝</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
34	6	614	617	3					4	{1: 4}	{1: 1}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
35	6	615	617	3					4	{1: 5}	{1: 1}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
36	6	616	617	1									天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#34A853>菠萝</color>、<color=#FBBC05>饼干</color>】</size>\n扭蛋机什么也没吐出来。	继续	Assets/Product/Texture/Image/BgStory/Bgstory197.png
37	6	617	625	2								617	天台扭蛋机						连续工作后，扭蛋机冒出了几缕黑烟，继续运行的话，很有可能会出现故障。	决定	Assets/Product/Texture/Image/BgStory/Bgstory197.png
38	6	618	625	3					1	{1: 96189}	{1: 75}		天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
39	6	619	625	3					1	{1: 96189}	{1: 125}		天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
40	6	620	625	3					1	{1: 96189}	{1: 150}		天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
41	6	621	625	3					1	{1: 96189}	{1: 200}		天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#EA4323>太阳</color>、<color=#34A853>菠萝</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
42	6	622	625	3					4	{1: 3}	{1: 1}		天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
43	6	623	625	3					4	{1: 5}	{1: 1}		天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
44	6	624	625	1									天台扭蛋机	——幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#34A853>菠萝</color>、<color=#FBBC05>饼干</color>】</size>\n扭蛋机什么也没吐出来。	继续	Assets/Product/Texture/Image/BgStory/Bgstory197.png
45	6	625		2								625	天台扭蛋机	——幸运☆					运气不错，扭蛋机又一次经受住了高负载的工作，但再次运行会有99.9999%的概率直接损坏。	决定	Assets/Product/Texture/Image/BgStory/Bgstory197.png
46	6	626	628	3					1	{1: 96189}	{1: 9999}		天台扭蛋机	——超级幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
47	6	627	628	3					1	{1: 96189}	{1: 7777}		天台扭蛋机	——超级幸运☆					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
48	6	628		1									天台扭蛋机	——超级幸运☆					在0.0001%的概率下，你引发了奇迹，扭蛋机并没有损坏，但也无法再继续工作，以后再来看看吧。	离开	Assets/Product/Texture/Image/BgStory/Bgstory197.png
49	6	629	609	3					4	{1: 3}	{1: 1}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
50	6	630	617	3					4	{1: 5}	{1: 1}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
51	6	631	625	3					4	{1: 5}	{1: 1}		天台扭蛋机	——作弊★					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
52	6	632	633	3					1	{1: 96189}	{1: 9999}		天台扭蛋机	——超级作弊★					扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
53	6	633		1									天台扭蛋机	——超级作弊★					在100%的概率下，你创造了奇迹，扭蛋机并没有损坏，但也无法再继续工作，以后再来看看吧。	离开	Assets/Product/Texture/Image/BgStory/Bgstory197.png
54	6	697		1									天台扭蛋机	——寄					扭蛋机运行后发出了奇怪的异响，转速越来越快没有停下迹象，最终在冒出火花后，不堪重负的彻底损坏。	离开	Assets/Product/Texture/Image/BgStory/Bgstory197.png
55	6	698		1									天台扭蛋机						你离开那个诡异的扭蛋机，离开了天台。	离开	Assets/Product/Texture/Image/BgStory/Bgstory197.png
56	6	699		1									天台扭蛋机						扭蛋机似乎具备自我修复的功能，为了以后着想，你决定给它一个缓冲时间，暂时离开这里。	离开	Assets/Product/Texture/Image/BgStory/Bgstory197.png
57	7	701		2								701	皇后游戏	魔女艾丽卡					自称艾丽卡的魔女在自己的占卜店铺里布置了一张桌子，上面摆满了自制的卡牌。艾丽卡询问洁塔薇是否愿意来一场纸牌游戏，赢过她的话会给予丰厚的报酬。	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
58	7	702	703	1									皇后游戏	魔女艾丽卡		艾丽卡	新手福利，首次免费哦~		——游戏规则——\n· 有三种类型的卡牌，大小关系分别是\n· <color=#EA4323>「皇后」</color>最大\n· <color=#FBBC05>「女仆」</color>其次\n· <color=#34A853>「猫娘」</color>最小，但可以克制<color=#EA4323>「皇后」</color>\n· 每回合出一张卡牌，大者胜，小者负。	拿牌	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
59	7	703		2								703	皇后游戏	魔女艾丽卡					接过艾丽卡手中的卡牌，要打出的牌是？	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
60	7	704	713	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
61	7	705	713	3					1	{1: 96189}	{1: 50}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
62	7	706	713	3					3	{1: 4}	{1: 1}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
63	7	707	713	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
64	7	708	713	3					1	{1: 96189}	{1: 50}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
65	7	709	713	3					3	{1: 4}	{1: 1}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
66	7	710	713	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
67	7	711	713	3					1	{1: 96189}	{1: 50}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
68	7	712	713	3					3	{1: 4}	{1: 1}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
69	7	713		2								713	皇后游戏	魔女艾丽卡		艾丽卡	新手的强运要结束了哦~		试玩环节结束，从现在开始，艾丽卡每回合会收取你一定的赌注。	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
70	7	714		2								714	皇后游戏	魔女艾丽卡					接过艾丽卡手中的卡牌，要打出的牌是？	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
71	7	715	724	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
72	7	716	724	3					1	{1: 96189}	{1: 30}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
73	7	717	724	3					1	{1: 96189}	{1: 200}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
74	7	718	724	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
75	7	719	724	3					1	{1: 96189}	{1: 30}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
76	7	720	724	3					1	{1: 96189}	{1: 200}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
77	7	721	724	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
78	7	722	724	3					1	{1: 96189}	{1: 30}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
79	7	723	724	3					1	{1: 96189}	{1: 200}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
80	7	724		2								724	皇后游戏	魔女艾丽卡		艾丽卡	奖励更好了哦~		需要的赌注增加了，是继续玩还是离开？	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
81	7	725		2								725	皇后游戏	魔女艾丽卡					接过艾丽卡手中的卡牌，要打出的牌是？	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
82	7	726	735	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
83	7	727	735	3					1	{1: 96189}	{1: 80}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
84	7	728	735	3					3	{1: 5}	{1: 1}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
85	7	729	735	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
86	7	730	735	3					1	{1: 96189}	{1: 80}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
87	7	731	735	3					3	{1: 5}	{1: 1}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#FBBC05>「女仆」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
88	7	732	735	1									皇后游戏	魔女艾丽卡		艾丽卡	真可惜~		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#FBBC05>「女仆」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
89	7	733	735	3					1	{1: 96189}	{1: 80}		皇后游戏	魔女艾丽卡		艾丽卡	再来一把？		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
90	7	734	735	3					3	{1: 5}	{1: 1}		皇后游戏	魔女艾丽卡		艾丽卡	运气不错嘛~		· 双方出牌\n· 洁塔薇打出了<color=#34A853>「猫娘」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 洁塔薇赢下了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
91	7	735		2								735	皇后游戏	魔女艾丽卡		艾丽卡	准备好了吗~		艾丽卡有点困了，最后再玩一把，大的要来了！！！	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
92	7	736		2								736	皇后游戏	魔女艾丽卡					接过艾丽卡手中的卡牌，要打出的牌是？	决定	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
93	7	737	794	1									皇后游戏	终极对决		艾丽卡	我赢啦~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#34A853>「猫娘」</color>\n· 洁塔薇输掉了这回合	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
94	7	738	795	3					1	{1: 96189}	{1: 180}		皇后游戏	终极对决		艾丽卡	算你走运，下次再来吧~		· 双方出牌\n· 洁塔薇打出了<color=#EA4323>「皇后」</color>\n· 艾丽卡翻开了盖上的牌，是<color=#EA4323>「皇后」</color>\n· 这回合是平局	继续	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
