Id	Type	GoodsId
1041	2	[1071003]
1042	2	[1041003]
1043	2	[1021003]
1044	2	[1011003]
1045	2	[1021004]
1046	2	[1061003]
1047	2	[1071003]
1048	2	[1041003]
1049	3	[1141003]
1050	2	[1051003]
1051	2	[1011003]
1052	2	[1021003]
1053	2	[1061003]
1054	2	[1071003]
1055	2	[1031003]
1056	2	[1041003]
1057	2	[1061003]
1058	2	[1011003]
1059	2	[1051003]
1060	3	[1171003]
1061	2	[1021003]
1062	2	[1071003]
1063	2	[1021004]
1064	2	[1031003]
1065	2	[1141003]
1066	2	[1041003]
1067	2	[1171003]
1068	2	[1061003]
1069	2	[1071003]
1070	2	[1051003]
1071	2	[1021003]
1072	2	[1031003]
1073	3	[1121003]
1074	2	[1021004]
1075	2	[1061003]
1076	2	[1041003]
1077	2	[1011003]
1078	2	[1171003]
1079	2	[1051003]
1080	2	[1141003]
1081	2	[1071003]
1082	2	[1041003]
1083	2	[1031003]
1084	2	[1021003]
1085	2	[1021004]
1086	3	[1131003]
1087	2	[1011003]
1088	2	[1121003]
1089	2	[1051003]
1090	2	[1141003]
1091	2	[1041003]
1092	2	[1061003]
1093	2	[1171003]
1094	2	[1071003]
1095	2	[1021004]
1096	2	[1031003]
1097	2	[1021003]
1098	2	[1121003]
1099	2	[1011003]
1100	2	[1141003]
1101	3	[1031004]
1102	2	[1071003]
1103	2	[1051003]
1104	2	[1041003]
1105	2	[1131003]
1106	2	[1171003]
1107	2	[1061003]
1108	3	[1531004]
1109	2	[1021003]
1110	2	[1021004]
1111	2	[1031004]
1112	2	[1171003]
1113	2	[1071003]
1114	2	[1021004]
1115	2	[1141003]
1116	2	[1051003]
1117	2	[1121003]
1118	2	[1131003]
1119	2	[1021003]
1120	3	[1051004]
1121	2	[1041003]
1122	2	[1011003]
1123	2	[1031003]
1124	2	[1061003]
1125	2	[1171003]
1126	2	[1031004]
1127	2	[1531004]
1128	2	[1131003]
1129	2	[1071003]
1130	2	[1121003]
1131	2	[1011003]
1132	2	[1061003]
1133	2	[1021004]
1134	2	[1141003]
1135	2	[1031003]
1136	2	[1021003]
1137	2	[1041003]
1138	2	[1051003]
1139	3	[1071004]
1140	2	[1171003]
1141	2	[1031004]
1142	2	[1051004]
1143	2	[1131003]
1144	2	[1531004]
1145	2	[1071003]
1146	2	[1121003]
1147	2	[1021004]
1148	2	[1031003]
1149	2	[1051004]
1150	2	[1041003]
1151	2	[1011003]
1152	2	[1171003]
1153	2	[1061003]
1154	2	[1021003]
1155	2	[1021004]
1156	2	[1141003]
1157	2	[1051003]
1158	2	[1041004]
1159	2	[1031004]
1160	2	[1531004]
1161	2	[1031003]
1162	2	[1131003]
1163	2	[1121003]
1164	2	[1071003]
1165	2	[1071004]
1166	2	[1041003]
1167	2	[1011003]
1168	2	[1171003]
1169	2	[1051004]
1170	2	[1141003]
1171	2	[1021004]
1172	2	[1021003]
1173	2	[1061003]
1174	2	[1041004]
1175	2	[1531004]
1176	2	[1051003]
1177	2	[1011004]
1178	2	[1031004]
1179	2	[1121003]
1180	2	[1031003]
1181	2	[1021004]
1182	2	[1071004]
1183	2	[1041003]
1184	2	[1131003]
1185	2	[1141003]
1186	2	[1051004]
1187	2	[1091003]
1188	2	[1171003]
1189	2	[1021003]
1190	2	[1051003]
1191	2	[1121003]
1192	2	[1531004]
1193	2	[1061003]
1194	2	[1071003]
1195	2	[1041003]
1196	2	[1031003]
1197	2	[1021005]
1198	2	[1131003]
1199	2	[1141003]
1200	2	[1011003]
1201	2	[1041004]
1202	2	[1071004]
1203	2	[1021003]
1204	2	[1011004]
1205	2	[1031004]
1206	2	[1031003]
1207	2	[1091003]
1208	2	[1531004]
1209	2	[1051004]
1210	2	[1131003]
1211	2	[1171003]
1212	2	[1141003]
1213	2	[1041004]
1214	2	[1121003]
1215	2	[1071003]
1216	2	[1221003]
1217	2	[1071004]
1218	2	[1021004]
1219	2	[1031003]
1220	2	[1021005]
1221	2	[1031004]
1222	2	[1051003]
1223	2	[1011004]
1224	2	[1531004]
1225	2	[1171003]
1226	2	[1091003]
1227	2	[1051004]
1228	2	[1021003]
1229	2	[1071004]
1230	2	[1131003]
1231	2	[1121003]
1232	2	[1041004]
1233	2	[1031004]
1234	2	[1141003]
1235	2	[1261003]
1236	2	[1021005]
1237	2	[1021004]
1238	2	[1071003]
1239	2	[1221003]
1240	2	[1051004]
1241	2	[1031003]
1242	2	[1131003]
1243	2	[1121003]
1244	2	[1041003]
1245	2	[1271003]
1246	2	[1071004]
1247	2	[1531004]
1248	2	[1011003]
1249	2	[1011004]
1250	2	[1031004]
1251	2	[1021003]
1252	2	[1021005]
1253	2	[1221003]
1254	2	[1031003]
1255	2	[1041004]
1256	2	[1261003]
1257	2	[1041003]
1258	2	[1091003]
1259	2	[1021004]
1260	2	[1051003]
1261	2	[1271003]
1262	2	[1531004]
1263	2	[1141003]
1264	2	[1011004]
1265	2	[1031004]
1266	2	[1011003]
1267	2	[1221003]
1268	2	[1121003]
1269	2	[1031003]
1270	2	[1081004]
1271	2	[1521004]
1272	2	[1091003]
1273	2	[1131003]
1274	2	[1041003]
1275	2	[1071004]
1276	2	[1171003]
1277	2	[1071003]
1278	2	[1041004]
1279	2	[1261003]
1280	2	[1051003]
1281	2	[1081004]
1282	2	[1031004]
1283	2	[1021003]
1284	2	[1011004]
1285	2	[1091003]
1286	2	[1171003]
1287	2	[1021005]
1288	2	[1221003]
1289	2	[1141003]
1290	2	[1171004]
1291	2	[1521004]
1292	2	[1271003]
1293	2	[1031003]
1294	2	[1081004]
1295	2	[1071004]
1296	2	[1041003]
1297	2	[1041004]
1298	2	[1261003]
1299	2	[1121003]
1300	2	[1021005]
1301	2	[1221003]
1302	2	[1051003]
1303	2	[1011004]
1304	2	[1131003]
1305	2	[1171003]
1306	2	[1071004]
1307	2	[1261003]
1308	2	[1071003]
1309	2	[1171004]
1310	2	[1031004]
1311	2	[1031003]
1312	2	[1521004]
1313	2	[1271003]
1314	2	[1021003]
1315	2	[1221003]
1316	2	[1091003]
1317	2	[1051004]
1318	2	[1241003]
1319	2	[1011004]
1320	2	[1131003]
1321	2	[1531004]
1322	2	[1041004]
1323	2	[1141003]
1324	2	[1041003]
1325	2	[1021005]
1326	2	[1221003]
1327	2	[1071004]
1328	2	[1211003]
1329	2	[1171004]
1330	2	[1081004]
1331	2	[1131003]
1332	2	[1241003]
1333	2	[1521004]
1334	2	[1261003]
1335	2	[1271003]
1336	2	[1071004]
1337	2	[1091003]
1338	2	[1021006]
1339	2	[1211003]
1340	2	[1531004]
1341	2	[1031004]
1342	2	[1081004]
1343	2	[1221003]
1344	2	[1171003]
1345	2	[1021006]
1346	2	[1021005]
1347	2	[1071004]
1348	2	[1241003]
1349	2	[1041004]
1350	2	[1211003]
1351	2	[1271003]
1352	2	[1521004]
1353	2	[1091003]
1354	2	[1051005]
1355	2	[1171004]
1356	2	[1221003]
1357	2	[1031004]
1358	2	[1081004]
1359	2	[1261003]
1360	2	[1121003]
1361	2	[1021006]
1362	2	[1521004]
1363	2	[1051003]
1364	2	[1321003]
1365	2	[1271003]
1366	2	[1211003]
1367	2	[1071004]
1368	2	[1171004]
1369	2	[1021005]
1370	2	[1051004]
1371	2	[1051005]
1372	2	[1221003]
1373	2	[1031004]
1374	2	[1021006]
1375	2	[1241003]
1376	2	[1261003]
1377	2	[1321003]
1378	2	[1211003]
1379	2	[1091003]
1380	2	[1081004]
1381	2	[1021005]
1382	2	[1071004]
1383	2	[1531005]
1384	2	[1521004]
1385	2	[1331003]
1386	2	[1261003]
1387	2	[1171004]
1388	2	[1221003]
1389	2	[1131003]
1390	2	[1051005]
1391	2	[1021006]
1392	2	[1021005]
1393	2	[1531005]
1394	2	[1081004]
1395	2	[1071004]
1396	2	[1321003]
1397	2	[1331003]
1398	2	[1261003]
1399	2	[1131004]
1400	2	[1171004]
1401	2	[1241003]
1402	2	[1211003]
1403	2	[1051005]
1404	2	[1271003]
1405	2	[1091003]
1406	2	[1521004]
1407	2	[1031004]
1408	2	[1071004]
1409	2	[1531005]
1410	2	[1081004]
1411	2	[1331003]
1412	2	[1021006]
1413	2	[1131004]
1414	2	[1071004]
1415	2	[1321003]
1416	2	[1171004]
1417	2	[1021005]
1418	2	[1051005]
1419	2	[1211003]
1420	2	[1081004]
1421	2	[1041005]
1422	2	[1521004]
1423	2	[1241003]
1424	2	[1331003]
1425	2	[1531005]
1426	2	[1171004]
1427	2	[1221003]
1428	2	[1381003]
1429	2	[1321003]
1430	2	[1021006]
1431	2	[1211003]
1432	2	[1131004]
1433	2	[1071004]
1434	2	[1331003]
1435	2	[1211003]
1436	2	[1081004]
1437	2	[1241003]
1438	2	[1031005]
1439	2	[1321003]
1440	2	[1051005]
1441	2	[1221003]
1442	2	[1021006]
1443	2	[1091003]
1444	2	[1521004]
1445	2	[1531005]
1446	2	[1241003]
1447	2	[1331003]
1448	2	[1291003]
1449	2	[1041005]
1450	2	[1051005]
1451	2	[1211003]
1452	2	[1381003]
1453	2	[1131004]
1454	2	[1081004]
1455	2	[1521004]
1456	2	[1221003]
1457	2	[1331003]
1458	2	[1141004]
1459	2	[1021006]
1460	2	[1051005]
1461	2	[1171004]
1462	2	[1381003]
1463	2	[1241003]
1464	2	[1041005]
1465	2	[1211003]
1466	2	[1131004]
1467	2	[1331003]
1468	2	[1391003]
1469	2	[1321003]
1470	2	[1171004]
1471	2	[1081004]
1472	2	[1291003]
1473	2	[1041005]
1474	2	[1211003]
1475	2	[1221003]
1476	2	[1331003]
1477	2	[1021006]
1478	2	[1061004]
1479	2	[1141004]
1480	2	[1241003]
1481	2	[1531005]
1482	2	[1131004]
1483	2	[1381003]
1484	2	[1291003]
1485	2	[1041005]
1486	2	[1331003]
1487	2	[1521004]
1488	2	[1021007]
1489	2	[1391003]
1490	2	[1211003]
1491	2	[1051005]
1492	2	[1291003]
1493	2	[1381003]
1494	2	[1061004]
1495	2	[1141004]
1496	2	[1021006]
1497	2	[1241003]
1498	2	[1031005]
2011	3	[1061003]
2012	3	[1071003]
2013	3	[1051003]
2014	3	[1011003]
2015	3	[1031003]
2016	3	[1061003]
2017	3	[1071003]
2018	3	[1021003]
2019	3	[1041003]
2020	3	[1051003]
2021	3	[1011003]
2022	3	[1031003]
2023	3	[1061003]
2024	2	[1061003]
2025	2	[1071003]
2026	2	[1021003]
2027	2	[1051003]
2028	2	[1011003]
2029	2	[1031003]
2030	3	[1021004]
2031	2	[1041003]
2032	2	[1061003]
2033	2	[1051003]
2034	2	[1031003]
2035	2	[1071003]
2036	2	[1041003]
2037	2	[1021003]
2038	2	[1011003]
2039	2	[1021004]
2040	2	[1061003]
2041	2	[1071003]
2042	2	[1041003]
2043	3	[1141003]
2044	2	[1051003]
2045	2	[1011003]
2046	2	[1021003]
2047	2	[1061003]
2048	2	[1071003]
2049	2	[1031003]
2050	2	[1041003]
2051	2	[1061003]
2052	2	[1011003]
2053	2	[1051003]
2054	3	[1171003]
2055	2	[1021003]
2056	2	[1071003]
2057	2	[1021004]
2058	2	[1031003]
2059	2	[1141003]
2060	2	[1041003]
2061	2	[1171003]
2062	2	[1061003]
2063	2	[1071003]
2064	2	[1051003]
2065	2	[1021003]
2066	2	[1031003]
2067	3	[1121003]
2068	2	[1021004]
2069	2	[1061003]
2070	2	[1041003]
2071	2	[1011003]
2072	2	[1171003]
2073	2	[1051003]
2074	2	[1141003]
2075	2	[1071003]
2076	2	[1041003]
2077	2	[1031003]
2078	2	[1021003]
2079	2	[1021004]
2080	3	[1131003]
2081	2	[1011003]
2082	2	[1121003]
2083	2	[1051003]
2084	2	[1141003]
2085	2	[1041003]
2086	2	[1061003]
2087	2	[1171003]
2088	2	[1071003]
2089	2	[1021004]
2090	2	[1031003]
2091	2	[1021003]
2092	2	[1121003]
2093	2	[1011003]
2094	2	[1141003]
2095	3	[1031004]
2096	2	[1071003]
2097	2	[1051003]
2098	2	[1041003]
2099	2	[1131003]
2100	2	[1171003]
2101	2	[1061003]
2102	3	[1531004]
2103	2	[1021003]
2104	2	[1021004]
2105	2	[1031004]
2106	2	[1171003]
2107	2	[1071003]
2108	2	[1021004]
2109	2	[1141003]
2110	2	[1051003]
2111	2	[1121003]
2112	2	[1131003]
2113	2	[1021003]
2114	3	[1051004]
2115	2	[1041003]
2116	2	[1011003]
2117	2	[1031003]
2118	2	[1061003]
2119	2	[1171003]
2120	2	[1031004]
2121	2	[1531004]
2122	2	[1131003]
2123	2	[1071003]
2124	2	[1121003]
2125	2	[1011003]
2126	2	[1061003]
2127	2	[1021004]
2128	2	[1141003]
2129	2	[1031003]
2130	2	[1021003]
2131	2	[1041003]
2132	2	[1051003]
2133	3	[1071004]
2134	2	[1171003]
2135	2	[1031004]
2136	2	[1051004]
2137	2	[1131003]
2138	2	[1531004]
2139	2	[1071003]
2140	2	[1121003]
2141	2	[1021004]
2142	2	[1031003]
2143	2	[1051004]
2144	2	[1041003]
2145	2	[1011003]
2146	2	[1171003]
2147	2	[1061003]
2148	2	[1021003]
2149	2	[1021004]
2150	2	[1141003]
2151	2	[1051003]
2152	2	[1041004]
2153	2	[1031004]
2154	2	[1531004]
2155	2	[1031003]
2156	2	[1131003]
2157	2	[1121003]
2158	2	[1071003]
2159	2	[1071004]
2160	2	[1041003]
2161	2	[1011003]
2162	2	[1171003]
2163	2	[1051004]
2164	2	[1141003]
2165	2	[1021004]
2166	2	[1021003]
2167	2	[1061003]
2168	2	[1041004]
2169	2	[1531004]
2170	2	[1051003]
2171	2	[1011004]
2172	2	[1031004]
2173	2	[1121003]
2174	2	[1031003]
2175	2	[1021004]
2176	2	[1071004]
2177	2	[1041003]
2178	2	[1131003]
2179	2	[1141003]
2180	2	[1051004]
2181	2	[1091003]
2182	2	[1171003]
2183	2	[1021003]
2184	2	[1051003]
2185	2	[1121003]
2186	2	[1531004]
2187	2	[1061003]
2188	2	[1071003]
2189	2	[1041003]
2190	2	[1031003]
2191	2	[1021005]
2192	2	[1131003]
2193	2	[1141003]
2194	2	[1011003]
2195	2	[1041004]
2196	2	[1071004]
2197	2	[1021003]
2198	2	[1011004]
2199	2	[1031004]
2200	2	[1031003]
2201	2	[1091003]
2202	2	[1531004]
2203	2	[1051004]
2204	2	[1131003]
2205	2	[1171003]
2206	2	[1141003]
2207	2	[1041004]
2208	2	[1121003]
2209	2	[1071003]
2210	2	[1221003]
2211	2	[1071004]
2212	2	[1021004]
2213	2	[1031003]
2214	2	[1021005]
2215	2	[1031004]
2216	2	[1051003]
2217	2	[1011004]
2218	2	[1531004]
2219	2	[1171003]
2220	2	[1091003]
2221	2	[1051004]
2222	2	[1021003]
2223	2	[1071004]
2224	2	[1131003]
2225	2	[1121003]
2226	2	[1041004]
2227	2	[1031004]
2228	2	[1141003]
2229	2	[1261003]
2230	2	[1021005]
2231	2	[1021004]
2232	2	[1071003]
2233	2	[1221003]
2234	2	[1051004]
2235	2	[1031003]
2236	2	[1131003]
2237	2	[1121003]
2238	2	[1041003]
2239	2	[1271003]
2240	2	[1071004]
2241	2	[1531004]
2242	2	[1011003]
2243	2	[1011004]
2244	2	[1031004]
2245	2	[1021003]
2246	2	[1021005]
2247	2	[1221003]
2248	2	[1031003]
2249	2	[1041004]
2250	2	[1261003]
2251	2	[1041003]
2252	2	[1091003]
2253	2	[1021004]
2254	2	[1051003]
2255	2	[1271003]
2256	2	[1531004]
2257	2	[1141003]
2258	2	[1011004]
2259	2	[1031004]
2260	2	[1011003]
2261	2	[1221003]
2262	2	[1121003]
2263	2	[1031003]
2264	2	[1081004]
2265	2	[1521004]
2266	2	[1091003]
2267	2	[1131003]
2268	2	[1041003]
2269	2	[1071004]
2270	2	[1171003]
2271	2	[1071003]
2272	2	[1041004]
2273	2	[1261003]
2274	2	[1051003]
2275	2	[1081004]
2276	2	[1031004]
2277	2	[1021003]
2278	2	[1011004]
2279	2	[1091003]
2280	2	[1171003]
2281	2	[1021005]
2282	2	[1221003]
2283	2	[1141003]
2284	2	[1171004]
2285	2	[1521004]
2286	2	[1271003]
2287	2	[1031003]
2288	2	[1081004]
2289	2	[1071004]
2290	2	[1041003]
2291	2	[1041004]
2292	2	[1261003]
2293	2	[1121003]
2294	2	[1021005]
2295	2	[1221003]
2296	2	[1051003]
2297	2	[1011004]
2298	2	[1131003]
2299	2	[1171003]
2300	2	[1071004]
2301	2	[1261003]
2302	2	[1071003]
2303	2	[1171004]
2304	2	[1031004]
2305	2	[1031003]
2306	2	[1521004]
2307	2	[1271003]
2308	2	[1021003]
2309	2	[1221003]
2310	2	[1091003]
2311	2	[1051004]
2312	2	[1241003]
2313	2	[1011004]
2314	2	[1131003]
2315	2	[1531004]
2316	2	[1041004]
2317	2	[1141003]
2318	2	[1041003]
2319	2	[1021005]
2320	2	[1221003]
2321	2	[1071004]
2322	2	[1211003]
2323	2	[1171004]
2324	2	[1081004]
2325	2	[1131003]
2326	2	[1241003]
2327	2	[1521004]
2328	2	[1261003]
2329	2	[1271003]
2330	2	[1071004]
2331	2	[1091003]
2332	2	[1021006]
2333	2	[1211003]
2334	2	[1531004]
2335	2	[1031004]
2336	2	[1081004]
2337	2	[1221003]
2338	2	[1171003]
2339	2	[1021006]
2340	2	[1021005]
2341	2	[1071004]
2342	2	[1241003]
2343	2	[1041004]
2344	2	[1211003]
2345	2	[1271003]
2346	2	[1521004]
2347	2	[1091003]
2348	2	[1051005]
2349	2	[1171004]
2350	2	[1221003]
2351	2	[1031004]
2352	2	[1081004]
2353	2	[1261003]
2354	2	[1121003]
2355	2	[1021006]
2356	2	[1521004]
2357	2	[1051003]
2358	2	[1321003]
2359	2	[1271003]
2360	2	[1211003]
2361	2	[1071004]
2362	2	[1171004]
2363	2	[1021005]
2364	2	[1051004]
2365	2	[1051005]
2366	2	[1221003]
2367	2	[1031004]
2368	2	[1021006]
2369	2	[1241003]
2370	2	[1261003]
2371	2	[1321003]
2372	2	[1211003]
2373	2	[1091003]
2374	2	[1081004]
2375	2	[1021005]
2376	2	[1071004]
2377	2	[1531005]
2378	2	[1521004]
2379	2	[1331003]
2380	2	[1261003]
2381	2	[1171004]
2382	2	[1221003]
2383	2	[1131003]
2384	2	[1051005]
2385	2	[1021006]
2386	2	[1021005]
2387	2	[1531005]
2388	2	[1081004]
2389	2	[1071004]
2390	2	[1321003]
2391	2	[1331003]
2392	2	[1261003]
2393	2	[1131004]
2394	2	[1171004]
2395	2	[1241003]
2396	2	[1211003]
2397	2	[1051005]
2398	2	[1271003]
2399	2	[1091003]
2400	2	[1521004]
2401	2	[1031004]
2402	2	[1071004]
2403	2	[1531005]
2404	2	[1081004]
2405	2	[1331003]
2406	2	[1021006]
2407	2	[1131004]
2408	2	[1071004]
2409	2	[1321003]
2410	2	[1171004]
2411	2	[1021005]
2412	2	[1051005]
2413	2	[1211003]
2414	2	[1081004]
2415	2	[1041005]
2416	2	[1521004]
2417	2	[1241003]
2418	2	[1331003]
2419	2	[1531005]
2420	2	[1171004]
2421	2	[1221003]
2422	2	[1381003]
2423	2	[1321003]
2424	2	[1021006]
2425	2	[1211003]
2426	2	[1131004]
2427	2	[1071004]
2428	2	[1331003]
2429	2	[1211003]
2430	2	[1081004]
2431	2	[1241003]
2432	2	[1031005]
2433	2	[1321003]
2434	2	[1051005]
2435	2	[1221003]
2436	2	[1021006]
2437	2	[1091003]
2438	2	[1521004]
2439	2	[1531005]
2440	2	[1241003]
2441	2	[1331003]
2442	2	[1291003]
2443	2	[1041005]
2444	2	[1051005]
2445	2	[1211003]
2446	2	[1381003]
2447	2	[1131004]
2448	2	[1081004]
2449	2	[1521004]
2450	2	[1221003]
2451	2	[1331003]
2452	2	[1141004]
2453	2	[1021006]
2454	2	[1051005]
2455	2	[1171004]
2456	2	[1381003]
2457	2	[1241003]
2458	2	[1041005]
2459	2	[1211003]
2460	2	[1131004]
2461	2	[1331003]
2462	2	[1391003]
2463	2	[1321003]
2464	2	[1171004]
2465	2	[1081004]
2466	2	[1291003]
2467	2	[1041005]
2468	2	[1211003]
2469	2	[1221003]
2470	2	[1331003]
2471	2	[1021006]
2472	2	[1061004]
2473	2	[1141004]
2474	2	[1241003]
2475	2	[1531005]
2476	2	[1131004]
2477	2	[1381003]
2478	2	[1291003]
2479	2	[1041005]
2480	2	[1331003]
2481	2	[1521004]
2482	2	[1021007]
2483	2	[1391003]
2484	2	[1211003]
2485	2	[1051005]
2486	2	[1291003]
2487	2	[1381003]
2488	2	[1061004]
2489	2	[1141004]
2490	2	[1021006]
2491	2	[1241003]
2492	2	[1031005]
3000	2	[1011002]
3001	2	[1021002]
3002	2	[1031002]
3003	2	[1041002]
3004	2	[1061002]
3005	2	[1071002]
3006	2	[1081002]
3007	2	[1081003]
3008	2	[1091002]
3009	2	[1111002]
3010	2	[1111002]
3011	2	[1121002]
3012	2	[1121002]
3013	2	[1131002]
3014	2	[1131002]
3015	2	[1161002]
3016	2	[1161002]
3017	2	[1211002]
3018	2	[1211002]
3019	2	[1221002]
3020	2	[1221002]
3021	2	[1231002]
3022	2	[1231002]
3023	2	[1241002]
3024	2	[1241002]
3025	2	[1251002]
3026	2	[1251002]
3027	2	[1291002]
3028	2	[1291002]
3029	2	[1301002]
3030	2	[1301002]
3031	2	[1311002]
3032	2	[1311002]
3033	2	[1341002]
3034	2	[1341002]
3035	2	[1371002]
3036	2	[1371002]
4000	2	[1511003]
4001	2	[1511003]
4002	2	[1521003]
4003	2	[1521003]
4004	2	[1531003]
4005	2	[1531003]
4006	2	[1541003]
4007	2	[1541003]
4008	2	[1551003]
4009	2	[1551003]
4010	2	[1561003]
4011	2	[1561003]
4012	2	[1571003]
4013	2	[1571003]
5000	2	[1031003]
5001	2	[1061003]
5002	2	[1011003]
5003	2	[1071003]
5004	2	[1051003]
5005	2	[1021003]
5006	2	[1041003]
5007	2	[1021004]
5008	2	[1141003]
5009	2	[1031003]
5010	2	[1061003]
5011	2	[1011003]
5012	2	[1071003]
5013	2	[1051003]
5014	2	[1021003]
5015	2	[1041003]
5016	2	[1021004]
5017	2	[1141003]
5018	2	[1171003]
5019	2	[1121003]
5020	2	[1131003]
5021	2	[1031003]
5022	2	[1061003]
5023	2	[1011003]
5024	2	[1071003]
5025	2	[1051003]
5026	2	[1021003]
5027	2	[1041003]
5028	2	[1021004]
5029	2	[1141003]
5030	2	[1171003]
5031	2	[1121003]
5032	2	[1131003]
5033	2	[1031004]
5034	2	[1531004]
5035	2	[1051004]
5036	2	[1071004]
5037	2	[1041004]
5038	2	[1031003]
5039	2	[1061003]
5040	2	[1011003]
5041	2	[1071003]
5042	2	[1051003]
5043	2	[1021003]
5044	2	[1041003]
5045	2	[1021004]
5046	2	[1141003]
5047	2	[1171003]
5048	2	[1121003]
5049	2	[1131003]
5050	2	[1031004]
5051	2	[1531004]
5052	2	[1051004]
5053	2	[1071004]
5054	2	[1041004]
5055	2	[1011004]
5056	2	[1091003]
5057	2	[1021005]
5058	2	[1221003]
5059	2	[1261003]
5060	2	[1271003]
5061	2	[1021006]
5062	2	[1211003]
5063	2	[1241003]
5064	2	[1171004]
5065	2	[1521004]
5066	2	[1081004]
5067	2	[1271003]
5068	2	[1261003]
5069	2	[1221003]
5070	2	[1021005]
5071	2	[1091003]
5072	2	[1011004]
5073	2	[1041004]
5074	2	[1071004]
5075	2	[1051004]
5076	2	[1531004]
5077	2	[1031004]
5078	2	[1131003]
5079	2	[1121003]
5080	2	[1171003]
5081	2	[1141003]
5082	2	[1021004]
5083	2	[1041003]
5084	2	[1021003]
5085	2	[1051003]
5086	2	[1071003]
5087	2	[1061003]
5088	2	[1031003]
5089	2	[1011003]
5090	2	[1041005]
5091	2	[1131004]
5092	2	[1531005]
5093	2	[1331003]
5094	2	[1321003]
5095	2	[1051005]
5096	2	[1021006]
5097	2	[1211003]
5098	2	[1241003]
5099	2	[1171004]
5100	2	[1521004]
5101	2	[1081004]
5102	2	[1271003]
5103	2	[1261003]
5104	2	[1221003]
5105	2	[1021005]
5106	2	[1091003]
5107	2	[1011004]
5108	2	[1041004]
5109	2	[1071004]
5110	2	[1051004]
5111	2	[1531004]
5112	2	[1031004]
5113	2	[1131003]
5114	2	[1121003]
5115	2	[1171003]
5116	2	[1141003]
5117	2	[1021004]
5118	2	[1041003]
5119	2	[1021003]
5120	2	[1051003]
5121	2	[1071003]
5122	2	[1061003]
5123	2	[1031003]
5124	2	[1011003]
6000	2	[1031003]
6001	2	[1061003]
6002	2	[1011003]
6003	2	[1071003]
6004	2	[1051003]
6005	2	[1021003]
6006	2	[1041003]
6007	2	[1021004]
6008	2	[1141003]
6009	2	[1031003]
6010	2	[1061003]
6011	2	[1011003]
6012	2	[1071003]
