Id	Type	Priority	GroupId	Name	Level	CustomizeId	InfoTitle	InfoText	InfoConditionText	HintText	Icon	IsNotShow
11	1	1		极限闪避	1	75012	BOSS战效果	闪避上限增加500点，每闪避一次，增加2%额外伤害，最多叠加5层，持续10秒。	（NOD-4完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff014.png	
12	1	2		消除指令	1	75024	BOSS战效果	去除安博莉亚最终战斗中的词缀“贯穿”。	（NOD-8完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff016.png	1
13	1	3		连击补强	1	75015	BOSS战效果	连击每达到25下，立刻获得同色球三颗。	（NOF-4完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff011.png	
14	1	4		消除指令	1	75027	BOSS战效果	去除安博莉亚最终战斗中的词缀“埋雷”。	（NOF-8完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff016.png	1
15	1	5		必杀强化	1	75018	BOSS战效果	释放必杀后，获得一个自身最大生命值15%的护盾，并且获得20%的额外伤害加成以及霸体效果，持续8秒。	（NOE-4完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff013.png	
16	1	6		消除指令	1	75023	BOSS战效果	去除安博莉亚最终战斗中的词缀“电盾”。	（NOE-8完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff016.png	1
17	1	7		qte强化	1	75028	BOSS战效果	qte冷却时间减少3秒。	（NOH-4完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff015.png	
18	1	8		消除指令	1	75025	BOSS战效果	去除安博莉亚最终战斗中的词缀“黑洞”。	（NOH-8完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff016.png	1
19	1	9		超算制冷	1	75021	BOSS战效果	超算空间冷却时间减少2秒。	（NOK-4完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff012.png	
20	1	10		消除指令	1	75026	BOSS战效果	去除安博莉亚最终战斗中的词缀“免伤”。	（NOK-8完全清除后解锁）	提示：解锁后只在安博莉亚最终战斗中生效	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff016.png	1
21	2			丽芙·仰光		2204	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOE-2完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadLifuSS.png	
22	2			露西亚·鸦羽		2210	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOE-6完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya.png	
23	2			渡边·夙星		2208	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOD-2完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadDubianSS.png	
24	2			神威·暗能		2205	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOD-6完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png	
25	2			里·异火		2201	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOK-2完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadLi.png	
26	2			卡列尼娜·烬燃		2206	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOK-6完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadKalieSS.png	
27	2			里·乱数		2203	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOF-2完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadLiSS.png	
28	2			露西亚·深红之渊		2207	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOF-6完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadLuxiyaaerfaSS.png	
29	2			露西亚·黎明		2202	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOH-2完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadluxiyaS.png	
30	2			比安卡·真理		2209	试玩角色	试玩角色解锁后在“梦魇挽歌”活动中可使用。	（NOH-6完全清除后解锁）		Assets/Product/Texture/Image/Role/RoleHeadBiankaSS.png	
