Id	Name	NpcName	Icon	CardIcon	EffectDesc	EffectStrikeBack	LineLevel	LineLevelStart	LineRoundWin	LineRoundLose	LineRoundDraw	LineGameWin	LineGameLose	LineChangeSelfCard	LineChangePlayerCard	EmojiLevelStart	EmojiRoundWin	EmojiRoundLose	EmojiRoundDraw	EmojiGameWin	EmojiGameLose	EmojiChangeSelfCard	EmojiChangePlayerCard	EmojiStrikeBack	EmojiBoom	EmojiTrap
12	对局 2	希卡	Assets/Product/Texture/Image/RoleStory/V131xkNormal02.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌		['嗯……要把必杀技放到最后！']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
13	对局 3	哈里乔	Assets/Product/Texture/Image/RoleStory/AoerjiaNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0b.png']	获得12分或对局结束时积分多的一方获得胜利！\n皇冠A：大于桃心3/4/5，但小于桃心2		['表演即将开始。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
14	对局 4	艾伦	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0b.png']	获得12分或对局结束时积分多的一方获得胜利！\n皇冠A：大于桃心3/4/5，但小于桃心2		['出牌之道，也是一种艺术。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
15	对局 5	梅卡	Assets/Product/Texture/Image/RoleStory/YanjingzhainvNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace2b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌\n皇冠2：输牌时也可获得2分		['惊喜要保留在对局里。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
16	对局 6	亚哈	Assets/Product/Texture/Image/RoleStory/YahazhongnianNomal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace2b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌\n皇冠2：输牌时也可获得2分		['我只是来休息的…']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
17	对局 7	拉斯蒂	Assets/Product/Texture/Image/RoleStory/V132lsdNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌\n皇冠3：输牌时，对手将少获得3分		['指挥官，会让我赢的吧？']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
18	对局 8	赛利卡	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌\n皇冠3：输牌时，对手将少获得3分		['就当是工作之余的放松好了。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
19	对局 9	麦卡	Assets/Product/Texture/Image/RoleStory/V2100mkNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌\n皇冠4：获胜时，可以额外获得2分		['先下手为强。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
20	对局 10	凡妮莎	Assets/Product/Texture/Image/RoleStory/V130fnsNormal02.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4b.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	获得12分或对局结束时积分多的一方获得胜利！\n桃心A：大于桃心5，但小于其他的牌\n皇冠4：获胜时，可以额外获得2分		['你还真是学不乖啊。']	['拼命猜我心思的模样，还真狼狈啊。', '又想用场外援助了？', '别在琢磨我的心思上下功夫了。']	['我赢了。']	['让你一把！']	['早就想到你要出这张牌！']	['我赢了。']	['又是你赢了。']				['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote07.png']		['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']		['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote07.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote07.png']			
21	对局 1	西蒙	Assets/Product/Texture/Image/RoleStory/XimengNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	牌A:大于牌5，但小于其他的牌		['开始对局吧。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
22	对局 2	希卡	Assets/Product/Texture/Image/RoleStory/V131xkNormal02.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png']	牌A:大于牌5，但小于其他的牌		['嗯……要把必杀技放到最后！']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']			
23	对局 3	哈里乔	Assets/Product/Texture/Image/RoleStory/AoerjiaNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4c.png']	反击4：胜利时，可以赢得之前输掉的分数\n牌A:大于牌5，但小于其他的牌	本回合使用反击4胜利额外获得：{0}分	['来些出其不意的吧。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteStrikeBack.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteBoom.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteTrap.png']
24	对局 4	艾伦	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4c.png']	反击4：胜利时，可以赢得之前输掉的分数\n牌A:大于牌5，但小于其他的牌	本回合使用反击4胜利额外获得：{0}分	['出牌之道，也是一种艺术。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteStrikeBack.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteBoom.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteTrap.png']
25	对局 5	亚哈	Assets/Product/Texture/Image/RoleStory/YahazhongnianNomal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0c.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4c.png']	炸弹A：炸弹A大于牌5，遇到特殊卡牌使其失效，双方平局\n反击4：胜利时，可以赢得之前输掉的分数	本回合使用反击4胜利额外获得：{0}分	['我只是来休息的…']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteStrikeBack.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteBoom.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteTrap.png']
26	对局 6	拉斯蒂	Assets/Product/Texture/Image/RoleStory/V132lsdNormal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0c.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4c.png']	炸弹A：炸弹A大于牌5，遇到特殊卡牌使其失效，双方平局\n反击4：胜利时，可以赢得之前输掉的分数	本回合使用反击4胜利额外获得：{0}分	['把决胜的希望押在后半场……']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteStrikeBack.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteBoom.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteTrap.png']
27	对局 7	赛利卡	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace2c.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0c.png']	陷阱2：遇到反击4和牌5时使对方扣10分\n炸弹A：炸弹A大于牌5，遇到特殊卡牌使其失效，双方平局\n反击4：胜利时，可以赢得之前输掉的分数	本回合使用反击4胜利额外获得：{0}分	['各路奇招，一应俱全。']									['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote02.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png', 'Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote04.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']			['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote01.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote06.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote05.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteStrikeBack.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteBoom.png']	['Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmoteTrap.png']
