Id	PokerNum	FrontAssetPath	SmallCardPath	ChangedFrontAssetPath	Name	Note
2041	4	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4b.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace43.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change4b.png	皇冠4	
2050	5	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace5.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace52.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change5.png	红桃5	
3010	1	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace02.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2ChangeA.png	红桃A	
3011	1	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace0c.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace03.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2ChangeAb.png	炸弹A	
3020	2	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace2.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace22.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change2.png	红桃2	
3021	2	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace2c.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace23.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change2b.png	陷阱2	
3030	3	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace3.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace32.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change3.png	红桃3	
3040	4	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace42.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change4.png	红桃4	
3041	4	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace4c.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace43.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change4b.png	反击4	
3050	5	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2CardFace5.png	Assets/Product/Texture/Atlas/UiPokerGuessing2/UiPokerGuessing2CardFace52.png	Assets/Product/Texture/Image/UiPokerGuessing2/Linshi_UiPokerGuessing2Change5.png	红桃5	
