Id	Type	Params	Formula	Desc
328	10102	[1171003]		拥有泛用机体露娜·银冕
329	10102	[1181003]		拥有泛用机体2B
330	10102	[1191003]		拥有泛用机体9S
331	10102	[1201003]		拥有泛用机体A2
332	10102	[1211002]		拥有泛用机体万事·明觉
333	10102	[1531003]		拥有独域机体赛琳娜·岚音
334	10102	[1121003]		拥有泛用机体库洛姆·荣光
335	10102	[1221002]		拥有泛用机体21号·XXI
336	10102	[1131003]		拥有泛用机体薇拉·绯耀
337	10102	[1541003]		拥有独域机体罗兰·戏炎
338	10102	[1031004]		拥有泛用机体丽芙·极昼
339	10102	[1531004]		拥有泛用机体赛琳娜·幻奏
340	10102	[1551003]		拥有独域机体蒲牢·华钟
341	10102	[1051004]		拥有泛用机体七实·遥星之座
342	10102	[1561003]		拥有独域机体哈卡玛·隐星
343	10102	[1071004]		拥有泛用机体卡列尼娜·辉晓
344	10102	[1571003]		拥有独域机体诺安·逆旅
345	10102	[1041004]		拥有泛用机体比安卡·深痕
346	10102	[1231002]		拥有泛用机体邦比娜塔·琉璃
347	10102	[1011004]		拥有泛用机体里·超刻
348	10102	[1091003]		拥有泛用机体艾拉·万华
349	10102	[1021005]		拥有泛用机体露西亚·深红囚影
350	10102	[1241002]		拥有泛用机体含英·清商
351	10102	[1221003]		拥有泛用机体21号·森息
352	10102	[1251002]		拥有泛用机体诺克提·擎驱
353	10102	[1261003]		拥有泛用机体亚里莎·回音
354	10102	[1271003]		拥有泛用机体拉弥亚·深谣
355	10102	[1281002]		
356	10102	[1081004]		拥有泛用机体渡边·尘铭
357	10102	[1521004]		拥有泛用机体曲·启明
358	10102	[1291002]		拥有泛用机体布偶熊·觅语
359	10102	[1171004]		拥有泛用机体露娜·终焉
360	10102	[1301002]		拥有泛用机体布丽姬特·耀炎
361	10102	[1241003]		拥有泛用机体含英·檀心
362	10102	[1211003]		拥有泛用机体万事·明晰梦
363	10102	[1021006]		拥有泛用机体露西亚·誓焰
364	10102	[1311002]		拥有泛用机体八咫-徊闪
365	10102	[1051005]		拥有泛用机体七实·芒星之迹
366	10102	[1321003]		拥有泛用机体伊什梅尔·幻日
367	10102	[1331003]		拥有泛用机体莉莉丝·谬影
368	10102	[1531005]		拥有泛用机体赛琳娜·希声
369	10102	[1341002]		拥有泛用机体洁塔薇·破晓
370	10102	[1131004]		拥有泛用机体薇拉·灼惘
371	10102	[1351003]		拥有泛用机体维吉尔
372	10102	[1361003]		拥有泛用机体但丁
373	10102	[1041005]		拥有泛用机体比安卡·晖暮
374	10102	[1371002]		拥有泛用机体斜奏·裁律
375	10102	[1381003]		拥有泛用机体维罗妮卡·铮骨
376	10102	[1031005]		拥有泛用机体丽芙·霁梦
377	10102	[1291003]		拥有泛用机体布偶熊·骇影
378	10102	[1141004]		拥有泛用机体罗塞塔·极锋
379	10102	[1391003]		拥有泛用机体涅缇娅·亡歌
380	10102	[1061004]		拥有泛用机体神威·不落日
381	10102	[1021007]		拥有泛用机体露西亚·逆冕
401	11105	[6210204]		已拥有该涂装
7001	10105	[13010116]		通关露西亚间章所有支线
7002	10105	[13010216]		通关丽芙间章所有支线
7003	10105	[13010315]		通关七实间章所有支线
7004	10105	[13010415]		通关里间章所有支线
7005	10105	[13010516]		通关卡列尼娜间章所有支线
7006	10105	[13010615]		通关渡边间章所有支线
7007	10105	[13010716]		通关比安卡间章所有支线
7008	10105	[13010815]		通关神威间章所有支线
10436000	10101	[30]		指挥官等级到达30级
10436001	10101	[1]		推荐战力:2500
10436002	10101	[1]		推荐战力:3500
10436003	10101	[1]		推荐战力:4500
10436004	10101	[1]		推荐战力:6500
10436005	10101	[1]		推荐战力:7000
10436011	10101	[30]		指挥官等级到达30级
10436012	10102	[1081002]		拥有泛用机体渡边·夜刃
10436013	13103	[80]		渡边·夜刃达到80级
10436014	10105	[10040203]		通关一次主线关卡4-7
10436015	13117	[5]		渡边·夜刃好感度达到5级
10436016	13114	[4]		渡边·夜刃达成终解
10436017	13108	[6200]		渡边·夜刃达成6200战力
10436018	17117	[15, 21000100, 21000101, 21000102, 21000103, 21000104]		在【心锁试炼】中完成所有3星目标
10436019	10105	[21000114]		通关【片忆构成】所有关卡后解锁
10436020	11101	[1201, 1]		<color=#C14F38>本我回廊-心锁试炼</color> 模式累计<color=#C14F38>10</color>星通关
10436021	10101	[30]		指挥官等级到达30级
10436022	10102	[1021003]		拥有泛用机体露西亚·深红之渊
10436023	13103	[80]		露西亚·深红之渊达到80级
10436024	10105	[11140105]		通关一次主线隐藏关卡14-5
10436025	13117	[5]		露西亚·深红之渊好感度达到5级
10436026	13114	[4]		露西亚·深红之渊达成终解
10436027	13108	[6200]		露西亚·深红之渊达成6200战力
10436028	17117	[15, 21000200, 21000201, 21000202, 21000203, 21000204]		在【心锁试炼】中完成所有3星目标
10436029	10105	[21000214]		通关【片忆构成】所有关卡后解锁
10436030	11101	[1202, 1]		<color=#C14F38>本我回廊-心锁试炼</color> 模式累计<color=#C14F38>10</color>星通关
10436031	10101	[30]		指挥官等级到达30级
10436032	10102	[1051004]		拥有泛用机体七实·遥星之座
10436033	13103	[80]		七实·遥星之座达到80级
10436034	10105	[15020222]		通关一次浮点纪实ER01-13
10436035	13117	[5]		七实·遥星之座好感度达到5级
10436036	13114	[4]		七实·遥星之座达成终解
10436037	13108	[6200]		七实·遥星之座达成6200战力
10436038	17117	[15, 21000220, 21000221, 21000222, 21000223, 21000224]		在【心锁试炼】中完成所有3星目标
10436039	10105	[21000235]		通关【片忆构成】所有关卡后解锁
10436040	11101	[1203, 1]		<color=#C14F38>本我回廊-心锁试炼</color> 模式累计<color=#C14F38>10</color>星通关
10436041	10101	[30]		指挥官等级到达30级
10436042	10102	[1071004]		拥有泛用机体卡列尼娜·辉晓
10436043	13103	[80]		卡列尼娜·辉晓达到80级
10436044	10105	[10190120]		通关一次主线关卡19-20
10436045	13117	[5]		卡列尼娜·辉晓好感度达到5级
10436046	13114	[4]		卡列尼娜·辉晓达成终解
10436047	13108	[6200]		卡列尼娜·辉晓达成6200战力
10436048	17117	[15, 21000240, 21000241, 21000242, 21000243, 21000244]		在【心锁试炼】中完成所有3星目标
10436049	10105	[21000255]		通关【片忆构成】所有关卡后解锁
10436050	11101	[1204, 1]		<color=#C14F38>本我回廊-心锁试炼</color> 模式累计<color=#C14F38>10</color>星通关
10436051	10101	[52]		指挥官等级到达52级
10436052	10102	[1071004]		拥有独域机体诺安·逆旅
10436053	13103	[80]		诺安·逆旅达到80级
10436054	10105	[15020323]		通关一次浮点纪实ER02-23
10436055	13117	[5]		诺安·逆旅好感度达到5级
10436056	13114	[4]		诺安·逆旅达成终解
10436057	13108	[6200]		诺安·逆旅达成6200战力
10436058	17117	[15, 21000115, 21000116, 21000117, 21000118, 21000119]		在【心锁试炼】中完成所有3星目标
10436059	10105	[21000255]		通关【片忆构成】所有关卡后解锁
10436060	11101	[1205, 1]		<color=#C14F38>本我回廊-心锁试炼</color> 模式累计<color=#C14F38>10</color>星通关
10436061	10101	[30]		指挥官等级到达30级
10436062	10102	[1071004]		拥有泛用机体薇拉·绯耀
10436063	13103	[80]		薇拉·绯耀达到80级
10436064	10105	[10150116]		通关一次主线关卡15-16
10436065	13117	[5]		薇拉·绯耀好感度达到5级
10436066	13114	[4]		薇拉·绯耀达成终解
10436067	13108	[6200]		薇拉·绯耀达成6200战力
10436068	17117	[15, 21000260, 21000261, 21000262, 21000263, 21000264]		在【心锁试炼】中完成所有3星目标
10436069	10105	[10150116]		通关【片忆构成】所有关卡后解锁
10436070	11101	[1206, 1]		<color=#C14F38>本我回廊-心锁试炼</color> 模式累计<color=#C14F38>10</color>星通关
1046901	10105	[30062951]		通关极意融彻-02解锁
1046902	10105	[30062952]		通关极意融彻-03解锁
1046903	10105	[30062953]		通关极意融彻-04解锁
1046904	10105	[30062954]		通关极意融彻-05解锁
1046905	10105	[30062960]		通关寒霜凌冽-02解锁
1046906	10105	[30062961]		通关寒霜凌冽-03解锁
1046907	10105	[30062962]		通关寒霜凌冽-04解锁
1046908	10105	[30062963]		通关寒霜凌冽-05解锁
1046909	10105	[30062956]		通关极意融彻-06解锁
1046910	10105	[30062964]		通关寒霜凌冽-06解锁
1048800	17240	[10011]		新矿区通关正教学章节
1048801	17240	[10012]		新矿区通关正式章节第一章
1048802	17240	[10013]		新矿区通关正式章节第二章
1048803	17240	[10014]		新矿区通关正式章节第三章
1048804	17240	[10015]		新矿区通关正式章节第四章
1048810	17241	[10011, 11011]		新矿区通关正教学章节核心塔
1048811	17241	[10012, 12011]		新矿区通关正式章节第一章水塔
1048812	17241	[10012, 12012]		新矿区通关正式章节第一章核心塔
1048813	17241	[10013, 13011]		新矿区通关正式章节第二章水塔
1048814	17241	[10013, 13012]		新矿区通关正式章节第二章核心塔
1048815	17241	[10014, 14011]		新矿区通关正式章节第三章水塔
1048816	17241	[10014, 14012]		新矿区通关正式章节第三章核心塔
1048817	17241	[10015, 15011]		新矿区通关正式章节第四章水塔
1048818	17241	[10015, 15012]		新矿区通关正式章节第四章核心塔
1048821			1048831&1048832&1048833	激活第一章所有外循环
1048822			1048834&1048835&1048836	激活第二章所有外循环
1048823			1048837&1048838&1048839	激活第三章所有外循环
1048824			1048840&1048841&1048842	激活第四章所有外循环
1048831	17242	[10011, 1]		激活第一章外循环1至1级
1048832	17242	[10012, 1]		激活第一章外循环2至1级
1048833	17242	[10013, 1]		激活第一章外循环3至1级
1048834	17242	[10021, 1]		激活第二章外循环1至1级
1048835	17242	[10022, 1]		激活第二章外循环2至1级
1048836	17242	[10023, 1]		激活第二章外循环3至1级
1048837	17242	[10031, 1]		激活第三章外循环1至1级
1048838	17242	[10032, 1]		激活第三章外循环2至1级
1048839	17242	[10033, 1]		激活第三章外循环3至1级
1048840	17242	[10041, 1]		激活第四章外循环1至1级
1048841	17242	[10042, 1]		激活第四章外循环2至1级
1048842	17242	[10043, 1]		激活第四章外循环3至1级
1048850	17243	[10011, 110111]		新矿区-当前位于教学章节1层的层界面
1048851	17243	[10011, 110112]		新矿区-当前位于教学章节2层的层界面
1048852	17243	[10011, 110113]		新矿区-当前位于教学章节3层的层界面
1048853	17244	[10012]		新矿区-当前位于正式章节1的选人界面
1048854	17243	[10012, 120111]		新矿区-当前位于正式章节1水塔1层的层界面
1048855	17243	[10012, 120121]		新矿区-当前位于正式章节1核心塔1层的层界面
1048856			1048854|1048855	新矿区-当前位于正式章节1任一塔1层的层界面
1048857	17243	[10013, 130111]		新矿区-当前位于正式章节2水塔1层的层界面
1048858	17243	[10013, 130121]		新矿区-当前位于正式章节2核心塔1层的层界面
1048859			1048857|1048858	新矿区-当前位于正式章节2任一塔1层的层界面
1048860	17243	[10014, 140115]		新矿区-当前位于正式章节3水塔5层的层界面
1048861	17243	[10014, 140123]		新矿区-当前位于正式章节3核心塔3层的层界面
1048862			1048860|1048861	新矿区-当前位于正式章节3任一塔最高层的层界面
1048863	17243	[10012, 120123]		新矿区-当前位于正式章节1核心塔3层的层界面
1045701			1045702&1045703&1045712	回合数=1且行动点=0
1045702	17301	[3, 1]		回合数=1
1045703	17302	[3, 0]		行动点=0
1045704			1045705&1045706	回合数=2且行动点=0
1045705	17301	[3, 2]		回合数=2
1045706	17302	[3, 0]		行动点=0
1045707	17303	[2, 100]		繁荣度≥100
1045708			1045709|1045710	触发生产暴击或销售暴击
1045709	17304	[1]		触发生产暴击
1045710	17305	[1]		触发销售暴击
1045711	17306	[100]		通关渡边模拟器教学关（stageID）
1045712	17307	[1]		当前关卡是教学关，引导会重复触发
1045713			1045712&1045707&1045720	教学关内，繁荣度≥100
1045714	17308	[102]		完成建筑【许愿井】购买
1045715	17306	[101]		通关渡边模拟器第2关（stageID）
1045716	17309	[61528, 2]		未触发引导61528
1045717	17309	[61531, 2]		未触发引导61528
1045718	17309	[61532, 2]		未触发引导61532
1045719	17309	[61534, 2]		未触发引导61534
1045720	17309	[61533, 2]		未触发引导61533
1045721	17309	[61541, 2]		未触发引导61541
1045722			1045721&1045710	未触发引导且触发销售暴击
1045723			1045709&1045717	未触发引导且触发生产暴击
1045724			1045716&1045702	第一回合且未触发引导
1045725	17309	[61529, 2]		未触发引导61529
1045726			1045725&1045702&1045703	第一回合、体力为0且未触发引导
21000000	24111	[3, 2]		上阵人数限制为：3人
21000100	18103	[1, 1081002]		渡边·夜刃必须出战
21000200	18103	[1, 1021003]		露西亚·深红之渊必须出战
21000300	18103	[1, 1051004]		七实·遥星之座必须出战
21000400	18103	[1, 1071004]		卡列尼娜·辉晓必须出战
21000500	18103	[1, 1571003]		诺安·逆旅必须出战
21000600	18103	[1, 1131003]		薇拉·绯耀必须出战
8000	10101	[25]		指挥官等级到达25级
8001	10101	[35]		指挥官等级到达35级
8002	10101	[45]		指挥官等级到达45级
8003	10101	[55]		指挥官等级到达55级
8004	10101	[62]		指挥官等级到达62级开启
8005	10101	[52]		指挥官等级到达52级开启
8006	10101	[61]		指挥官等级到达61级开启
8007	10101	[56]		指挥官等级到达56级开启
8008	10101	[47]		指挥官等级到达47级开启
10001	10101	[50]		玩家等级需要达到50级
10002	11101	[1, 999]		道具数量需要999
10003	10102	[1021001]		需要拥有指定泛用机体
10005	10103	[1]		获得泛用机体数量多少个，参数：数量
10006	13101	[1]		泛用机体性别，参数：性别
10007	13102	[1]		泛用机体类型，参数：类型
10010	18101	[1]		只能使用男性泛用机体
10011	18102	[3, 1]		敢死类泛用机体不可用
10115	10115	[1, 0]		安博莉亚死亡后解锁
10450	10105	[30010405]		通关作战补给AE-5副本
1001201	18103	[1, 1031001]		丽芙·蚀暗必须出战
1001202	18103	[1, 1051001]		七实·风暴必须出战
10013	18104	[1031001]		不能使用丽芙出战
10014	10101	[40]		玩家等级需要达到40级
10015	10105	[10010202]		玩家必须通过5-2关卡
10016	13103	[25]		成员等级需要达到25级
30001	10101	[1]		玩家等级需要达到1级
30002	20102	[1]		需要宿舍1楼建满
30003	20102	[2]		需要宿舍2楼建满
30050	10151	[90370, 0]		已拥有意识十 阿箭（不可重复购买）
30051	10151	[90220, 0]		已拥有意识十 阿枪（不可重复购买）
30052	10151	[81600, 0]		已拥有罗兰（不可重复购买）
30053	10151	[81500, 0]		已拥有喷涂机械（不可重复购买）
30054	10151	[92030, 0]		已拥有修理机工（不可重复购买）
30055	10151	[92670, 0]		已拥有烟粉（不可重复购买）
30056	10151	[813000, 0]		已拥有蔷薇之剑（不可重复购买）
30057	10151	[837000, 0]		已拥有鲨士碧儿（不可重复购买）
30101	20101	[1, 1]		需要主电脑达到1级
30201	20101	[2, 1]		需要发电站达到1级
30202	20101	[2, 3]		需要发电站达到3级
30203	20101	[2, 5]		需要发电站达到5级
30301	20101	[3, 1]		需要工厂达到1级
30302	20101	[3, 3]		需要工厂达到3级
30303	20101	[3, 5]		需要工厂达到5级
30401	10101	[2]		玩家等级需要达到2级
30402	10101	[10]		玩家等级需要达到10级
30403	10101	[15]		玩家等级需要达到15级
30404	10101	[20]		玩家等级需要达到20级
30405	10101	[25]		玩家等级需要达到25级
30406	10101	[40]		玩家等级需要达到40级
31001	20104	[2]		委托系统到达 2 级
31002	20104	[3]		委托系统到达 3 级
31003	20104	[4]		委托系统到达 4 级
31004	20104	[5]		委托系统到达 5 级
31005	20104	[6]		委托系统到达 6 级
31006	20104	[7]		委托系统到达 7 级
31101	20105	[5, 5]		累计完成 艺术协会 任务 5 个
31102	20105	[3, 5]		累计完成 工程部队 任务 5 个
31103	20105	[8, 5]		累计完成 遗忘者 任务 5 个
31200	34002			派遣成员满足委托推荐属性
31201	34001	[1031001]		派遣成员包括【丽芙 蚀暗】
31202	10105	[10170128]		通关 湮灭残昼 （17-28） 后解锁
31203	34001	[1571003]		派遣成员包括【诺安 逆旅】
31204	10105	[15020324]		通关 枯朽为灯 （ER02-24）后解锁
31205	34001	[1121002]		派遣成员包括【库洛姆 弧光】
31206	10105	[10200115]		通关 烬海异途 （20-15） 后解锁
31207	34001	[1551003]		派遣成员包括【蒲牢 华钟】
31208	10105	[10120126]		通关 九龙环城 （12-26） 后解锁
31209			(84101358|604013)	（复制自630058）通关 终焉福音 后解锁
31210	10105	[10170128]		通关 湮灭残昼 （17-28） 后解锁
31211	10105	[10200115]		通关 烬海异途 （20-15） 后解锁
31212	10105	[10210124]		通关 刻命螺旋 （21-24） 后解锁
31213	10105	[10220121]		通关 创绘映想 （22-28） 后解锁
31214	10105	[10230117]		通关 凛桎鸣渊 （23-17） 后解锁
31215	10105	[15020517]		通关 浮英枕梦行（浮点纪实ER04-17） 后解锁
31216	10105	[15020413]		通关未语庭言（浮点纪实ER03-13）后解锁
31217	10105	[10240116]		通关 萦森歧路（24-16）后解锁
31218	10105	[10250120]		通关 爝火长明（25-20）后解锁
31219	34001	[1071004]		派遣成员包括【卡列尼娜 辉晓】
31220	10105	[10260127]		通关 摇篮游行（26-27）后解锁
31221	10105	[10270129]		通关 碑火铸脊（27-29）后解锁
31901	20104	[2]		委托终端到达 2 级
31902	20104	[3]		委托终端到达 3 级
31903	20104	[4]		委托终端到达 4 级
31904	20104	[5]		委托终端到达 5 级
31905	20104	[6]		委托终端到达 6 级
31906	20104	[7]		委托终端到达 7 级
31907	20104	[8]		委托终端到达 8 级
31908	20104	[9]		委托终端到达 9 级
31909	20104	[10]		委托终端到达 10 级
32000	10222			入门活动开启
32001	10223			目标活动开启
32002	10224			回归3.0活动开启
32003	10225			生日活动开启
100000	10105	[10010204]		通关普通剧情1-8副本
100001	10105	[10010304]		通关普通剧情1-12副本
100002	10105	[10010104]		通关普通剧情1-4副本
100102	10105	[10020304]		通关普通剧情2-12副本
100103	10105	[11010106]		通关隐藏剧情1-6副本
100104	10105	[10030304]		通关普通剧情3-12副本
100105	10105	[11020106]		通关隐藏剧情2-6副本
100106	10105	[10040304]		通关普通剧情4-12副本
100107	10105	[11030106]		通关隐藏剧情3-6副本
100108	10105	[10050304]		通关普通剧情5-12副本
100109	10105	[11040106]		通关隐藏剧情4-6副本
100110	10105	[10060304]		通关普通剧情6-12副本
100111	10105	[11050106]		通关隐藏剧情5-6副本
100112	10105	[10070304]		通关普通剧情7-12副本
100113	10105	[11060106]		通关隐藏剧情6-6副本
100202	10105	[10010304]		通关普通剧情1-12副本
100203	10105	[10020304]		通关普通剧情2-12副本
100204	10105	[10030304]		通关普通剧情3-12副本
100205	10105	[10040104]		通关普通剧情4-4副本
100206	10105	[10040404]		通关普通剧情4-16副本
100207	10105	[10050304]		通关普通剧情5-12副本
100208	10105	[10060204]		通关普通剧情6-8副本
100209	10105	[10070104]		通关普通剧情7-4副本
100210	10105	[10070404]		通关普通剧情7-16副本
100211	10105	[10080304]		通关普通剧情8-12副本
100212	10105	[11060106]		通关隐藏剧情6-8副本
100213	10105	[11080106]		通关隐藏剧情8-4副本
100302	10105	[10020104]		通关普通剧情2-4副本
100303	10105	[10020404]		通关普通剧情2-16副本
100304	10105	[10030404]		通关普通剧情3-16副本
100305	10105	[10040204]		通关普通剧情4-8副本
100306	10105	[10050104]		通关普通剧情5-4副本
100307	10105	[10050404]		通关普通剧情5-16副本
100308	10105	[10060304]		通关普通剧情6-12副本
100309	10105	[10070204]		通关普通剧情7-8副本
100310	10105	[10080104]		通关普通剧情8-4副本
100311	10105	[10080404]		通关普通剧情8-16副本
100312	10105	[11060106]		通关隐藏剧情6-8副本
100313	10105	[11080106]		通关隐藏剧情8-4副本
100402	10105	[10010404]		通关普通剧情1-16副本
100403	10105	[11010106]		通关隐藏剧情1-8副本
100404	10105	[11010106]		通关隐藏剧情1-16副本
100405	10105	[11010106]		通关隐藏剧情2-8副本
100406	10105	[11020106]		通关隐藏剧情2-16副本
100407	10105	[11030106]		通关隐藏剧情3-8副本
100408	10105	[11030106]		通关隐藏剧情3-16副本
100409	10105	[11040106]		通关隐藏剧情4-6副本
100410	10105	[11040106]		通关隐藏剧情4-16副本
100411	10105	[11050106]		通关隐藏剧情5-8副本
100412	10105	[11070106]		通关隐藏剧情7-8副本
100413	10105	[11080106]		通关隐藏剧情8-16副本
100501	10105	[10010203]		通关普通剧情1-7副本
100601	10105	[10120111]		通关普通剧情12-11副本
100701	10105	[15010120]		通关外篇剧情EX01-20副本
100801	10105	[15020118]		通关外篇隐藏剧情EX02-18副本
100811	10105	[10130200]		通关常规模式第1章第1关
100812	10105	[10130171]		通关常规模式第1章第2关
100813	10105	[10130172]		通关常规模式第1章第3关
100814	10105	[10130201]		通关常规模式第1章第4关
100815	10105	[10130202]		通关常规模式第1章第5关
100816	10105	[10130203]		通关常规模式第1章第6关
100817	10105	[10130173]		通关常规模式第1章第7关
100818	10105	[10130204]		通关常规模式第1章第8关
100819	10105	[10130174]		通关常规模式第1章第9关
100820	10105	[10130205]		通关常规模式第1章第10关
100821	10105	[10130206]		通关常规模式第2章第1关
100822	10105	[10130207]		通关常规模式第2章第2关
100823	10105	[10130208]		通关常规模式第2章第3关
100824	10105	[10130175]		通关常规模式第2章第4关
100825	10105	[10130209]		通关常规模式第2章第5关
100826	10105	[10130210]		通关常规模式第2章第6关
100827	10105	[10130176]		通关常规模式第2章第7关
100828	10105	[10130211]		通关常规模式第2章第8关
100829	10105	[10130212]		通关常规模式第2章第9关
100830	10105	[10130213]		通关常规模式第2章第10关
100831	10105	[10130214]		通关常规模式第2章第11关
100832	10105	[10130215]		通关常规模式第2章第12关
100833	10105	[10130177]		通关常规模式第2章第13关
100834	10105	[10130216]		通关常规模式第2章第14关
100835	10105	[10130217]		通关常规模式第3章第1关
100836	10105	[10130218]		通关常规模式第3章第2关
100837	10105	[10130178]		通关常规模式第3章第3关
100838	10105	[10130219]		通关常规模式第3章第4关
100839	10105	[10130220]		通关常规模式第3章第5关
100840	10105	[10130179]		通关常规模式第3章第6关
100841	10105	[10130221]		通关常规模式第3章第7关
100842	10105	[10130180]		通关常规模式第3章第8关
100843	10105	[10130181]		通关常规模式第3章第9关
100844	10105	[10130222]		通关常规模式第3章第10关
100845	10105	[10130223]		通关常规模式第3章第11关
100846	10105	[10130224]		通关常规模式第3章第12关
100847	10105	[10130225]		通关常规模式第3章第13关
100848	10105	[10130226]		通关常规模式第3章第14关
100849	10105	[10130227]		通关常规模式第3章第15关
100850	10105	[10130228]		通关常规模式第3章第16关
100851	10105	[10130229]		通关常规模式第3章第17关
100852	10105	[10130230]		通关常规模式第3章第18关
100853	10105	[10130231]		通关常规模式第3章第19关
100854	10105	[10130182]		通关常规模式第3章第20关
100855	10105	[10130232]		通关常规模式第3章第21关
100856	10105	[10130233]		通关常规模式第4章第1关
100857	10105	[10130234]		通关常规模式第4章第2关
100858	10105	[10130235]		通关常规模式第4章第3关
100859	10105	[10130236]		通关常规模式第4章第4关
100860	10105	[10130237]		通关常规模式第4章第5关
100861	10105	[10130238]		通关常规模式第4章第6关
100862	10105	[10130183]		通关常规模式第4章第7关
100863	10105	[10130239]		通关常规模式第4章第8关
100864	10105	[10130240]		通关常规模式第4章第9关
100865	10105	[10130184]		通关常规模式第4章第10关
100866	10105	[10130241]		通关常规模式第4章第11关
100867	10105	[10130185]		通关常规模式第4章第12关
100868	10105	[10130186]		通关常规模式第4章第13关
100901	10105	[30110114]		敬请期待
101001	10105	[10140115]		通关普通剧情14-15副本
101101	10105	[10150117]		通关普通剧情15-17副本
101201	10105	[15010613]		通关外篇剧情EX05-12副本
101301	10105	[10160115]		通关普通剧情16-15副本
101401	10105	[10170111]		通关区域“赤海沉岛”解锁
101402	10105	[10170117]		通关区域“极境逐杀”解锁
109000	13103	[2]		成员等级达到2级
110000	13103	[10]		成员等级达到10级
110001	13103	[20]		成员等级达到20级
110002	13103	[30]		成员等级达到30级
110003	13103	[40]		成员等级达到40级
110004	13103	[45]		成员等级达到45级
110005	13103	[50]		成员等级达到50级
110006	13103	[55]		成员等级达到55级
110007	13103	[60]		成员等级达到60级
110008	13103	[65]		成员等级达到65级
110009	13103	[70]		成员等级达到70级
110010	13103	[75]		成员等级达到75级
110011	13103	[80]		成员等级达到80级
120000	10101	[200]		未到活动开启时间，稍安勿躁
200000	10101	[200]		暂未开放
200001	10105	[12021201]		通关据点战第二章
200002	10105	[12050402]		通关据点战第五章
200003	10105	[12080402]		通关据点战第八章
200010	10105	[12011601]		通关据点战第一章
200011	10105	[12021201]		通关据点战第二章
200012	10105	[12030802]		通关据点战第三章
200013	10105	[12040401]		通关据点战第四章
200014	10105	[12050402]		通关据点战第五章
200015	10105	[12060402]		通关据点战第六章
200016	10105	[12070402]		通关据点战第七章
200017	10105	[12080402]		通关据点战第八章
300001	18105	[1, 2]		派遣中1兵种泛用机体数量达到2个
300002	18106	[10, 2]		派遣中战斗力达到10的泛用机体数量达到2个
300003	18107	[1, 2]		派遣中品质达到1的泛用机体数量达到2个
300004	18108	[10, 2]		派遣中等级达到10的泛用机体数量达到2个
300005	18109	[1, 2]		派遣中性别为1的泛用机体数量达到2个
300006	18110	[1031001, 1]		丽芙·蚀暗必须出战
40000	18108	[10, 1]		全队1个成员等级达到10
40001	18108	[20, 2]		全队2个成员等级达到20
40002	18108	[30, 3]		全队3个成员等级达到30
40003	18108	[40, 1]		全队1个成员等级达到40
40004	18108	[50, 2]		全队2个成员等级达到50
40005	18108	[60, 3]		全队3个成员等级达到60
40006	18108	[10, 1]		全队1个成员等级达到10
40007	18108	[20, 2]		全队2个成员等级达到20
40008	18108	[30, 3]		全队3个成员等级达到30
40009	18108	[40, 1]		全队1个成员等级达到40
40010	18108	[50, 2]		全队2个成员等级达到50
40011	18108	[60, 3]		全队3个成员等级达到60
40012	18107	[2, 1]		全队1个泛用机体品质达到A
40013	18107	[3, 2]		全队2个泛用机体品质达到S
40014	18107	[4, 3]		全队3个泛用机体品质达到SS
40015	18107	[5, 1]		全队1个泛用机体品质达到SSS
40016	18107	[4, 2]		全队2个泛用机体品质达到SS
