Id	Name	Priority	Hint	Condition	Type	FunctionType
2101	勋章墙	100	1	[200000]	1	1
2102	聊天铭牌系统	100		[200000]	1	1
2200	图鉴系统	101	1	[200000]	1	1
2300	2级菜单	113		[200000]	1	1
2400	拍照系统	114		[200000]	1	1
2500	预下载	125			1	1
3000	累计充值	102		[200000]	1	1
4000	伊甸二型	103		[774800]	1	1
4001	投票	104	1		1	1
5001	辅助机	117	1	[8006]	1	1
6000	日历系统【这个要屏蔽，开启条件改成120000，开启改成5004】	123		[120000]	1	1
8001	邀请码分享	105		[200000]	1	1
10101	普通剧情	40			1	1
10102	隐藏剧情	41		[770400]	1	1
10103	据点模式	35	1	[771500]	1	1
10104	主线副本	35			1	1
10201	挑战副本	35			1	1
10202	挑战-雷蒙盖顿之书	35		[771600]	1	1
10203	挑战-幻痛囚笼	35	1	[862846]	1	1
10204	挑战-纷争战区	43	1	[862848]	1	1
10205	诺曼复兴战	116		[870006]	1	1
10206	诺曼复兴战供电站	119		[870006]	1	1
10300	活动简介	44			1	1
10301	活动副本	44			1	1
10302	协同作战	44		[772000]	1	1
10303	活动【质量流失】	44		[772100]	1	1
10304	超难关	44		[772200]	1	1
10305	试验区	45		[770400]	1	1
10306	节日副本活动（支线-活动记录）	46		[770400]	1	1
10307	巴别塔	47		[772280]	1	1
10308	活动主线	48		[772260]	1	1
10309	拟战场域	49		[770422]	1	1
10310	爬塔活动	50		[772290]	1	1
10311	挑战-边界公约	44	1	[774900]	1	1
10312	合众战局	51		[8004]	1	1
10313	列阵	50		[775000]	1	1
10314	外篇旧闻	50		[770400]	1	1
10315	异聚迷宫	50		[84700201]	1	1
10316	特训关	51		[775600]	1	1
10317	特训关小游戏	51		[774800]	1	1
10318	虚像地平线	52		[775100]	1	1
10319	中元节小游戏	53		[774800]	1	1
10320	世界Boss	107		[5001]	1	1
10321	RPG玩法	108		[5001]	1	1
10322	荣耀勋阶	109	1	[844001, 844002]	1	1
10323	中元节副本	54		[774800]	1	1
10324	拼图小游戏	55		[774800]	1	1
10325	角色教学关	56		[774501]	1	1
10326	圣诞节小游戏	57		[774800]	1	1
10327	元旦节小游戏	58		[774800]	1	1
10328	对联小游戏	59			1	1
10329	猜拳小游戏	60		[774800]	1	1
10330	模拟作战	61		[775100]	1	1
10331	翻牌小游戏	62		[774800]	1	1
10333	翻点拼斗乐	64		[774800]	1	1
10334	剧情投放-晨星剪辑	65		[774800]	1	1
10335	扫雷小游戏	66		[774800]	1	1
10336	骇入玩法	67		[5001]	1	1
10337	改造玩法	68		[775600]	1	1
10338	五一刮刮乐	63		[775400]	1	1
10339	杀戮无双	69		[774800]	1	1
10340	深蓝战域	59		[84601500]	1	1
10341	系列涂装活动	120		[774800]	1	1
10342	战斗通行证	70		[775500]	1	1
10343	双人同行	70		[8005]	1	1
10345	2021-端午玩法	121		[30406]	1	1
10346	2021-拍照玩法	122		[774800]	1	1
10347	超丽芙消消乐	71		[774800]	1	1
10348	音频解谜	72		[774800]	1	1
10349	全服决战	73		[84601200]	1	1
10350	超限乱斗	59		[84601800]	1	1
10351	意识营救战-玩法	53		[774800]	1	1
10352	浮点纪实	124		[770400]	1	1
10353	mini改造玩法	68		[774800]	1	1
10354	竞猜活动	57		[774800]	1	1
10401	资源副本	33		[772800]	1	1
10402	资源-无1	34		[772500]	1	1
10403	资源-无2	36		[772600]	1	1
10404	资源-无3	37		[772700]	1	1
10405	黄金之涡	54	1	[774300]	1	1
10406	资源-成员特训	38		[772800]	1	1
10407	资源-作战补给	39		[772800]	1	1
10408	资源-军备突破	40		[772800]	1	1
10409	资源-后勤保养	41		[772800]	1	1
10410	资源-螺母大作战	42		[772800]	1	1
10411	资源-战技演习	46		[772800]	1	1
10412	资源-辅助加装	47		[8006]	1	1
10413	三消玩法	47		[774800]	1	1
10414	赛跑小游戏	74		[774800]	1	1
10415	骰子小游戏	75		[774800]	1	1
10416	异构阵线	76		[774800]	1	1
10417	奖券小游戏	77		[774800]	1	1
10418	预热打地鼠小游戏	78		[774800]	1	1
10419	预热接头霸王	79		[774800]	1	1
10450	资源商店	106		[771000]	1	1
10499	愚人节活动	131		[770418]	1	1
109001	成员特训 RS-2	81		[9501]	2	1
109002	成员特训 RS-3	82		[9502]	2	1
109003	成员特训 RS-4	83		[9503]	2	1
109101	作战补给 AE-2	84		[9501]	2	1
109102	作战补给 AE-3	85		[9502]	2	1
109103	作战补给 AE-4	86		[9503]	2	1
109201	军备突破 AB-2	87		[9501]	2	1
109202	军备突破 AB-3	88		[9502]	2	1
109203	军备突破 AB-4	89		[9503]	2	1
109301	后勤保养 LM-2	90		[9501]	2	1
109302	后勤保养 LM-3	91		[9502]	2	1
109303	后勤保养 LM-4	92		[9503]	2	1
109401	螺母大作战 NF-2	93		[9501]	2	1
109402	螺母大作战 NF-3	94		[9502]	2	1
109403	螺母大作战 NF-4	95		[9503]	2	1
109501	战技演习 BE-2	96		[9501]	2	1
109502	战技演习 BE-3	97		[9502]	2	1
109503	战技演习 BE-4	98		[9503]	2	1
10420	宣叙妄响	70	1	[1002036]	1	1
10421	末日玩法	71		[30406]	1	1
10422	SP枢纽作战	72		[84601800]	1	1
10423	大逃杀	73		[30406]	1	1
10424	塔防	66		[30406]	1	1
10425	众志行征	74			1	1
10426	黄金矿工	80		[774800]	1	1
10428	周挑战任务	81		[774800]	1	1
10430	太鼓达人	81		[774800]	1	1
10427	极域协作	73		[30406]	1	1
10431	心象风景（正逆塔）	70		[30406]	1	1
10432	活动研发	16		[770402]	1	1
10433	多维演绎-厄愿潮声	70	1	[1005045]	1	1
10434	盛夏心绪	123		[30404]	1	1
10435	新手入门	1		[200000]	1	1
10436	本我回廊	1	1	[10436000]	1	1
10437	映像潜渊	1		[84601800]	1	1
10439	光辉同行	1		[774800]	1	1
10438	调色板战争	47		[860742]	1	1
10440	序列公约	124	1	[841207]	1	1
10441	亚卡数界	125		[30406]	1	1
10442	涂装名投票活动	1		[774800]	1	1
10443	露记大排档	1		[774800]	1	1
10444	异构阵线	1		[774800]	1	1
10445	云雀歌未眠	1		[775600]	1	1
10446	行星环游记	1		[774800]	1	1
10447	战双BVB	1		[774800]	1	1
10448	三头犬玩法	1		[774800]	1	1
10449	能源回收作战	1		[30406]	1	1
10451	历战映射	1		[412]	1	1
10452	日程助理	123	1	[200000]	1	1
10453	矩阵循生	70	1	[1020005]	1	1
10454	夏日幸运星	70		[774800]	1	1
10455	箱庭棋域	1		[774800]	1	1
10456	连线小游戏	70		[774800]	1	1
10457	肉鸽模拟经营	70		[774800]	1	1
10458	魔方嘉年华DLC	125		[774800]	1	1
10459	言灵玩法	1		[774800]	1	1
10460	周年活动主界面	1		[30404]	1	1
10461	消灭方块	1		[774800]	1	1
10462	周年回顾	1		[862417]	1	1
10463	新岁游园	1		[774800]	1	1
10464	多人联机	1		[774800]	1	1
10465	联界枢行	1		[774800]	1	1
10466	缘绘敦煌	1		[774800]	1	1
10467	Boss跃升	1		[774800]	1	1
10468	万事连线	1		[30406]	1	1
10469	机制玩法	1		[774800]	1	1
10470	寒境曙光	70	1	[1020681]	1	1
10471	高难boss继承玩法	2		[772280]	1	1
10472	新版庙会	1		[774800]	1	1
10473	背包整理	1		[30406]	1	1
10474	数据演习	1		[6000]	1	1
10475	2048休闲	1		[30406]	1	1
10476	数织预热关	70		[774800]	1	1
10477	首席FPS	70		[774800]	1	1
10478	轮椅手册	1		[770303]	1	1
10479	归途之旅	1		[774800]	1	1
10480	策划精选关	70		[774800]	1	1
10481	幸运租客	130		[774800]	1	1
10482	音乐主题预热关	70		[774800]	1	1
10483	孤胆枪手	70		[774800]	1	1
10484	随机场景	70			1	1
10485	打牌	1		[774800]	1	1
10486	新翻牌猜大小	99		[774800]	1	1
10487	合版本活动	70		[870003]	1	1
10488	新矿区	70		[774800]	1	1
10489	自选卡池系统Gacha	1		[1050115]	1	1
10490	吃豆人玩法	70		[774800]	1	1
10491	神寂启示录	70		[774800]	1	1
10492	悬赏挑战	1		[774700]	1	1
10493	联机共斗	40		[30406]	1	1
10494	角色剧情	55		[200000]	1	1
10495	速通模式	55		[30406]	1	1
10496	涂装套装	55		[863122]	1	1
10497	空花预热签到	70		[774800]	1	1
10498	累消商店活动	70			1	1
20000	空花本体	70		[1050141]	1	1
200001	空花商店街	70		[50001002]	1	2
200002	空花咖啡厅	70		[50001001]	1	2
200003	空花宿舍	70		[50001003]	1	2
200004	空花历程	70		[50001004]	1	2
200005	空花短信	70		[50001005]	1	2
200006	空花拍照	70		[50001006]	1	2
200007	空花视角切换	70		[50001551]	1	2
200008	空花无人机	70		[50002004]	1	2
200009	空花邀约	70		[50010410]	1	2
200010	空花新闻	70		[50001511]	1	2
