Id	Order	GroupName	CollectionTitle	CollectionContent	CollectNum	IconPath	CgId
52	46	弦剑		['【赛琳娜·希声】专用']			
53	47	聚能剑炮		['【洁塔薇·破晓】专用']			
54	48	双刃枪		['【薇拉·灼惘】专用']			
55	49	阎魔刀		['【维吉尔】专用']			
56	50	魔剑		['【但丁】专用']			
57	51	蛇腹剑		['【比安卡·晖暮】专用']			
58	52	剪刀		['【斜奏·裁律】专用']			
59	53	骑枪		['【维罗妮卡·铮骨】专用']			
60	54	悬浮镜轮		['【丽芙·霁梦】专用']			
61	55	数码战靴		['【布偶熊·骇影】专用']			
62	56	辉光战戟		['【罗塞塔·极锋】专用']			
63	57	裁决镰刃		['【涅缇娅】专用']			
