Id	Name	GridCount	LandType	ScaleWan	RotationYWan	Model	ModelCenterIcon	ModelSideIcon	EventPool	FinishLandformId	IsPreview	IsExplored	Icon	BriefDesc	Description	TipId	TipTurnNumber
3005	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build002.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3006	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build002.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3007	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build002.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3008	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build002.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3009	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build002.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3101	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3102	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3103	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3104	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3105	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3106	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3107	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3108	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3109	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3110	城邦	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang002.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3111	城邦满级模型	7	2	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Maofang001.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png		和城邦连通的话，就可以让贸易获得额外收益。		
3211	普通事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3221	普通事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3231	普通事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3241	连续长事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3251	连续长事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3261	连续长事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3271	短链事件-前期1	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3272	短链事件-前期2	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3273	短链事件-中期1	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3274	短链事件-中期2	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3275	短链事件-后期1	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3276	短链事件-后期2	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
3311	小串金贝	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo02.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo02.png		小串金贝		
3321	大串金贝	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo18.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo18.png		大串金贝		
3331	超大串金贝	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo19.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo19.png		超大串金贝		
3341	小堆椰子	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo04.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo04.png		一小堆椰子		
3342	大堆椰子	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo12.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo12.png		一堆椰子		
3343	超大堆椰子	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo13.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo13.png		一大堆椰子		
3351	小堆木材	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo05.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo05.png		一小堆木材		
3352	大堆木材	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo14.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo14.png		一堆木材		
3353	超大堆木材	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo15.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo15.png		一大堆木材		
3361	小堆石油	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo06.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo06.png		一小堆石油		
3362	大堆石油	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo16.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo16.png		一堆石油		
3363	超大堆石油	1	6	10000			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo17.png			700			Assets/Product/Texture/Image/IconTools/IconRogueSimTwo17.png		一大堆石油		
3411	普通宝箱	1	5	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim_PropsChest02.prefab				700					前面是不是有个闪闪发光的东西。		
3421	中级宝箱	1	5	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim_PropsChest03.prefab				700					前面是不是有个闪闪发光的东西。		
3431	高级宝箱	1	5	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim_PropsChest.prefab				700					前面是不是有个闪闪发光的东西。		
800	自建地块	1	8	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim_BuildingWood01.prefab							Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg12.png		可以建造建筑		
900	水面展示	1	7	10000							True				海岛内填充显示水域		
10	新手起手事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
11	新手结尾彩蛋事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		在这里进行探索，似乎会触发什么奇遇。		
12	新手椰子	1	6	10000			Assets/Product/Texture/Image/IconTools/IconDormAutumnQiuju001.png			700			Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg06.png		普通的商路，不少小贩在这里交流买卖的心得。		
14	特殊事件	1	4	10000			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png			700			Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		重组乐队？		
101	椰椰坊Lv.1	1	3	6000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Gongfang001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandJiagong001.png	临时文本	每个季度产出60个椰子		
102	兔木厂Lv.1	1	3	3000	2100000	Assets/Product/Scene/SuShe/Furniture/susheV214/CarrotWindmill001/CarrotWindmill001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormCarrotWindmill001.png	临时文本	每个季度产出100个木材		
103	炼油厂Lv.1	1	3	5000		Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild06.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png	临时文本	每个季度产出25个石油		
104	猫仓Lv.1	1	3	5000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Fangzi001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandMaowu001.png	临时文本	商品库存上限+20%		
105	区域打折(小)	1	3	5000		Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild02.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormSuperLivChandeliers001.png	临时文本	岛屿购入价格-10%		
106	监察塔Lv.1	1	3	7500	300000	Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Dengta001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandTower001.png	临时文本	商品生产暴击率+5%，暴击伤害+10%		
107	废弃	1	3	2000		Assets/Product/Scene/SuShe/Furniture/Restaurant/RestaurantTree001/RestaurantTree001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormRestaurantTree001.png	临时文本	废弃		
108	铸宝工坊	1	3	1800	2100000	Assets/Product/Scene/SuShe/Furniture/susheV206/LuosaitaSushe001/LuosaitaSushe001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormLuosaitaSushe001.png	临时文本	每2个季度产出1个藏品箱		
109	幸运屋	1	3	5000		Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild03.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon03.png	临时文本	商品生产暴击率+20%，藏品箱获得高级藏品的概率略微提升		
110	月亮池Lv.2	1	3	9000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Shuichi001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandShuichi001.png	临时文本	收菜建筑收益+30%		
111	月亮池Lv.3	1	3	9000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Shuichi001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandShuichi001.png	临时文本	收菜建筑收益+60%		
112	椰坊Lv.2	1	3	6000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Gongfang001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandJiagong001.png	临时文本	每个季度产出120个椰子		
113	兔木厂Lv.2	1	3	3000	2100000	Assets/Product/Scene/SuShe/Furniture/susheV214/CarrotWindmill001/CarrotWindmill001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormCarrotWindmill001.png	临时文本	每个季度产出200个木材		
114	炼油厂Lv.2	1	3	5000		Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild06.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png	临时文本	每个季度产出50个石油		
115	猫仓Lv.2	1	3	5000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Fangzi001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandMaowu001.png	临时文本	商品库存上限+50%		
116	区域打折(中)	1	3	5000		Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild02.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormSuperLivChandeliers001.png	临时文本	岛屿购入价格-30%		
117	监察塔Lv.2	1	3	7500	300000	Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Dengta001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandTower001.png	临时文本	商品生产暴击率+10%，暴击伤害+20%		
118	椰坊Lv.3	1	3	6000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Gongfang001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandJiagong001.png	临时文本	每个季度产出240个椰子		
119	兔木厂Lv.3	1	3	3000	2100000	Assets/Product/Scene/SuShe/Furniture/susheV214/CarrotWindmill001/CarrotWindmill001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormCarrotWindmill001.png	临时文本	每个季度产出400个木材		
120	炼油厂Lv.3	1	3	5000		Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild06.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png	临时文本	每个季度产出100个石油		
121	猫仓Lv.3	1	3	5000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Fangzi001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandMaowu001.png	临时文本	商品库存上限+100%		
122	监察塔Lv.3	1	3	7500	300000	Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Dengta001.prefab					True		Assets/Product/Texture/Image/IconTools/IconDormIslandTower001.png	临时文本	商品生产暴击率+20%，暴击伤害+40%		
