Id	Level	UnlockType	LandformRandomGroupIds	LandformRandomCounts	FocusGridId	UnlockUiGridId	UnlockUiPos	UnlockCost	UnlockExpReward	Texts	TextGridIds
1504					1504036021	1504036021	120|-50|0	60000	250	['两', '极', '岛']	[1504041027, 1504043026, 1504044024]
1505					1505034011	1505034011	120|-50|0	250000	300	['林', '林', '岛']	[1505040012, 1505040011, 1505040010]
1506					1506027004	1506027004	120|-50|0	280000	350	['南', '极', '岛']	[1506033004, 1506033003, 1506033002]
1507					1507006004	1507006004	120|-50|0	500000	350	['左', '双', '子', '岛']	[1507005009, 1507006008, 1507007008, 1507008007]
1508					1508014004	1508014004	120|-50|0	500000	350	['右', '双', '子', '岛']	[12001, 13001, 14000, 15000]
1509					1509022017	1509022017	120|-50|0	1000000	750	['神', '秘', '岛']	[1509018021, 1509019022, 1509020022]
1510					1510009041	1510009041	120|-50|0	300000	250	['隐', '岛']	[14038, 13037]
1511					1511024038	1511024038	120|-50|0	300000	250	['油', '井']	[1511023036, 1511025036]
1600							120|-50|0				
1601											
1602											
1611											
1612											
1613											
1614											
1615											
1616											
1617											
1621					1621020012	1621020012	120|-50|0	3000	100	['主', '岛']	[1621019009, 1621021009]
1622					1622011020	1622011020	120|-50|0	3000	300	['七', '实', '岛']	[1622007019, 1622011018, 1622016019]
1623					1623007013	1623007013	120|-50|0	20000	500	['常', '羽', '岛']	[1623003010, 1623006010, 1623009011]
1624					1624011004	1624011004	120|-50|0	30000	600	['苏', '菲', '亚', '岛']	[1624008000, 1624010001, 1624014001, 1624017002]
1625					1625028005	1625028005	120|-50|0	60000	700	['艾', '拉', '岛']	[1625026001, 1625029002, 1625032002]
1626					1626032013	1626032013	120|-50|0	110000	800	['卡', '列', '尼', '娜', '岛']	[1626028012, 1626030011, 1626032010, 1626034011, 1626036012]
1627					1627026020	1627028023	100|-350|0	220000	900	['助', '你', '岛']	[1627024020, 1627028020, 1627032020]
