StageId	ModelId	BossName	Score	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	DifficultyDesc	DifficultyDescEn	AutoFight	FightCharCount	PreFullScore	OpenCondition	BuffDetailsId	FeaturesId	ProposedLevel	SkillTitle	SkillDesc	AttackName
30000304	Mb1LuolanMd010001	罗兰	100000	40000	48000	12000	4	混沌	CHAOS		1			[90003, 90004]			['烧夷战术', '炸药桶', '空中飞人', '镰刀式', '开枪', '踏步斩', '百烈脚']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '罗兰用链刀勾起火药桶，并在空中引爆它，造成大量的伤害', '罗兰用链刀将自己拉起至空中，并朝敌人方向投掷威力巨大的炸弹', '罗兰朝正前方远距离甩动链刀，后接一道威力巨大的剑气', '罗兰掏出自己的短猎枪，以子弹击飞敌人', '罗兰向前方跳跃，并横扫敌人', '罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人']	
30000305	Mb1LuolanMd010001	罗兰	200000	80000	96000	24000	5	地狱	HELL		1			[90003, 90004]			['烧夷战术', '炸药桶', '空中飞人', '镰刀式', '开枪', '踏步斩', '百烈脚']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '罗兰用链刀勾起火药桶，并在空中引爆它，造成大量的伤害', '罗兰用链刀将自己拉起至空中，并朝敌人方向投掷威力巨大的炸弹', '罗兰朝正前方远距离甩动链刀，后接一道威力巨大的剑气', '罗兰掏出自己的短猎枪，以子弹击飞敌人', '罗兰向前方跳跃，并横扫敌人', '罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人']	
30000311	Mb1LuolanMd010001	罗兰	200000	80000	96000	24000	6	隐藏	HIDE		1		[420003]	[90003, 90004]			['无尽', '烧夷战术', '炸药桶', '空中飞人', '镰刀式', '开枪', '踏步斩', '百烈脚']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '罗兰用链刀勾起火药桶，并在空中引爆它，造成大量的伤害', '罗兰用链刀将自己拉起至空中，并朝敌人方向投掷威力巨大的炸弹', '罗兰朝正前方远距离甩动链刀，后接一道威力巨大的剑气', '罗兰掏出自己的短猎枪，以子弹击飞敌人', '罗兰向前方跳跃，并横扫敌人', '罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人']	
30000601	Mb1SandwormMd030001	瓦沙克	12500	5000	6000	1500	1	实验	TEST	True	1			[90005, 90006]			['疯狂拍击', '遁地', '空气炮']	['朝敌人多次重砸地面', '快速钻入地下后猛然钻出，造成大量伤害', '朝敌人喷射沙粒凝聚成的能量波']	
30000602	Mb1SandwormMd030001	瓦沙克	25000	10000	12000	3000	2	精英	ELITES	True	1			[90005, 90006]			['疯狂拍击', '遁地', '空气炮']	['朝敌人多次重砸地面', '快速钻入地下后猛然钻出，造成大量伤害', '朝敌人喷射沙粒凝聚成的能量波']	
30000603	Mb1SandwormMd030001	瓦沙克	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90005, 90006]			['疯狂空气炮', '疯狂拍击', '遁地', '空气炮']	['朝敌人不停喷射能量波', '朝敌人多次重砸地面', '快速钻入地下后猛然钻出，造成大量伤害', '朝敌人喷射沙粒凝聚成的能量波']	
30000604	Mb1SandwormMd030001	瓦沙克	100000	40000	48000	12000	4	混沌	CHAOS		1			[90005, 90006]			['烧夷战术', '沙暴', '疯狂空气炮', '疯狂拍击', '遁地', '空气炮']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '沙虫蓄力后，在自身周围形成沙暴，持续造成伤害', '朝敌人不停喷射能量波', '朝敌人多次重砸地面', '快速钻入地下后猛然钻出，造成大量伤害', '朝敌人喷射沙粒凝聚成的能量波']	
30000605	Mb1SandwormMd030001	瓦沙克	200000	80000	96000	24000	5	地狱	HELL		1			[90005, 90006]			['烧夷战术', '沙暴', '疯狂空气炮', '疯狂拍击', '遁地', '空气炮']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '沙虫蓄力后，在自身周围形成沙暴，持续造成伤害', '朝敌人不停喷射能量波', '朝敌人多次重砸地面', '快速钻入地下后猛然钻出，造成大量伤害', '朝敌人喷射沙粒凝聚成的能量波']	
30000611	Mb1SandwormMd030001	瓦沙克	200000	80000	96000	24000	6	隐藏	HIDE		1		[420006]	[90005, 90006]			['无尽', '烧夷战术', '沙暴', '疯狂空气炮', '疯狂拍击', '遁地', '空气炮']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '沙虫蓄力后，在自身周围形成沙暴，持续造成伤害', '朝敌人不停喷射能量波', '朝敌人多次重砸地面', '快速钻入地下后猛然钻出，造成大量伤害', '朝敌人喷射沙粒凝聚成的能量波']	
30000501	Mb1LuxiyaMd000003	不明构造体α	12500	5000	6000	1500	1	实验	TEST	True	1				[1]		['快斩', 'Z型闪', '格挡', '拔刀斩']	['快速的拔刀斩，在自身前方形成剑气阵', '距敌人过远时，以Z字形位移至玩家面前', '举起武器，格挡来自敌人的部分伤害', '朝敌人快速拔刀，命中敌人后会追加一段伤害']	
30000502	Mb1LuxiyaMd000003	不明构造体α	25000	10000	12000	3000	2	精英	ELITES	True	1				[1]		['闪避', '十字斩', '快斩', 'Z型闪', '格挡', '拔刀斩']	['闪避来自敌人的攻击', '十字状斩击，快速的在自身前方打击敌人', '快速的拔刀斩，在自身前方形成剑气阵', '距敌人过远时，以Z字形位移至玩家面前', '举起武器，格挡来自敌人的部分伤害', '朝敌人快速拔刀，命中敌人后会追加一段伤害']	
30000503	Mb1LuxiyaMd000003	不明构造体α	50000	20000	24000	6000	3	骑士	KNIGHT	True	1				[1]		['单剑气', '闪避', '十字斩', '快斩', 'Z型闪', '格挡', '拔刀斩']	['向敌人释放一道扭曲空气的剑风', '闪避来自敌人的攻击', '十字状斩击，快速的在自身前方打击敌人', '快速的拔刀斩，在自身前方形成剑气阵', '距敌人过远时，以Z字形位移至玩家面前', '举起武器，格挡来自敌人的部分伤害', '朝敌人快速拔刀，命中敌人后会追加一段伤害']	
30000504	Mb1LuxiyaMd000003	不明构造体α	100000	40000	48000	12000	4	混沌	CHAOS		1				[1]		['剑气爆发', '单剑气', '闪避', '十字斩', '快斩', 'Z型闪', '格挡']	['向敌人连续释放扭曲空气的剑风', '向敌人释放一道扭曲空气的剑风', '闪避来自敌人的攻击', '十字状斩击，快速的在自身前方打击敌人', '快速的拔刀斩，在自身前方形成剑气阵', '距敌人过远时，以Z字形位移至玩家面前', '举起武器，格挡来自敌人的部分伤害']	
30000505	Mb1LuxiyaMd000003	不明构造体α	200000	80000	96000	24000	5	地狱	HELL		1				[1]		['烧夷战术', '剑气爆发', '单剑气', '闪避', 'Z型闪', '格挡', '十字斩']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '向敌人连续释放扭曲空气的剑风', '向敌人释放一道扭曲空气的剑风', '闪避来自敌人的攻击', '距敌人过远时，以Z字形位移至玩家面前', '举起武器，格挡来自敌人的部分伤害', '十字状斩击，快速的在自身前方打击敌人']	
30000511	Mb1LuxiyaMd000003	不明构造体α	200000	80000	96000	24000	6	隐藏	HIDE		1		[420005]		[1]		['无尽', '烧夷战术', '剑气爆发', '单剑气', '闪避', 'Z型闪', '格挡', '十字斩']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '向敌人连续释放扭曲空气的剑风', '向敌人释放一道扭曲空气的剑风', '闪避来自敌人的攻击', '距敌人过远时，以Z字形位移至玩家面前', '举起武器，格挡来自敌人的部分伤害', '十字状斩击，快速的在自身前方打击敌人']	
30000701	Mb1SwordMd030001	蔷薇之剑	12500	5000	6000	1500	1	实验	TEST	True	1			[90007, 90008]			['影袭', '恶魔之吻', '一闪']	['以自身为中心，生成多段影子，突刺敌人并造成大量伤害', '在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害', '朝敌人突刺，位移速度快']	
30000702	Mb1SwordMd030001	蔷薇之剑	25000	10000	12000	3000	2	精英	ELITES	True	1			[90007, 90008]			['烈焰三段式', '地火', '影袭', '恶魔之吻', '一闪']	['为自己的刀剑附上火焰，以火焰剑气斩击四周', '在敌人脚下生成火焰阵，爆炸造成伤害', '以自身为中心，生成多段影子，突刺敌人并造成大量伤害', '在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害', '朝敌人突刺，位移速度快']	
30000703	Mb1SwordMd030001	蔷薇之剑	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90007, 90008]			['黑暗侵蚀', '黑暗剑风', '烈焰三段式', '地火', '影袭', '恶魔之吻', '一闪']	['后撤隐身于地图中，在潜伏一段时间后突进并击飞玩家', '与敌人过远时，朝敌人释放一道黑暗剑气', '为自己的刀剑附上火焰，以火焰剑气斩击四周', '在敌人脚下生成火焰阵，爆炸造成伤害', '以自身为中心，生成多段影子，突刺敌人并造成大量伤害', '在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害', '朝敌人突刺，位移速度快']	
30000704	Mb1SwordMd030001	蔷薇之剑	100000	40000	48000	12000	4	混沌	CHAOS		1			[90007, 90008]			['烧夷战术', '黑暗侵蚀', '黑暗剑风', '烈焰三段式', '地火', '影袭', '恶魔之吻']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '后撤隐身于地图中，在潜伏一段时间后突进并击飞玩家', '与敌人过远时，朝敌人释放一道黑暗剑气', '为自己的刀剑附上火焰，以火焰剑气斩击四周', '在敌人脚下生成火焰阵，爆炸造成伤害', '以自身为中心，生成多段影子，突刺敌人并造成大量伤害', '在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害']	
30000705	Mb1SwordMd030001	蔷薇之剑	200000	80000	96000	24000	5	地狱	HELL		1			[90007, 90008]			['烧夷战术', '黑暗侵蚀', '黑暗剑风', '烈焰三段式', '地火', '影袭', '恶魔之吻']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '后撤隐身于地图中，在潜伏一段时间后突进并击飞玩家', '与敌人过远时，朝敌人释放一道黑暗剑气', '为自己的刀剑附上火焰，以火焰剑气斩击四周', '在敌人脚下生成火焰阵，爆炸造成伤害', '以自身为中心，生成多段影子，突刺敌人并造成大量伤害', '在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害']	
30000711	Mb1SwordMd030001	蔷薇之剑	200000	80000	96000	24000	6	隐藏	HIDE		1		[420007]	[90007, 90008]			['无尽', '烧夷战术', '黑暗侵蚀', '黑暗剑风', '烈焰三段式', '地火', '影袭', '恶魔之吻']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '后撤隐身于地图中，在潜伏一段时间后突进并击飞玩家', '与敌人过远时，朝敌人释放一道黑暗剑气', '为自己的刀剑附上火焰，以火焰剑气斩击四周', '在敌人脚下生成火焰阵，爆炸造成伤害', '以自身为中心，生成多段影子，突刺敌人并造成大量伤害', '在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害']	
30000901	Mb1BraveMd010011	暴动	12500	5000	6000	1500	1	实验	TEST	True	1						['能量炮', '引力炸弹']	['朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000902	Mb1BraveMd010011	暴动	25000	10000	12000	3000	2	精英	ELITES	True	1						['急速散弹', '能量炮', '引力炸弹']	['朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000903	Mb1BraveMd010011	暴动	50000	20000	24000	6000	3	骑士	KNIGHT	True	1						['弹幕', '急速散弹', '能量炮', '引力炸弹']	['在地图中释放多道激光弹幕', '朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000904	Mb1BraveMd010011	暴动	100000	40000	48000	12000	4	混沌	CHAOS		1						['随机弹幕', '弹幕', '急速散弹', '能量炮', '引力炸弹']	['在地图中释放多道激光弹幕，数量增加，且生成与移动位置随机', '在地图中释放多道激光弹幕', '朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000905	Mb1BraveMd010011	暴动	200000	80000	96000	24000	5	地狱	HELL		1						['随机弹幕', '弹幕', '急速散弹', '能量炮', '引力炸弹']	['在地图中释放多道激光弹幕，数量增加，且生成与移动位置随机', '在地图中释放多道激光弹幕', '朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000918	Mb1BraveMd010011	暴动	200000	80000	96000	24000	6	隐藏	HIDE		1		[420001]				['无尽', '随机弹幕', '弹幕', '急速散弹', '能量炮', '引力炸弹']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '在地图中释放多道激光弹幕，数量增加，且生成与移动位置随机', '在地图中释放多道激光弹幕', '朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000401	Mb1VirginbioMd030001	苦刑之女	12500	5000	6000	1500	1	实验	TEST	True	1			[90009, 90010]			['前移尖刺', '后移尖刺', '旋转', '连环炸弹']	['苦刑之女会接近敌人，并在其脚底生成尖刺', '苦刑之女脱离敌人，同时在敌人脚下生成尖刺', '苦刑之女向四周释放伤害极高的尖刺导弹', '苦刑之女摘下头盔，向敌人连续释放球形炸弹']	
30000402	Mb1VirginbioMd030001	苦刑之女	25000	10000	12000	3000	2	精英	ELITES	True	1			[90009, 90010]			['前移尖刺', '后移尖刺', '旋转', '连环炸弹']	['苦刑之女会接近敌人，并在其脚底生成尖刺', '苦刑之女脱离敌人，同时在敌人脚下生成尖刺', '苦刑之女向四周释放伤害极高的尖刺导弹', '苦刑之女摘下头盔，向敌人连续释放球形炸弹']	
30000403	Mb1VirginbioMd030001	苦刑之女	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90009, 90010]			['尖刺地狱', '抛物', '旋转', '连环炸弹', '后移尖刺', '苦痛尖啸']	['苦刑之女会连续向敌人释放尖刺', '苦刑之女连续向敌人抛掷球形炸弹', '苦刑之女向四周释放伤害极高的尖刺导弹', '苦刑之女摘下头盔，向敌人连续释放球形炸弹', '苦刑之女脱离敌人，同时在敌人脚下生成尖刺', '苦刑之女发出痛苦的尖啸，对周围目标造成伤害']	
30000404	Mb1VirginbioMd030001	苦刑之女	100000	40000	48000	12000	4	混沌	CHAOS		1			[90009, 90010]			['尖刺障碍', '抛物', '旋转', '连环炸弹', '后移尖刺', '苦痛尖啸']	['苦刑之女会用尖刺阻挡敌人', '苦刑之女连续向敌人抛掷球形炸弹', '苦刑之女向四周释放伤害极高的尖刺导弹', '苦刑之女摘下头盔，向敌人连续释放球形炸弹', '苦刑之女脱离敌人，同时在敌人脚下生成尖刺', '苦刑之女发出痛苦的尖啸，对周围目标造成伤害']	
30000405	Mb1VirginbioMd030001	苦刑之女	200000	80000	96000	24000	5	地狱	HELL		1			[90009, 90010]			['烧夷战术', '尖刺障碍', '抛物', '旋转', '连环炸弹', '后移尖刺', '苦痛尖啸']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '苦刑之女会用尖刺阻挡敌人', '苦刑之女连续向敌人抛掷球形炸弹', '苦刑之女向四周释放伤害极高的尖刺导弹', '苦刑之女摘下头盔，向敌人连续释放球形炸弹', '苦刑之女脱离敌人，同时在敌人脚下生成尖刺', '苦刑之女发出痛苦的尖啸，对周围目标造成伤害']	
30000411	Mb1VirginbioMd030001	苦刑之女	200000	80000	96000	24000	6	隐藏	HIDE		1		[420004]	[90009, 90010]			['无尽', '烧夷战术', '尖刺障碍', '抛物', '旋转', '连环炸弹', '后移尖刺', '苦痛尖啸']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '苦刑之女会用尖刺阻挡敌人', '苦刑之女连续向敌人抛掷球形炸弹', '苦刑之女向四周释放伤害极高的尖刺导弹', '苦刑之女摘下头盔，向敌人连续释放球形炸弹', '苦刑之女脱离敌人，同时在敌人脚下生成尖刺', '苦刑之女发出痛苦的尖啸，对周围目标造成伤害']	
30000801	Mb1XiuMd010003	卡穆	12500	5000	6000	1500	1	实验	TEST	True	1			[90011]	[2]		['鬼手', '爆气脱离', '四连击']	['卡穆会抓取距离过远的敌人，将他拉至身前', '被攻击时，卡穆会释放足以推开敌人的能量波', '卡穆对面前的敌人快速多段重劈']	
30000802	Mb1XiuMd010003	卡穆	25000	10000	12000	3000	2	精英	ELITES	True	1			[90011]	[2]		['鬼手', '爆气脱离', '四连击']	['卡穆会抓取距离过远的敌人，将他拉至身前', '被攻击时，卡穆会释放足以推开敌人的能量波', '卡穆对面前的敌人快速多段重劈']	
30000803	Mb1XiuMd010003	卡穆	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90011]	[2]		['格挡反击', '爆气追击', '鬼手', '爆气脱离', '四连击']	['卡穆会反击正在攻击自己的敌人', '卡穆会追击被能量波波及的敌人', '卡穆会抓取距离过远的敌人，将他拉至身前', '被攻击时，卡穆会释放足以推开敌人的能量波', '卡穆对面前的敌人快速多段重劈']	
30000804	Mb1XiuMd010003	卡穆	100000	40000	48000	12000	4	混沌	CHAOS		1			[90011]	[2]		['狂暴五连击', '格挡反击', '爆气追击', '鬼手', '爆气脱离', '四连击']	['卡穆会进入狂暴阶段，快速猛烈地追砍敌人', '卡穆会反击正在攻击自己的敌人', '卡穆会追击被能量波波及的敌人', '卡穆会抓取距离过远的敌人，将他拉至身前', '被攻击时，卡穆会释放足以推开敌人的能量波', '卡穆对面前的敌人快速多段重劈']	
30000805	Mb1XiuMd010003	卡穆	200000	80000	96000	24000	5	地狱	HELL		1			[90011]	[2]		['烧夷战术', '狂暴五连击', '格挡反击', '爆气追击', '鬼手', '爆气脱离']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '卡穆会进入狂暴阶段，快速猛烈地追砍敌人', '卡穆会反击正在攻击自己的敌人', '卡穆会追击被能量波波及的敌人', '卡穆会抓取距离过远的敌人，将他拉至身前', '被攻击时，卡穆会释放足以推开敌人的能量波']	
30000811	Mb1XiuMd010003	卡穆	200000	80000	96000	24000	6	隐藏	HIDE		1		[420008]	[90011]	[2]		['无尽', '烧夷战术', '狂暴五连击', '格挡反击', '爆气追击', '鬼手', '爆气脱离']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '卡穆会进入狂暴阶段，快速猛烈地追砍敌人', '卡穆会反击正在攻击自己的敌人', '卡穆会追击被能量波波及的敌人', '卡穆会抓取距离过远的敌人，将他拉至身前', '被攻击时，卡穆会释放足以推开敌人的能量波']	
30000906	Mb1BraveMd010011	暴动	12500	5000	6000	1500	1	实验	TEST	True	1						['能量炮', '引力炸弹']	['朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000907	Mb1BraveMd010011	暴动	25000	10000	12000	3000	2	精英	ELITES	True	1						['急速散弹', '能量炮', '引力炸弹']	['朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000908	Mb1BraveMd010011	暴动	50000	20000	24000	6000	3	骑士	KNIGHT	True	1						['弹幕', '急速散弹', '能量炮', '引力炸弹']	['在地图中释放多道激光弹幕', '朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
30000909	Mb1BraveMd010011	暴动	100000	40000	48000	12000	4	混沌	CHAOS		1						['随机弹幕', '弹幕', '急速散弹', '能量炮', '引力炸弹']	['在地图中释放多道激光弹幕，数量增加，且生成与移动位置随机', '在地图中释放多道激光弹幕', '朝正前方释放扇形的子弹，释放速度加快', '朝正前方释放一道威力巨大的能量光束', '炮弹会缓缓跟踪玩家，碰到玩家时爆炸']	
