Id	Name	Icon	TriangleBg	Desc	FightEventIds	ShowRecommendIds	Type	ScoreRate
13	雷暴Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1003.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成雷伤害时，角色获得雷盾，雷盾对周围持续造成雷属性伤害，且使角色自身雷属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300013]		1	
14	雷潮Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时，获得雷盾，雷盾辐射范围内单位受到雷属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300014]		1	
15	凝暗Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	受到暗属性伤害时，掉落暗球，拾取后角色暗属性伤害提升。暗球数量达到上限后，下次攻击将释放全部暗球引发爆炸，使角色造成暗属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300016]		1	
16	暗蚀Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1006.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	受到暗属性伤害时，掉落暗球，拾取后自身暗属性伤害提升。暗球数量达到上限后，下次攻击将释放全部暗球引发爆炸，使单位受到暗属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300015]		1	
17	强袭Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的50%转换为稳态力场。击碎稳态力场时，角色自身全属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300018]	[1]	1	
18	不继Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1008.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss最大生命值的50%转换为稳态力场。击碎稳态力场时，单位受到全属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300017]	[1]	1	
19	易燃Ⅱ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	极易受高温点燃并引发剧烈的爆炸，基于此特性受到的火属性伤害会显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300019]		1	
20	霜结Ⅱ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	低温情况下会出现膨胀式冻结效应，基于此特性受到的冰属性伤害会显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300020]		1	
21	潸然残疮Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	消球时积累创伤槽，攒满后进入创伤状态，受到物理伤害显著提升，最多可叠加2层。	[2300021]		1	
22	暗翳晚沫Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成暗属性伤害时可获得暗球，拾取后下次攻击将打出暗球造成暗属性伤害，并使自身暗属性伤害显著提升，最多可叠加6层。	[2300022]		1	
23	噬殄消弭Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放真意斩时，使自身物理伤害和Boss受到真意斩伤害显著提升，最多可叠加5层。	[2300023]	[3]	1	
24	森骨浊域Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的40%转换为稳态力场。击碎稳态力场时，角色必杀技造成伤害显著提升。	[2300024]	[1]	1	
25	鸣昼闪垩Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1010.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	角色进入电暴鸣闪状态时，Boss受到电束伤害显著提升。	[2300025]	[4]	1	
26	炙赫业火Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放必杀技后进入愤怒状态，在该状态下每造成2次火属性伤害，自身火属性伤害显著提升，最多可叠加5层。	[2300026]		1	
27	轰涌雷暴Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时可获得雷盾，雷盾叠满时将自动引爆，使Boss受到雷属性伤害显著提升，最多可叠加4层。	[2300027]		1	
28	沧皑霜壑Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成冰属性伤害可积累霜冻槽，使Boss受到冰属性伤害显著提升，最多可叠加3层。	[2300028]		1	
29	潸然残疮Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	消球时积累创伤槽，攒满后进入创伤状态，受到物理伤害显著提升，最多可叠加2层。全员切换入场时，造成伤害提升，持续10秒。	[2300029]		1	
30	暗翳晚沫Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成暗属性伤害时可获得暗球，拾取后下次攻击将打出暗球造成暗属性伤害，并使自身暗属性伤害显著提升，最多可叠加6层。全员切换入场时，造成伤害提升，持续10秒。	[2300030]		1	
31	噬殄消弭Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放真意斩时，使自身物理伤害和Boss受到真意斩伤害显著提升，最多可叠加5层。全员切换入场时，造成伤害提升，持续10秒。	[2300031]	[3]	1	
32	森骨浊域Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的40%转换为稳态力场。击碎稳态力场时，角色必杀技造成伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300032]	[1]	1	
33	鸣昼闪垩Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1010.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	角色进入电暴鸣闪状态时，Boss受到电束伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300033]	[4]	1	
34	炙赫业火Ⅱ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放必杀技后进入愤怒状态，在该状态下每造成2次火属性伤害，自身火属性伤害显著提升，最多可叠加5层。全员切换入场时，造成伤害提升，持续10秒。	[2300034]		1	
35	轰涌雷暴Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时可获得雷盾，雷盾叠满时将自动引爆，使Boss受到雷属性伤害显著提升，最多可叠加4层。全员切换入场时，造成伤害提升，持续10秒。	[2300035]		1	
36	沧皑霜壑Ⅱ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成冰属性伤害可积累霜冻槽，使Boss受到冰属性伤害显著提升，最多可叠加3层。全员切换入场时，造成伤害提升，持续10秒。	[2300036]		1	
37	明烛劫火Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放必杀技后进入愤怒状态，在该状态下每造成2次火属性伤害，自身火属性伤害显著提升，最多可叠加5层。	[2300037]		1	
38	阗雷烨电Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时可获得雷盾，雷盾叠满时将自动引爆，使Boss受到雷属性伤害显著提升，最多可叠加4层。	[2300038]		1	
39	明烛劫火Ⅱ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放必杀技后进入愤怒状态，在该状态下每造成2次火属性伤害，自身火属性伤害显著提升，最多可叠加5层。全员切换入场时，造成伤害提升，持续10秒。	[2300039]		1	
40	阗雷烨电Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时可获得雷盾，雷盾叠满时将自动引爆，使Boss受到雷属性伤害显著提升，最多可叠加4层。全员切换入场时，造成伤害提升，持续10秒。	[2300040]		1	
41	幻宙失调Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的40%转换为稳态力场。击碎稳态力场时，使Boss受到空属性伤害显著提升。	[2300041]	[1]	1	
42	幻宙失调Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的40%转换为稳态力场。击碎稳态力场时，使Boss受到空属性伤害显著提升。全员切换入场时，造成伤害提升，持续10秒。	[2300042]	[1]	1	
43	暗殒噬流Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成暗属性伤害时可获得暗球，拾取后下次攻击将打出暗球造成暗属性伤害，并使自身暗属性伤害显著提升，最多可叠加6层。	[2300043]		1	
44	幻宙失调Ⅲ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的40%转换为稳态力场。击碎稳态力场时，使Boss受到空属性伤害显著提升。	[2300044]	[1]	1	
45	暗殒噬流Ⅲ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成暗属性伤害时可获得暗球，拾取后下次攻击将打出暗球造成暗属性伤害，并使自身暗属性伤害显著提升，最多可叠加6层。	[2300045]		1	
46	沉虐溃击Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	暴击时使Boss受到物理伤害显著提升，最多可叠加6层。	[2300046]		1	
47	欲壑凌霜Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1012.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	覆冰效应造成伤害时，Boss受到覆冰伤害显著提升，最多可叠加5层。	[2300047]	[5]	1	
48	焚天炽地Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1013.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成焚烧伤害时，Boss受到焚烧伤害显著提升，最多可叠加8层，持续10秒，全员切换入场时刷新持续时间。	[2300048]	[2]	1	
49	噬殄消弭Ⅲ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	释放真意斩时，使自身物理伤害和Boss受到真意斩伤害显著提升，最多可叠加5层。	[2300049]	[3]	1	
50	晖光日新Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1014.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	每消除一个球，Boss受到雷属性及电束伤害显著提升，最多可叠加5层，持续10秒，重复触发刷新持续时间。	[2300050]	[7]	1	
51	暮沉殆殒Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成暗属性伤害时，Boss受到暗属性伤害显著提升，最多可叠加6层，持续10秒，重复触发刷新持续时间。	[2300051]		1	
52	沉虐溃击Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	暴击时使Boss受到物理伤害显著提升，最多可叠加6层。	[2300052]		1	
53	暮沉殆殒Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成暗属性伤害时，Boss受到暗属性伤害显著提升，最多可叠加6层，持续10秒，重复触发刷新持续时间。	[2300053]		1	
54	阗雷烨电Ⅲ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时可获得雷盾，雷盾叠满时将自动引爆，使Boss受到雷属性伤害显著提升，最多可叠加4层。（熠光效应伤害小幅提升）	[2300054]		1	
55	返涌黯潮Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1015.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成黯衍伤害时，使敌人受到黯衍伤害显著提升，最多叠加9层，持续10秒，重复触发刷新持续时间。	[2300055]	[6]	1	
56	沧皑霜壑Ⅲ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成冰属性伤害可积累霜冻槽，使Boss受到冰属性伤害显著提升，最多可叠加3层。	[2300028]		1	
57	耀斑烈放Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1014.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	每消除一个球，Boss受到熠光伤害显著提升，最多可叠加5层，持续10秒，重复触发刷新持续时间。	[2300057]	[7]	1	
58	湮灭靡华Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	每消除一个球，Boss受到暗属性伤害显著提升，最多叠加4层，持续10秒，重复触发刷新持续时间。	[2300058]		1	
59	明刃破妄Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	每次释放真意斩，使Boss受到真意斩效应伤害显著提升、自身物理伤害显著提升，最多可叠加5层，持续10秒，重复触发刷新持续时间。	[2300059]	[3]	1	
60	幻宙失调Ⅳ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的40%转换为稳态力场。击碎稳态力场时，使Boss受到空属性伤害显著提升。	[2300060]	[1]	1	
1001	命络交罗Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon013.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss的生命值增加50%。	[2301001]		2	950
1002	唯兵见骨Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon001.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss受到除物理外的其它伤害降低。	[2301002]		2	1550
1003	炽序禁域Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss受到除火属性外的其它伤害降低。	[2301003]		2	1550
1004	寒蚀入侵Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon003.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss受到除冰属性外的其它伤害降低。	[2301004]		2	1550
1005	永夜弥亘Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss受到除暗属性外的其它伤害降低。	[2301005]		2	1550
1006	空霆残响Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss受到除雷属性外的其它伤害降低。	[2301006]		2	1550
1007	遥天千仞Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon006.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss受到除空属性外的其它伤害降低。	[2301007]		2	1550
1008	夜斫铮铮Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss受到除真意斩效应外的其它伤害降低。	[2301008]		2	1550
1009	世火焚燔Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon008.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss受到除焚烧效应外的其它伤害降低。	[2301009]		2	1550
1010	冰凇锢寒Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon009.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss受到除覆冰效应外的其它伤害降低。	[2301010]		2	1550
1011	白昼翳蔽Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon010.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss受到除黯衍效应外的其它伤害降低。	[2301011]		2	1550
1012	电起暮云Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss受到除电束效应外的其它伤害降低。	[2301012]		2	1550
1013	唯光礼赞Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon012.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss受到除熠光效应外的其它伤害降低。	[2301013]		2	1550
