Key	Describe	UiTemplate	UiCotainer	RollCharRandomRangeHorizontal	RollCharRandomRangeVertical	RollCharMinDir	RollCharMaxDir	RollCharSpeed	RollCharLifeTime	RollCharBeginOpacity	RollCharEndOpacity	RollCharChangeOpacityTime	RollCharStayDuration	RollCharStayTime	RollCharOffsetX	RollCharOffsetY	GeneralTemplate	IconUrl	IconColor	IconColorAlpha	TextColor	TextScale
DoubleCrit	双倍暴击（目前没用）	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0		Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FFFFFF	0.8999
NormalMyself	物理 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True		FFFFFF	1.0	FFFFFF	0.8999
CritMyself	物理暴击 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True		FFFFFF	0.5	FFFFFF	0.8999
FireMyself	火 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
ElectricMyself	雷 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
IceMyself	冰 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
DarkMyself	暗 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.0549	FFFFFF	0.8999
Nihilityself	空 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	9E84FF	0.0549	FFFFFF	0.8999
LifestealMyself	生命偷取（目前没用） 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightSuckBloodTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
CureMyself	治疗 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	15.0	15.0			160.0	0.75		1.0	0.2	1.5	0.5		60.0	True	Assets/Product/Texture/Image/UiFight/UiFightCureTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
ExecuteMyself	独域处决 自伤	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0		Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FFFFFF	0.8999
DoubleCritMyself	双倍暴击（目前没用） 自伤	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0		Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FFFFFF	0.8999
Sword	斩击	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True			0.5	FFFFFF	0.8999
BurnDamage	燃烧	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
ThunderShield	雷盾	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Freeze	冰结	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Radiate	辐射	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FFFFFF	0.8999
SubMagic5	预留子元素5	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
SubMagic6	预留子元素6	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
LightNoise	光噪	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgLightNoiseTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
SwordCrit	斩击 暴击	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFAA4E	1.0	FFFFFF	0.8999
SwordMyself	斩击 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True		FFFFFF	0.5	FFFFFF	0.8999
BurnDamageMyself	燃烧 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
ThunderShielMyself	雷盾 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
FreezeMyself	冰结 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
RadiateDamageMyself	辐射 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FFFFFF	0.8999
SubMagic5Myself	预留子元素5 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
SubMagic6Myself	预留子元素6 自伤	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FF4A64	0.8999
LightNoiseyself	光噪自伤	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/ImgLightNoiseTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
CritSwordMyself	斩击暴击 自伤	Assets/Product/Ui/UiFightPrefab/CritTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigNum	超大伤害	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	2.0	0.5	1.0	0.1	1.5	1.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.5	FFFFFF	1.0
UnionNum	组合大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5			True		FFFFFF	1.0	FFFFFF	0.8999
NewAttack	新普攻	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	1.2	0.5	1.0	0.1	1.5	0.8	-30.0	20.0	True		FFFFFF	1.0	FFFFFF	0.8999
NewCrit	新暴击	Assets/Product/Ui/UiFightPrefab/SubCritTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.1	FFFFFF	0.8999
NewExecuteMyself	新独域处决	Assets/Product/Ui/UiFightPrefab/SubExecution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	1.2	0.5	1.0	0.1	1.5	0.8	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FFFFFF	0.8999
NewSubMagic	新效应	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	1.2	0.5	1.0	0.1	1.5	0.8	-30.0	20.0	True			0.5	FFFFFF	0.8999
BigNormal	物理大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True		FFFFFF	1.0	FFFFFF	0.8999
BigCrit	物理暴击大字	Assets/Product/Ui/UiFightPrefab/SubCritTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.1	FFFFFF	0.8999
BigFire	火大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigElectric	雷大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigIce	冰大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigDark	暗大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						1.2	0.5	1.0	0.1	1.5	0.8		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	1.0	FFFFFF	0.8999
BigNihility	空大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubCrit	效应物理大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubFire	效应火大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubElectric	效应雷大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubIce	效应冰大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubDark	效应暗大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FFFFFF	0.8999
BigSubNihility	效应空大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigLightNoise	效应光大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer						0.75	0.5	1.0	0.1	1.5	0.5		75.0	True	Assets/Product/Texture/Image/UiFight/ImgLightNoiseTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigNormal2	物理大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True		FFFFFF	1.0	FFFFFF	0.8999
BigCrit2	物理暴击大字	Assets/Product/Ui/UiFightPrefab/SubCritTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.1	FFFFFF	0.8999
BigFire2	火大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigElectric2	雷大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigIce2	冰大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigDark2	暗大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	1.0	FFFFFF	0.8999
BigNihility2	空大字	Assets/Product/Ui/UiFightPrefab/SubGridTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubCrit2	效应物理大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubFire2	效应火大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubElectric2	效应雷大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubIce2	效应冰大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigSubDark2	效应暗大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FFFFFF	0.8999
BigSubNihility2	效应空大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
BigLightNoise2	效应光大字	Assets/Product/Ui/UiFightPrefab/SubGeneralTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgLightNoiseTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
