Id	MissionCondition	Desc	ConditionTarget	TriggerCondition	IsConditionAnd	ConditionParams	ConditionCompares	ConditionCompareValues	DescShowParam
60	10012	"从接取委托开始，累计{ConditionTarget}回合，在战斗中""厄难节拍""和""赌命戏法""两类符纹至少一类触发{ConditionCompareValues[1]}次以上"	5	9		[7, 10]	[2, 2]	[2, 2]	
61	10013	从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“超越死境”、“狩亡猎手”或“祈死狂徒”类符纹	1	9		[9, 12, 6]	[2, 2, 2]	[1, 1, 1]	
62	10013	从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“超越死境”、“狩亡猎手”或“祈死狂徒”类符纹	2	9		[9, 12, 6]	[2, 2, 2]	[1, 1, 1]	
63	10013	从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“超越死境”、“狩亡猎手”或“祈死狂徒”类符纹	3	9		[9, 12, 6]	[2, 2, 2]	[1, 1, 1]	
64	10013	从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“超越死境”、“狩亡猎手”或“祈死狂徒”类符纹	4	9		[9, 12, 6]	[2, 2, 2]	[1, 1, 1]	
65	10013	从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“超越死境”、“狩亡猎手”或“祈死狂徒”类符纹	5	9		[9, 12, 6]	[2, 2, 2]	[1, 1, 1]	
66	10014	从接取委托开始，累计{ConditionTarget}回合，在前{DescShowParam[1]}秒结束战斗并获得胜利	1	11		[0]	[3]	[15000]	['15']
67	10014	从接取委托开始，累计{ConditionTarget}回合，在前{DescShowParam[1]}秒结束战斗并获得胜利	2	11		[0]	[3]	[15000]	['15']
68	10014	从接取委托开始，累计{ConditionTarget}回合，在前{DescShowParam[1]}秒结束战斗并获得胜利	3	11		[0]	[3]	[15000]	['15']
69	10014	从接取委托开始，累计{ConditionTarget}回合，在前{DescShowParam[1]}秒结束战斗并获得胜利	4	11		[0]	[3]	[15000]	['15']
70	10014	从接取委托开始，累计{ConditionTarget}回合，在前{DescShowParam[1]}秒结束战斗并获得胜利	5	11		[0]	[3]	[15000]	['15']
