Key	Text
CharacterUpgradeComplete	晋升成功
CharacterLiberateShouldFollowOrder	需先解放上一个等级
CharacterLiberateSuccess	{0}解放达成
CharacterFullName	{0} · {1}
CharacterFullName2	{0}·{1}
CharacterLackDps	缺少{0}名进攻型角色
CharacterLackTank	缺少{0}名装甲型角色
CharacterLackCure	缺少{0}名辅助型角色
TipTitle	提示
EquipReplaceTip	该武器已被{0}装备，继续装备会将此装备从原始角色上卸下，是否继续?
EquipAwarenessReplaceTip	该意识已被{0}装备，继续装备会将此装备从原始角色上卸下，是否继续?
EquipPutOnNotChar	卡牌不存在
EquipPutOnEquipTypeError	强化素材不可装备
EquipTakeOffNotChar	该装备未装备
EquipWeaponMax	武器已满级
EquipChipMax	意识已满级
EquipStrengthenPreciousTipTitle	强化提示
EquipStrengthenPreciousTipContent	强化材料中包含5★或以上装备，是否继续。
EquipResonancePreciousTipTitle	共鸣提示
EquipResonancePreciousTipContent	共鸣材料中包含5★或以上装备，是否继续。
EquipAwakeTipTitle	超频共振提示
EquipAwakeTipContent	是否要对<color=#0E70BD>【{0}】</color>进行超频共振。
EquipResonancePosText	位置{0}
EquipSuitPrefabCount	<color=#ff4e4e>{0}</color>/{1}
EquipSuitPrefabCountMax	{0}/{1}
EquipSuitPrefabCurName	当前组合
EquipSuitPrefabRenameLengthError	请输入组合名称
EquipSuitPrefabSaveNotEquipIds	组合内没有装备意识
EquipSuitPrefabSaveNotName	请输入组合名称
EquipSuitPrefabSaveOverMaxNum	组合数量超过上限
EquipSuitPrefabEquipSame	已装备相同意识
EquipSuitPrefabRenameSuc	组合改名成功
EquipSuitPrefabDeleteSuc	组合删除成功
EquipSuitPrefabSaveSuc	组合保存成功
EquipSuitPrefabEquipSuc	组合装备成功
EquipSuitPrefabNum	{0}/{1}
EquipGridUsingWords	装备中
EquipGridInPrefabWords	预设中
StoryReviewTip	选项
OnlineInstanceQuitRoom	确定退出联机组队房间？
OnlineInstanceCancelMatch	确定取消匹配？
OnlineInstanceCancelMatchAndQuit	确定取消匹配并退出联机组队房间？
OnlineRoomLeastPlayer	最少需要%s名队员
OnlineInstanceMatching	正在匹配中
OnlineInstanceReconnect	是否断线重连？
SingleModeCanNotSelectDifficulty	单人模式无法更改关卡难度
MultiplayerRoomCanNotSelectDifficulty	仅队长可选择难度
MultiplayerRoomCanNotChangeAutoMatch	仅队长可修改快速匹配
MultiplayerRoomCanNotSetAbilityLimit	仅队长可设置战力限制
MultiplayerRoomActionPointNotEnough	道具数量不足
MultiplayerRoomTeamHasSameCharacter	队伍中有相同角色
MultiplayerRoomRecommendAbility	推荐战斗参数{0}
MultiplayerRoomAbilityNotLegal	战斗参数不合法
DailyActiveRewardTitle	奖励详情
SettingCheckSave	当前更改尚未保存，是否保存？
SettingSave	设置已保存
SettingHighFrameRateTips	空中花园高分辨率模式下设备性能负载较高\n可能出现严重发热/卡顿现象，建议您调整画质设置
TeamLevelToOpen	指挥官等级达到{0}级开启
CopyToOpen	通关关卡{0}后开启
FunctionNotDuringOpening	功能不在开放时间
FunctionOpenStage	关卡  <color=#ff7e4b>{0}</color>  已开启
FunctionOpen	功能系统  <color=#ff7e4b>{0}</color>  已开启
WeaponSkill	武器技能
LoginPhoneEmpty	请输入手机号
LoginSignOut	是否确定登出当前账号
NetworkError	网络错误
WeaponBagFull	武器已达到上限
ChipBagFull	意识已达到上限
CharacterLevelFull	不能超过指挥官等级
CharacterSignTip	请多多指教
FubenPreMainLineStage	请先通关前置主线关卡【{0}】
FubenPreExtraChapterStage	请先通关前置外章关卡【{0}】
FubenPreShortStoryChapterStage	请先通关前置故事集关卡【{0}】
FubenPreStage	请先通关前置关卡【{0}】
FubenPreStageNotPass	请先通关前置关卡
FubenBossPreStage	请先通关前置关卡
Finish	活跃度:已完成
DifficultMode	难度:
Difficult1	普通
Difficult2	隐藏
Difficult3	据点
FubenDifficultyNormal	普通剧情{0}-{1}
FubenDifficultyHard	隐藏剧情{0}-{1}
FubenDifficultyNightmare	据点模式{0}-{1}
FubenNotUnlock	副本未解锁
FubenNeedLevel	指挥官等级需达到{0}级
FubenActionPointNotEnough	免疫力下降
FubenChallengeCountNotEnough	挑战次数不足
FubenChallengeResetTime	重置时间
FubenNeedComplatePreChapter	需完成该难度前置章节
FightExitMsg	是否退出本次战斗?
FightRestartMsg	是否重新开始战斗?
FightOnlineMsgCdText	{0}s
Award	奖励
Zero	零
One	一
Two	二
Three	三
Four	四
Five	五
Six	六
Seven	七
Eight	八
Nine	九
Ten	十
Hundred	百
Thousand	千
TenThousand	万
AHundredMillion	亿
Diary	日
Mouth	个月
Monthly	月
Week	周
Year	年
Day	天
Second	秒
Minute	分
Minutes	分钟
Snap	折
QuantifiersA	个
Hour	小时
Aha	啊哈
IsExpire	已到期
Diamond	黑卡
UpperLimit	上限
Recycle	回收
Residue	剩余
Buy	购买
Success	成功
Acquire	获得
AtPresent	已拥有
ComingSoon	敬请期待
NotUnlock	未解锁
ComeFrom	来自
CharacterNotMoreLevel	已达等级上限
AssetsBuyConsumeNotEnough	{0}不足
MailGetRewardEmpty	没有可领取邮件
ToolMonthBefore	月前
ToolDayBrfore	天前
ToolHourBefore	小时前
ToolMinuteBefore	分钟前
FriendCount	好友数
FriendDayCharge	今日收取
FriendMyId	我的识别码 :
FriendLatelyLogin	最近登录 :
FriendRemoveTip	删除好友后，与该玩家的羁绊值和聊天记录都会被清除，确定删除？
FriendSelectRemoveTip	请选择要删除的好友
ChatSystemMsg	系统消息
ChatWorldMsg	广域聊天
ChatGuildMsg	指挥局聊天
ChatPrivateMsg	私聊
ChatWorldNewMsg	有【<color=#34aff9>{0}</color>】条新的消息
ChatManagerGetGiftNotGift	当前没有可以收取的礼物
CurrentlyHas	当前拥有:{0}
DifferentRefreshTimes	刷新次数不足
RefreshShopItemNotEnough	重置需要的物资不足
BuyNeedItemInsufficient	购买所需材料不足
CanBuy	可购: {0}
DayCanBuy	本日可购: {0}
MonthCanBuy	本月可购: {0}
GainCount	获得 x {0}
TimeLimit	限时
RecommendLevelDesc	推荐等级：{0}
Recommend	推荐
HotSell	热销
TimeSoldOut	距离下架：{0}
UseSuccess	更换成功
BuySuccess	购买成功
EmojiText	[表情]
FashionNoGet	此【涂装】暂未解锁
CharacterLock	角色暂未解锁
ApplyForTip	无法向对方发送好友请求，请在{0}小时后再发送
ApplyButtonName1	申请
ApplyButtonName2	好友
ActiveTime	<size=26><color=#626c78>开放剩余时间：</color></size>{0}
BuyCount	<size=26><color=#626c78>可购次数：</color></size>{0}/{1}
ShopResetTimes	<size=26><color=#626c78>次数：</color></size>{0}/{1}
AlreadyFriends	对方已经是你的好友
FriendNotAddSelf	无法将自己加为好友
PleaseEnterPlayerID	请输入玩家识别码
EquipReformSelectItemDisplay	x{0}
GiftMoneySendNotReceive	你给{0}丢了一箱螺母，你们之间产生了{1}点羁绊
GiftMoneySendHaveReceive	{0}收到了你丢的{1}个螺母
GiftMoneyReceiveNotReceive	{0}给你丢了一箱螺母，你们之间产生了{1}点羁绊
GiftMoneyReceiveHaveReceive	领取了{0}丢来的{1}个螺母
TowerStage	行
TowerTimes	次
TowerStageInfo	第<color=red>{0}</color>行
TowerCannotEnter	已经达到本段位最高层
ShopActivityItemCount	{0}
ShopNoGoodsDesc	暂无商品可购买
ShopHaveNotBuyCount	超过商店可购买的数量
ShopGridCommonCount	x{0}
HostelFloorLock	【区域未解锁】
HostelFullElectric	已满
HostelFullVitality	已满
ChallengeRewardIsGetted	奖励已领取
HostelMaxElectric	储存上限
HostelPerElectric	产量
HostelWorkElectric	执勤产量
HostelWorkSlot	槽位数量
HostelDeviceUp	提升到
HostelDeviceLevel	等级
HostelDeviceNeedEle	需要{0}个{1}作为能源
HostelSelectCharWork	请先选择伙伴
CharacterVitality	集中力{0}
HostelProductElectric	产出粒子
HostelSlotProduct	产出{0}
HostelWorkReward	完成生产获得
HostelPerSlot	{0}/人
HostelWorkSlotLock	执勤位未解锁
CanChallegeCount	可挑战次数:
BuyChallegeDesc	挑战机会
BattleWinSelectStage	返 回
BattleWinAgain	再 次 挑 战
BattleWinNext	进 入 下 一 关
BattleWinMain	主 界 面
BattleWinArenaOnlineAgain	维 持 本 队
BattleWinArenaOnlineBack	退 出 队 伍
BattleWinMainCannotEnter	无法进入下一关
NewRoomSingleCannotSetRobot	无法编辑试玩队伍
CharacterShowLevel	{0}<color=#000000FF><size=40>/{1}</size></color>
World	世界
Team	部队
System	系统
Mentor	指导
None	无
Attack	攻击
Defense	防御
Life	生命
Blast	暴击
Score	评分
PutOn	装备
Obtain	获取
CountDownTips	还有({0}S)可发送
Clipboard	已复制到剪贴板
WrongDate	输入日期错误
Birthday	{0}月{1}日
CopySuccess	复制成功
BossSingleChallengeCount	<size=58><color=#0E70BDFF>{0}</color></size>/{1}
BossSingleScore	讨伐值{0}
BossSingleNoNeedScore	全部获得
BossSingleScore2	当前讨伐值：{0}
BossSingleMinute	<color=#0E70BDFF>{0}分钟</color>
BossSingleMinuteHideBoss	<color=#e53632>{0}分钟</color>
BossSingleLevel	<color=#FFFFFF>{0}</color>
BossSingleLevelHideBoss	<color=#FFFFFF>{0}</color>
BossSingleBossScore	<size=50><color=#0E70BDFF>{0}</color></size>/{1}
BossSingleBossScoreHb	<size=50><color=#e53632>{0}</color></size>/{1}
BossSinglePercentDesc	{0}<size=42>%</size>
BossSingleRankDesc	等级：{0} - {1}
BossSingleLeftTime	<size=34><color=#000000FF>距离重置还有:</color></size>{0}
BossSingleLeftTimeIos	(ios榜单)
BossSingleLeftTimeWin	(win榜单)
BossSingleLeftTimeAndroid	(Android榜单)
BossSingleLeftTimeAll	(全平台榜单)
RoomStamina	耐力：{0}/{1}
BossSingleNoStamina	{0}耐力值不足
BossSingleBossNotEnough	Boss尚未开启
BossSingleBossRankScore	<size=22>讨伐值 </size>{0}
BossSingleAllRankScore	<size=22>讨伐总值 </size>{0}
BossSingleLeftTimeIcon	距离重置还有:{0}
BossSingleChooseLevelTypeEmpty	请先选择难度分区
BossSingleProgressChooseable	暂未选区
BossSingleBossSectionLeftTime	作战维持：{0}
BossSingleProgress	进度：{0}/{1}
BossSingleModeTips	讨伐总值达到180w后开启鏖战点
BossSingleModeExit	退出
BossSingleModeClash	{0}已在<color=#0E70BDFF>{1}</color>中出战，保存将清除该记录。 操作后<color=#ff3838>20分钟内所有记录中成员</color>无法出战其它关卡，是否继续保存？
BossSingleModeMoreCharacterClash	部分成员
BossSingleModeMoreStageClash	其他关卡
BossSingleModeSaveAndExit	保存并退出
BossSignleBufenTip	达到指定分数，所有前置难度讨伐值自动变更为满分
BossSingleModeSaveTip	记录保存成功
BossSingleModeEnterFightTip	{0}已在{1}中记录，是否继续使用该成员出战
BossSingleChallengeRecordCD	（记录队伍成员锁定中）
BossSingleCharacterClash	{0}、{1}
BossSingleCharacterClashDesc	{0}在其它关卡中已锁定，暂时无法出战
BossSingleSettleTips1	不额外扣除角色耐力及挑战次数
BossSingleSettleTips2	扣除角色耐力
BossSingleChangeMember	出战阵容与记录角色不一致，是否继续作战？保存新纪录需要消耗角色耐力。
CoureDesc	完成关卡<color=#0E70BDFF>{0}</color>即可获得奖励
IsSureDelete	是否确认删除？
OnlineInviteFriend	{0}正在挑战{1},请求您的支援,<color=#0F70BC>{2}</color>
OnlineInviteLink	<a href={0}>[立即前往]</a>
OnlineSendWorldSuccess	发送成功
OnlineFightSuccess	出战成功
OnlineInstanceEnterRoom	成功进入队伍
OnlineCancelReadyBeforeSelectCharacter	准备中不可修改角色
OnlineRoomOnDisconnet	与房间断开连接
OnlineRoomClose	房间已关闭
BuyCountIsNotEnough	购买次数不足
SocialGiftTips	全部收取<color=#34aff8>({0}/{1})</color>
DrawTotalCount	<size=30><color=#000000FF>已研发：</color></size>{0}回
DrawCount	{0}回研发
DrawTargetActivityUpdate	检定活动已更新
DrawTargetActivityOpen	检定活动已开始
DrawTargetActivityClose	检定活动已结束
DrawTargetFirstTitle	请选择目标
DrawTargetSecondTitle	本次检定活动剩余<color=#0F70BCFF>{0}次</color>机会
DrawPercentA	占A级出率
DrawPercentS	占S级出率
DrawPercentSUp	100%
ServerError	连接服务器错误
ServerShutdown	服务器关闭
HeartbeatTimeout	与服务器失去连接
LoginTimeOut	登录超时，是否重试?
ShieldFunctionTip	玩法已临时关闭，详情请查阅游戏公告
FubenNotTime	副本已过期
FubenDailyIsAlreadyReset	副本已重置
FubenDailyOpenRemark	周{0}开放
FubenDailyOpenHint	仅在周{0}开放
FubenDailyAllDayOpen	全天开放
DailyActive	每日活跃度
LevelActionPoint	{0}(+{1})
OnlineBossTimeOut	协同作战已刷新
FlopRewardSelect	请选择奖励
FlopRewardWait	等待确认
FlopRewardWaitClose	面板即将关闭
FlopRewardGetReward	<color=#6EAC45>已选择</color>
DrawVoucherNotEnough	{0}不足
DrawBuyVoucherQuery	是否使用<color=#0f70bc>{0}</color>【{1}】购买<color=#0f70bc>{2}</color>张【{3}】
DrawOwnVoucherAmount	<size=34><color=#838383FF>拥有：</color></size>{0}
DrawResetTime	<size=40><color=#FFFFFFFF>距离重置还有:</color></size>{0}
Fract	{0}<size=30>/{1}</size>
RoomHrefDisabled	支援消息已过期
GetAssistFail	支援失效：当前未遇到其他小队。
ChatManagerNotSendCoinToNotFriend	不能给非好友发送螺母
CharacterExpItemsUse	使用成功
CharacterActivation	激活成功
ExpAdd	经验+{0}
BountyTaskRefreshCountNotEnough	刷新次数不足
BountyTaskAccetpTaskSuccess	接受赏金任务成功
BountyTaskRewardTipTitle	赏金任务奖励
BountyTaskTipTitle	赏金任务提示
BountyRankDescContent	每周一5:00，通过邮件发送奖励
BountyTaskTipContent	任务每周1凌晨5点刷新。\n接取任务后周期内无法删除。\n每日可刷新心仪任务7次。
UiFubenCoinSkillReward	上次收益 <size=42><color=#{0}>{1}</color></size>
UiFubenCoinSkillChallenge	<color=#{0}>{1}</color>
MissionSendSuccess	派遣成功
MissionConditionMemberLimit	派遣队伍人数不足
MissionConditionNotEnough	派遣条件不足
MissionGiveupSuccess	放弃派遣任务成功
MissionRefreshSuccess	刷新成功
MissionAutoSelectFail	当前没有符合派遣条件的成员
MissionTeamCountTipTile	提示
MissionGiveupTaskContent	确认放弃当前任务？
MissionRefreshTaskContent	确认花费%s%s刷新任务
MissionCurContent	(当前)
MissionTaskTeamMember	要求上阵%s个角色
MissionTaskCountContent	任务数上限提升至%s
MissionTaskTeamCountContent	派遣队伍上限提升至%s
UiPanelRefitConsume	消耗家具币
UiPanelRefitSelectDrawing	选择图纸
BfrtFightEchelonTitle	作战梯队【{0}】
BfrtLogisticEchelonTitle	后勤梯队【{0}】
BfrtLogisticEchelonTitleSimple	后勤 {0}
BfrtFightEchelonTitleSimple	作战 {0}
BaseEquipRecycleNotSelected	请先选择装备
FightTeamConditionLimit	作战队伍不符合要求
LogisticsTeamConditionLimit	后勤队伍不符合要求
BfrtInfoTeamName	梯队{0}
BfrtDeployTipContent	是否让{0}从{1}更换至{2}。
BfrtDeployTipTitle	编队提示
BfrtChapterProgressMainLine	（{0}/{1}）
BfrtAllChapterProgress	章节完成度：{0}/{1}
BfrtChpaterLocked	未开启
BfrtChapterUnlockCondition	通关上一章节后开启
BfrtAutoTeamNoMember	当前没有符合条件的队员
BfrtBanChangeTeam	已通过该据点，不可更改编队
BfrtHaveStageRecord	已有关卡记录{0} - {1}，是否清除记录？
BfrtCourseProcess	进度({0}/{1}):
BfrtCurAbilityProcess	一键通关战力：{0}/{1}
WeaponLevel	{0}(共鸣+{1})
CharUnlockTips	成员： {0}
FavorabilityNoStrangeNewsData	暂无秘闻数据
FavorabilityNoInfoData	暂无资料数据
FavorabilityNoAudioData	暂无语音数据
FavorabilityNoActionData	暂无动作数据
FavorabilityAddExp	【{0}】增加{1}点信赖度!
FavorabilityCurrSelected	当前
FavorabilityCast	配音：
FavorabilityNotOwnChar	当前选中的角色未拥有!
FavorabilityChooseAGift	请选择一种礼物!
FavorabilitySetChiefAssistSucc	设置【{0}】为首席助理成功
FavorabilityNotRemoveOnlyAssist	不可以取消唯一一名助理
FavorabilityRemoveAssistSucc	成功移除【{0}】助理
EquipStrengthenMaxLevel	已达上限等级
EquipStrengthenCurLevel	{0}/<color=#28CFFFFF>{1}</color>
EquipLevelText	<color=#0E70BDFF>{0}</color><size=30>/{1}</size>
EquipMultiStrengthenSuc	装备培养成功
EquipStrengthenSuc	装备强化成功
EquipPutOnSuc	装备穿戴成功
EquipTakeOffSuc	装备脱下成功
EquipResonanceNoWeaponTip	暂无武器选择
EquipResonanceNoAwarenessTip	暂无意识选择
EquipResonanceNoItemTip	暂无道具选择
CustomUiTip	<color=#ffffff>点击需要调整的按钮，拖动调整位置</color>
CustomUiConflict	<color=#ffffff>有按钮重叠，请重新检查</color>
CustomUiSaved	<color=#ffffff>方案保存成功</color>
CustomUiUnsave	按键方案尚未保存，确定要退出吗？
AwarenessDetailTitle	意识属性
WeaponDetailTitle	武器属性
CustomLoadingRemoveTip	是否将对应图片移出加载图随机使用？
CustomLoadingMaxTip	自定义loading图已达上限，请先清理不需要的图片！
FocusType1	智能锁定：直接拉动摇杆并使用技能可自动锁定摇杆方向上的敌人。
FocusType2	手动锁定：轻触屏幕空白区域（不包含摇杆区域）切换锁定目标，长按解锁。<color=#0e70bd>若勾选「显示锁定按钮」，则战斗中点击「锁定」按钮切换目标</color>
FocusType3	进阶锁定：可实时切换智能锁定模式和手动锁定模式。 默认为<color=#0e70bd>智能锁定模式</color>，拉动摇杆并使用技能可锁定摇杆方向上的敌人；轻触屏幕空白区域可进入<color=#0e70bd>手动锁定模式</color>，再次轻触可切换锁定目标，长按解锁并回到智能锁定模式。 <color=#0e70bd>若勾选【显示锁定按钮】，则操作改变为轻触按钮和长按按钮。</color>
FocusTypeDlcHunt1	智能锁定：直接拉动摇杆并使用技能可自动锁定摇杆方向上的怪物部位
FocusTypeDlcHunt2	手动锁定：单击「锁定」按钮切换敌人。 长按「锁定」按钮可呼出部位锁定栏，精确锁定怪物部位。
FocusTypeDlcHunt3	
FocusTypeDlcHuntTeaching	教学关卡禁止修改锁定模式
WeaponTransType1	关闭：界面中武器装备在成员身上展示时，<color=#0e70bd>武器不播放变形动作，直接展示变形后形态</color>
WeaponTransType2	开启：界面中武器装备在成员身上展示时，<color=#0e70bd>武器播放对应的变形动作</color>
RechargeType1	关闭：累计充值界面将不显示当前充值金额信息
RechargeType2	开启：累计充值界面将显示当前充值金额信息，玩家可以通过按钮切换是否显示详细数值
CaptionType1	关闭：主界面构造体在播放动作时，不显示字幕
CaptionType2	开启：主界面构造体在播放动作时，显示字幕
EquipIsLock	装备处于锁定状态
EquipPutOnSpecialCharacterIdNotEqual	此装备为{0}·{1}专属
ArenaActivityBeginCountDown	组队中:
ArenaActivityResultCountDown	结算中:
ArenaActivityEndCountDown	进行中:{0}
ArenaOverDescription	结算期
ArenaTeamDescription	组队期
ArenaFightNotJoinDescription	任务奖励已刷新
ArenaFightJoinDescription	战斗期
ArenaWaveRate	波动指数{0}
ArenaPlayerLevelRange	等级段：{0}-{1}
ArenaActivityUpRegion	晋级区
ArenaActivityKeepRegion	保级区
ArenaActivityDownRegion	降级区
ArenaActivityUpRegionColor	<color=#20bb61>晋级区</color>
ArenaActivityKeepRegionColor	<color=#2086bb>保级区</color>
ArenaActivityDownRegionColor	<color=#bb204f>降级区</color>
ArenaActivityNotUpRegionDesc	该组小队不会晋级
ArenaActivityNotDownRegionDesc	该组小队不会降级
ArenaActivityNotKeepRegionDesc	该组小队不会保级
ArenaActivityRegionDesc	No.{0}~No.{1}
ArenaActivityUpRegionContributeScoreDes	除传奇小队外，其他小队可消耗2点声誉值抵消降级惩罚，当期战区积分为0时不论排名高低，无法获得声誉值。
ArenaActivityStage	第{0}区域
ArenaActivityResultUp	恭喜你在纷争战区提升到 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityResultDown	很遗憾你在纷争战区下降至 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityResultKeep	你在纷争战区英勇奋战保留在 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityResultNotContributeScore	因为功勋值不足{0}，在纷争战区中保留在 <color=#0f70bc><size=60>{1}小队</size></color>
ArenaActivityProtected	<color=#30aa17>降级保护</color>使你保留在 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityAreaIsNotOpen	此战区本周期内锁定，无法挑战
ArenaMaxSingleScore	最高可获取{0}分
ArenaMaxSingleNoScore	最高分无上限
ArenaMaxAllScore	{0}<size=40>最高</size>
ArenaMaxAllHistoryScore	{0}<size=30>最高</size>
ArenaGrouplScore	第 {0} 波
ArenaOnlineLeftTimeOver	副本已经重置
ArenaOnlineSectionLeftTime	解锁时间   <color=#0F70BC><size=42>{0}</size></color>
ArenaOnlineStarDesc	收集进度{0}
ArenaOnlinePassDesc	进度：{0}/{1}
ArenaOnlineChapterLevel	(等级段：{0}-{1})
ArenaOnlineChapterLeftTime	{0}
ArenaOnlineSectionLeftTime1	{0}
ArenaOnlineSectionLeftTime2	{0}
ArenaOnlineStageDetailHintOnline	消耗角色耐力
ArenaOnlineStageDetailHintSingle	消耗出战角色耐力
ArenaOnlineCreateRoomOnline	创建房间
ArenaOnlineCreateRoomSingle	单人战斗
ArenaOnlineStageDropDesc	累计{0}次翻牌必出超频催化剂·极({1}/{2}）
ArenaOnlineTimeOut	该活动已经刷新
ArenaOnlineDayTimeOut	该区域已经刷新
ArenaOnlineActiveBuffDesc	同调状态({0}/{1})
ArenaOnlineStageChangeTip	是否将当前关卡调整为：<color=#FEE82A>{0}</color>
ArenaOnlineStageInfoTip	当前目标关卡为：<color=#FEE82A>{0}【{1}】</color>
ArenaOnlineStageChangeInfo	房主已将目标切换为：<color=#FEE82A>{0}</color>
ArenaOnlineCharEnduranceTip	角色耐力不足无法作战
ArenaOnlineInviteShow	【{0}】
ArenaOnlineSettleAssist	{0} <size=32><color=#D58216>+1</color></size>
ArenaOnlineInstanceQuitRoom	确定退出组队房间？
ArenaOnlineSectionClose	当前区域尚未解锁
ArenaOnlineRoomConnectTimeOut	连接房间超时
ArenaOnlineCanNotSwitchToUnopenedSingleStage	该关卡无法使用单人模式
ArenaTaskTitle	战区任务-{0}等级{1}-{2}
ArenaMeritPoints	功勋值
ArenaReputationPoints	声誉值
ArenaRankNo	{0}
ArenaPlayerLevelRangeNotDesc	{0}-{1}
ArenaContributeScore	{0}/{1} +{2}
ArenaRankStatisticalTime	{0}-{1}
ArenaLevelPeopleNumber	人数：{0}
ArenaProtectedNumber	声誉值：{0}/{1}
ArenaChargePointsDesc	每期挑战完成可获得1点声誉值，当前{0}/{1}
ArenaRankConversionDesc	战区段位发生变动，您的新段位是<color=#0f70bc><size=77> {0} </size></color>小队
ComeAcrossTips	每天可偶遇3次，24点重置次数
ComeAcrossStart	开始！
ComeAcrossRight	<color=#8cfa7a>正确！</color>
ComeAcrossWrong	<color=#fd6e6e>错误！</color>
ComeAcrossEnd	%s秒后自动退出
ComeAcrossTimeout	<color=#fd6e6e>时间到！</color>
NewbieDayTab1	第0{0}天
NewbieDayTab2	第{0}天
NewbieDayUnlock	目标尚未开启
ComeAcrossNext	%s秒后开始下一题
ComeAcrossGameEnd	<color=#2abdfc>游戏结束</color>
FavorabilityStorySectionName	第{0}章
EquipDecomposionCapacityDes	可分解武器
EquipRecycleCapacityDes	可回收武器
EquipCapacityDes	拥有的武器
AwarenessDecomposionCapacityDes	可分解意识
AwarenessRecycleCapacityDes	可回收意识
AwarenessCapacityDes	拥有的意识
SuitCapacityDes	拥有的套装
MaterialCapacityDes	拥有的道具
FragmentCapacityDes	拥有的碎片
DecomposeTitle	分解预览
RecycleTitle	回收预览
ConverseTitle	转化预览
SellTitle	出售预览
DecomposeConfirmTip	当前选中<color=#0E70BD>包含4★或以上的装备</color>。\n分解返还70%左右所有培养材料（返还不包括共鸣材料，返还计算出现非整数数量时，向下取整）
DecomposeConfirmTitle	装备分解二次确认
EquipRecycleConfirmTip	当前选中<color=#0E70BD>包含5★或以上的装备</color>，是否确认回收
EquipRecycleConfirmTitle	装备回收二次确认
SellConfirmTip	选中物品为高品质物品
SellConfirmTitle	物品出售二次确认
ItemDeadLine	（{0}后过期）
SelectGiftCount	(请选择<color=#FF0000FF>{0}</color>个奖励)
SelectGiftMaxCount	可选礼包选满了
SelectReplicatedGiftCount	(可自由选择<color=#FF0000FF>{0}</color>个奖励)
PrequelChapterTimes	次数：{0}
TrialIllustration	玩法分为前段与后段，每段各5关。\n关卡可复刷，复刷没有任何奖励。\n每通关5关即可领取装备奖励。
AwarenessTfPos	{0}号位
AwarenessTfMaterialMainError	请先选择主要材料
AwarenessTfMaterialError	材料不足
AwarenessTfConfirmTitle	重要提示
AwarenessTfConfirmContent	装备改造后将保留当前等级。
AwarenessTfConfirmContentResonance	当前装备带有共鸣技能，改造后将会清空！
AwarenessTfMaterialSelectError	已达到选择上限
PrequelChallangeTab	挑战模式
PrequelCompletion	完成度：{0}/{1}
PrequelFragmentTimeReset	重置时间：{0}
PrequelChapterNotOpen	此间章暂未开放
TrialFinish	已完成关卡
TrialUnLock	未解锁关卡
AbilityInsufficient	战力不足
AvgInsufficient	目前关卡极度危险，建议{0}个上阵成员战力提升至{1}，是否强行挑战
Insufficient	目前关卡极度危险，建议提升成员战力至{0}，是否强行挑战
RenameLengthError	昵称不能为空
DrawRuleHint	占<color=#36cdff>{0}</color>{1}出率<color=#36cdff>{2}</color>
DrawBottomTimes	剩余<color=#36cdff>{0}</color>回必出
