Id	BigIcon	Icon	PartModelId	FashionId	ColorGroupId	DefaultColorId
30031	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00003Hair01.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00003Hair01.png	Com1ChiefmMd00003Hair		30031	3003101
30032	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00003Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00003Hair.png	Com1ChieffMd00003Hair		30032	3003201
30041	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Hair.png	Com1ChiefmMd01001Hair		30041	3004101
30042	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Hair.png	Com1ChieffMd01001Hair		30042	3004201
30051	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00004Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00004Hair.png	Com1ChiefmMd00004Hair		30051	3005101
30052	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00004Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00004Hair.png	Com1ChieffMd00004Hair		30052	3005201
30061	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00005Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00005Hair.png	Com1ChiefmMd00005Hair		30061	3006101
30062	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00005Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00005Hair.png	Com1ChieffMd00005Hair		30062	3006201
31011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Hair.png	Com1ChiefmMd02001Hair			
31012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Hair.png	Com1ChieffMd02001Hair			
31021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Hair.png	Com1ChiefmMd03001Hair			
31022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Hair.png	Com1ChieffMd03001Hair			
40011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001Armband.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001Armband.png	Com1ChiefmMd00001Armband			
40012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001Armband.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001Armband.png	Com1ChieffMd00001Armband			
40021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Armband.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Armband.png	Com1ChiefmMd01001Armband			
40022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Armband.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Armband.png	Com1ChieffMd01001Armband			
40031	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000001.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000001.png	Com1ChiefmMdArmband00001			
40032	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000001.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000001.png	Com1ChieffMdArmband00001			
40041	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000005.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000005.png	Com1ChiefmMdArmband00005			
40042	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000005.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000005.png	Com1ChieffMdArmband00005			
40051	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000004.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000004.png	Com1ChiefmMdArmband00004			
40052	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000004.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000004.png	Com1ChieffMdArmband00004			
40061	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000003.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000003.png	Com1ChiefmMdArmband00003			
40062	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000003.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000003.png	Com1ChieffMdArmband00003			
40071	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000002.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000002.png	Com1ChiefmMdArmband00002			
40072	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000002.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000002.png	Com1ChieffMdArmband00002			
40081	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000006.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000006.png	Com1ChiefmMdArmband00003			
40082	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000006.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000006.png	Com1ChieffMdArmband00003			
40091	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000007.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000007.png	Com1ChiefmMdArmband00003			
40092	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000007.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMdArmband000007.png	Com1ChieffMdArmband00003			
41011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Armband.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Armband.png	Com1ChiefmMd02001Armband			
41012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Armband.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Armband.png	Com1ChieffMd02001Armband			
900011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd02001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd02001SG.png				
900012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd02001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd02001SG.png				
900021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd03001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd03001SG.png				
900022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd03001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd03001SG.png				
