Id	Values
SkillType2a3Bg	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleWhite.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleGreen.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleBlue.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCirclePurple.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleOrange.png']
SkillType4Bg	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialWhite.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialGreen.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialBlue.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialPurple.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialOrange.png']
SkillType1LightMask	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillHighLight.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillChoose.png']
SkillType2a3LightMask	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleHighLight.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleChoose.png']
SkillType4LightMask	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialHighLight.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialChoose.png']
AttrPackBg	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RelicWhite.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RelicGreen.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RelicBlue.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RelicPurple.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RelicOrange.png']
JumpStoryGroupId	['16']
CommonCameraNear	['UiCamNearStory1', 'UiCamNearStory2']
CommonCameraFar	['UiCamFarStory1', 'UiCamFarStory2']
CommonCameraDuration	['1000', '1000']
SceneCharacter	['2', '1', '0', '0']
ShopRefreshColor	['56A788', 'DD9E55', '952535']
SceneRoleNodeCount	['4']
SkillEmptyBg	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillEmpty.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillCircleEmpty.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillSpecialEmpty.png']
RewardDuration	['3000']
DifficultyLevelBg	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6ChooseDifficultylevelBg01.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6ChooseDifficultylevelBg02.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6ChooseDifficultylevelBg03.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6ChooseDifficultylevelBg04.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6ChooseDifficultylevelBg05.png']
EasyMonsterStar	['1']
HardMonsterStar	['5']
UiCameraDuration	['300', '300', '300', '300']
EitherorMaxDragDistance	['170']
EitherorMaxDragRotation	['8']
EitherorReboundTime	['0.1']
EitherorCardEnableTime	['0.2']
EitherorShowTextDistance	['150']
EitherorChooseDistance	['150']
EitherorChooseAddMoveX	['100']
EitherorChooseAddRotationY	['10']
TaskQualityToStarCount	['1', '2', '3', '4', '5']
IconCrit	['Assets/Product/Texture/Image/IconAffix/AffixIconBodong2.png']
IconBlock	['Assets/Product/Texture/Image/IconAffix/AffixIconBilei2.png']
IconBurning	['Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png']
IconHitFly	['Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png']
IconHitDown	['Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png']
IconStun	['Assets/Product/Texture/Image/IconAffix/AffixIconMoai2.png']
EntranceTimeId	['47121']
FxUiHuanRen	['Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRen.prefab']
TopSanTweenTime	['0.4']
IdleWaitingTime	['5000']
IconGood01	['Assets/Product/Texture/Image/IconTools/UiTheatre6Icon01.png']
IconGood02	['Assets/Product/Texture/Image/IconTools/UiTheatre6Icon06.png']
IconAttr01	['Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png']
IconAttr02	['Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png']
