Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId	Percent	RewardId	MailId
579	首轮击破1周目的BOSS-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	首轮击破1周目的BOSS	95242			
580	首轮击破2周目的BOSS-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	首轮击破2周目的BOSS	95243			
581	首轮击破3周目的BOSS-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	首轮击破3周目的BOSS	95244			
582	首轮击破4周目的BOSS-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	首轮击破4周目的BOSS	95245			
583	首轮击破5周目的BOSS-平坦	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	首轮击破5周目的BOSS	95246			
584	次轮击破1周目的BOSS-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	次轮击破1周目的BOSS	95247			
585	次轮击破2周目的BOSS-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	次轮击破2周目的BOSS	95248			
586	次轮击破3周目的BOSS-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	次轮击破3周目的BOSS	95249			
587	次轮击破4周目的BOSS-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	次轮击破4周目的BOSS	95250			
588	次轮击破5周目的BOSS-平坦	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	次轮击破5周目的BOSS	95251			
589	三轮击破1周目的BOSS-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	三轮击破1周目的BOSS	95252			
590	三轮击破2周目的BOSS-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	三轮击破2周目的BOSS	95253			
591	三轮击破3周目的BOSS-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	三轮击破3周目的BOSS	95254			
592	三轮击破4周目的BOSS-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	三轮击破4周目的BOSS	95255			
593	三轮击破5周目的BOSS-平坦	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	三轮击破5周目的BOSS	95256			
594	首轮挑战Ⅰ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征3次	95257			
595	首轮挑战Ⅱ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征6次	95258			
596	首轮挑战Ⅲ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征9次	95259			
597	首轮挑战Ⅳ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征12次	95260			
598	首轮挑战Ⅴ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征15次	95261			
599	首轮挑战Ⅵ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征18次	95262			
600	首轮挑战Ⅶ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征21次	95263			
601	首轮挑战VIII-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征24次	95264			
602	首轮挑战IX-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征27次	95265			
603	次轮挑战Ⅰ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征3次	95266			
604	次轮挑战Ⅱ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征6次	95267			
605	次轮挑战Ⅲ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征9次	95268			
606	次轮挑战Ⅳ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征12次	95269			
607	次轮挑战Ⅴ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征15次	95270			
608	次轮挑战Ⅵ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征18次	95271			
609	次轮挑战Ⅶ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征21次	95272			
610	次轮挑战VIII-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征24次	95273			
611	次轮挑战IX-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征27次	95274			
612	三轮挑战Ⅰ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征3次	95275			
613	三轮挑战Ⅱ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征6次	95276			
614	三轮挑战Ⅲ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征9次	95277			
615	三轮挑战Ⅳ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征12次	95278			
616	三轮挑战Ⅴ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征15次	95279			
617	三轮挑战Ⅵ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征18次	95280			
618	三轮挑战Ⅶ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征21次	95281			
619	三轮挑战VIII-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征24次	95282			
620	三轮挑战IX-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计挑战众志行征27次	95283			
621	首轮积分Ⅰ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得4000行征积分	95284			
622	首轮积分Ⅱ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得8000行征积分	95285			
623	首轮积分Ⅲ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得12000行征积分	95286			
624	首轮积分Ⅳ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得16000行征积分	95287			
625	首轮积分Ⅴ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得20000行征积分	95288			
626	首轮积分Ⅵ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得22000行征积分	95289			
627	首轮积分Ⅶ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得24000行征积分	95290			
628	次轮积分Ⅰ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得4000行征积分	95291			
629	次轮积分Ⅱ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得8000行征积分	95292			
630	次轮积分Ⅲ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得12000行征积分	95293			
631	次轮积分Ⅳ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得16000行征积分	95294			
632	次轮积分Ⅴ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得20000行征积分	95295			
633	次轮积分Ⅵ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得22000行征积分	95296			
634	次轮积分Ⅶ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得24000行征积分	95297			
635	三轮积分Ⅰ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得4000行征积分	95298			
636	三轮积分Ⅱ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得8000行征积分	95299			
637	三轮积分Ⅲ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得12000行征积分	95300			
638	三轮积分Ⅳ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得16000行征积分	95301			
639	三轮积分Ⅴ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得20000行征积分	95302			
640	三轮积分Ⅵ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得22000行征积分	95303			
641	三轮积分Ⅶ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累积获得24000行征积分	95304			
642	关口突破Ⅰ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破1个关口	95305			
643	关口突破Ⅱ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破2个关口	95306			
644	关口突破Ⅲ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破3个关口	95307			
645	关口突破Ⅳ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破4个关口	95308			
646	关口突破Ⅴ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破5个关口	95309			
647	关口突破Ⅰ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破1个关口	95310			
648	关口突破Ⅱ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破2个关口	95311			
649	关口突破Ⅲ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破3个关口	95312			
650	关口突破Ⅳ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破4个关口	95313			
651	关口突破Ⅴ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破5个关口	95314			
652	关口突破Ⅰ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破1个关口	95315			
653	关口突破Ⅱ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破2个关口	95316			
654	关口突破Ⅲ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破3个关口	95317			
655	关口突破Ⅳ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破4个关口	95318			
656	关口突破Ⅴ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计击破5个关口	95319			
657	封锁突破Ⅰ-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计突破1个孤崖关塞	95320			
658	封锁突破Ⅰ-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计突破1个孤崖关塞	95321			
659	封锁突破Ⅰ-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	累计突破1个孤崖关塞	95322			
660	首轮击破1周目的BOSS-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	首轮击破1周目的BOSS	95323			
661	首轮击破2周目的BOSS-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	首轮击破2周目的BOSS	95324			
662	首轮击破3周目的BOSS-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	首轮击破3周目的BOSS	95325			
663	首轮击破4周目的BOSS-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	首轮击破4周目的BOSS	95326			
664	首轮击破5周目的BOSS-险要	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	首轮击破5周目的BOSS	95327			
665	次轮击破1周目的BOSS-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	次轮击破1周目的BOSS	95328			
666	次轮击破2周目的BOSS-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	次轮击破2周目的BOSS	95329			
667	次轮击破3周目的BOSS-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	次轮击破3周目的BOSS	95330			
668	次轮击破4周目的BOSS-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	次轮击破4周目的BOSS	95331			
669	次轮击破5周目的BOSS-险要	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	次轮击破5周目的BOSS	95332			
670	三轮击破1周目的BOSS-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	三轮击破1周目的BOSS	95333			
671	三轮击破2周目的BOSS-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	三轮击破2周目的BOSS	95334			
672	三轮击破3周目的BOSS-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	三轮击破3周目的BOSS	95335			
673	三轮击破4周目的BOSS-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	三轮击破4周目的BOSS	95336			
674	三轮击破5周目的BOSS-险要	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	三轮击破5周目的BOSS	95337			
675	次轮挑战Ⅰ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征3次	95338			
676	次轮挑战Ⅱ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征6次	95339			
677	次轮挑战Ⅲ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征9次	95340			
678	次轮挑战Ⅳ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征12次	95341			
679	次轮挑战Ⅴ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征15次	95342			
680	次轮挑战Ⅵ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征18次	95343			
681	次轮挑战Ⅶ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征21次	95344			
682	次轮挑战VIII-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征24次	95345			
683	次轮挑战IX-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征27次	95346			
684	三轮挑战Ⅰ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征3次	95347			
685	三轮挑战Ⅱ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征6次	95348			
686	三轮挑战Ⅲ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征9次	95349			
687	三轮挑战Ⅳ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征12次	95350			
688	三轮挑战Ⅴ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征15次	95351			
689	三轮挑战Ⅵ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征18次	95352			
690	三轮挑战Ⅶ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征21次	95353			
691	三轮挑战VIII-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征24次	95354			
692	三轮挑战IX-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计挑战众志行征27次	95355			
693	次轮积分Ⅰ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得6000行征积分	95356			
694	次轮积分Ⅱ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得12000行征积分	95357			
695	次轮积分Ⅲ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得18000行征积分	95358			
696	次轮积分Ⅳ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得24000行征积分	95359			
697	次轮积分Ⅵ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得30000行征积分	95360			
698	次轮积分Ⅶ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得33000行征积分	95361			
699	次轮积分Ⅴ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得36000行征积分	95362			
700	三轮积分Ⅰ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得6000行征积分	95363			
701	三轮积分Ⅱ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得12000行征积分	95364			
702	三轮积分Ⅲ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得18000行征积分	95365			
703	三轮积分Ⅳ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得24000行征积分	95366			
704	三轮积分Ⅵ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得30000行征积分	95367			
705	三轮积分Ⅶ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得33000行征积分	95368			
706	三轮积分Ⅴ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累积获得36000行征积分	95369			
707	关口突破Ⅰ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破1个关口	95370			
708	关口突破Ⅱ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破2个关口	95371			
709	关口突破Ⅲ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破3个关口	95372			
710	关口突破Ⅳ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破4个关口	95373			
711	关口突破Ⅴ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破5个关口	95374			
712	关口突破Ⅰ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破1个关口	95375			
713	关口突破Ⅱ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破2个关口	95376			
714	关口突破Ⅲ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破3个关口	95377			
715	关口突破Ⅳ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破4个关口	95378			
716	关口突破Ⅴ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计击破5个关口	95379			
717	封锁突破Ⅰ-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计突破1个孤崖关塞	95380			
718	封锁突破Ⅰ-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	累计突破1个孤崖关塞	95381			
719	次轮击破1周目的BOSS-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	次轮击破1周目的BOSS	95382			
720	次轮击破2周目的BOSS-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	次轮击破2周目的BOSS	95383			
721	次轮击破3周目的BOSS-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	次轮击破3周目的BOSS	95384			
722	次轮击破4周目的BOSS-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	次轮击破4周目的BOSS	95385			
723	次轮击破5周目的BOSS-崎岖	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	次轮击破5周目的BOSS	95386			
724	三轮击破1周目的BOSS-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	三轮击破1周目的BOSS	95387			
725	三轮击破2周目的BOSS-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	三轮击破2周目的BOSS	95388			
726	三轮击破3周目的BOSS-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	三轮击破3周目的BOSS	95389			
727	三轮击破4周目的BOSS-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	三轮击破4周目的BOSS	95390			
728	三轮击破5周目的BOSS-崎岖	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	三轮击破5周目的BOSS	95391			
729	行征驻扎Ⅰ	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		累计驻扎节点4次	95392			
