Id	GroupIndex	StageIndex	DifficultyId	Name	NameEn	Desc	Icon	BgIcon	ShowMonsterIcon	ShowMonsterName	ShowFightEventId	FightEventId	Type	RootId	RootGuardId	SubMonsterBornCd	TreatMstInterval	TreatMstPercent	WeaknessFightEventId	AttackBaseDamage	AttackBaseInterval	LinkIds	HpMax	RewardId	GuildWarStageId	EliteMonsterId	EliteMonsterBornInterval	BuffGroupId	RebuildTime	RebuildTimeFactor	RebuildMaxTime	RebuildGuildWarStageId	ResidueStageId	BaseSubHp	MaxSubHp	MaxPoint	BasePoint	MinSubDamage	FactorA	FactorB	FactorC	FactorD	FightCostEnergy	SweepCostEnergy	HelpTitle	HelpDetail	DescWeakness	ModelId	DeployCharacterMax	DeployCharacterNum	DeployBuff
1041	3	3	1	残垣断壁	Cliff Fortress	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png		Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	[2240415, 2240403]	[2240404]	16	104									10000		107									1000	1650	680		650	0.5	180.0	140.0	680.0	20	20	孤崖关塞	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1051	3	4	1	残垣断壁	The PassⅢ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	陆3-长耳兔	[2240415]	[2240404]	2	105									10000		139									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅲ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1061	3	5	1	残垣断壁	The PassⅣ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/Mo1KongzhongjianshiqiMd000001.png	空中监视器	[2240415]	[2240404]	2	106									10000		140									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅳ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1071	3	6	1	残垣断壁	Treacherous Gap	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang6.png	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫	[2240421, 2240415]	[2240404, 2240409]	5	107									10000		161									1000	1650	680		650	0.6	30.0	5.0	680.0	20	20	寒冰隘口	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1101	2	1	1	高危绝壁	High-risk Cliffs	警告！寐者进化出了终极形态	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon12.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/Mb1MelinoeMd010001.png	墨利诺厄	[2240423]	[2240288]	19	110			2	10					10000		176								91	1600	3710	1015		2110	0.625	45.0	5.0	1015.0	20	20	墨利诺厄	警告！寐者进化出了终极形态		Mb1MelinoeMd010001UI	80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1022	3	1	1	废墟	The PassⅠ	寐者摧毁了这片区域，一切事物都化为了灰烬。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					20	102									10000											1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	废墟	寐者摧毁了这片区域，一切事物都化为了灰烬。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1032	3	2	1	废墟	The PassⅡ	寐者摧毁了这片区域，一切事物都化为了灰烬。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					20	103									10000											1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	废墟	寐者摧毁了这片区域，一切事物都化为了灰烬。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1042	3	3	1	废墟	Cliff Fortress	寐者摧毁了这片区域，一切事物都化为了灰烬。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					20	104									10000											1000	1650	680		650	0.5	180.0	140.0	680.0	20	20	废墟	寐者摧毁了这片区域，一切事物都化为了灰烬。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1052	3	4	1	废墟	The PassⅢ	寐者摧毁了这片区域，一切事物都化为了灰烬。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					20	105									10000											1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	废墟	寐者摧毁了这片区域，一切事物都化为了灰烬。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1062	3	5	1	废墟	The PassⅣ	寐者摧毁了这片区域，一切事物都化为了灰烬。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					20	106									10000											1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	废墟	寐者摧毁了这片区域，一切事物都化为了灰烬。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1072	3	6	1	废墟	Treacherous Gap	寐者摧毁了这片区域，一切事物都化为了灰烬。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					20	107									10000											1000	1650	680		650	0.6	30.0	5.0	680.0	20	20	废墟	寐者摧毁了这片区域，一切事物都化为了灰烬。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
201	1	1	2	资源保障区Ⅰ	Resource Security Area		Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png		Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	资源保障区			1									[202, 211]	10000																										80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
202	3	1	2	关口Ⅰ	The PassⅠ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/ZhuNormal01.png	株			2									[203, 201]	10000		5									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅰ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
203	3	2	2	关口Ⅱ	The PassⅡ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/DeporterNormal01.png	Deporter-R			2									[204, 202]	10000		6									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅱ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
204	3	3	2	孤崖关塞	Cliff Fortress	大量的怪物封锁了前进的道路，集中力量突破它们。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon14.png		Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	[2240403]		16									[205, 203, 212, 213]	10000		108									700	1450	810		750	0.5	250.0	265.0	680.0	20	20	孤崖关塞	1.大量的怪物封锁了前进的道路，集中力量突破它们！\n2.<color=#4169E1>击杀</color>或<color=#4169E1>击破</color>怪物霸体可进入超算空间。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
205	3	4	2	关口Ⅲ	The PassⅢ	蛐蛐小怪不足为惧，直接一个<color=#0f71bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	液压			2									[206, 204]	10000		7									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅲ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
206	3	5	2	关口Ⅳ	The PassⅣ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/Me1XunshoushiMd000001.png	驯兽师			2									[207, 205, 214]	10000		8									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅳ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
207	3	6	2	寒冰隘口	Treacherous Gap	BOSS前的最后一个防线	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_2.png		Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫	[2240421]	[2240409]	5									[220, 206]	10000		123									700	1150	810		450	0.6	36.0	5.0	810.0	20	20	寒冰隘口	1.击杀敌方怪物后，怪物变为<color=#4169E1>灵魂</color>攻击<color=#4169E1>核心护盾</color>。\n2.每波怪物击杀后，可使核心短暂<color=#4169E1>解除无敌</color>状态。\n3.趁核心<color=#4169E1>无敌状态</color>解除，集中火力击破核心。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
211	4	1	2	关口Ⅰ	The PassⅠ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西			2									[212, 201]	10000		9									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅰ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
212	4	2	2	关口Ⅱ	The PassⅡ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/ZhangyuNormal01.png	海5-灯乌贼			2									[204, 211]	10000		10									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅱ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
213	4	3	2	关口Ⅲ	The PassⅢ	蛐蛐小怪不足为惧，直接一个<color=#0f71bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-洁霸			2									[214, 204]	10000		11									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅲ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
214	4	4	2	关口Ⅳ	The PassⅣ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-洁霸			2									[215, 213, 206]	10000		12									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅳ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
215	4	5	2	火焰隘口	Treacherous Gap	BOSS前的最后一个防线	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_1.png		Assets/Product/Texture/Image/RoleCharacter/YaziNormal01.png	睚眦	[2240278]	[2240282]	5									[220, 214]	10000		124									700	1150	810		450	0.6	36.0	5.0	810.0	20	20	火焰隘口	1.击杀敌方怪物后，怪物变为<color=#4169E1>灵魂</color>攻击<color=#4169E1>核心护盾</color>。\n2.每波怪物击杀后，可使核心短暂<color=#4169E1>解除无敌</color>状态。\n3.趁核心<color=#4169E1>无敌状态</color>解除，集中火力击破核心。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
220	2	1	2	高危绝壁	High-risk Cliffs	寐者被击败后将卷土重来，魇梦等级提升，所有怪物<color=#4169E1>攻击和血量获得提升！</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon8.png		Assets/Product/Texture/Image/RoleCharacter/Mb1MelinoeMd010001.png	墨利诺厄	[2240422]	[2240288]	19				1	10				[207, 215]	10000		174								97	580	1330	1200		750	0.625	54.0	5.0	1200.0	20	20	墨利诺厄	1.寐者被击败后将卷土重来，魇梦等级提升，所有怪物<color=#4169E1>攻击和血量获得提升！</color>\n2.寐者受到攻击后会积累魇梦，魇梦满后释放终极必杀，并短暂开启暴走模式！		Mb1MelinoeMd010001UI	80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
2021	3	1	2	残垣断壁	The PassⅠ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/ZhuNormal01.png	株	[2240415]	[2240404]	2	202									10000		141									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅰ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
2031	3	2	2	残垣断壁	The PassⅡ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/DeporterNormal01.png	Deporter-R	[2240415]	[2240404]	2	203									10000		142									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅱ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
2041	3	3	2	残垣断壁	Cliff Fortress	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	[2240415, 2240403]	[2240404]	16	204									10000		108									700	1450	810		750	0.5	250.0	265.0	680.0	20	20	孤崖关塞	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
2051	3	4	2	残垣断壁	The PassⅢ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	液压	[2240415]	[2240404]	2	205									10000		143									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅲ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
2061	3	5	2	残垣断壁	The PassⅣ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/Me1XunshoushiMd000001.png	驯兽师	[2240415]	[2240404]	2	206									10000		144									950	1600	810		650	0.6	36.0	5.0	810.0	20	20	关口Ⅳ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
2071	3	6	2	残垣断壁	Treacherous Gap	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang6.png	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫	[2240421, 2240415]	[2240404, 2240409]	5	207									10000		162									700	1150	810		450	0.6	36.0	5.0	810.0	20	20	寒冰隘口	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[150, 300, 450, 600, 750, 900, 1050, 1200, 1350, 1500]
