Id	MonsterId	Num	Level	FightEventIds	Desc
32110	90750	1	594	[779805]	空7，2-1
32200	90760	1	620	[779790]	长耳兔，2-2
32201	90970	1	376	[779793]	医疗机，2-2
32202	90770	1	402	[779782]	乌贼，2-2
32210	90440	1	536	[779784]	自律警卫！，2-2
32300	90460	1	402	[779789]	潜伏者，2-3
32301	93010	1	1150	[779808]	洁霸，2-3
32302	90720	1	282	[779804]	马天尼，2-3
32303	90760	1	620	[779792]	长耳兔，2-3
32310	90780	1	296	[779812]	极地熊！，2-3
32400	90750	1	594	[779812]	空7，2-4
32401	93010	1	1150	[779808]	洁霸，2-4
32402	93020	1	402	[779811]	SSG，2-4
32403	90770	1	402	[779790]	乌贼，2-4
32404	90970	1	376	[779825]	医疗机，2-4
32410	90450	1	366	[779812]	极地机兵！，2-4
33100	90860	1	704	[779784]	波普尔，3-1
33101	90250	1	268	[779826]	浪人，3-1
33102	90640	1	480	[779812]	力士，3-1
33110	90800	1	322	[779825]	墨鸾，3-1
33200	90670	1	804	[779789]	烟粉，3-2
33201	90690	1	310	[779805]	禄存，3-2
33202	90250	1	268	[779826]	浪人，3-2
33210	90700	1	334	[779783]	至尊，3-2
33300	90810	1	350	[779790]	太阿，3-3
33301	90860	1	704	[779790]	波普尔，3-3
33302	90250	1	268	[779811]	浪人，3-3
33303	90640	1	480	[779808]	力士，3-3
33310	90680	1	574	[779808]	睚眦，3-3
33400	90690	1	310	[779812]	禄存，3-4
33401	90660	1	502	[779788]	吊人，3-4
33402	90670	1	804	[779808]	烟粉，3-4
33403	90250	1	268	[779811]	浪人，3-4
33410	90790	1	404	[779788]	骁卫，3-4
11500	90120	1	112	[779788]	保护者，路线1-精英
11501	95790	1	178	[779793, 779873]	骁卫（极限型，带闪袭），路线1-精英，四试炼
21500	90710	1	230	[779788]	凯西，路线1-精英
21501	93075	1	366	[779814, 779874]	圣堂守卫（极限型，带闪袭），路线3-精英，归于1（走副本逻辑挂给玩家）
22500	90460	1	254	[779806]	潜伏者，路线2-精英
22501	95220	1	162	[779815, 779875]	遗迹挖掘者-阿枪（极限型，带闪袭），路线2-精英，凝固力场（敌人无视超算，超算中受到伤害增加）
31500	90120	1	348	[779789]	保护者，路线1-精英
31501	95790	1	558	[779832, 779873]	骁卫（极限型，带闪袭），路线1-精英，四试炼
32500	90460	1	402	[779790]	潜伏者，路线2-精英
32501	95220	1	258	[779833, 779875]	遗迹挖掘者-阿枪（极限型，带闪袭），路线2-精英，凝固力场（敌人无视超算，超算中受到伤害增加）
33500	90710	1	366	[779792]	凯西，路线3-精英
33501	93075	1	580	[779834, 779874]	圣堂守卫（极限型，带闪袭），路线3-精英，归于1（走副本逻辑挂给玩家）
