Id	Type	Title	InputMapId	DefaultKeyMapIds	KeySetTypes	IsMutexIgnoreInputMapSectionId
126	2	攻击	8	[8010]		
127	2	闪避	8	[8011]		
128	2	跳跃	8	[8012]		
129	2	猎矛	8	[8013]		
130	2	技能球1	8	[8014]		
131	2	技能球2	8	[8015]		
132	2	技能球3	8	[8016]		
133	2	技能球4	8	[8017]		
134	2	技能球5	8	[8018]		
135	2	技能球6	8	[8019]		
136	2	技能球7	8	[8020]		
137	2	技能球8	8	[8021]		
138	2	对话-继续	8	[8022]		
139	2	对话-跳过	8	[8023]		
140	2	锁定/取消锁定	8	[8024]		
141	2	战中暂停	8	[8025]		
142	2	角色移动：前	9	[9001]		
143	2	角色移动：后	9	[9002]		
144	2	角色移动：左	9	[9003]		
145	2	角色移动：右	9	[9004]		
146	2	镜头移动：上	9	[9005]		
147	2	镜头移动：下	9	[9006]		
148	2	镜头移动：左	9	[9007]		
149	2	镜头移动：右	9	[9008]		
150	2	闪避	9	[9009]		
151	2	跳跃	9	[9010]		
152	2	蓝球	9	[9011]		
153	2	黄球	9	[9012]		
154	2	绿球	9	[9013]		
155	2	暂停	9	[9014]		
156	2	对话-继续	9	[9015]		
157	2	对话-跳过	9	[9016]		
158	2	切换镜头控制方式	9	[9017]	[3]	
159	2	角色移动：前	10	[10001]		
160	2	角色移动：后	10	[10002]		
161	2	角色移动：左	10	[10003]		
162	2	角色移动：右	10	[10004]		
163	2	攻击	10	[10005]		
164	2	跳跃	10	[10006]		
165	2	暂停	10	[10007]		
166	2	道具	10	[10008]		
167	2	扫描	10	[10009]		
168	2	变身/切换	10	[10010]		
169	2	左旋转	10	[10011]		
170	2	右旋转	10	[10012]		
171	2	透视	10	[10013]		
172	2	隐身	10	[10014]		
173	2	镜头移动：上	10	[10015]		
174	2	镜头移动：下	10	[10016]		
175	2	镜头移动：左	10	[10017]		
176	2	镜头移动：右	10	[10018]		
177	2	切换镜头控制方式	10	[10019]	[3]	
178	2	喵星淘金日月切换快捷键	5	[76]		
179	1	镜头设置	13			
180	2	切换镜头控制方式	13	[13001]	[3]	
181	2	镜头移动：上	13	[13033]		
182	2	镜头移动：下	13	[13034]		
183	2	镜头移动：左	13	[13035]		
184	2	镜头移动：右	13	[13036]		
185	1	战斗设置	13			
186	2	射击	13	[13002]		
187	2	闪避	13	[13003]		
188	2	换弹	13	[13004]		
189	2	跳跃	13	[13007]		
190	2	普攻连发	13	[13006]		
191	2	锁定	13	[13008]		
192	2	取消锁定	13	[13009]		
193	1	武器技能	13			
194	2	武器技能	13	[13010]		
195	2	切换武器1	13	[13011]		
196	2	切换武器2	13	[13012]		
197	2	切换武器3	13	[13013]		
198	2	切换武器4	13	[13023]		
199	2	更换角色1(QTE1)	13	[13027]		
200	2	更换角色2(QTE2)	13	[13026]		
201	1	移动设置	13			
202	2	钩索	13	[13022]		
203	2	角色移动：前	13	[13014]		
204	2	角色移动：后	13	[13015]		
205	2	角色移动：左	13	[13016]		
206	2	角色移动：右	13	[13017]		
207	1	其他设置	13			
208	2	战中剧情-继续	13	[13018]		
209	2	战中剧情-跳过	13	[13019]		
210	2	战斗演出-跳过	13	[13020]		
211	2	战中暂停	13	[13021]		
212	2	特殊互动1	13	[13029]		
213	2	特殊互动2	13	[13030]		
214	1	战斗设置	16			
215	2	普攻	16	[16010]		
216	2	闪避	16	[16011]		
217	2	跳跃	16	[16012]		
218	2	必杀技	16	[16013]		
219	2	技能1	16	[16014]		
220	2	技能2	16	[16015]		
221	2	技能3	16	[16016]		
222	2	技能4	16	[16017]		
223	2	极限技	16	[16027]		
224	2	QTE	16	[16028, 16029]		True
225	2	通讯预设	16	[16030, 16031]		True
226	2	锁定	16	[16024]		
227	2	复活	16	[16032]		
10041	2	瞄准	11	[11037]		
10042	2	重炮射击开火	11	[11038]		
10000	4	按键互换	11	[48, 38]		
10001	1	基础操作	11			
10002	2	跳跃	11	[11558]		
10003	2	角色移动：前	11	[11002]		
10004	2	角色移动：后	11	[11003]		
10005	2	角色移动：左	11	[11004]		
10006	2	角色移动：右	11	[11005]		
10007	2	唤出鼠标/隐藏鼠标	11	[11011]	[3]	
10008	2	切换角色1	11	[11012]		
10009	2	切换角色2	11	[11013]		
10010	2	切换角色3	11	[11014]		
10011	2	冲刺	11	[11016]		
10012	2	切换行走/跑步	11	[11017]	[3]	
10013	2	交互选项	11	[11018]		
10014	1	镜头设置	11			
10015	3	第三人称视角灵敏度	11	[2]		
10016	3	第一人称视角灵敏度	11	[1]		
10017	2	镜头移动：上	11	[11006]		
10018	2	镜头移动：下	11	[11007]		
10019	2	镜头移动：左	11	[11008]		
10020	2	镜头移动：右	11	[11009]		
10021	1	剧情功能	11			
10022	2	跳过剧情	11	[11019]		
10023	2	剧情下一步	11	[11020]		
10024	2	剧情自动播放	11	[11021]	[1, 2]	
10025	2	隐藏UI	11	[11022]	[1, 2]	
10026	2	扫描系统	11	[11024]		
10027	1	主界面功能	11			
10028	2	退出空中花园	11	[11501]	[1, 2]	
10029	2	背包	11	[11502]		
10030	2	行动指南	11	[11503]		
10031	2	任务	11	[11504]		
10032	2	地图	11	[11505]		
10033	2	未读通讯	11	[11506]		
10034	2	编队	11	[11507]		
10035	2	追踪任务	11	[11508]		
10036	2	主菜单	11	[11509]		
10037	2	拍照	11	[11510]		
10038	2	通讯	11	[11511]		
10039	2	设置	11	[11513]		
10040	2	图文引导	11	[11512]		
