Id	Priority	EffectName	DetailDesc	TypeToPrefabPaths
735365		FxUiTacticsModeLine	协助	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim04.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
73406504		FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
73406505		FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim03.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips03.prefab']
735422		FxUiTacticsModeLine	跟随	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
100		FxUiTacticsModeLine	主目标点	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
101		FxUiTacticsModeLine	可调查点	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
995007101		FxUiTacticsModeLine	加速	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
995007102		FxUiTacticsModeLine	无限火力	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
995007103		FxUiTacticsModeLine	时间增加	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
30063110		FxUiTacticsModeLine	目标点	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim03.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips03.prefab']
1001		FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
1002		FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimAimSec.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
1003		FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim03.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips03.prefab']
