Id	Type	Title	Desc	Time	PrefabPath	SecondDesc	PositionX	PositionY	Args
7157281	8	距离1号至尊复活还有	{0}秒	1.1					
7157282	8	距离2号至尊复活还有	{0}秒	1.1					
7157511	8	距离下次剑气发射还有	{0}秒	1.1					
7157512	8	警告	进入剑气风暴阶段	-1.0					
7159531	8	当前出血条累计	{0}%	-1.0					
7159721	8	当前狂暴层数	{0}	-1.0					
7159841	1		城堡护卫开始召集追兵！\n<size=27>追兵还有30秒到达战场！</size>	2.0					
7159842	1		新的追兵加入了战场！	2.0					
7159843	1		护卫全部阵亡，停止追兵召集！\n<size=27>清理剩余追兵并离开城堡</size>	2.0					
7159844	1		护卫全部阵亡，停止追兵召集！\n<size=27>离开城堡</size>	2.0					
7159845	1		城堡兵力倾巢而出！	2.0					
7159846	1		清除所有区域的敌人！\n<size=27>敌人会随着清除的进展越来越强</size>	3.0					
7159861	8	<color=#0066CC>F</color>	<color=#0066CC>◆</color>	-1.0					
7159862	8	<color=#0066CC>F·I</color>	<color=#0066CC>◆</color>	-1.0					
7159863	8	<color=#0066CC>F·I·N</color>	<color=#0066CC>◆</color>	-1.0					
7159864	8	<color=#0066CC>F·I·N·A</color>	<color=#0066CC>◆</color>	-1.0					
7159865	8	<color=#0066CC>F·I·N·A·L</color>	<color=#0066CC>◆</color>	-1.0					
7159866	8	<color=#FF3300>F</color><color=#0066CC>·I·N·A·L</color>	<color=#0066CC>◆</color>	-1.0					
7159867	8	<color=#FF3300>F·I</color><color=#0066CC>·N·A·L</color>	<color=#0066CC>◆</color>	-1.0					
7159868	8	<color=#FF3300>F·I·N</color><color=#0066CC>·A·L</color>	<color=#0066CC>◆</color>	-1.0					
7159869	8	<color=#FF3300>F·I·N·A</color><color=#0066CC>·L</color>	<color=#0066CC>◆</color>	-1.0					
7159870	8	<color=#FF3300>F·I·N·A·L</color>	<color=#FF3300>◆</color>	-1.0					
7160421	8	已阻止敌人登船：	{0}	-1.0					
7160461	8	已消灭敌人：	{0}	-1.0					
7161121	8	<color=#0099FF>【3星插件】</color>	<color=#33FF00>GET！</color>	2.0					
7161122	8	<color=#CC33FF>【4星插件】</color>	<color=#33FF00>GET！</color>	2.0					
7161123	8	<color=#FF6600>【5星插件】</color>	<color=#33FF00>GET！</color>	2.0					
7161124	8	<color=#FF3333>【6星插件】</color>	<color=#33FF00>GET！</color>	2.0					
7161321	1		<color=#FF3300><size=40>气温持续降低，体温的流失加快了！</size>\n<size=27>移动速度和闪避值恢复-20%</size></color>	3.0					
7167601	8	寄生准备中	…	-1.0					
7167602	8	寄生进行中，剩余	{0}秒	-1.0					
7167603	8	<color=#FF3333>宿主死亡，寄生失败！</color>	…	3.0					
7167604	8	<color=#FF3333>寻找下个目标</color>	{0}秒	-1.0					
7167605	8	寄生成功！	…	3.0					
7168330	1		<color=#FF3300><size=40>剩余射击能量不足，请切换近战武器！</size></color>	1.0					
7168331	19	标题1	描述111			描述211			
7168332	19	标题3	描述113		Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelFightPaper.prefab	描述213			
7168333	19	标题3	描述113		Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelFightPaper.prefab	描述213			
71585051	16		计分板|总分：{0} / 准确率：{1}%|<color=#33CCFF>P：{0}</color><color=#FFFF00>G：{1}</color><color=#FF3300>M：{2}</color>|<size=30>{0} / {1}</size>|关闭统计						
71589000	16		|采集光球并击败敌人，当前得分：{0}|||						
71589001	1		采集分数：<color=#FF3300>{0}</color>	3.0					
71589002	1		采集分数：<color=#0099FF>{0}</color>	3.0					
71589003	1		采集分数：<color=#FFFF33>{0}</color>	3.0					
71589051	1		农夫鲍勃和他的丰收田出现在场地中！	3.0					
71589052	1		耕种完的鲍勃冲向了你！	3.0					
71589053	1		<size=50><color=#7FFF00>禁锢消失，采集光球</color></size>\n采集光球<color=#38bbff>同色</color>可获得<color=#38bbff>更高得分</color>	3.0					
71589054	1		时间到！光球恢复禁锢！你的采集得分为：{0}	3.0					
71589055	1		你采集了所有光球，并得到了{0}分！	3.0					
71590000	16		|让愤怒的球员变回清醒，当前还需：{0}|||						
71590051	1		愤怒的球员向你冲了过来！	3.0					
71590052	1		一名球员恢复了清醒！	3.0					
71592000	16		|转化{0}/{1}盏聚光灯并击败敌人|||						
71592051	1		<size=50>{0}</size>\n<size=30>保持在聚光灯下</size>	3.0					
71592052	1		开启失败！\n<size=30>请快速重回聚光灯下</size>	3.0					
71592053	1		转化<color=#FF3300>【猩红之灯】</color>\n<size=30>在聚光灯下作战可以增强伤害</size>	3.0					
71592054	1		转化<color=#0099FF>【光辉之灯】</color>\n<size=30>在聚光灯下作战可以增强抗性并霸体</size>	3.0					
71592055	1		转化<color=#FFFF33>【复苏之灯】</color>\n<size=30>在聚光灯下作战可以持续恢复</size>	3.0					
71592601	16		|采集光球，当前得分为：{0}|让愤怒的球员恢复清醒，当前剩余：{0}||						
71592602	16		|让愤怒的球员恢复清醒，当前剩余：{0}|转化{0}/{1}盏聚光灯||						
71592603	16		|采集光球，当前得分为：{0}|转化{0}/{1}盏聚光灯||						
71592611	16		占位|采集光球并清除敌人|还需完成项目：{0}|<color=#38bbff>BOSS进度:{0}%</color>|占位						
71592612	16		占位|恢复球员并清除敌人|还需完成项目：{0}|<color=#38bbff>BOSS进度:{0}%</color>|占位						
71592613	16		占位|转化聚光灯并清除敌人|还需完成项目：{0}|<color=#38bbff>BOSS进度:{0}%</color>|占位						
71592614	16		占位|采集光球并恢复球员|还需完成项目：{0}|<color=#38bbff>BOSS进度:{0}%</color>|占位						
71592615	16		占位|恢复球员并转化聚光灯|还需完成项目：{0}|<color=#38bbff>BOSS进度:{0}%</color>|占位						
71592616	16		占位|采集光球并转化聚光灯|还需完成项目：{0}|<color=#38bbff>BOSS进度:{0}%</color>|占位						
751143000	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被腿摔≤3次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751143001	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被腿摔≤3次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751143002	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被腿摔≤3次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751143003	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被腿摔≤3次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751145000	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被飞天俯冲击中≤4次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751145001	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被飞天俯冲击中≤4次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751145002	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被飞天俯冲击中≤4次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751145003	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被飞天俯冲击中≤4次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751147000	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技击中≤3次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751147001	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技击中≤3次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751147002	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技击中≤3次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751147003	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技击中≤3次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751149000	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤10次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤7次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751149001	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤10次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤7次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751149002	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤10次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤7次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751149003	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤10次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤7次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751145004	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被飞天俯冲击中≤4次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751145005	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被飞天俯冲击中≤4次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751145006	16		挑战任务|<color=#DCDCDC><size=33>被拼刀招式打中≤8次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被飞天俯冲击中≤4次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751145007	16		挑战失败|<color=#DCDCDC><size=33>被拼刀招式打中≤8次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被飞天俯冲击中≤4次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751147004	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被投技击中≤3次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751147005	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被投技击中≤3次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751147006	16		挑战任务|<color=#DCDCDC><size=33>被拼刀招式打中≤6次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被投技击中≤3次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751147007	16		挑战失败|<color=#DCDCDC><size=33>被拼刀招式打中≤6次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被投技击中≤3次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751149004	16		挑战任务|<color=#DCDCDC><size=33>被拼刀招式打中≤10次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤7次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751149005	16		挑战失败|<color=#DCDCDC><size=33>被拼刀招式打中≤10次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤7次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751143004	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被腿摔≤3次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751143005	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤6次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被腿摔≤3次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751143006	16		挑战任务|<color=#DCDCDC><size=33>被拼刀招式打中≤6次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被腿摔≤3次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751143007	16		挑战失败|<color=#DCDCDC><size=33>被拼刀招式打中≤6次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被腿摔≤3次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751160000	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤5次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751160001	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤5次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751160002	16		挑战任务|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤5次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751160003	16		挑战失败|<color=#FFFFFF><size=33>被拼刀招式打中≤8次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤5次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751160004	16		挑战任务|<color=#DCDCDC><size=33>被拼刀招式打中≤8次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤5次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751160005	16		挑战失败|<color=#DCDCDC><size=33>被拼刀招式打中≤8次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被拼刀招式打中≤5次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751161000	16		挑战任务|<color=#FFFFFF><size=33>不被毒气炸弹击中（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技命中≤1次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751161001	16		挑战任务|<color=#FFFFFF><size=33>不被毒气炸弹击中（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技命中≤1次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751161002	16		挑战任务|<color=#FFFFFF><size=33>不被毒气炸弹击中（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技命中≤1次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751161003	16		挑战失败|<color=#FFFFFF><size=33>不被毒气炸弹击中（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被投技命中≤1次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751161004	16		挑战任务|<color=#FFFFFF><size=33>不被毒气炸弹击中（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被投技命中≤1次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751161005	16		挑战失败|<color=#FFFFFF><size=33>不被毒气炸弹击中（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#DCDCDC><size=33>被投技命中≤1次（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|\n						
751161006	16		挑战任务|<color=#DCDCDC><size=33>不被毒气炸弹击中（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被投技命中≤1次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751161007	16		挑战失败|<color=#DCDCDC><size=33>不被毒气炸弹击中（</size></color><color=#DCDCDC>已完成</color><color=#DCDCDC><size=33>）</size></color>|<color=#FFFFFF><size=33>被投技命中≤1次（当前</size></color><color=#FF0000>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
751162000	16		挑战任务|<color=#FFFFFF><size=33>在领域中不被斩杀（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|<color=#FFFFFF><size=33>被拼刀招式命中≤10次（当前</size></color><color=#11E959>{0}</color><color=#FFFFFF><size=33>次）</size></color>|\n						
