Key	Describe	UiTemplate	UiCotainer	RollCharRandomRangeHorizontal	RollCharRandomRangeVertical	RollCharMinDir	RollCharMaxDir	RollCharSpeed	RollCharLifeTime	RollCharBeginOpacity	RollCharEndOpacity	RollCharChangeOpacityTime	RollCharStayDuration	RollCharStayTime	RollCharOffsetX	RollCharOffsetY	GeneralTemplate	IconUrl	IconColor	IconColorAlpha	TextColor	TextScale
Freeze	冰结	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
Radiate	辐射	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FFAA4E	0.8999
LightNoise	光噪	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgLightNoiseTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
SubMagic5	预留子元素5	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
SubMagic6	预留子元素6	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
SwordCrit	斩击 暴击	Assets/Product/Ui/UiFightPrefab/CritTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFAA4E	1.0	FFAA4E	0.8999
SwordMyself	斩击 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True		FFFFFF	0.5	FF4A64	0.8999
BurnDamageMyself	燃烧 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FF4A64	0.8999
ThunderShielMyself	雷盾 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FF4A64	0.8999
FreezeMyself	冰结 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FF4A64	0.8999
RadiateDamageMyself	辐射 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FF4A64	0.8999
SubMagic5Myself	预留子元素5 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FF4A64	0.8999
SubMagic6Myself	预留子元素6 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FF4A64	0.8999
LightNoiseyself	光噪自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/ImgLightNoiseTemplate.png	FFFFFF	0.5	FF4A64	0.8999
CritSwordMyself	斩击暴击 自伤	Assets/Product/Ui/UiFightPrefab/CritTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.5	FF4A64	0.8999
