RoleId	Name	SpinePath	RoleAnims	RoleAnims2	KouIdleAnims	KouTalkAnims	TransitionAnims
1021013	比安卡深痕涂装战损	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Bianka03/Bianka03ZS.prefab	['idle', 'weixiao', 'sikao', 'renzhen', 'idlehua', 'zhandou', 'renzhenZD']	['idle2zhayan', 'weixiao2zhayan', 'sikao2zhayan', 'renzhen2zhayan', 'idlehua2zhayan', 'zhandou2zhayan', 'renzhenZD2zhayan']	['idle', 'weixiao', 'sikao', 'renzhen', 'idlehua', 'zhandou', 'renzhenZD']	['idlekou', 'weixiaokou', 'sikaokou', 'renzhenkou', 'idlehuakou', 'zhandoukou', 'renzhenZDkou']	['idle_zhandou', 'zhandou_idle']
1021014	祭司	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieJisi/UimovieJisi.prefab	['idle', 'chounan', 'jinge']	['idlezhayan', 'chounanzhayan', 'jingezhayan']	['idle', 'chounan', 'jinge']	['idle', 'chounan', 'jinge']	
1021015	拉弥亚S机体	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/Uimovielamiya/Uimovielamiya.prefab	['idle', 'beishang', 'biyan']	['idlezhayan', 'beishangzhayan', 'biyan']	['idle', 'beishang', 'biyan']	['idle', 'beishang', 'biyan']	
1021016	士兵	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieShibing/UimovieShibing.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021017	拾荒者老头	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieOldman/UimovieOldman.prefab	['idle']		['idle']	['idle']	
1021018	拾荒者小女孩	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieNMgirl/UimovieNMgirl.prefab	['idle']		['idle']	['idle']	
1021019	幼年拉弥亚	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieLamiyahaiti/UimovieLamiyahaiti.prefab	['idle', 'kongdong', 'haipa']	['idlezhayan', 'kongdongzhayan', 'haipazhayan']	['idle', 'kongdong', 'haipa']	['idle', 'kongdongzhayan', 'haipazhayan']	
1021020	拉弥亚涂装	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieLamiyaSkin/Putong/LamiyaSkinPutong.prefab	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idlezhayan', 'gaoxingzhayan', 'renzhenzhayan', 'sikaozhayan', 'weixiaozhayan']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	
1021021	拉弥亚涂装武器状态	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieLamiyaSkin/Wuqi/LamiyaSkinWuqi.prefab	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idlezhayan', 'gaoxingzhayan', 'renzhenzhayan', 'sikaozhayan', 'weixiaozhayan']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	
1021022	拉弥亚涂装武器战损状态	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieLamiyaSkin/WuqiZhanSun/LamiyaSkinWuqiZhansun.prefab	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idlezhayan', 'gaoxingzhayan', 'renzhenzhayan', 'sikaozhayan', 'weixiaozhayan']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	
1021023	拉弥亚涂装护腰状态	Assets/Product/Ui/Spine/2-11Spine/UimovieSpine/UimovieLamiyaSkin/HuyaoZhanSun/LamiyaSkinHuyaoZhansun.prefab	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idlezhayan', 'gaoxingzhayan', 'renzhenzhayan', 'sikaozhayan', 'weixiaozhayan']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	['idle', 'gaoxing', 'renzhen', 'sikao', 'weixiao']	
1021024	住持	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/Uimoviezhuchi/UimovieZhuchi.prefab	['idle', 'yuzhongxinchang', 'biyan']	['idlezhayan', 'yuzhongxinchangzhayan', 'biyan']	['idle', 'yuzhongxinchang', 'biyan']	['idle', 'yuzhongxinchang', 'biyan']	
1021025	黑帮小弟	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UimovieHBxiaodi/UiMovieHBxiaodi.prefab	['idle', 'tiaoxing', 'jinge']	['idlezhayan', 'tiaoxingzhayan', 'jingezhayan']	['idle', 'tiaoxing', 'jinge']	['idle', 'tiaoxing', 'jinge']	
1021026	平民01	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMoviePMnpc01/UiMoviePMnpc01.prefab	['idle']		['idle']	['idle']	
1021027	平民02	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMoviePMnpc02/UiMoviePMnpc02.prefab	['idle']		['idle']	['idle']	
1021028	阿尔法赤樗椿	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieAlphaSkin01/UiMovieAlphaSkin01.prefab	['idle', 'sikao', 'weixiao']	['idlezhayan', 'sikaozhayan', 'weixiaozhayan']	['idle', 'sikao', 'weixiao']	['idle', 'sikao', 'weixiao']	
1021029	阿尔法赤樗椿（战斗）	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieAlphaSkin02/UiMovieAlphaSkin02.prefab	['idle', 'sikao', 'jingti']	['idlezhayan', 'sikaozhayan', 'jingtizhayan']	['idle', 'sikao', 'jingti']	['idle', 'sikao', 'jingti']	
1021030	通用构造体	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/GZTman/GZTman.prefab	['idle']		['idle']	['idle']	
1021031	阿尔法	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieAlpha01/UiMovieAlpha01.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021032	露西亚	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieLuxiya01/UiMovieLuxiya01.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021033	露西亚战损	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieLuxiya01Zs/UiMovieLuxiya01Zs.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021034	黑帮老大	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieHbBoss/UiMovieHbBoss.prefab	['idle', 'xiao']	['idlezhayan', 'xiaozhayan']	['idle', 'xiao']	['idle', 'xiao']	
1021035	露西亚光耀颂赞（无勋章）	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieLuxiya02idle/UiMovieLuxiya02Idle2.prefab	['idle', 'biyan', 'rhwx', 'kuxiao', 'chensi', 'chensiweixiao', 'weixiao', 'jingya', 'biyanweixiao']	['idlezhayan', 'biyan', 'rhwxzhayan', 'kuxiaozhayan', 'chensizhayan', 'chensiweixiaozhayan', 'weixiaozhayan', 'jingyazhayan', 'biyanweixiao']	['idle', 'biyan', 'rhwx', 'kuxiao', 'chensi', 'chensiweixiao', 'weixiao', 'jingya', 'biyanweixiao']	['idle', 'biyan', 'rhwx', 'kuxiao', 'chensi', 'chensiweixiao', 'weixiao', 'jingya', 'biyanweixiao']	
1021036	露西亚光耀颂赞（有勋章）	Assets/Product/Ui/Spine/2-15Spine/UiMovieSpine/UiMovieLuxiya02idle/UiMovieLuxiya02Idle1.prefab	['idle', 'biyan', 'rhwx', 'kuxiao', 'chensi', 'chensiweixiao', 'weixiao', 'jingya', 'biyanweixiao']	['idlezhayan', 'biyan', 'rhwxzhayan', 'kuxiaozhayan', 'chensizhayan', 'chensiweixiaozhayan', 'weixiaozhayan', 'jingyazhayan', 'biyanweixiao']	['idle', 'biyan', 'rhwx', 'kuxiao', 'chensi', 'chensiweixiao', 'weixiao', 'jingya', 'biyanweixiao']	['idle', 'biyan', 'rhwx', 'kuxiao', 'chensi', 'chensiweixiao', 'weixiao', 'jingya', 'biyanweixiao']	
1021037	奥莉薇雅	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMoiveAoliweiyaV32/UiMoiveAoliweiyaV32.prefab	['idle', 'shengqi', 'weixiao']	['idlezhayan', 'shengqizhayan', 'weixiaozhayan']	['idle', 'shengqi', 'weixiao']	['idle', 'shengqizhayan', 'weixiaozhayan']	
1021038	贵妇人	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMovieGuifurenV32/UiMovieGuifurenV32.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021039	露西亚花嫁	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMoiveLuxiyaHJV32/UiMoiveLuxiyaHJV32.prefab	['idle', 'biyanxiao', 'weixiao', 'chensi', 'zhoumei', 'jingya', 'fennu', 'biyan2']	['idlezhayan', 'biyan', 'weixiaozhayan', 'chensizhayan', 'zhoumeizhayan', 'jingyazhanyan', 'fennuzhanyan', 'biyan2']	['idle', 'biyanxiao', 'weixiao', 'chensi', 'zhoumei', 'jingya', 'fennu', 'biyan2']	['idle', 'biyan', 'weixiaozhayan', 'chensizhayan', 'zhoumeizhayan', 'jingyazhanyan', 'fennuzhanyan', 'biyan2']	
1021040	小露娜	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMovieXiaolunaV32/UiMovieXiaolunaV32.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021041	小露西亚	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMovieXiaoluxiyaV32/UiMovieXiaoluxiyaV32.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021042	西装男	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMovieXizhuangnanV32/UiMovieXizhuangnanV32.prefab	['idle']		['idle']	['idle']	
1021043	幼师	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMovieYoushiV32/UiMovieYoushiV32.prefab	['idle']		['idle']	['idle']	
1021044	露西亚誓焰	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMovieLuxiyaV32/UiMovieLuxiyaV32.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021045	弗兰克	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMoiveHeibangLDV32/UiMoiveHeibangLDV32.prefab	['idle']		['idle']	['idle']	
1021046	家族成员	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMoiveHeibangXDV32/UiMoiveHeibangXDV32.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021047	家族成员（朝右）	Assets/Product/Ui/Spine/3-2Spine/UiMoveSpine/UiMoiveHeibangXDV32/UiMoiveHeibangXDV32B.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021048	神社社长（面具）	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieShensheSZV36/UiMovieShensheSZV36A.prefab	['idle']		['idle']	['idle']	
1021049	神社社长	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieShensheSZV36/UiMovieShensheSZV36B.prefab	['idle', 'buyue']	['idlezhayan', 'buyuezhayan']	['idle', 'buyue']	['idle', 'buyue']	
1021050	赛琳娜婚纱	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieSailinnaHSV36/UiMovieSailinnaHSV36.prefab	['idle', 'biyan', 'buyue', 'chushen', 'equwei', 'gaoxing', 'haixiuweixiao', 'haixiu', 'hanxukaixin', 'nanguo', 'renzheng', 'weixiao', 'wumian']	['idlezhayan', 'biyan', 'buyuezhayan', 'chushenzhayan', 'equweizhayan', 'gaoxingzhayan', 'haixiuweixiaozhayan', 'haixiuzhayan', 'hanxukaixin', 'nanguozhayan', 'renzhengzhayan', 'weixiaozhayan', 'wumian']	['idle', 'biyan', 'buyue', 'chushen', 'equwei', 'gaoxing', 'haixiuweixiao', 'haixiu', 'hanxukaixin', 'nanguo', 'renzheng', 'weixiao', 'wumian']	['idle', 'biyan', 'buyue', 'chushen', 'equwei', 'gaoxing', 'haixiuweixiao', 'haixiu', 'hanxukaixin', 'nanguo', 'renzheng', 'weixiao', 'wumian']	
1021051	白狐狸	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieBaihuV36/UiMovieBaihuV36.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021052	黑狐狸	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieHeihuV36/UiMovieHeihuV36.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021053	巫女（面具）	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieWunvFz_V36/UiMovieWunvFz_V36.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021054	巫女	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieWunvFz_V36/UiMovieWunvFz2_V36.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021055	巫女（面具吊铃铛）	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieWunvJd_V36/UiMovieWunvJd_V36.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021056	巫女（吊铃铛）	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieWunvJd_V36/UiMovieWunvJd2_V36.prefab	['idle']	['idlezhayan']	['idle']	['idle']	
1021057	赛琳娜希声	Assets/Product/Ui/Spine/3-6Spine/UiMovie/UiMovieSailinnaV36/UiMovieSailinnaV36.prefab	['idle', 'haixiu', 'buyue', 'hanxukaixin', 'jingya', 'weixiao']	['idlezhayan', 'haixiuzhayan', 'buyuezhayan', 'hanxukaixin', 'jingyazhayan', 'weixiaozhayan']	['idle', 'haixiu', 'buyue', 'hanxukaixin', 'jingya', 'weixiao']	['idle', 'haixiu', 'buyue', 'hanxukaixin', 'jingya', 'weixiao']	
1021058	比安卡·晖暮	Assets/Product/Ui/Spine/4_2Spine/V42UiMovie/V42UiMovie_C_BiAnKa/V42UiMovie_C_BiAnKa.prefab	['idle', 'idle3', 'biyansikao', 'biyanxiao', 'fengnu', 'haixiu', 'jinya', 'nanguo', 'putongweixiao', 'zichao']	['idlezhayan', 'idle3zhayan', 'biyansikao', 'biyanxiao', 'fengnuzhayan', 'haixiuzhanyan', 'jinyazhanyan', 'nanguozhanyan', 'putongweixiaozhanyan', 'zichaozhanyan']	['idle', 'idle3', 'biyansikao', 'biyanxiao', 'fengnu', 'haixiu', 'jinya', 'nanguo', 'putongweixiao', 'zichao']	['idle', 'idle3', 'biyansikao', 'biyanxiao', 'fengnu', 'haixiu', 'jinya', 'nanguo', 'putongweixiao', 'zichao']	
1021059	比安卡歌剧皮	Assets/Product/Ui/Spine/4_2Spine/V42UiMovie/V42UiMovie_BiAnKaMY1/V42UiMovie_BiAnKaMY1.prefab	['idle', 'idle3', 'biyansisuo', 'biyanxiao', 'moren', 'dajingya', 'haixiu', 'heihuaweixiao', 'shengqi', 'xiaojingya', 'zichao']	['idlezhayan', 'idle3zhayan', 'biyansisuo', 'biyanxiao', 'morenzhayan', 'dajingyazhayan', 'haixiuzhayan', 'heihuaweixiaozhayan', 'shengqizhayan', 'xiaojingyazhayan', 'zichaozhayan']	['idle', 'idle3', 'biyansisuo', 'biyanxiao', 'moren', 'dajingya', 'haixiu', 'heihuaweixiao', 'shengqi', 'xiaojingya', 'zichao']	['idle', 'idle3', 'biyansisuo', 'biyanxiao', 'moren', 'dajingya', 'haixiu', 'heihuaweixiao', 'shengqi', 'xiaojingya', 'zichao']	
1021060	比安卡歌剧皮（有面具）	Assets/Product/Ui/Spine/4_2Spine/V42UiMovie/V42UiMovie_BiAnKaMY1/V42UiMovie_BiAnKaMY2.prefab	['idle', 'idle3', 'biyansisuo', 'biyanxiao', 'moren', 'dajingya', 'haixiu', 'heihuaweixiao', 'shengqi', 'xiaojingya', 'zichao']	['idlezhayan', 'idle3zhayan', 'biyansisuo', 'biyanxiao', 'morenzhayan', 'dajingyazhayan', 'haixiuzhayan', 'heihuaweixiaozhayan', 'shengqizhayan', 'xiaojingyazhayan', 'zichaozhayan']	['idle', 'idle3', 'biyansisuo', 'biyanxiao', 'moren', 'dajingya', 'haixiu', 'heihuaweixiao', 'shengqi', 'xiaojingya', 'zichao']	['idle', 'idle3', 'biyansisuo', 'biyanxiao', 'moren', 'dajingya', 'haixiu', 'heihuaweixiao', 'shengqi', 'xiaojingya', 'zichao']	
1021061	艾莉安（歌剧演员）	Assets/Product/Ui/Spine/4_2Spine/V42UiMovie/V42UiMovie_GeJuYanYuan/V42UiMovie_GeJuYanYuan.prefab	['idle', 'weixiao']	['idlezhayan', 'weixiaozhayan']	['idle', 'weixiao']	['idle', 'weixiao']	
1021062	记者	Assets/Product/Ui/Spine/4_2Spine/V42UiMovie/V42UiMovie_JiZhe/V42UiMovie_JiZhe.prefab	['idle', 'idleyanjing', 'jingya', 'jingyayanjing', 'weixiao', 'weixiaoyanjing']	['idlezhayan', 'idleyanjingzhayan', 'jingyazhayan', 'jingyayanjingzhayan', 'weixiaozhayan', 'weixiaoyanjingzhayan']	['idle', 'idleyanjing', 'jingya', 'jingyayanjing', 'weixiao', 'weixiaoyanjing']	['idle', 'idleyanjing', 'jingya', 'jingyayanjing', 'weixiao', 'weixiaoyanjing']	
1021063	维尔德（剧作家）	Assets/Product/Ui/Spine/4_2Spine/V42UiMovie/V42UiMovie_JuZuoJia/V42UiMovie_JuZuoJia.prefab	['idle', 'jingya', 'weixiao']	['idlezhayan', 'jingya', 'weixiao']	['idle', 'jingya', 'weixiao']	['idle', 'jingya', 'weixiao']	
