Id	Type	Name	Description	WorldDesc	BigIcon	Icon	Quality	Priority
24000011	1	饭盒	卡穆的启动日来信附件	空中花园统一发放的饭盒，经过卡穆的二次创作，独特而具有标志性。隔热合金材质起到优秀的保温作用，饭盒第一层挤着几个奶酪烧饼，第二层装满了卡穆最喜欢吃的金黄鸡蛋地狱饭，看上去确实像是卡穆为自己打包的晚饭。 但如果真的是卡穆准备自己吃的，为什么没有加他每次都要的双倍变态辣呢？	Assets/Product/Texture/Image/IconTools/ItCharBirthday11.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday11Sp.png	5	99990
24000012	1	月海长石	露娜的启动日来信附件	掌心大小的一块未经打磨的石头，根据露娜的信件，这颗石头来自月球表面。由于夹杂在返回空中花园的包裹之中，送达时经过了重重检测，没有发现任何帕弥什存在的迹象。 据说，有些长石能够显示出仿佛月亮的光辉，那样的石头在过去被称之为月光石。而这块石头只是隐约地透着些许光芒，却比清冷的月光更加温润。 从月亮到月亮，这是她自我的证明。	Assets/Product/Texture/Image/IconTools/ItCharBirthday12.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday12Sp.png	5	99989
24000013	1	《乔万尼先生》歌剧票	薇拉的启动日来信附件	艺术协会发售的歌剧票，标注着场次和剧目。 虽然经过艺术协会的重新排演，但《乔万尼先生》的上座率还是很低，更何况是傍晚五点半的场次，观众更是寥寥无几。 但无论如何，直到帷幕落下，薇拉都会在那个预定好了的无人的角落安静地等待。	Assets/Product/Texture/Image/IconTools/ItCharBirthday13.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday13Sp.png	5	99988
24000014	1	照相机	比安卡的启动日来信附件	比安卡在商店街买到的古董相机。 虽然现在的技术已经能够用微型相机记录更加清晰的图像，但从相机取景框看出去的时候，仍然能够发现一个完全不同的世界。	Assets/Product/Texture/Image/IconTools/ItCharBirthday14.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday14Sp.png	5	99987
24000015	1	不惧忘却的容器	邦比娜塔的启动日来信附件	容量不算大的收纳箱，上面的装饰物是邦比娜塔参照凡妮莎为她定制的收纳箱来进行手工制作的。里面还有一本崭新的记事本，同样可以用来书写值得纪念的心情。 邦比娜塔曾经有一次提到过她的“宝物箱”，里面珍藏着在不同时间段中对她而言重要的东西。即使邦比娜塔再次看见它们时已经忘记了由来，但只要是出现在那个收纳箱里的东西，邦比娜塔就绝不会怀疑它们的重要性。 无论载体如何，记忆的确具有或长或短的时效性。邦比娜塔将她对抗忘却的容器赠与你，希望你能尽可能地留住更多重要的回忆。	Assets/Product/Texture/Image/IconTools/ItCharBirthday15.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday15Sp.png	5	99986
24000016	1	《杰作》	艾拉的启动日来信附件	空中花园极富盛名的新锐艺术家艾拉的展览上，展出的最后一幅画作。 ——一个漂亮精致的画框，但里面却只有一张空白的画布，随信寄来的还有一束芍药花，这幅作品需要你们二人共同完成。 她早已想好了这副画的内容——她的灵感缪斯。 这将是她心中的最高杰作。	Assets/Product/Texture/Image/IconTools/ItCharBirthday16.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday16Sp.png	5	99985
24000017	1	海钓丰收	罗塞塔的启动日来信附件	伴随着海浪与星夜的低语，与罗塞塔两人一起出海垂钓。 当破晓的阳光洒满船舷，船内也堆满了大海的馈赠。 她究竟是什么时候拥有了这样娴熟的钓鱼技巧呢？ 在岸边挥手欢迎她归来的居民，无声地诉说着答案。	Assets/Product/Texture/Image/IconTools/ItCharBirthday19.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday19Sp.png	5	99984
24000018	1	“愚者”	七实的来信附件	由AI绘制的塔罗牌，结合了七实与“愚者”的形象。 为了让脚下的道路必定通向完整的“世界”，少女即将踏上漫长的旅途。	Assets/Product/Texture/Image/IconTools/ItCharBirthday20.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday20Sp.png	5	99983
24000019	1	《教会访谈》	哈卡玛的来信附件	可以播放一首名为《教会访谈》的歌曲MV。 由哈卡玛的声音合成，在说唱、摇滚、民歌、流行乐等不同的曲风中介绍了机械教会，观看后令人半小时回不过神来。	Assets/Product/Texture/Image/IconTools/ItCharBirthday21.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday21Sp.png	5	99982
24000020	1	《万壑松风》	曲的启动日来信附件	随曲的回信一同寄来的九龙古画，根据卷头的落款判断，这幅画距今已有千年。 苔露洗晴，画藏论身，清泉石上，万壑松风。任是谁见了此中景象，想必都要流连忘返。 那是仅存于九龙历史上的岁月，也是曲永远无法企及的清平。	Assets/Product/Texture/Image/IconTools/ItCharBirthday17.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday17Sp.png	5	99981
24000021	1	喧嚣派对刻录·初回版	21号的启动日来信附件	光是封面就能让人再次感受到夏日盛情的CD，偃息在记忆中的鼓点与音浪也会在看见它的时候被同步唤起。据说初回版CD是喧嚣派对活动专为参与者制作的，除此之外开放销售的数量非常稀少。手上这一盘明显被播放过很多次，看来是21号多次回味过的美好回忆。等等……包装盒背面一角有一排不起眼的擦痕，应该不会是牙印……吧？	Assets/Product/Texture/Image/IconTools/ItCharBirthday18.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday18Sp.png	5	99980
24000022	2	指挥官专用航天头盔	卡列尼娜的启动日来信附件	卡列尼娜为指挥官在太空漫步时的穿戴而专门定制的航天头盔。内置深度个性化的AI系统，会以卡列尼娜的声音“温柔”地提醒指挥官注意外太空行走安全守则。	Assets/Product/Texture/Image/IconTools/ItCharBirthday22.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday22Sp.png	5	99979
24000023	2	常记早餐	常羽的启动日来信附件	常羽亲手制作的九龙早点，虽然笼屉里的食物形状各异，但味道相当不错。 在常羽的记忆里，这样热气腾腾的早点意味着美好一天的开始。而在这基础上，能够坐在一起像家人那样品尝这些食物，也是他内心的愿望。	Assets/Product/Texture/Image/IconTools/ItCharBirthday23.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday23Sp.png	5	99978
24000024	2	“绿洲”	渡边的启动日来信附件	这是风沙之间的那抹倔强而富于生机的绿色，甚至还带着清晨的露水。 或许在空中花园上，这样的青绿色并不少见，但对渡边而言，这是弥足珍贵的未来的希望。其中蕴含的甘甜，只有经历了相当的困苦才能品味得到。	Assets/Product/Texture/Image/IconTools/ItCharBirthday24.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday24Sp.png	5	99977
24000025	2	惊喜套盒	七实的愚人节来信附件	鼓鼓囊囊的盒子，写着“里面绝对没有【黑咔】”的字样。	Assets/Product/Texture/Image/IconTools/ItFool202301.png	Assets/Product/Texture/Image/IconToolsSp/ItFool202301Sp.png	5	99976
24000026	2	真“心”的礼物	七实的愚人节纪念礼物	可以放在掌心的雕塑，底座上写着“指挥官还真是执着呢，那么就把真正的礼物给你吧。”	Assets/Product/Texture/Image/IconTools/ItFool202302.png	Assets/Product/Texture/Image/IconToolsSp/ItFool202302Sp.png	5	99975
24000027	2	S“自”选招募	灰鸦的愚人节来信附件	一份特定的招募指令，可为小队补充神秘的第五人。	Assets/Product/Texture/Image/IconTools/ItFool202303.png	Assets/Product/Texture/Image/IconToolsSp/ItFool202303Sp.png	5	99974
24000028	2	外置听觉装置	21号的愚人节来信附件	由21号参照自身制作的外置听觉装置，不过成品和参考有些“微乎其微”的差误。	Assets/Product/Texture/Image/IconTools/ItFool202304.png	Assets/Product/Texture/Image/IconToolsSp/ItFool202304Sp.png	5	99973
24000029	2	照骗	罗兰的愚人节来信附件	“绝对真实”、“毫无后期痕迹”的合照。	Assets/Product/Texture/Image/IconTools/ItFool202305.png	Assets/Product/Texture/Image/IconToolsSp/ItFool202305Sp.png	5	99972
24000030	2	一臂之力	诺克提的愚人节来信附件	鲜红的机械手臂，大小尺寸恰到好处。	Assets/Product/Texture/Image/IconTools/ItFool202306.png	Assets/Product/Texture/Image/IconToolsSp/ItFool202306Sp.png	5	99971
24000031	2	无趣的套娃	罗兰的启动日来信附件	以某人为原型制作的套娃，最里面的形象是一个从未见过的少年，总感觉有些眼熟，但应该是错觉。 那句话怎么说来着？“人生就像套娃”，真实包裹虚假，虚假掩盖真实，剥开一切后剩下的唯有空洞和苦涩，对送出它的人来说，自己的一生，就是这样能被你轻飘飘地捧在手心的东西。	Assets/Product/Texture/Image/IconTools/ItCharBirthday25.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday25Sp.png	5	99970
24000032	2	捕梦网风铃	万事的启动日来信附件	手工制作的捕梦网，轻盈美丽，点缀着能够发出空灵声响的风铃，悬挂时面朝窗外的一部分有些微微褪色，看得出来一直在被珍惜使用着。原本是万事的私人物品，但是所有人上写了灰鸦指挥官的名字。 有重要的人在身边，他已经不需要捕梦网带来好梦。	Assets/Product/Texture/Image/IconTools/ItCharBirthday26.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday26Sp.png	5	99969
24000033	2	平凡的杂烩	露西亚的启动日来信附件	露西亚亲手所做的菜肴，虽然因为过往的经历令露西亚对调味过分谨慎以至于味道很淡，但已经是能够平安下咽的家常菜了，这是她逐渐开始感受“生活”的证明。生命中不再只有残酷的战斗，也不会再因流亡而缺少物资，她已经学会了和重要的同伴一起去感受那些细腻温暖的生活滋味。	Assets/Product/Texture/Image/IconTools/ItCharBirthday27.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday27Sp.png	5	99968
24000034	2	古老的护身符	α的启动日来信附件	阿尔法旅行途中在某个古刹拾到的护身符，其它物品都在岁月中风化腐朽，唯有它完整地躺在寂静的枯叶中。 流浪的旅人并不需要这种东西来祈求平安，但是她看到这个护身符的时候，首先想到的是某个同样坚韧不屈的人类。 不管最终是殊途同归还是兵戎相向，她都希望你能平安抵达终点，站到她的面前。	Assets/Product/Texture/Image/IconTools/ItCharBirthday28.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday28Sp.png	5	99967
24000035	2	“L-33”	里的启动日来信附件	最新一代指挥官生活辅助机械“L-33”，本次更新添加了里亲自录制的语音数据。在灰鸦接连不断的战斗任务间隙，小机器人也在悄悄经历着持续的技术迭代，对它来说，每次更新或许也能被称作“成长”的证明。 大部分时候和其制作者一样严肃可靠，但偶尔会出现一些无伤大雅的小故障，譬如有时会绕在你的身边，仰头默默凝视。 既然如此，为什么不直接去找制作者本人解决呢？ 它似乎是在这样说着。	Assets/Product/Texture/Image/IconTools/ItCharBirthday29.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday29Sp.png	5	99966
24000036	2	钗股其一	含英的启动日来信附件	一支似乎被拆分了的九龙首饰，附带的字条上写着两行隽丽秀气的蝇头小楷：宝钗分，桃叶渡，烟柳暗南浦。怕上层楼，十日九风雨。断肠片片飞红，都无人管，更谁劝、啼莺声住？	Assets/Product/Texture/Image/IconTools/ItCharBirthday30.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday30Sp.png	5	99965
24000037	2	手作蛋糕	库洛姆的启动日来信附件	摆放在精致碟子中的一块小蛋糕，看起来像是某种珍贵的艺术品，但散发着的特殊奶油和水果香气又昭示着它的可食用性。	Assets/Product/Texture/Image/IconTools/ItCharBirthday31.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday31Sp.png	5	99964
24000038	2	厌倦时光的向日葵	诺安的启动日来信附件	手工制作的向日葵，承载着两人经历的年与岁。画框中的向日葵挣脱了束缚，向着只允许他等候的时光高昂起头。 惟愿……有些等待，可以不再止步于等待。	Assets/Product/Texture/Image/IconTools/ItCharBirthday32.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday32Sp.png	5	99963
24000039	2	指挥官的体检报告	丽芙的启动日来信附件	生命之星提供的指挥官体检报告，在报告背面的空白上，由丽芙亲笔写着医嘱、注意事项、平时习惯如何调节、该摄入何种饮食…… 实际上这样的体检报告每个月都会下发到指挥官手里，而每一份报告上都会写着丽芙额外的嘱咐，只是这个月的报告恰好在今天下发。这样的报告并不稀奇，但对于丽芙而言，每一份都是特殊的——数年如一日，无论病痛，无论距离。	Assets/Product/Texture/Image/IconTools/ItCharBirthday33.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday33Sp.png	5	99962
24000040	2	绝世武功秘籍	蒲牢的启动日来信附件	记载着绝世武功的秘籍，据说修炼了就能到达武学顶峰。 打开秘籍，第一页明晃晃地写着“欲练此功，必须先达到握力200kg。” ……武学根本没有捷径可走吧。	Assets/Product/Texture/Image/IconTools/ItCharBirthday34.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday34Sp.png	5	99961
24000041	2	G小调第1号叙事曲，作品23	赛琳娜的启动日来信附件	这不是她的作品，只是情感经由她手，缓缓流向那个记忆中的地方—— “这是你所有作品里我最喜欢的一部。” “很高兴你能这样说，而这也是我最喜欢的作品。”	Assets/Product/Texture/Image/IconTools/ItCharBirthday35.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday35Sp.png	5	99960
24000042	2	“螺丝、齿轮与宝石”	苏菲亚的启动日来信附件	由螺丝、齿轮与铁片等废弃零件拼合而成的金属匣子，其中央放置着一颗纯净的橙色宝石。废弃零件源自奥赛兰姆，宝石源自贾米拉，从商人角度看，斑驳的匣子与珍贵的宝石很不匹配，但对苏菲亚而言，匣子承载着她在检修部队的记忆，宝石对应着她成为构造体后做出的选择，两者都蕴含着重要的意义，是同等的珍贵之物。 她不知道这能否成为无价的回赠，但她确实愿意将所拥有的一切，携带心中那难以言喻的感情，全部交付与你。	Assets/Product/Texture/Image/IconTools/ItCharBirthday36.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday36Sp.png	5	99959
24000043	2	太阳披风	神威的启动日来信附件	作为一名勇者，除了大剑，自然还要有帅气的披风。 神威根据黄金时代RPG游戏中勇者的形象，自制了这样一款披风，尽管中间过程并不是很顺利，但最终完满完成，披风上的太阳是神威查阅很多资料后制作的，象征着光与热、为人带来温暖、指引方向，同时也蕴含着他对所赠之人，满满的心意与热情。	Assets/Product/Texture/Image/IconTools/ItCharBirthday37.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday37Sp.png	5	99958
24000044	2	零食小推车	卡穆的启动日来信附件	堆满了零食的小推车，很适合放在办公桌边，伏案工作饥饿的时候，可以随手把它和赠礼者拖到身旁。	Assets/Product/Texture/Image/IconTools/ItCharBirthday38.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday38Sp.png	5	99957
24000045	2	莹白海贝	露娜的启动日来信附件	脱胎于浩瀚碧海的一颗海螺，纯白的贝壳上镌刻着金色的斑点，如同从不断流转的光线中勾勒而出的笔触。在璀璨的阳光下，闪耀着独特的光辉。通过喇叭口轻轻吹拂，似乎能听见带着泡沫味的悠扬声音。作为大自然的造物，承载着海洋与生命的记忆。	Assets/Product/Texture/Image/IconTools/ItCharBirthday39.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday39Sp.png	5	99956
24000046	2	机械礼物犬	薇拉的启动日来信附件	军用仿生犬的限定款式，保障功能的同时对外观进行了重新设计，数量稀缺，这条红色细长丝带曾暂留在她最喜欢的“礼物”上，现已归还给真正的礼物。	Assets/Product/Texture/Image/IconTools/ItCharBirthday40.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday40Sp.png	5	99955
24000047	2	落雪沉香	比安卡的启动日来信附件	赠送者精心挑选的香氛与配套扩香石，有一种市面上很少见到的味道。 将香氛精油滴在上面，香气会慢慢散开在整个房间里。除了能带来一夜好眠，还深藏着赠送者的心意。也许能通过梦境传达到。	Assets/Product/Texture/Image/IconTools/ItCharBirthday41.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday41Sp.png	5	99954
24000048	2	猫猫按摩仪	邦比娜塔的启动日来信附件	一只有着柔软肉垫的小猫咪，希望给劳碌一天的人驱走身上的疲惫。 赠送者购买了全套替换按摩头，伴随着5种猫爪形状的转变，能解决各种形式的肌肉酸痛。按摩力度的档位似乎也被赠送者微调过——使用者不慎开过最大档，很快就出现在了生命之星急诊处。	Assets/Product/Texture/Image/IconTools/ItCharBirthday42.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday42Sp.png	5	99953
24000049	2	《今夜，星光降临》	艾拉的启动日来信附件	由艾拉亲手制作的纸雕灯，兼顾了实用和美观，既能作为摆件使用，也能为室内带来照明。 启动电源后，点点星光在银河中流淌，仿佛回到了两人一起仰望着繁星的那个夜晚。	Assets/Product/Texture/Image/IconTools/ItCharBirthday43.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday43Sp.png	5	99952
24000050	2	雪花挂件	罗塞塔的启动日来信附件	用特殊石料打制的工艺品。初学者的手工稚拙，棱角边缘难免有些歪歪扭扭。 半透明的石料表层有着冰晶一般的光泽，像每一次敲打都暗藏起来的感情。	Assets/Product/Texture/Image/IconTools/ItCharBirthday44.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday44Sp.png	5	99951
24000051	2	日历“地球”	七实的来信附件	一台立体手撕日历。 撕去一张张日历，一个小小的地球出现在人们眼前。 好像每一天都离地球更近了些——那个干净、美丽又安全的家。	Assets/Product/Texture/Image/IconTools/ItCharBirthday45.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday45Sp.png	5	99950
24000052	2	防沉迷绿色终端	哈卡玛的来信附件	某购物平台热销产品，其便携性、设计风格似乎已经与时代脱节，但强大的核心功能让它依旧受到家长群体的青睐——总有未成年使用者在商品评论区哭诉它的特殊功能。	Assets/Product/Texture/Image/IconTools/ItCharBirthday46.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday46Sp.png	5	99949
24000053	2	山水流荧	曲的启动日来信附件	一座不大不小的流沙画，是九龙景区常见的工艺纪念品。透过透明琉璃屏注视砂砾缓缓下落，能让人心生平静。	Assets/Product/Texture/Image/IconTools/ItCharBirthday47.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday47Sp.png	5	99948
24000054	2	护理按摩刷	21号的启动日来信附件	如何做到真正意义的“轻松护理”——硅胶刷头，轻柔按摩；人体工学设计，贴合手掌，操作方便；还有密封塞防止漏液，让主人身上也清清爽爽。 是您养护毛发的不二之选！	Assets/Product/Texture/Image/IconTools/ItCharBirthday48.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday48Sp.png	5	99947
24000055	2	人鱼之泪	拉弥亚的启动日来信附件	听说人鱼的眼泪能让牵挂的人长生不老，拉弥亚潜入人类的营地，切了一下午洋葱。	Assets/Product/Texture/Image/IconTools/ItCharBirthday49.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday49Sp.png	5	99946
24000056	2	逃跑的星星	卡列尼娜的启动日来信附件	一颗陨石，卡列尼娜在舱外作业的时候发现了它，根据时间推算，它也许属于一颗高速运转的恒星。	Assets/Product/Texture/Image/IconTools/ItCharBirthday50.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday50Sp.png	5	99945
24000057	2	多功能开罐器	布丽姬特的启动日来信附件	一支握柄磨损严重的多功能开罐器，杠杆结构一侧用于辅助切割的锯齿轮却意外地没有丝毫锈迹。划痕间一行铭文依稀可见：“生命的年轮很宽阔，不止能够容纳一人的慰藉。”	Assets/Product/Texture/Image/IconTools/ItCharBirthday51.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday51Sp.png	5	99944
24000058	2	星星罐子	回音的启动日来信附件	星星罐子，是回音用积攒下来的钱购买的。如果每天叠一个幸运星放进去，要多久才能装满这个罐子呢？	Assets/Product/Texture/Image/IconTools/ItCharBirthday52.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday52Sp.png	5	99943
24000059	2	无限畅饮杯	诺克提的启动日来信附件	新奥克蕾特制的荣誉之杯，只赠送与对小镇有过杰出贡献的人，使用此杯可以在新奥克蕾获得无限续杯的特权。其中一只贴有诺克提亲“手”做出的区分。*生命之星提醒您——小麦果汁虽好，注意适量哦~	Assets/Product/Texture/Image/IconTools/ItCharBirthday53.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday53Sp.png	5	99942
24000060	2	长寿面	常羽的启动日来信附件	亦称“太平面”，寓意平安顺利。之前他总是对食物的新鲜现做非常执着，这次总算有机会大显身手了。	Assets/Product/Texture/Image/IconTools/ItCharBirthday54.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday54Sp.png	5	99941
24000061	2	“绿洲之星”	渡边的启动日来信附件	天然夜光石，由大地内的一些发光物质经过了几千万年，集聚于矿石中而成，十分稀有。经过制作者的用心打磨后，由绳链串起。希望这个礼物能照亮你在每一个无光之夜前进的道路。	Assets/Product/Texture/Image/IconTools/ItCharBirthday55.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday55Sp.png	5	99940
24000062	2	全自动铁掌	含英的愚人节来信附件	一对比例失调的机械手臂，掌心的突起结构十分可疑。	Assets/Product/Texture/Image/IconTools/ItCharAprilFoolsDay01.png	Assets/Product/Texture/Image/IconToolsSp/ItCharAprilFoolsDay01SP.png	5	99939
24000063	2	专用枕	突击鹰小队的愚人节来信附件	钢铁材质的狼牙枕，能够通过物理手段帮助失眠者进入梦乡。	Assets/Product/Texture/Image/IconTools/ItCharAprilFoolsDay02.png	Assets/Product/Texture/Image/IconToolsSp/ItCharAprilFoolsDay02SP.png	5	99938
24000064	2	“特别调用球”	灰鸦小队的愚人节来信附件	任何时间，任何地点，灰鸦小队，集结出现。	Assets/Product/Texture/Image/IconTools/ItCharAprilFoolsDay03.png	Assets/Product/Texture/Image/IconToolsSp/ItCharAprilFoolsDay03SP.png	5	99937
24000065	2	“杰斯特”	罗兰的启动日来信附件	一面做工精致，设计考究，象征着“悲伤的小丑”形象的面具。世人都普遍认为这个微笑并不代表真正的快乐，但是谁知道披着泪痕假面的小丑又是否在真正地悲伤呢？	Assets/Product/Texture/Image/IconTools/ItCharBirthday56.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday56Sp.png	5	99936
24000066	2	咖啡因浓缩液	万事的启动日来信附件	空中花园畅销咖啡因浓缩液，同时发售人类用和构造体用的两个版本，是所有人熬夜赶进度，死线滑铲的最佳帮手。	Assets/Product/Texture/Image/IconTools/ItCharBirthday57.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday57Sp.png	5	99935
24000067	2	《寻找四叶草的阿呆蛙》	露西亚的启动日来信附件	阿呆蛙最初的作品，十分稀有。讲述了阿呆蛙四处寻找带来幸福的四叶草的故事。	Assets/Product/Texture/Image/IconTools/ItCharBirthday58.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday58Sp.png	5	99934
24000068	2	《无量雷神》	阿尔法的启动日来信附件	意为不受限制的雷神，是一尊在过去堪称为国宝的贵重盆栽。	Assets/Product/Texture/Image/IconTools/ItCharBirthday59.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday59Sp.png	5	99933
