Id	Name	EffectDescription	EffectId	EffectValid	EffectTarget	ChildComboId	ConditionDesc	ConditionLevel	ConditionNum
38	艺术协会--Ⅱ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>拟态为<color=#ff3f3f>中级</color>至尊进行战斗，拟态持续<color=#ff3f3f>20</color>秒（可能对视觉模块产生影响）	[93349, 93351]	['3|218#232', '3|218#232']	['1', '1']	310	艺术协会成员总星级达 <color=#ff3f3f>10星</color>	10	2
39	艺术协会--Ⅲ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>拟态为<color=#ff3f3f>高级</color>至尊进行战斗，拟态持续<color=#ff3f3f>25</color>秒（可能对视觉模块产生影响）	[93349, 93352]	['3|218#232', '3|218#232']	['1', '1']	310	艺术协会成员总星级达 <color=#ff3f3f>30星</color>	30	2
40	艺术协会--Ⅳ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>拟态为<color=#ff3f3f>超级</color>至尊进行战斗，拟态持续<color=#ff3f3f>30</color>秒（可能对视觉模块产生影响）	[93349]	['3|218#232']	['1']	310	艺术协会成员总星级达 <color=#ff3f3f>54星</color>	54	2
41	三头犬-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每次受到伤害永久获得2%攻击，上限<color=#ff3f3f>30%</color>	[98094]	['2|311']	['1']	311	三头犬小队成员总星级达 <color=#ff3f3f>3星</color>	3	3
42	三头犬-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每次受到伤害永久获得2%攻击，上限<color=#ff3f3f>40%</color>	[98095]	['2|311']	['1']	311	三头犬小队成员总星级达 <color=#ff3f3f>15星</color>	15	3
43	三头犬-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每次受到伤害永久获得2%攻击，上限<color=#ff3f3f>50%</color>	[98096]	['2|311']	['1']	311	三头犬小队成员总星级达 <color=#ff3f3f>45星</color>	45	3
44	三头犬-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>当前角色每次受到伤害永久获得2%攻击，上限<color=#ff3f3f>60%</color>	[98097]	['2|311']	['1']	311	三头犬小队成员总星级达 <color=#ff3f3f>81星</color>	81	3
45	进攻型-Ⅰ	<color=#ff3f3f>仅进攻型成员</color>攻击时有<color=#ff3f3f>3%</color>概率附加当前连击数*100的伤害，该次伤害上限2万	[98122]	['1']	['2|101']	101	<color=#ff3f3f>5名</color> 进攻型成员且总星级达 <color=#ff3f3f>5星</color>	5	5
46	进攻型-Ⅱ	<color=#ff3f3f>仅进攻型成员</color>攻击时有<color=#ff3f3f>6%</color>概率附加当前连击数*100的伤害，该次伤害上限2万	[98123]	['1']	['2|101']	101	<color=#ff3f3f>5名</color> 进攻型成员且总星级达 <color=#ff3f3f>25星</color>	25	5
47	进攻型-Ⅲ	<color=#ff3f3f>仅进攻型成员</color>攻击时有<color=#ff3f3f>9%</color>概率附加当前连击数*100的伤害，该次伤害上限2万	[98124]	['1']	['2|101']	101	<color=#ff3f3f>5名</color> 进攻型成员且总星级达 <color=#ff3f3f>75星</color>	75	5
48	进攻型-Ⅳ	<color=#ff3f3f>仅进攻型成员</color>攻击时有<color=#ff3f3f>12%</color>概率附加当前连击数*100的伤害，该次伤害上限2万	[98125]	['1']	['2|101']	101	<color=#ff3f3f>5名</color> 进攻型成员且总星级达 <color=#ff3f3f>135星</color>	135	5
49	装甲型-Ⅰ	<color=#ff3f3f>仅装甲型成员</color>每5秒获得并叠加<color=#ff3f3f>300</color>护盾，每15秒将引爆该护盾对半径6米内敌人造成护盾量*3的伤害	[98126]	['1']	['2|102']	102	<color=#ff3f3f>5名</color> 装甲型成员且总星级达 <color=#ff3f3f>5星</color>	5	5
50	装甲型-Ⅱ	<color=#ff3f3f>仅装甲型成员</color>每5秒获得并叠加<color=#ff3f3f>600</color>护盾，每15秒将引爆该护盾对半径6米内敌人造成护盾量*3的伤害	[98127]	['1']	['2|102']	102	<color=#ff3f3f>5名</color> 装甲型成员且总星级达 <color=#ff3f3f>25星</color>	25	5
51	装甲型-Ⅲ	<color=#ff3f3f>仅装甲型成员</color>每5秒获得并叠加<color=#ff3f3f>900</color>护盾，每15秒将引爆该护盾对半径6米内敌人造成护盾量*3的伤害	[98128]	['1']	['2|102']	102	<color=#ff3f3f>5名</color> 装甲型成员且总星级达 <color=#ff3f3f>75星</color>	75	5
52	装甲型-Ⅳ	<color=#ff3f3f>仅装甲型成员</color>每5秒获得并叠加<color=#ff3f3f>1200</color>护盾，每15秒将引爆该护盾对半径6米内敌人造成护盾量*3的伤害	[98129]	['1']	['2|102']	102	<color=#ff3f3f>5名</color> 装甲型成员且总星级达 <color=#ff3f3f>135星</color>	135	5
53	辅助型-Ⅰ	"""<color=#ff3f3f>【任意辅助型成员上阵】</color>未下场角色每秒恢复<color=#ff3f3f>300</color>生命并将溢出治疗量用于恢复当前角色,当前角色溢出的治疗量以<color=#ff3f3f>200%</color>转化为半径6米的范围伤害"""	[98130]	['2|103']	['1']	103	<color=#ff3f3f>3名</color> 辅助型成员且总星级达 <color=#ff3f3f>3星</color>	3	3
54	辅助型-Ⅱ	"""<color=#ff3f3f>【任意辅助型成员上阵】</color>未下场角色每秒恢复<color=#ff3f3f>400</color>生命并将溢出治疗量用于恢复当前角色,当前角色溢出的治疗量以<color=#ff3f3f>300%</color>转化为半径6米的范围伤害"""	[98131]	['2|103']	['1']	103	<color=#ff3f3f>3名</color> 辅助型成员且总星级达 <color=#ff3f3f>15星</color>	15	3
55	辅助型-Ⅲ	"""<color=#ff3f3f>【任意辅助型成员上阵】</color>未下场角色每秒恢复<color=#ff3f3f>500</color>生命并将溢出治疗量用于恢复当前角色,当前角色溢出的治疗量以<color=#ff3f3f>400%</color>转化为半径6米的范围伤害"""	[98132]	['2|103']	['1']	103	<color=#ff3f3f>3名</color> 辅助型成员且总星级达 <color=#ff3f3f>45星</color>	45	3
56	辅助型-Ⅳ	"""<color=#ff3f3f>【任意辅助型成员上阵】</color>未下场角色每秒恢复<color=#ff3f3f>600</color>生命并将溢出治疗量用于恢复当前角色,当前角色溢出的治疗量以<color=#ff3f3f>500%</color>转化为半径6米的范围伤害"""	[98133]	['2|103']	['1']	103	<color=#ff3f3f>3名</color> 辅助型成员且总星级达 <color=#ff3f3f>81星</color>	81	3
57	增幅型-Ⅰ	<color=#ff3f3f>【任意增幅型成员上阵】</color>所有角色使用信号球将获得效果：红-5秒内伤害增加10%；蓝-恢复1500生命；黄-获得霸体5秒。公共冷却<color=#ff3f3f>8</color>秒	[98118]	['2|104']	['1']	104	<color=#ff3f3f>2名</color> 增幅型成员且总星级达 <color=#ff3f3f>2星</color>	2	2
58	增幅型-Ⅱ	<color=#ff3f3f>【任意增幅型成员上阵】</color>所有角色使用信号球将获得效果：红-5秒内伤害增加10%；蓝-恢复1500生命；黄-获得霸体5秒。公共冷却<color=#ff3f3f>7</color>秒	[98119]	['2|104']	['1']	104	<color=#ff3f3f>2名</color> 增幅型成员且总星级达 <color=#ff3f3f>10星</color>	10	2
59	增幅型-Ⅲ	<color=#ff3f3f>【任意增幅型成员上阵】</color>所有角色使用信号球将获得效果：红-5秒内伤害增加10%；蓝-恢复1500生命；黄-获得霸体5秒。公共冷却<color=#ff3f3f>6</color>秒	[98120]	['2|104']	['1']	104	<color=#ff3f3f>2名</color> 增幅型成员且总星级达 <color=#ff3f3f>30星</color>	30	2
60	增幅型-Ⅳ	<color=#ff3f3f>【任意增幅型成员上阵】</color>所有角色使用信号球将获得效果：红-5秒内伤害增加10%；蓝-恢复1500生命；黄-获得霸体5秒。公共冷却<color=#ff3f3f>5</color>秒	[98121]	['2|104']	['1']	104	<color=#ff3f3f>2名</color> 增幅型成员且总星级达 <color=#ff3f3f>54星</color>	54	2
200	重创-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[爆裂、零度攻击+30%，必杀伤害+25%]储存最近使用的必杀技或信号球，释放储存技能时2秒内伤害<color=#ff3f3f>+20%</color>（信号球以三消状态释放），冷却<color=#ff3f3f>6</color>秒	[98050, 98051]	['1', '2|400']	['2|400', '1']	400	零度、爆裂总星级达 <color=#ff3f3f>2星</color>	2	2
201	重创-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[爆裂、零度攻击+30%，必杀伤害+25%]储存最近使用的必杀技或信号球，释放储存技能时2秒内伤害<color=#ff3f3f>+30%</color>（信号球以三消状态释放），冷却<color=#ff3f3f>5</color>秒	[98050, 98052]	['1', '2|400']	['2|400', '1']	400	零度、爆裂总星级达 <color=#ff3f3f>10星</color>	10	2
202	重创-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[爆裂、零度攻击+30%，必杀伤害+25%]储存最近使用的必杀技或信号球，释放储存技能时2秒内伤害<color=#ff3f3f>+40%</color>（信号球以三消状态释放），冷却<color=#ff3f3f>4</color>秒	[98050, 98053]	['1', '2|400']	['2|400', '1']	400	零度、爆裂总星级达 <color=#ff3f3f>30星</color>	30	2
203	重创-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[爆裂、零度攻击+30%，必杀伤害+25%]储存最近使用的必杀技或信号球，释放储存技能时2秒内伤害<color=#ff3f3f>+50%</color>（信号球以三消状态释放），冷却<color=#ff3f3f>3</color>秒	[98050, 98054]	['1', '2|400']	['2|400', '1']	400	零度、爆裂总星级达 <color=#ff3f3f>54星</color>	54	2
204	崩解-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[重能、夜刃攻击+40%，黄球伤害+50%]释放黄球时免伤<color=#ff3f3f>0.5</color>秒，期间受击/背击/暴击时崩解敌人；眩晕并移除其所有抗性1.5秒，期间角色伤害<color=#ff3f3f>+100%</color>	[98055, 98056, 98057]	['1', '2|401', '2|401']	['2|401', '1', '1']	401	重能、夜刃总星级达 <color=#ff3f3f>2星</color>	2	2
205	崩解-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[重能、夜刃攻击+40%，黄球伤害+50%]释放黄球时免伤<color=#ff3f3f>1</color>秒，期间受击/背击/暴击时崩解敌人；眩晕并移除其所有抗性1.5秒，期间角色伤害<color=#ff3f3f>+150%</color>	[98055, 98056, 98058]	['1', '2|401', '2|401']	['2|401', '1', '1']	401	重能、夜刃总星级达 <color=#ff3f3f>10星</color>	10	2
206	崩解-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[重能、夜刃攻击+40%，黄球伤害+50%]释放黄球时免伤<color=#ff3f3f>1.5</color>秒，期间受击/背击/暴击时崩解敌人；眩晕并移除其所有抗性1.5秒，期间角色伤害<color=#ff3f3f>+200%</color>	[98055, 98056, 98059]	['1', '2|401', '2|401']	['2|401', '1', '1']	401	重能、夜刃总星级达 <color=#ff3f3f>30星</color>	30	2
207	崩解-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[重能、夜刃攻击+40%，黄球伤害+50%]释放黄球时免伤<color=#ff3f3f>2</color>秒，期间受击/背击/暴击时崩解敌人；眩晕并移除其所有抗性1.5秒，期间角色伤害<color=#ff3f3f>+250%</color>	[98055, 98056, 98060]	['1', '2|401', '2|401']	['2|401', '1', '1']	401	重能、夜刃总星级达 <color=#ff3f3f>54星</color>	54	2
208	结系-Ⅰ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>[深红之渊、银冕攻击+20%，特殊球伤害+20%][使用特殊球充能+3，100可激活]激活后每秒消耗5充能令随机成员下场，使其无敌且双方伤害<color=#ff3f3f>+20%</color>；助战每次造成伤害后恢复主控<color=#ff3f3f>2%</color>生命并在为其格挡伤害后眩晕敌人1秒（冷却5秒）	[98061, 98062]	['1', '3|216#226']	['2|402', '1']	402	深红之渊、银冕总星级达 <color=#ff3f3f>2星</color>	2	2
209	结系-Ⅱ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>[深红之渊、银冕攻击+20%，特殊球伤害+20%][使用特殊球充能+3，100可激活]激活后每秒消耗5充能令随机成员下场，使其无敌且双方伤害<color=#ff3f3f>+30%</color>；助战每次造成伤害后恢复主控<color=#ff3f3f>4%</color>生命并在为其格挡伤害后眩晕敌人1秒（冷却5秒）	[98061, 98063]	['1', '3|216#226']	['2|402', '1']	402	深红之渊、银冕总星级达 <color=#ff3f3f>10星</color>	10	2
210	结系-Ⅲ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>[深红之渊、银冕攻击+20%，特殊球伤害+20%][使用特殊球充能+3，100可激活]激活后每秒消耗5充能令随机成员下场，使其无敌且双方伤害<color=#ff3f3f>+40%</color>；助战每次造成伤害后恢复主控<color=#ff3f3f>6%</color>生命并在为其格挡伤害后眩晕敌人1秒（冷却5秒）	[98061, 98064]	['1', '3|216#226']	['2|402', '1']	402	深红之渊、银冕总星级达 <color=#ff3f3f>30星</color>	30	2
211	结系-Ⅳ	<color=#ff3f3f>【该羁绊所有成员上阵】</color>[深红之渊、银冕攻击+20%，特殊球伤害+20%][使用特殊球充能+3，100可激活]激活后每秒消耗5充能令随机成员下场，使其无敌且双方伤害<color=#ff3f3f>+50%</color>；助战每次造成伤害后恢复主控<color=#ff3f3f>8%</color>生命并在为其格挡伤害后眩晕敌人1秒（冷却5秒）	[98061, 98065]	['1', '3|216#226']	['2|402', '1']	402	深红之渊、银冕总星级达 <color=#ff3f3f>54星</color>	54	2
212	荆棘-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[瑰丽、ⅩⅩⅠ攻击+50%，濒危时复活1次]可随时激活取消，激活后每秒抽取5%生命随机获得1颗信号球；每损失5%生命<color=#ff3f3f>+3.5%</color>攻击；受伤时<color=#ff3f3f>30%</color>概率召唤荆棘沉默敌人2秒并将伤害10倍返还（生命不足自动取消）	[98066, 98067, 98068]	['1', '2|403', '2|403']	['2|403', '1', '1']	403	瑰丽、ⅩⅩⅠ总星级达 <color=#ff3f3f>2星</color>	2	2
213	荆棘-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[瑰丽、ⅩⅩⅠ攻击+50%，濒危时复活1次]可随时激活取消，激活后每秒抽取5%生命随机获得1颗信号球；每损失5%生命<color=#ff3f3f>+4%</color>攻击；受伤时<color=#ff3f3f>40%</color>概率召唤荆棘沉默敌人2秒并将伤害10倍返还（生命不足自动取消）	[98066, 98067, 98069]	['1', '2|403', '2|403']	['2|403', '1', '1']	403	瑰丽、ⅩⅩⅠ总星级达 <color=#ff3f3f>10星</color>	10	2
214	荆棘-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[瑰丽、ⅩⅩⅠ攻击+50%，濒危时复活1次]可随时激活取消，激活后每秒抽取5%生命随机获得1颗信号球；每损失5%生命<color=#ff3f3f>+4.5%</color>攻击；受伤时<color=#ff3f3f>50%</color>概率召唤荆棘沉默敌人2秒并将伤害10倍返还（生命不足自动取消）	[98066, 98067, 98070]	['1', '2|403', '2|403']	['2|403', '1', '1']	403	瑰丽、ⅩⅩⅠ总星级达 <color=#ff3f3f>30星</color>	30	2
215	荆棘-Ⅳ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[瑰丽、ⅩⅩⅠ攻击+50%，濒危时复活1次]可随时激活取消，激活后每秒抽取5%生命随机获得1颗信号球；每损失5%生命<color=#ff3f3f>+5%</color>攻击；受伤时<color=#ff3f3f>60%</color>概率召唤荆棘沉默敌人2秒并将伤害10倍返还（生命不足自动取消）	[98066, 98067, 98071]	['1', '2|403', '2|403']	['2|403', '1', '1']	403	瑰丽、ⅩⅩⅠ总星级达 <color=#ff3f3f>54星</color>	54	2
216	机巧-Ⅰ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[烬燃、脉冲攻击+40%，每秒恢复3点必杀]点击按钮指示僚机攻击敌人，再次点击折返辅助；僚机辅助时角色获得<color=#ff3f3f>20%</color>伤害加成且每秒恢复5%生命；攻击时每秒对敌人造成<color=#ff3f3f>500%</color>伤害且7%概率瘫痪敌人2秒	[98072, 98073, 98074]	['1', '2|404', '2|404']	['2|404', '1', '1']	404	烬燃、脉冲总星级达 <color=#ff3f3f>2星</color>	2	2
217	机巧-Ⅱ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[烬燃、脉冲攻击+40%，每秒恢复3点必杀]点击按钮指示僚机攻击敌人，再次点击折返辅助；僚机辅助时角色获得<color=#ff3f3f>25%</color>伤害加成且每秒恢复5%生命；攻击时每秒对敌人造成<color=#ff3f3f>600%</color>伤害且7%概率瘫痪敌人2秒	[98072, 98073, 98075]	['1', '2|404', '2|404']	['2|404', '1', '1']	404	烬燃、脉冲总星级达 <color=#ff3f3f>10星</color>	10	2
218	机巧-Ⅲ	<color=#ff3f3f>【该羁绊任意成员上阵】</color>[烬燃、脉冲攻击+40%，每秒恢复3点必杀]点击按钮指示僚机攻击敌人，再次点击折返辅助；僚机辅助时角色获得<color=#ff3f3f>30%</color>伤害加成且每秒恢复5%生命；攻击时每秒对敌人造成<color=#ff3f3f>700%</color>伤害且7%概率瘫痪敌人2秒	[98072, 98073, 98076]	['1', '2|404', '2|404']	['2|404', '1', '1']	404	烬燃、脉冲总星级达 <color=#ff3f3f>30星</color>	30	2
