Id	EffectType	EffectParamStr	DrawGroupIds	FreeNum	Name	Description	WorldDescription	Icon	BigIcon	Quality
21000012	2	1	[4]	1	夏迹研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000013	2	1	[1]	1	夏迹研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000014	2	1	[12, 13]	1	夏迹研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000101	2	1	[11, 15]	1	三周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000102	2	1	[4]	1	三周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000103	2	1	[1]	1	三周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000104	2	1	[12, 13]	1	三周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000105	2	1	[11, 15]	1	三周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000106	2	1	[4]	1	三周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000107	2	1	[1]	1	三周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000108	2	1	[12, 13]	1	三周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000109	2	1	[4]	1	三周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000110	2	1	[1]	1	三周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000111	2	1	[11, 15]	1	三周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000112	2	1	[4]	1	三周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000113	2	1	[1]	1	三周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000114	2	1	[12, 13]	1	三周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000201	2	1	[11, 15]	1	海愿研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000202	2	1	[4]	1	海愿研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000203	2	1	[1]	1	海愿研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000204	2	1	[12, 13]	1	海愿研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000205	2	1	[11, 15]	1	海愿研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000206	2	1	[4]	1	海愿研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000207	2	1	[1]	1	海愿研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000208	2	1	[12, 13]	1	海愿研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000209	2	1	[4]	1	海愿研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000210	2	1	[1]	1	海愿研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000211	2	1	[11, 15]	1	海愿研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000212	2	1	[4]	1	海愿研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000213	2	1	[1]	1	海愿研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000214	2	1	[12, 13]	1	海愿研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000301	2	1	[11, 15]	1	四周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000302	2	1	[4]	1	四周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000303	2	1	[1]	1	四周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000304	2	1	[12, 13]	1	四周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000305	2	1	[11, 15]	1	四周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000306	2	1	[4]	1	四周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000307	2	1	[1]	1	四周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000308	2	1	[12, 13]	1	四周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000309	2	1	[4]	1	四周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000310	2	1	[1]	1	四周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000311	2	1	[11, 15]	1	四周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000312	2	1	[4]	1	四周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000313	2	1	[1]	1	四周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000314	2	1	[12, 13]	1	四周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000401	1	2024/8/9 9:59	[11, 15]	1	悠浪主题研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000402	1	2024/8/9 9:59	[4]	1	悠浪武器研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000403	1	2024/8/9 9:59	[1]	1	悠浪基准研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000404	1	2024/8/9 9:59	[12, 13]	1	悠浪降临研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000501	1	2024/12/19 5:00	[11, 15]	1	五周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000502	1	2024/12/19 5:00	[4]	1	五周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000503	1	2024/12/19 5:00	[1]	1	五周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000504	1	2024/12/19 5:00	[12, 13]	1	五周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000505	1	2024/12/19 5:00	[11, 15]	1	五周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000506	1	2024/12/19 5:00	[4]	1	五周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000507	1	2024/12/19 5:00	[1]	1	五周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000508	1	2024/12/19 5:00	[12, 13]	1	五周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000509	1	2024/12/19 5:00	[4]	1	五周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000510	1	2024/12/19 5:00	[1]	1	五周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000511	1	2024/12/19 5:00	[11, 15]	1	五周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000512	1	2024/12/19 5:00	[4]	1	五周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000513	1	2024/12/19 5:00	[1]	1	五周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000514	1	2024/12/19 5:00	[12, 13]	1	五周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000601	1	2025/8/1 5:00	[11, 15]	1	夕浪主题研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。奖券将于2025年8月1日5:00过期销毁，指挥官记得及时使用哦~！	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000602	1	2025/8/1 5:00	[4]	1	夕浪武器研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。奖券将于2025年8月1日5:00过期销毁，指挥官记得及时使用哦~！	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000603	1	2025/8/1 5:00	[1]	1	夕浪基准研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。奖券将于2025年8月1日5:00过期销毁，指挥官记得及时使用哦~！	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000604	1	2025/8/1 5:00	[12, 13]	1	夕浪降临研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。奖券将于2025年8月1日5:00过期销毁，指挥官记得及时使用哦~！	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000701	1	2025/12/23 5:00	[11, 15]	1	六周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000702	1	2025/12/23 5:00	[4]	1	六周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000703	1	2025/12/23 5:00	[1]	1	六周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000704	1	2025/12/23 5:00	[12, 13]	1	六周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000705	1	2025/12/23 5:00	[11, 15]	1	六周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000706	1	2025/12/23 5:00	[4]	1	六周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000707	1	2025/12/23 5:00	[1]	1	六周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000708	1	2025/12/23 5:00	[12, 13]	1	六周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
21000709	1	2025/12/23 5:00	[4]	1	六周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000710	1	2025/12/23 5:00	[1]	1	六周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000711	1	2025/12/23 5:00	[11, 15]	1	六周年研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket04Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket04.png	5
21000712	1	2025/12/23 5:00	[4]	1	六周年研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket03Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket03.png	5
21000713	1	2025/12/23 5:00	[1]	1	六周年研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket01Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket01.png	5
21000714	1	2025/12/23 5:00	[12, 13]	1	六周年研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconTurntableTicket02Sp.png	Assets/Product/Texture/Image/IconTools/IconTurntableTicket02.png	5
