ChapterId	OrderId	Difficult	ChapterEn	PrefabName	ExStageId	TaskGroupId	StageId	TreasureId	ChapterName	Bg	Icon	ActivityCondition	ExploreGroupId	OpenCondition	ParallelAnimeGroupId	MoveStageIndex	DatumLinePrecent	ChapterTextColor	LeftTimeTextColor	StarProgressTextColor	IsBtnMissionWhite	SkipId	SkipCondition	SkipIcon
1010	10	1	永久列车	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor10.prefab		19	[10100101, 10100102, 10100103, 10100104, 10100201, 10100202, 10100203, 10100204, 10100301, 10100302, 10100303, 10100304]	[1010002, 1010003, 1010004]	第十章	UiFubenMainMapTab.ChapterBg10A				770400										
1011	11	1	九龙夜航	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor11.prefab		21	[10110101, 10110102, 10110103, 10110104, 10110105, 10110106, 10110107, 10110108, 10110109, 10110112, 10110113, 10110111]	[1011002, 1011003, 1011004]	第十一章	UiFubenMainMapTab.ChapterBg10A				770400										
1012	12	1	九龙环城	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor12Ex.prefab		23	[10120101, 10120102, 10120103, 10120104, 10120105, 10120106, 10120107, 10120108, 10120109, 10120110, 10120111, 10120112, 10120113, 10120114, 10120115, 10120116, 10120117, 10120118, 10120119, 10120120, 10120121, 10120122, 10120123, 10120124, 10120125, 10120126]	[1012002, 1012003, 1012004]	第十二章	UiFubenMainMapTab.ChapterBg10A			1	770400										
1013	13	1	终焉福音			25			第十三章				1	770400										
1014	14	1	视线囚笼	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor14.prefab		26	[10140101, 10140102, 10140103, 10140104, 10140105, 10140106, 10140107, 10140108, 10140109, 10140110, 10140111, 10140112, 10140113, 10140114, 10140115]	[1014002, 1014003, 1014004]	第十四章	UiFubenMainMapTab.ChapterBg10A				770400										
1015	15	1	绝海星火	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor15.prefab		28	[10150101, 10150102, 10150103, 10150104, 10150105, 10150106, 10150107, 10150108, 10150109, 10150110, 10150111, 10150112, 10150113, 10150114, 10150115, 10150116, 10150117]	[1015002, 1015003, 1015004]	第十五章	UiFubenMainMapTab.ChapterBg10A				770400										
1016	16	1	永夜胎动	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor16.prefab		30	[10160101, 10160102, 10160103, 10160104, 10160105, 10160106, 10160107, 10160108, 10160109, 10160110, 10160111, 10160112, 10160113, 10160114, 10160115]	[1016002, 1016003, 1016004]	第十六章	UiFubenMainMapTab.ChapterBg10A				770400										
1017	17	1	Sunken in Scarlet	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor16.prefab		32	[10170100, 10170101, 10170102, 10170103, 10170104, 10170105, 10170106, 10170107, 10170108, 10170109, 10170110, 10170111, 10170112, 10170113, 10170114, 10170115, 10170116, 10170117, 10170118, 10170119, 10170120, 10170121, 10170123, 10170122, 10170124, 10170126, 10170127, 10170125, 10170128]	[1017002, 1017003, 1017004]	赤海沉岛	UiFubenMainMapTab.ChapterBg10A				770400							1			
1018	18	1	曙星致意	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor18.prefab		33	[10180101, 10180102, 10180103, 10180104, 10180105, 10180106, 10180107, 10180108, 10180109, 10180110, 10180111, 10180112, 10180113, 10180114, 10180115, 10180116, 10180117, 10180118, 10180119, 10180120, 10180121]	[1018002, 1018003, 1018004]	第十八章	UiFubenMainMapTab.ChapterBg10A				770400	[1]	[6, 13, 19]	0.5	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#0f70BC', '#0f70BC', '#0f70BC', '#0f70BC']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1019	19	1	空晓界限	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor19.prefab		34	[10190101, 10190102, 10190103, 10190104, 10190105, 10190106, 10190107, 10190108, 10190109, 10190110, 10190111, 10190112, 10190113, 10190114, 10190115, 10190116, 10190117, 10190118, 10190119, 10190120, 10190121, 10190122]	[1019002, 1019003, 1019004]	第十九章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#0f70BC', '#0f70BC', '#0f70BC', '#0f70BC']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1020	20	1	烬海异途	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor20.prefab		35	[10200101, 10200102, 10200103, 10200104, 10200105, 10200106, 10200107, 10200109, 10200110, 10200111, 10200112, 10200113, 10200114, 10200115]	[1020002, 1020003, 1020004]	第二十章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1021	21	1	刻命螺旋	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor21.prefab		36	[10210101, 10210102, 10210103, 10210104, 10210106, 10210107, 10210108, 10210109, 10210110, 10210111, 10210112, 10210113, 10210114, 10210214, 10210116, 10210216, 10210118, 10210218, 10210120, 10210220, 10210122, 10210123, 10210124]	[1021002, 1021003, 1021004]	第二十一章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1	[10210115, 10210117, 10210119, 10210121]	[84102451, 84102452, 84102453, 84102454]	['Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip.png', 'Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip2.png', 'Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip5.png', 'Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip8.png']
1022	22	1	创绘映想	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor22.prefab		37	[10220100, 10220101, 10220102, 10220103, 10220104, 10220105, 10220106, 10220206, 10220107, 10220108, 10220109, 10220209, 10220110, 10220111, 10220112, 10220205, 10220113, 10220114, 10220115, 10220213, 10220313, 10220214, 10220314, 10220414, 10220215, 10220116, 10220117, 10220118, 10220119, 10220120, 10220121]	[1022002, 1022003, 1022004]	第二十二章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1023	23	1	凛桎鸣渊	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor23.prefab		38	[10230101, 10230102, 10230103, 10230104, 10230105, 10230106, 10230107, 10230108, 10230109, 10230110, 10230111, 10230112, 10230113, 10230114, 10230115, 10230116, 10230117]	[1023002, 1023003, 1023004]	第二十三章	UiFubenMainMapTab.ChapterBg10A				770400										
1024	24	1	萦森歧路	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor24.prefab		39	[10240101, 10240102, 10240103, 10240104, 10240105, 10240106, 10240107, 10240108, 10240109, 10240110, 10240111, 10240112, 10240113, 10240114, 10240115, 10240116, 10240214]	[1024002, 1024003, 1024004]	第二十四章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1025	25	1	爝火长明	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor25.prefab		40	[10250101, 10250102, 10250103, 10250104, 10250105, 10250106, 10250107, 10250406, 10250120, 10250108, 10250109, 10250110, 10250111, 10250112, 10250113, 10250114, 10250115, 10250116, 10250117, 10250118, 10250119, 10250206, 10250306, 10250506, 10250211, 10250311]	[1025002, 1025003, 1025004]	第二十五章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1026	26	1	摇篮游行	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor26.prefab		41	[10260101, 10260102, 10260103, 10260104, 10260105, 10260106, 10260107, 10260207, 10260108, 10260109, 10260110, 10260111, 10260112, 10260113, 10260114, 10260115, 10260116, 10260117, 10260217, 10260118, 10260218, 10260119, 10260120, 10260220, 10260121, 10260122, 10260123, 10260124, 10260125, 10260126, 10260127]	[1026002, 1026003, 1026004]	第二十六章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1027	27	1	碑火铸脊	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor27.prefab		42	[10270101, 10270102, 10270103, 10270104, 10270105, 10270106, 10270107, 10270108, 10270109, 10270209, 10270110, 10270111, 10270112, 10270113, 10270114, 10270115, 10270116, 10270117, 10270118, 10270119, 10270120, 10270121, 10270122, 10270123, 10270124, 10270125, 10270225, 10270126, 10270127, 10270128, 10270228, 10270129]	[1027002, 1027003, 1027004]	第二十七章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#4FB2FF', '#4FB2FF', '#4FB2FF', '#4FB2FF']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1028	28	1	络勾陈	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor28.prefab		43	[10280100, 10280101, 10280102, 10280103, 10280104, 10280105, 10280106, 10280107, 10280108, 10280118, 10280119, 10280120, 10280121, 10280122, 10280123, 10280124, 10280125, 10280126, 10280127, 10280128, 10280129, 10280130, 10280131, 10280132, 10280133, 10280109, 10280110, 10280111, 10280112, 10280113, 10280114, 10280115, 10280116, 10280117, 10280134, 10280135, 10280235, 10280335, 10280136, 10280137]	[1028002, 1028003, 1028004]	第二十八章	UiFubenMainMapTab.ChapterBg10A				770400		[10, 13, 35]	0.5	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#0f70BC', '#0f70BC', '#0f70BC', '#0f70BC']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1029	29	1	源解信标	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor29.prefab		44	[10290101, 10290102, 10290103, 10290104, 10290105, 10290106, 10290107, 10290108, 10290109, 10290110, 10290111, 10291111, 10290112, 10290113, 10290114, 10290115, 10290116, 10290117, 10290118]	[1029002, 1029003, 1029004]	第二十九章	UiFubenMainMapTab.ChapterBg10A				770400				['#ffffff', '#ffffff', '#ffffff', '#ffffff']	['#0f70BC', '#0f70BC', '#0f70BC', '#0f70BC']	['#ffffff', '#ffffff', '#ffffff', '#ffffff']	1			
1101	1	2	涂鸦艺术	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard01.prefab		3	[11010101, 11010102, 11010103, 11010104, 11010105, 11010106]	[1101002, 1101003, 1101004]	第一章	UiFubenMainMapTab.ChapterBg01B														
1102	2	2	苦刑之旅	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard02.prefab		5	[11020101, 11020102, 11020103, 11020104, 11020105, 11020106]	[1102002, 1102003, 1102004]	第二章	UiFubenMainMapTab.ChapterBg02B														
1103	3	2	终末展览	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard03.prefab		7	[11030101, 11030102, 11030103, 11030104, 11030105, 11030106]	[1103002, 1103003, 1103004]	第三章	UiFubenMainMapTab.ChapterBg03B														
1104	4	2	遗忘黄沙	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard04.prefab		9	[11040101, 11040102, 11040103, 11040104, 11040105, 11040106]	[1104002, 1104003, 1104004]	第四章	UiFubenMainMapTab.ChapterBg04B														
1105	5	2	破碎幻影	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard05.prefab		11	[11050101, 11050102, 11050103, 11050104, 11050105, 11050106]	[1105002, 1105003, 1105004]	第五章	UiFubenMainMapTab.ChapterBg05B														
1106	6	2	合金浸染	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard06.prefab		13	[11060101, 11060102, 11060103, 11060104, 11060105, 11060106]	[1106002, 1106003, 1106004]	第六章	UiFubenMainMapTab.ChapterBg06B														
1107	7	2	逆元坍塌	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard07.prefab		15	[11070101, 11070102, 11070103, 11070104, 11070105, 11070106]	[1107002, 1107003, 1107004]	第七章	UiFubenMainMapTab.ChapterBg07B														
1108	8	2	噬暗	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard08.prefab		16	[11080101, 11080102, 11080103, 11080104, 11080105, 11080106]	[1108002, 1108003, 1108004]	第八章	UiFubenMainMapTab.ChapterBg08B														
1109	9	2	黑星坠落	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard09.prefab		18	[11090101, 11090102, 11090103]	[1109002, 1109003, 1109004]	第九章	UiFubenMainMapTab.ChapterBg09B														
1110	10	2	永久列车	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard10.prefab		20	[11100101, 11100102, 11100103, 11100104, 11100105, 11100106]	[1110002, 1110003, 1110004]	第十章	UiFubenMainMapTab.ChapterBg10B														
1111	11	2	九龙夜航	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard11.prefab		22	[11110100, 11110101, 11110102, 11110105, 11110103, 11110104]	[1111002, 1111003, 1111004]	第十一章	UiFubenMainMapTab.ChapterBg10B														
1112	12	2	九龙环城	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard12Ex.prefab		24	[11120101, 11120102, 11120103, 11120104, 11120105, 11120106, 11120107]	[1112002, 1112003, 1112004]	第十二章	UiFubenMainMapTab.ChapterBg10B			2											
1114	14	2	视线囚笼	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard14.prefab		27	[11140101, 11140102, 11140103, 11140104, 11140105, 11140106, 11140107, 11140108]	[1114002, 1114003, 1114004]	第十四章	UiFubenMainMapTab.ChapterBg10B														
1115	15	2	绝海星火	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard15.prefab		29	[11150101, 11150102, 11150103, 11150104, 11150105, 11150106, 11150107, 11150108]	[1115002, 1115003, 1115004]	第十五章	UiFubenMainMapTab.ChapterBg10B														
1116	16	2	永夜胎动	Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard16.prefab		31	[11160101, 11160102, 11160103, 11160104, 11160105, 11160106, 11160107, 11160108, 11160109, 11160110]	[1116002, 1116003, 1116004]	第十六章	UiFubenMainMapTab.ChapterBg10B														
1200		3	序章	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenVt00.prefab			[10210115]		序章	UiFubenMainMapTab.ChapterBg10A				84102451								[10210214]	[84102455]	['Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip13.png']
1202	2	3	苦刑之旅	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenVt02.prefab			[10210117]		第二章	UiFubenMainMapTab.ChapterBg10A				84102452								[10210215]	[84102456]	['Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip13.png']
1205	5	3	破碎幻影	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenVt05.prefab			[10210119]		第五章	UiFubenMainMapTab.ChapterBg10A				84102453								[10210216]	[84102457]	['Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip13.png']
1208	8	3	噬暗	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenVt08.prefab			[10210121]		第八章	UiFubenMainMapTab.ChapterBg10A				84102454								[10210217]	[84102458]	['Assets/Product/Texture/Image/UiFubenMainTab/CommonFubenSkip13.png']
