Id	Cvs	CvContent
102012	[102012, 202012, 302012, 402012]	['请期待我的表现。', '请期待我的表现。', '请期待我的表现。', '请期待我的表现。']
102013	[102013, 202013, 302013, 402013]	['我会好好完成队长的职务。', '我会好好完成队长的职务。', '我会好好完成队长的职务。', '我会好好完成队长的职务。']
102014	[102014, 202014, 302014, 402014]	['有新的任务完成了， 回基地领取奖励吧。', '有新的任务完成了， 回基地领取奖励吧。', '有新的任务完成了， 回基地领取奖励吧。', '有新的任务完成了， 回基地领取奖励吧。']
102015	[102015, 202015, 302015, 402015]	['任务已经完成，请记得领取奖励。', '任务已经完成，请记得领取奖励。', '任务已经完成，请记得领取奖励。', '任务已经完成，请记得领取奖励。']
102016	[102016, 202016, 302016, 402016]	['任务已经完成，请记得领取奖励。', '任务已经完成，请记得领取奖励。', '任务已经完成，请记得领取奖励。', '任务已经完成，请记得领取奖励。']
102017	[102017, 202017, 302017, 402017]	['每个任务都会有对应的奖励可以领取。', '每个任务都会有对应的奖励可以领取。', '每个任务都会有对应的奖励可以领取。', '每个任务都会有对应的奖励可以领取。']
102018	[102018, 202018, 302018, 402018]	['做完任务去记得去基地看看， 可以领取到奖励。', '做完任务去记得去基地看看， 可以领取到奖励。', '做完任务去记得去基地看看， 可以领取到奖励。', '做完任务去记得去基地看看， 可以领取到奖励。']
102019	[102019, 202019, 302019, 402019]	['做完任务去记得去基地看看， 可以领取到奖励。', '做完任务去记得去基地看看， 可以领取到奖励。', '做完任务去记得去基地看看， 可以领取到奖励。', '做完任务去记得去基地看看， 可以领取到奖励。']
102020	[102020, 202020, 302020, 402020]	['指挥官，任务完成后的奖励， 你有去确认吗？', '指挥官，任务完成后的奖励， 你有去确认吗？', '指挥官，任务完成后的奖励， 你有去确认吗？', '指挥官，任务完成后的奖励， 你有去确认吗？']
102021	[102021, 202021, 302021, 402021]	['指挥官， 完成任务的奖励貌似发下来了。', '指挥官， 完成任务的奖励貌似发下来了。', '指挥官， 完成任务的奖励貌似发下来了。', '指挥官， 完成任务的奖励貌似发下来了。']
102022	[102022, 202022, 302022, 402022]	['任务完成的奖励到了，指挥官， 要一起去看看吗？', '任务完成的奖励到了，指挥官， 要一起去看看吗？', '任务完成的奖励到了，指挥官， 要一起去看看吗？', '任务完成的奖励到了，指挥官， 要一起去看看吗？']
102023	[102023, 202023, 302023, 402023]	['这是伊甸对指挥官努力的肯定， 去领取任务奖励吧。', '这是伊甸对指挥官努力的肯定， 去领取任务奖励吧。', '这是伊甸对指挥官努力的肯定， 去领取任务奖励吧。', '这是伊甸对指挥官努力的肯定， 去领取任务奖励吧。']
102024	[102024, 202024, 302024, 402024]	['每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？', '每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？', '每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？', '每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？']
102025	[102025, 202025, 302025, 402025]	['又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。', '又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。', '又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。', '又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。']
102026	[102026, 202026, 302026, 402026]	['早上好指挥官， 请继续为了收复地球而努力。', '早上好指挥官， 请继续为了收复地球而努力。', '早上好指挥官， 请继续为了收复地球而努力。', '早上好指挥官， 请继续为了收复地球而努力。']
102027	[102027, 202027, 302027, 402027]	['人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。', '人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。', '人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。', '人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。']
102028	[102028, 202028, 302028, 402028]	['在您没有下令的时候，灰鸦小队会在基地维持待机状态。', '在您没有下令的时候，灰鸦小队会在基地维持待机状态。', '在您没有下令的时候，灰鸦小队会在基地维持待机状态。', '在您没有下令的时候，灰鸦小队会在基地维持待机状态。']
102029	[102029, 202029, 302029, 402029]	['晚上好，我认为，现在并不是执行任务的好时间。', '晚上好，我认为，现在并不是执行任务的好时间。', '晚上好，我认为，现在并不是执行任务的好时间。', '晚上好，我认为，现在并不是执行任务的好时间。']
102030	[102030, 202030, 302030, 402030]	['指挥官如果有什么不适应， 请尽管找我。', '指挥官如果有什么不适应， 请尽管找我。', '指挥官如果有什么不适应， 请尽管找我。', '指挥官如果有什么不适应， 请尽管找我。']
102031	[102031, 202031, 302031, 402031]	['希望您已经适应了指挥官的职务。', '希望您已经适应了指挥官的职务。', '希望您已经适应了指挥官的职务。', '希望您已经适应了指挥官的职务。']
102032	[102032, 202032, 302032, 402032]	['人类不像构造体不会累计疲劳， 所以希望您也能好好休息。', '人类不像构造体不会累计疲劳， 所以希望您也能好好休息。', '人类不像构造体不会累计疲劳， 所以希望您也能好好休息。', '人类不像构造体不会累计疲劳， 所以希望您也能好好休息。']
102033	[102033, 202033, 302033, 402033]	['接下来还会有更艰难的任务， 您做得到吗？', '接下来还会有更艰难的任务， 您做得到吗？', '接下来还会有更艰难的任务， 您做得到吗？', '接下来还会有更艰难的任务， 您做得到吗？']
102034	[102034, 202034, 302034, 402034]	['我会成为您的利刃， 请毫不犹豫地下达命令。', '我会成为您的利刃， 请毫不犹豫地下达命令。', '我会成为您的利刃， 请毫不犹豫地下达命令。', '我会成为您的利刃， 请毫不犹豫地下达命令。']
102035	[102035, 202035, 302035, 402035]	['您是说……让我换一种说话的方式吗？', '您是说……让我换一种说话的方式吗？', '您是说……让我换一种说话的方式吗？', '您是说……让我换一种说话的方式吗？']
102036	[102036, 202036, 302036, 402036]	['最近的任务比较辛苦……您…… 适应得过来吗？', '最近的任务比较辛苦……您…… 适应得过来吗？', '最近的任务比较辛苦……您…… 适应得过来吗？', '最近的任务比较辛苦……您…… 适应得过来吗？']
102037	[102037, 202037, 302037, 402037]	['想要休息的话，可以尽管去休息的。', '想要休息的话，可以尽管去休息的。', '想要休息的话，可以尽管去休息的。', '想要休息的话，可以尽管去休息的。']
102038	[102038, 202038, 302038, 402038]	['我会让自己变得更强， 所以请您不要勉强自己。', '我会让自己变得更强， 所以请您不要勉强自己。', '我会让自己变得更强， 所以请您不要勉强自己。', '我会让自己变得更强， 所以请您不要勉强自己。']
102039	[102039, 202039, 302039, 402039]	['等到全部都结束的那天…… 我能见到你吗？', '等到全部都结束的那天…… 我能见到你吗？', '等到全部都结束的那天…… 我能见到你吗？', '等到全部都结束的那天…… 我能见到你吗？']
102040	[102040, 202040, 302040, 402040]	['放心吧，一定，不会忘记的……', '放心吧，一定，不会忘记的……', '放心吧，一定，不会忘记的……', '放心吧，一定，不会忘记的……']
102041	[102041, 202041, 302041, 402041]	['指挥官如此命令的话， 那我就绝对不会输。', '指挥官如此命令的话， 那我就绝对不会输。', '指挥官如此命令的话， 那我就绝对不会输。', '指挥官如此命令的话， 那我就绝对不会输。']
102042	[102042, 202042, 302042, 402042]	['我的意识海里，绽放出了一朵美丽的，红色的花。', '我的意识海里，绽放出了一朵美丽的，红色的花。', '我的意识海里，绽放出了一朵美丽的，红色的花。', '我的意识海里，绽放出了一朵美丽的，红色的花。']
102043	[102043, 202043, 302043, 402043]	['只要有你在， 无论是怎样的未来我都无所畏惧。', '只要有你在， 无论是怎样的未来我都无所畏惧。', '只要有你在， 无论是怎样的未来我都无所畏惧。', '只要有你在， 无论是怎样的未来我都无所畏惧。']
102044	[102044, 202044, 302044, 402044]	['我尝试过想象没有你的世界……请你，一直都做我的指挥官。', '我尝试过想象没有你的世界……请你，一直都做我的指挥官。', '我尝试过想象没有你的世界……请你，一直都做我的指挥官。', '我尝试过想象没有你的世界……请你，一直都做我的指挥官。']
102045	[102045, 202045, 302045, 402045]	['需要进一步对指挥官熟悉起来， 这对战斗有好处。', '需要进一步对指挥官熟悉起来， 这对战斗有好处。', '需要进一步对指挥官熟悉起来， 这对战斗有好处。', '需要进一步对指挥官熟悉起来， 这对战斗有好处。']
102046	[102046, 202046, 302046, 402046]	['嗯，这几天和指挥官的接触还蛮多呢。', '嗯，这几天和指挥官的接触还蛮多呢。', '嗯，这几天和指挥官的接触还蛮多呢。', '嗯，这几天和指挥官的接触还蛮多呢。']
102047	[102047, 202047, 302047, 402047]	['意识海似乎有种奇怪的变化……', '意识海似乎有种奇怪的变化……', '意识海似乎有种奇怪的变化……', '意识海似乎有种奇怪的变化……']
102048	[102048, 202048, 302048, 402048]	['这种感觉……是心跳吗？', '这种感觉……是心跳吗？', '这种感觉……是心跳吗？', '这种感觉……是心跳吗？']
102049	[102049, 202049, 302049, 402049]	['好像对指挥官更加了解了。', '好像对指挥官更加了解了。', '好像对指挥官更加了解了。', '好像对指挥官更加了解了。']
102050	[102050, 202050, 302050, 402050]	['我很高兴。', '我很高兴。', '我很高兴。', '我很高兴。']
102051	[102051, 202051, 302051, 402051]	['指挥官是我们的指挥官真是太好了。', '指挥官是我们的指挥官真是太好了。', '指挥官是我们的指挥官真是太好了。', '指挥官是我们的指挥官真是太好了。']
102052	[102052, 202052, 302052, 402052]	['人类之间的关系，会像你和我这样吗？', '人类之间的关系，会像你和我这样吗？', '人类之间的关系，会像你和我这样吗？', '人类之间的关系，会像你和我这样吗？']
102053	[102053, 202053, 302053, 402053]	['像我们这样…… 就是人类称之为爱的吗？', '像我们这样…… 就是人类称之为爱的吗？', '像我们这样…… 就是人类称之为爱的吗？', '像我们这样…… 就是人类称之为爱的吗？']
102054	[102054, 202054, 302054, 402054]	['如果我是人类， 是不是能和你更加亲密呢？', '如果我是人类， 是不是能和你更加亲密呢？', '如果我是人类， 是不是能和你更加亲密呢？', '如果我是人类， 是不是能和你更加亲密呢？']
102055	[102055, 202055, 302055, 402055]	['希望指挥官能收下它。', '希望指挥官能收下它。', '希望指挥官能收下它。', '希望指挥官能收下它。']
102056	[102056, 202056, 302056, 402056]	['这个您应该能用上。', '这个您应该能用上。', '这个您应该能用上。', '这个您应该能用上。']
102057	[102057, 202057, 302057, 402057]	['看见它就想到了你……回过神，已经把它拿到你面前了……', '看见它就想到了你……回过神，已经把它拿到你面前了……', '看见它就想到了你……回过神，已经把它拿到你面前了……', '看见它就想到了你……回过神，已经把它拿到你面前了……']
102058	[102058, 202058, 302058, 402058]	['这个……你喜欢吗？如果喜欢的话……就太好了……', '这个……你喜欢吗？如果喜欢的话……就太好了……', '这个……你喜欢吗？如果喜欢的话……就太好了……', '这个……你喜欢吗？如果喜欢的话……就太好了……']
102059	[102059, 202059, 302059, 402059]	['指挥官，在忙吗？', '指挥官，在忙吗？', '指挥官，在忙吗？', '指挥官，在忙吗？']
102060	[102060, 202060, 302060, 402060]	['指挥官，您还在吗？', '指挥官，您还在吗？', '指挥官，您还在吗？', '指挥官，您还在吗？']
102061	[102061, 202061, 302061, 402061]	['指挥官，假如有空的话， 要不要来做些什么？', '指挥官，假如有空的话， 要不要来做些什么？', '指挥官，假如有空的话， 要不要来做些什么？', '指挥官，假如有空的话， 要不要来做些什么？']
102062	[102062, 202062, 302062, 402062]	['就这样呆着也挺好，就这样， 只有我们两个。', '就这样呆着也挺好，就这样， 只有我们两个。', '就这样呆着也挺好，就这样， 只有我们两个。', '就这样呆着也挺好，就这样， 只有我们两个。']
102063	[102063, 202063, 302063, 402063]	['意识连接已经长达1小时， 指挥官需要休息一会儿吗？', '意识连接已经长达1小时， 指挥官需要休息一会儿吗？', '意识连接已经长达1小时， 指挥官需要休息一会儿吗？', '意识连接已经长达1小时， 指挥官需要休息一会儿吗？']
102064	[102064, 202064, 302064, 402064]	['意识连接时间不宜过长， 请指挥官注意休息。', '意识连接时间不宜过长， 请指挥官注意休息。', '意识连接时间不宜过长， 请指挥官注意休息。', '意识连接时间不宜过长， 请指挥官注意休息。']
102065	[102065, 202065, 302065, 402065]	['意识连接太久会导致精神疲惫的， 休息一下怎么样？', '意识连接太久会导致精神疲惫的， 休息一下怎么样？', '意识连接太久会导致精神疲惫的， 休息一下怎么样？', '意识连接太久会导致精神疲惫的， 休息一下怎么样？']
102066	[102066, 202066, 302066, 402066]	['虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？', '虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？', '虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？', '虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？']
102067	[102067, 202067, 302067, 402067]	['今天也见面了，指挥官。', '今天也见面了，指挥官。', '今天也见面了，指挥官。', '今天也见面了，指挥官。']
102068	[102068, 202068, 302068, 402068]	['请随时指示，指挥官。', '接入成功，请随时指示，指挥官。', '请随时指示，指挥官。', '请随时指示，指挥官。']
102069	[102069, 202069, 302069, 402069]	['露西亚随时听候您的调遣。', '露西亚随时听候您的调遣。', '露西亚随时听候您的调遣。', '露西亚随时听候您的调遣。']
102070	[102070, 202070, 302070, 402070]	['欢迎，我一直都在。', '欢迎，我一直都在。', '欢迎，我一直都在。', '欢迎，我一直都在。']
102071	[102071, 202071, 302071, 402071]	['您结束其他地区的任务了吗？ 欢迎回来。', '您结束其他地区的任务了吗？ 欢迎回来。', '您结束其他地区的任务了吗？ 欢迎回来。', '您结束其他地区的任务了吗？ 欢迎回来。']
102072	[102072, 202072, 302072, 402072]	['许久不见，需要我向您简述这段时间的基地状况吗？', '许久不见，需要我向您简述这段时间的基地状况吗？', '许久不见，需要我向您简述这段时间的基地状况吗？', '许久不见，需要我向您简述这段时间的基地状况吗？']
102073	[102073, 202073, 302073, 402073]	['你不在的时间，我一直都在想你。', '你不在的时间，我一直都在想你。', '你不在的时间，我一直都在想你。', '你不在的时间，我一直都在想你。']
102074	[102074, 202074, 302074, 402074]	['我一直在等着你，还好你回来了。', '我一直在等着你，还好你回来了。', '我一直在等着你，还好你回来了。', '我一直在等着你，还好你回来了。']
102075	[102075, 202075, 302075, 402075]	['这、这是什么新的训练？', '这、这是什么新的训练？', '这、这是什么新的训练？', '这、这是什么新的训练？']
102076	[102076, 202076, 302076, 402076]	['是想锻炼我反应能力吗？', '是想锻炼我反应能力吗？', '是想锻炼我反应能力吗？', '是想锻炼我反应能力吗？']
102077	[102077, 202077, 302077, 402077]	['哎，我可不会摔倒的。', '哎，我可不会摔倒的。', '哎，我可不会摔倒的。', '哎，我可不会摔倒的。']
102078	[102078, 202078, 302078, 402078]	['好了好了……', '好了好了……', '好了好了……', '好了好了……']
102079	[102079, 202079, 302079, 402079]	['嗯？关节在不受控制……', '嗯？关节在不受控制……', '嗯？关节在不受控制……', '嗯？关节在不受控制……']
102080	[102080, 202080, 302080, 402080]	['这到底是……？', '这到底是……？', '这到底是……？', '这到底是……？']
102081	[102081, 202081, 302081, 402081]	['啊……你总是趁我发呆的时候吓唬我。', '啊……你总是趁我发呆的时候吓唬我。', '啊……你总是趁我发呆的时候吓唬我。', '啊……你总是趁我发呆的时候吓唬我。']
102082	[102082, 202082, 302082, 402082]	['如果这是表达心意的方法，那我也想要戳一下你。', '如果这是表达心意的方法，那我也想要戳一下你。', '如果这是表达心意的方法，那我也想要戳一下你。', '如果这是表达心意的方法，那我也想要戳一下你。']
102083	[102083, 202083, 302083, 402083]	['不愧是指挥官， 今日的活跃值已经达到最高。', '不愧是指挥官， 今日的活跃值已经达到最高。', '不愧是指挥官， 今日的活跃值已经达到最高。', '不愧是指挥官， 今日的活跃值已经达到最高。']
102084	[102084, 202084, 302084, 402084]	['战斗结束，下一场战斗是什么？', '战斗结束，下一场战斗是什么？', '战斗结束，下一场战斗是什么？', '战斗结束，下一场战斗是什么？']
102085	[102085, 202085, 302085, 402085]	['辛苦了，接下来需要我出场吗？', '辛苦了，接下来需要我出场吗？', '辛苦了，接下来需要我出场吗？', '辛苦了，接下来需要我出场吗？']
102086	[102086, 202086, 302086, 402086]	['露西亚……出击。', '露西亚……出击。', '露西亚……出击。', '露西亚……出击。']
102087	[102087, 202087, 302087, 402087]	['指挥官，现有的电量已经无法支撑一场战斗，请及时补充。', '指挥官，现有的电量已经无法支撑一场战斗，请及时补充。', '指挥官，现有的电量已经无法支撑一场战斗，请及时补充。', '指挥官，现有的电量已经无法支撑一场战斗，请及时补充。']
102088	[102088, 202088, 302088, 402088]	['……早，请尽快出征。', '……早，请尽快出征。', '……早，请尽快出征。', '……早，请尽快出征。']
102089	[102089, 202089, 302089, 402089]	['适当的休息一下， 下午可以更好的战斗。', '适当的休息一下， 下午可以更好的战斗。', '适当的休息一下， 下午可以更好的战斗。', '适当的休息一下， 下午可以更好的战斗。']
102090	[102090, 202090, 302090, 402090]	['如果睡不着，就继续去战斗吧。', '如果睡不着，就继续去战斗吧。', '如果睡不着，就继续去战斗吧。', '如果睡不着，就继续去战斗吧。']
102091	[102091, 202091, 302091, 402091]	['没什么要紧事的话，可以出战了， 指挥官。', '没什么要紧事的话，可以出战了， 指挥官。', '没什么要紧事的话，可以出战了， 指挥官。', '没什么要紧事的话，可以出战了， 指挥官。']
102092	[102092, 202092, 302092, 402092]	['不要偷懒，任务还没完成吧？', '不要偷懒，任务还没完成吧？', '不要偷懒，任务还没完成吧？', '不要偷懒，任务还没完成吧？']
102093	[102093, 202093, 302093, 402093]	['怎么到要战斗的时候， 你就需要睡眠了呢？', '怎么到要战斗的时候， 你就需要睡眠了呢？', '怎么到要战斗的时候， 你就需要睡眠了呢？', '怎么到要战斗的时候， 你就需要睡眠了呢？']
102094	[102094, 202094, 302094, 402094]	['把电力能源补充好，就开始新一轮的战斗吧。', '把电力能源补充好，就开始新一轮的战斗吧。', '把电力能源补充好，就开始新一轮的战斗吧。', '把电力能源补充好，就开始新一轮的战斗吧。']
102095	[102095, 202095, 302095, 402095]	['战斗？这不是我们唯一的存在意义吗？', '战斗？这不是我们唯一的存在意义吗？', '战斗？这不是我们唯一的存在意义吗？', '战斗？这不是我们唯一的存在意义吗？']
102096	[102096, 202096, 302096, 402096]	['只要我还没有报废， 战场永远都是我最后的归宿。', '只要我还没有报废， 战场永远都是我最后的归宿。', '只要我还没有报废， 战场永远都是我最后的归宿。', '只要我还没有报废， 战场永远都是我最后的归宿。']
102097	[102097, 202097, 302097, 402097]	['我不会乱来，你别担心了。', '我不会乱来，你别担心了。', '我不会乱来，你别担心了。', '我不会乱来，你别担心了。']
102098	[102098, 202098, 302098, 402098]	['比起我，你才是更容易逞强的人吧？', '比起我，你才是更容易逞强的人吧？', '比起我，你才是更容易逞强的人吧？', '比起我，你才是更容易逞强的人吧？']
102099	[102099, 202099, 302099, 402099]	['嗯，我们……彼此彼此。', '嗯，我们……彼此彼此。', '嗯，我们……彼此彼此。', '嗯，我们……彼此彼此。']
102100	[102100, 202100, 302100, 402100]	['有你在，我不会有事的。', '有你在，我不会有事的。', '有你在，我不会有事的。', '有你在，我不会有事的。']
102101	[102101, 202101, 302101, 402101]	['放心吧，战场上我会保护你的。', '放心吧，战场上我会保护你的。', '放心吧，战场上我会保护你的。', '放心吧，战场上我会保护你的。']
102102	[102102, 202102, 302102, 402102]	['你的命令就是我的信仰， 我不会让信仰倒下的！', '你的命令就是我的信仰， 我不会让信仰倒下的！', '你的命令就是我的信仰， 我不会让信仰倒下的！', '你的命令就是我的信仰， 我不会让信仰倒下的！']
102103	[102103, 202103, 302103, 402103]	['我只为你的存在而战斗。', '我只为你的存在而战斗。', '我只为你的存在而战斗。', '我只为你的存在而战斗。']
102104	[102104, 202104, 302104, 402104]	['我们的生命联系在了一起， 我不会放弃你的，你呢？', '我们的生命联系在了一起， 我不会放弃你的，你呢？', '我们的生命联系在了一起， 我不会放弃你的，你呢？', '我们的生命联系在了一起， 我不会放弃你的，你呢？']
102105	[102105, 202105, 302105, 402105]	['即使化为修罗，我也要保护你。', '即使化为修罗，我也要保护你。', '即使化为修罗，我也要保护你。', '即使化为修罗，我也要保护你。']
102106	[102106, 202106, 302106, 402106]	['其实并没有那么想和你搞好关系……', '其实并没有那么想和你搞好关系……', '其实并没有那么想和你搞好关系……', '其实并没有那么想和你搞好关系……']
102107	[102107, 202107, 302107, 402107]	['嗯……', '嗯……', '嗯……', '嗯……']
102108	[102108, 202108, 302108, 402108]	['你贴的太近了。', '你贴的太近了。', '你贴的太近了。', '你贴的太近了。']
102109	[102109, 202109, 302109, 402109]	['嗯？我并没有什么情绪波动。', '嗯？我并没有什么情绪波动。', '嗯？我并没有什么情绪波动。', '嗯？我并没有什么情绪波动。']
102110	[102110, 202110, 302110, 402110]	['你……想要我有什么反应？', '你……想要我有什么反应？', '你……想要我有什么反应？', '你……想要我有什么反应？']
102111	[102111, 202111, 302111, 402111]	['是指挥官的话……就没有问题。', '是指挥官的话……就没有问题。', '是指挥官的话……就没有问题。', '是指挥官的话……就没有问题。']
102112	[102112, 202112, 302112, 402112]	['我只是在知识理论上……了解过这些……', '我只是在知识理论上……了解过这些……', '我只是在知识理论上……了解过这些……', '我只是在知识理论上……了解过这些……']
102113	[102113, 202113, 302113, 402113]	['我的意识海似乎不排斥这样的感情。', '我的意识海似乎不排斥这样的感情。', '我的意识海似乎不排斥这样的感情。', '我的意识海似乎不排斥这样的感情。']
102114	[102114, 202114, 302114, 402114]	['这好像是可以包容一切的力量。', '这好像是可以包容一切的力量。', '这好像是可以包容一切的力量。', '这好像是可以包容一切的力量。']
102115	[102115, 202115, 302115, 402115]	['你总是给予我无畏一切黑暗的力量。', '你总是给予我无畏一切黑暗的力量。', '你总是给予我无畏一切黑暗的力量。', '你总是给予我无畏一切黑暗的力量。']
102116	[102116, 202116, 302116, 402116]	['如果可以，我甚至想永远地把你留在我的意识海里……', '如果可以，我甚至想永远地把你留在我的意识海里……', '如果可以，我甚至想永远地把你留在我的意识海里……', '如果可以，我甚至想永远地把你留在我的意识海里……']
102117	[102117, 202117, 302117, 402117]	['我只是随手带了回来，你喜欢的话就给你吧。', '我只是随手带了回来，你喜欢的话就给你吧。', '我只是随手带了回来，你喜欢的话就给你吧。', '我只是随手带了回来，你喜欢的话就给你吧。']
102118	[102118, 202118, 302118, 402118]	['我还不知道这种东西也可以当礼物，你想要的话就拿去吧。', '我还不知道这种东西也可以当礼物，你想要的话就拿去吧。', '我还不知道这种东西也可以当礼物，你想要的话就拿去吧。', '我还不知道这种东西也可以当礼物，你想要的话就拿去吧。']
102119	[102119, 202119, 302119, 402119]	['听说这个能当纪念品，我就给你带回来了。', '听说这个能当纪念品，我就给你带回来了。', '听说这个能当纪念品，我就给你带回来了。', '听说这个能当纪念品，我就给你带回来了。']
102120	[102120, 202120, 302120, 402120]	['你会珍惜的，对吗？', '你会珍惜的，对吗？', '你会珍惜的，对吗？', '你会珍惜的，对吗？']
102121	[102121, 202121, 302121, 402121]	['工作要认真，指挥官，', '工作要认真，指挥官，', '工作要认真，指挥官，', '工作要认真，指挥官，']
102122	[102122, 202122, 302122, 402122]	['是被伊甸的人叫走了吗？', '是被伊甸的人叫走了吗？', '是被伊甸的人叫走了吗？', '是被伊甸的人叫走了吗？']
102123	[102123, 202123, 302123, 402123]	['怎么连你也不理我……', '怎么连你也不理我……', '怎么连你也不理我……', '怎么连你也不理我……']
102124	[102124, 202124, 302124, 402124]	['看看我啊……', '看看我啊……', '看看我啊……', '看看我啊……']
102125	[102125, 202125, 302125, 402125]	['连接这么长时间也不去休息，是不想要人类的身躯了吗？', '连接这么长时间也不去休息，是不想要人类的身躯了吗？', '连接这么长时间也不去休息，是不想要人类的身躯了吗？', '连接这么长时间也不去休息，是不想要人类的身躯了吗？']
102126	[102126, 202126, 302126, 402126]	['你又不像我们， 别总拿自己身体开玩笑。', '你又不像我们， 别总拿自己身体开玩笑。', '你又不像我们， 别总拿自己身体开玩笑。', '你又不像我们， 别总拿自己身体开玩笑。']
102127	[102127, 202127, 302127, 402127]	['我不准你再连接这么长时间了， 对身体损伤很大，不知道吗？', '我不准你再连接这么长时间了， 对身体损伤很大，不知道吗？', '我不准你再连接这么长时间了， 对身体损伤很大，不知道吗？', '我不准你再连接这么长时间了， 对身体损伤很大，不知道吗？']
102128	[102128, 202128, 302128, 402128]	['你要是因为这个受伤了……我该怎么办？', '你要是因为这个受伤了……我该怎么办？', '你要是因为这个受伤了……我该怎么办？', '你要是因为这个受伤了……我该怎么办？']
102129	[102129, 202129, 302129, 402129]	['您好，露西亚随时准备作战。', '您好，露西亚随时准备作战。', '您好，露西亚随时准备作战。', '您好，露西亚随时准备作战。']
102130	[102130, 202130, 302130, 402130]	['您来了，有需要的地方请随时找我。', '您来了，有需要的地方请随时找我。', '您来了，有需要的地方请随时找我。', '您来了，有需要的地方请随时找我。']
102131	[102131, 202131, 302131, 402131]	['鲜少在这个时间见面呢，指挥官', '鲜少在这个时间见面呢，指挥官', '鲜少在这个时间见面呢，指挥官', '鲜少在这个时间见面呢，指挥官']
102132	[102132, 202132, 302132, 402132]	['今天也能见到你，真是太好了……', '今天也能见到你，真是太好了……', '今天也能见到你，真是太好了……', '今天也能见到你，真是太好了……']
102133	[102133, 202133, 302133, 402133]	['原来是你回来了。', '原来是你回来了。', '原来是你回来了。', '原来是你回来了。']
102134	[102134, 202134, 302134, 402134]	['你倒还知道回来。', '你倒还知道回来。', '你倒还知道回来。', '你倒还知道回来。']
102135	[102135, 202135, 302135, 402135]	['你走了很久……', '你走了很久……', '你走了很久……', '你走了很久……']
102136	[102136, 202136, 302136, 402136]	['你还愿意回来就好……我一直在等你。', '你还愿意回来就好……我一直在等你。', '你还愿意回来就好……我一直在等你。', '你还愿意回来就好……我一直在等你。']
