Id	Name	Type	BuffId	BuffIds	Desc	DescTimeType	Icon	ScreenMaskType	ControlType	ShowCountdown	HintText	HintTextTimeType	EnergyCost	AddEnergyType	AddEnergyCount	SkillParam	SkillParams	ScoreFactor	LowerLimit	UpperLimit	SkillComboType	SkillAttributeFactor
11	消除同色	3			消除指定同色球，每个球算作一次单消	消除指定同色球，每个球算作一次单消	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择一个球，消除所有同色球，<color=#fb9048>冷却6回合</color>	选择一个球，消除所有同色球，<color=#fb9048>冷却6秒</color>										
12	真·消除同色	15			消除指定颜色的球，分数算作一次多消	消除指定颜色的球，分数算作一次多消	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择一个球，消除所有同色球，作为一次多消，<color=#fb9048>冷却6回合</color>	选择一个球，消除所有同色球，作为一次多消，<color=#fb9048>冷却6秒</color>										
13	加步数	6		[70]	增加行动步数1步	增加行动步数1步	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	1		1	点击增加行动步数1步，<color=#fb9048>冷却5回合</color>	点击增加行动步数1步，<color=#fb9048>冷却5秒</color>										
14	加速冷却	9			使其他冷却中技能的冷却减少5回合	使其他冷却中技能的冷却减少5秒	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	5		1	使其他冷却中技能的冷却减少5回合，<color=#fb9048>冷却5回合</color>	使其他冷却中技能的冷却减少5秒，<color=#fb9048>冷却5秒</color>				5						
15	消除一个球	17			消除1个球	消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	2	1	1	点击消除1个球，<color=#fb9048>冷却1回合</color>	点击消除1个球，<color=#fb9048>冷却1秒</color>										
16	随机消球	6		[71]	消球结束后会随机消除1个球	消球结束后会随机消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	3		1	消球结束后会随机消除1个球，<color=#fb9048>冷却1回合</color>	消球结束后会随机消除1个球，<color=#fb9048>冷却1秒</color>										
17	强化红	6		[72]	增加红球50%伤害分数2回合	增加红球50%伤害分数2秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	3		1	点击增加红球50%伤害分数2回合，<color=#fb9048>冷却6回合</color>	点击增加红球50%伤害分数2秒，<color=#fb9048>冷却6秒</color>										
18	强化红	6		[73]	增加红球100%伤害分数3回合	增加红球100%伤害分数3秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	3		1	点击增加红球100%伤害分数3回合，<color=#fb9048>冷却6回合</color>	点击增加红球100%伤害分数3秒，<color=#fb9048>冷却6秒</color>										
19	自选强化	8		[74, 75, 76, 77]	选择一种球，强化50%分数	选择一种球，强化50%分数	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	6		1	选择一种球，强化50%分数，<color=#fb9048>冷却3回合</color>	选择一种球，强化50%分数，<color=#fb9048>冷却3秒</color>										
20	随机强化	13		[109, 110, 111, 112, 113, 114, 115, 116, 117]	随机产生强化红黄蓝球30%/40%/50%分数的buff3次	随机产生强化红黄蓝球30%/40%/50%分数的buff3次	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	3		1	随机产生强化红黄蓝球30%/40%/50%分数的buff3次，<color=#fb9048>冷却3回合</color>	随机产生强化红黄蓝球30%/40%/50%分数的buff3次，<color=#fb9048>冷却3秒</color>				3						
21	改变一个球	10			改变1个球的颜色	改变1个球的颜色	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	2	2	1	改变1个球的颜色，<color=#fb9048>冷却6回合</color>	改变1个球的颜色，<color=#fb9048>冷却6秒</color>										
22	改变一种球	4			改变1种球的颜色	改变1种球的颜色	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	2	2	1	改变1种球的颜色，<color=#fb9048>冷却6回合</color>	改变1种球的颜色，<color=#fb9048>冷却6秒</color>										
23	消除一列	2			消除一列	消除一列	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	点击一个球，消除整列，<color=#fb9048>冷却3回合</color>	点击一个球，消除整列，<color=#fb9048>冷却3秒</color>										
24	消除一行一列	11			消除一行和一列	消除一行和一列	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	点击一个球，消除一行和一列，<color=#fb9048>冷却3回合</color>	点击一个球，消除一行和一列，<color=#fb9048>冷却3秒</color>										
25	交换球	5			交换任意两个球	交换任意两个球	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	点击要交换的任意两个球，<color=#fb9048>冷却6回合</color>	点击要交换的任意两个球，<color=#fb9048>冷却6秒</color>										
26	交换球×4	16			交换任意两个球，交换4次或触发消除停止	交换任意两个球，交换4次或触发消除停止	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	交换任意两个球，交换4次或触发消除停止，<color=#fb9048>冷却6回合</color>	交换任意两个球，交换4次或触发消除停止，<color=#fb9048>冷却6秒</color>				4						
27	消除同色	3			消除指定同色球，每个球算作一次单消	消除指定同色球，每个球算作一次单消	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择要消除的颜色，<color=#fb9048>冷却7回合</color>	选择要消除的颜色，<color=#fb9048>冷却7秒</color>										
28	真·消除同色	15			消除指定颜色的球，分数算作一次多消	消除指定颜色的球，分数算作一次多消	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择要消除的颜色，消除该颜色的球，分数算作一次多消，<color=#fb9048>冷却7回合</color>	选择要消除的颜色，消除该颜色的球，分数算作一次多消，<color=#fb9048>冷却7秒</color>										
29	加步数	6		[82]	增加行动步数1步	增加行动步数1步	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	1		1	点击增加行动步数1步，<color=#fb9048>冷却6回合</color>	点击增加行动步数1步，<color=#fb9048>冷却6秒</color>										
30	加速冷却	9			使其他冷却中技能的冷却减少5回合	使其他冷却中技能的冷却减少5秒	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	5		1	使其他冷却中技能的冷却减少5回合，<color=#fb9048>冷却6回合</color>	使其他冷却中技能的冷却减少5秒，<color=#fb9048>冷却6秒</color>				5						
31	消除一个球	17			消除1个球	消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	2	1	1	点击消除1个球，<color=#fb9048>冷却2回合</color>	点击消除1个球，<color=#fb9048>冷却2秒</color>										
32	随机消球	6		[83]	消球结束后会随机消除1个球	消球结束后会随机消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	3		1	消球结束后会随机消除1个球，<color=#fb9048>冷却2回合</color>	消球结束后会随机消除1个球，<color=#fb9048>冷却2秒</color>										
33	强化蓝	6		[84]	增加蓝球50%伤害分数2回合	增加蓝球50%伤害分数2秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan2.png	3		1	点击增加蓝球50%伤害分数2回合，<color=#fb9048>冷却6回合</color>	点击增加蓝球50%伤害分数2秒，<color=#fb9048>冷却6秒</color>										
34	强化蓝	6		[85]	增加蓝球100%伤害分数3回合	增加蓝球100%伤害分数3秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan2.png	3		1	点击增加蓝球100%伤害分数3回合，<color=#fb9048>冷却6回合</color>	点击增加蓝球100%伤害分数3秒，<color=#fb9048>冷却6秒</color>										
35	强化黄	6		[86]	增加黄球50%伤害分数2回合	增加黄球50%伤害分数2秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang2.png	3		1	点击增加黄球50%伤害分数2回合，<color=#fb9048>冷却6回合</color>	点击增加黄球50%伤害分数2秒，<color=#fb9048>冷却6秒</color>										
36	强化黄	6		[87]	增加黄球100%伤害分数3回合	增加黄球100%伤害分数3秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang2.png	3		1	点击增加黄球100%伤害分数3回合，<color=#fb9048>冷却6回合</color>	点击增加黄球100%伤害分数3秒，<color=#fb9048>冷却6秒</color>										
37	强化普攻	6		[88]	增加普攻球50%伤害分数2回合	增加普攻球50%伤害分数2秒	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png	3		1	点击增加普攻球50%伤害分数2回合，<color=#fb9048>冷却6回合</color>	点击增加普攻球50%伤害分数2秒，<color=#fb9048>冷却6秒</color>										
38	强化普攻	6		[89]	增加普攻球100%伤害分数3回合	增加普攻球100%伤害分数3秒	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png	3		1	点击增加普攻球100%伤害分数3回合，<color=#fb9048>冷却6回合</color>	点击增加普攻球100%伤害分数3秒，<color=#fb9048>冷却6秒</color>										
39	消除一行	1			消除一行	消除一行	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo3.png	2	1	1	点击一个球，消除整行，<color=#fb9048>冷却4回合</color>	点击一个球，消除整行，<color=#fb9048>冷却4秒</color>										
40	消除两行	12			消除两行	消除两行	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo3.png	2	1	1	点击一个球，消除一行和下一行，<color=#fb9048>冷却4回合</color>	点击一个球，消除一行和下一行，<color=#fb9048>冷却4秒</color>										
41	改变1种球	4			改变1种球的颜色	改变1种球的颜色	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	2	2	1	选择要改变的一种球，<color=#fb9048>冷却8回合</color>	选择要改变的一种球，<color=#fb9048>冷却8秒</color>										
42	改变下落的球	14		[91, 92, 93, 94]	下落的20个球改为指定颜色	下落的20个球改为指定颜色	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	6		1	将下落的20个球改为指定颜色，<color=#fb9048>冷却8回合</color>	将下落的20个球改为指定颜色，<color=#fb9048>冷却8秒</color>										
43	增加能量	7			增加15能量	增加15能量	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	4		1	点击增加15能量，<color=#fb9048>冷却8回合</color>	点击增加15能量，<color=#fb9048>冷却8秒</color>		1	15							
101	全屏消除	18			球盘内所有球以400%伤害消除	球盘内所有球以400%伤害消除	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon03.png	2	1	1	点击棋盘释放技能，当前球盘<color=#fb9048>所有球以400%伤害消除</color>，冷却3回合。	点击棋盘释放技能，当前球盘<color=#fb9048>所有球以400%伤害消除</color>，冷却3秒。						4.0				
102	伤害超算	6		[3001, 3002, 3003]	增加所有球70%伤害，持续2回合	增加所有球70%伤害，持续2秒	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon05.png	3		1	点击进入伤害超算，<color=#fb9048>当前回合增加所有球70%伤害</color>，持续2回合，冷却2回合	点击进入伤害超算，<color=#fb9048>当前秒增加所有球70%伤害</color>，持续2秒，冷却2秒										
103	随机多球	21			在5-10中取任意数字，随机对应数量的球以600%伤害进行消除	在5-10中取任意数字，随机对应数量的球以600%伤害进行消除	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon06.png	2	1	1	点击球盘释放技能，随机消除若干单球，<color=#fb9048>造成600%的伤害</color>，冷却2回合	点击球盘释放技能，随机消除若干单球，<color=#fb9048>造成600%的伤害</color>，冷却2秒						6.0	5	10		
104	范围炸弹	19			随机生成4个炸弹，炸弹将产生范围爆炸，对应范围内的球以600%伤害进行消除	随机生成4个炸弹，炸弹将产生范围爆炸，对应范围内的球以600%伤害进行消除	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon02.png	2	1	1	点击球盘释放技能，将随机生成炸弹，<color=#fb9048>造成600%的伤害</color>，冷却2回合	点击球盘释放技能，将随机生成炸弹，<color=#fb9048>造成600%的伤害</color>，冷却2秒				4		6.0				
105	解除负面	20			解除当前球盘内的所有负面效果	解除当前球盘内的所有负面效果	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon01.png	3		1	点击解除<color=#fb9048>当前回合Boss持有的所有增益效果</color>，从而解除球盘所有负面效果，冷却1回合	点击解除<color=#fb9048>当前秒Boss持有的所有增益效果</color>，从而解除球盘所有负面效果，冷却1秒										
106	重置冷却	9			重置当前所有副技能的冷却	重置当前所有副技能的冷却	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon04.png	5		1	点击<color=#fb9048>重置所有副技能的冷却</color>，冷却5回合	点击<color=#fb9048>重置所有副技能的冷却</color>，冷却5秒				100						
107	强化红	6		[3010]	增加红球50%伤害，持续2回合，冷却6回合	增加红球50%伤害，持续2秒，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	3		1	点击增加红球50%伤害2回合，<color=#fb9048>冷却6回合</color>	点击增加红球50%伤害2秒，<color=#fb9048>冷却6秒</color>										
108	强化蓝	6		[3011]	增加蓝球50%伤害，持续2回合，冷却6回合	增加蓝球50%伤害，持续2秒，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan2.png	3		1	点击增加蓝球50%伤害2回合，<color=#fb9048>冷却6回合</color>	点击增加蓝球50%伤害2秒，<color=#fb9048>冷却6秒</color>										
109	强化黄	6		[3012]	增加黄球50%伤害，持续2回合，冷却6回合	增加黄球50%伤害，持续2秒，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang2.png	3		1	点击增加黄球50%伤害2回合，<color=#fb9048>冷却6回合</color>	点击增加黄球50%伤害2秒，<color=#fb9048>冷却6秒</color>										
110	强化普攻	6		[3013]	增加普攻球50%伤害，持续2回合，冷却6回合	增加普攻球50%伤害，持续2秒，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png	3		1	点击增加普攻球50%伤害2回合，<color=#fb9048>冷却6回合</color>	点击增加普攻球50%伤害2秒，<color=#fb9048>冷却6秒</color>										
111	自选强化	8		[3020, 3021, 3022, 3023]	自选1种球，增加50%伤害，持续1回合，冷却3回合	自选1种球，增加50%伤害，持续1秒，冷却3秒	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	6		1	选择一种球，强化50%伤害1回合，<color=#fb9048>冷却3回合</color>	选择一种球，强化50%伤害1秒，<color=#fb9048>冷却3秒</color>										
112	消除一行一列	11			选择指定球后消除对应所在的行与列，冷却6回合	选择指定球后消除对应所在的行与列，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	选择一个球，消除其所在的行与列，<color=#fb9048>冷却6回合</color>	选择一个球，消除其所在的行与列，<color=#fb9048>冷却6秒</color>										
113	消除同色	3			消除指定颜色的所有信号球，冷却7回合	消除指定颜色的所有信号球，冷却7秒	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择要消除的颜色，<color=#fb9048>冷却7回合</color>	选择要消除的颜色，<color=#fb9048>冷却7秒</color>										
114	改变一种球	4			改变1种球的颜色，冷却8回合	改变1种球的颜色，冷却8秒	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	2	2	1	选择要改变的颜色，<color=#fb9048>冷却8回合</color>	选择要改变的颜色，<color=#fb9048>冷却8秒</color>										
115	交换球	5			交换任意2个球，冷却6回合	交换任意2个球，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	选择要交换的两个球，<color=#fb9048>冷却6回合</color>	选择要交换的两个球，<color=#fb9048>冷却6秒</color>										
116	加步数	6		[3030]	增加1次行动机会，冷却6回合	增加1次行动机会，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	1		1	点击增加1次行动机会，<color=#fb9048>冷却6回合</color>	点击增加1次行动机会，<color=#fb9048>冷却6秒</color>										
117	消除一个球	17			消除1个球，冷却2回合	消除1个球，冷却2秒	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	2	1	1	点击消除1个球，<color=#fb9048>冷却2回合</color>	点击消除1个球，<color=#fb9048>冷却2秒</color>										
401	蓝球冲击	26			将球盘所有球修改为蓝球，以500%伤害消除，冷却3回合	将球盘所有球修改为蓝球，以500%伤害消除，冷却9秒	Assets/Product/Texture/Image/IconSkill/R3Twentyonehexin1.png	2	1	1	点击球盘释放技能，当前球盘<color=#CD6CFF>修改为蓝色且以500%伤害消除</color>，冷却3回合	点击球盘释放技能，当前球盘<color=#CD6CFF>修改为蓝色且以500%伤害消除</color>，冷却9秒				3		5.0				
402	遗忘色球	25		[4006]	自选指定颜色球进行消除，且未来10个球将不出现对应颜色，冷却2回合	自选指定颜色球进行消除，且未来10个球将不出现对应颜色，冷却6秒。	Assets/Product/Texture/Image/IconSkill/R2Bangbinatahexin1.png	6		1	选择一种球进行消除，未来10个球将不出现对应颜色，<color=#CD6CFF>冷却2回合</color>	选择一种球进行消除，未来10个球将不出现对应颜色，<color=#CD6CFF>冷却6秒</color>										
403	红黄超算	23			将当前所有球以红球及黄球重新排序，冷却2回合	将当前所有球以红球及黄球重新排序，冷却10秒	Assets/Product/Texture/Image/IconSkill/R4Lianghexin1.png	2	1	1	点击球盘将当前所有球以红球及黄球重新排序，<color=#CD6CFF>冷却2回合</color>	点击球盘将当前所有球以红球及黄球重新排序，<color=#CD6CFF>冷却10秒</color>										
404	随机双色	24			当前球盘数目最多的两种颜色球将以600%伤害消除，冷却2回合	当前球盘数目最多的两种颜色球将以600%伤害消除，冷却9秒	Assets/Product/Texture/Image/IconSkill/R4Kalieninahexin1.png	2	1	1	点击球盘选择数目最多的两种颜色球，以600%伤害消除，<color=#CD6CFF>冷却2回合</color>	点击球盘选择数目最多的两种颜色球，以600%伤害消除，<color=#CD6CFF>冷却9秒</color>						6.0				
405	剑气消球	22			将球盘所有球修改为剑意球，持续5秒，每次点击将消除1个剑意球，冷却5回合	将球盘所有球修改为剑意球，持续5秒，每次点击将消除1个剑意球，冷却12秒	Assets/Product/Texture/Image/IconSkill/R3luxiyahexin1.png	2	1	1	点击球盘释放技能，<color=#CD6CFF>5秒</color>内快速点击剑意球将其消除，<color=#CD6CFF>冷却5回合</color>	点击球盘释放技能，<color=#CD6CFF>5秒</color>内快速点击剑意球将其消除，<color=#CD6CFF>冷却12秒</color>				5					1	
406	超算推演	27			将球盘所有球将根据颜色按顺序排列，冷却3回合	将球盘所有球将根据颜色按顺序排列，冷却9秒	Assets/Product/Texture/Image/IconSkill/R4Biankahexin1.png	2	1	1	点击球盘释放技能，当前所有球重新按颜色顺序排列，<color=#CD6CFF>冷却3回合</color>	点击球盘释放技能，当前所有球重新按颜色顺序排列，<color=#CD6CFF>冷却9秒</color>										
411	自选强化	8		[4001, 4002, 4003, 4004]	自选1种球，增加50%伤害，持续1回合，冷却3回合	自选1种球，增加50%伤害，持续5秒，冷却9秒	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	6		1	选择一种球，强化50%伤害1回合，<color=#CD6CFF>冷却3回合</color>	选择一种球，强化50%伤害5秒，<color=#CD6CFF>冷却9秒</color>										
412	消除行列	11			选择指定球后消除对应所在的行与列，冷却6回合	选择指定球后消除对应所在的行与列，冷却18秒	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	选择一个球，消除其所在的行与列，<color=#CD6CFF>冷却6回合</color>	选择一个球，消除其所在的行与列，<color=#CD6CFF>冷却18秒</color>										
413	消除同色	3			消除指定颜色的所有信号球，冷却7回合	消除指定颜色的所有信号球，冷却21秒	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择要消除的颜色，<color=#CD6CFF>冷却7回合</color>	选择要消除的颜色，<color=#CD6CFF>冷却21秒</color>										
414	改变一种球	4			改变1种球的颜色，冷却8回合	改变1种球的颜色，冷却24秒	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	2	2	1	选择要改变的颜色，<color=#CD6CFF>冷却8回合</color>	选择要改变的颜色，<color=#CD6CFF>冷却24秒</color>										
415	交换球	5			交换任意2个球，冷却6回合	交换任意2个球，冷却18秒	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	选择要交换的两个球，<color=#CD6CFF>冷却6回合</color>	选择要交换的两个球，<color=#CD6CFF>冷却18秒</color>										
416	加步数	6		[4005]	增加1次行动机会，冷却6回合	增加1次行动机会，冷却18秒	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	1		1	点击增加1次行动机会，<color=#CD6CFF>冷却6回合</color>	点击增加1次行动机会，<color=#CD6CFF>冷却18秒</color>										
417	消除单球	17			消除1个球，冷却2回合	消除1个球，冷却6秒	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	2	1	1	点击消除1个球，<color=#CD6CFF>冷却2回合</color>	点击消除1个球，<color=#CD6CFF>冷却6秒</color>										
501	伽蓝之海	29			自选1种球，将随机造成横或纵消，冷却3回合	自选1种球，将随机造成横或纵消，冷却20秒	Assets/Product/Texture/Image/IconSkill/R4Lifudazhao1.png	6		1	选择一种球，将对其所在位置发生横或纵消除，<color=#E3432A>冷却3回合</color>	选择一种球，将对其所在位置发生横或纵消除，<color=#E3432A>冷却20秒</color>	15					1.0				
502	极彩世界！	30			按照单列同色规则生成新球盘，持续5秒，每次点击将以1000%伤害消除1列同色球，冷却5回合	按照单列同色规则生成新球盘，持续5秒，每次点击将以1000%伤害消除1列同色球，冷却15秒	Assets/Product/Texture/Image/IconSkill/R3Ailadazhao1.png	2	1	1	点击球盘释放技能，<color=#E3432A>5秒</color>内每次点击将消除单列同色球，<color=#E3432A>冷却5回合</color>	点击球盘释放技能，<color=#E3432A>5秒</color>内每次点击将消除单列同色球，<color=#E3432A>冷却15秒</color>	12			5	[1, 2, 3]	10.0			1	
503	降雷坠	31			在球盘内随机生成3次降雷坠，每次降雷坠将产生九宫格范围消除，冷却3回合	在球盘内随机生成3次降雷坠，每次降雷坠将产生九宫格范围消除，冷却20秒	Assets/Product/Texture/Image/IconSkill/R3Weilahexin1.png	2	1	1	点击球盘释放技能，生成<color=#E3432A>3次</color>降雷坠，<color=#E3432A>冷却3回合</color>	点击球盘释放技能，生成<color=#E3432A>3次</color>降雷坠，<color=#E3432A>冷却20秒</color>	10			3		1.0				
504	天刻宏耀之锋	32			在球盘内生成两束横纵光波，对覆盖区域产生消除，冷却3回合	在球盘内生成两束横纵光波，对覆盖区域产生消除，冷却15秒	Assets/Product/Texture/Image/IconSkill/R3Yalishadazhao1.png	2	1	1	点击球盘释放技能，生成<color=#E3432A>两束</color>横纵光波，<color=#E3432A>冷却3回合</color>	点击球盘释放技能，生成<color=#E3432A>两束</color>横纵光波，<color=#E3432A>冷却15秒</color>	10			3		1.0				
505	亚特兰蒂斯的挽歌	28		[5101]	将球盘所有球和后续生成的20个球修改为红球或蓝球，冷却7回合	将球盘所有球和后续生成的20个球修改为红球或蓝球，冷却25秒	Assets/Product/Texture/Image/IconSkill/R3Lamiyadazhao1.png	2	1	1	点击球盘释放技能，将当前球盘所有球替换为红球或蓝球，<color=#E3432A>冷却7回合</color>	点击球盘释放技能，将当前球盘所有球替换为红球或蓝球，<color=#E3432A>冷却25秒</color>	30									
506	冰壑爆发	18			将球盘所有球以200%伤害消除，当次技能所有消除造成150%冰属性伤害，冷却4回合	将球盘所有球以200%伤害消除，当次技能所有消除造成150%冰属性伤害，冷却30秒	Assets/Product/Texture/Image/IconSkill/R3Kuluomudazhao1.png	2	1	1	点击球盘释放技能，当前球盘<color=#fb9048>所有球以200%伤害消除</color>，造成额外冰属性伤害，<color=#E3432A>冷却4回合</color>	点击球盘释放技能，当前球盘<color=#fb9048>所有球以200%伤害消除</color>，造成额外冰属性伤害，<color=#E3432A>冷却30秒</color>	12					2.0				1.5
507	湮灭奇点	22			将球盘所有球修改为湮灭球，持续5秒，每次点击将以300%伤害消除1个湮灭球，冷却5回合	将球盘所有球修改为湮灭球，持续5秒，每次点击将以300%伤害消除1个湮灭球，冷却15秒	Assets/Product/Texture/Image/IconSkill/R3Lunahexin1.png	2	1	1	点击球盘释放技能，<color=#E3432A>5秒</color>内快速点击湮灭球将其消除，<color=#E3432A>冷却5回合</color>	点击球盘释放技能，<color=#E3432A>5秒</color>内快速点击湮灭球将其消除，<color=#E3432A>冷却15秒</color>	12			5		3.0			1	
