Id	Name	Type	Color	Score	Icon	WeakIcons	Bg	WeakHitTimes	WeakMaxCount	Desc	PropType	SkillId	PropEffectTime	WeakBuffIds
620102	纵斩	2			Assets/Product/Texture/Image/IconTools/IconWeakKinfe.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成T字形五消后出现。\n交换或双击后，消除自身所在的一列	3	612	100	
620103	爆破	2			Assets/Product/Texture/Image/IconTools/IconFangKuai01.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成L字形五消后出现。\n交换或双击后，消除自身为中心的3X3方型区域	2	613	50	
620104	快枪	2			Assets/Product/Texture/Image/IconTools/IconWeakGunk.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成四消后出现。\n交换或双击后，随机消除4个信号球	4	614	550	
620201	闪星	2			Assets/Product/Texture/Image/IconTools/IconPlanet03.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成一字形或十字形五消后出现。\n交换或双击后，随机消除12个信号球，并对球盘中所有的召唤物都进行一次攻击	1	615	300	
620202	纵斩	2			Assets/Product/Texture/Image/IconTools/IconWeakKinfe.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成T字形五消后出现。\n交换或双击后，消除自身所在的一列	3	616	100	
620203	爆破	2			Assets/Product/Texture/Image/IconTools/IconFangKuai01.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成L字形五消后出现。\n交换或双击后，消除自身为中心的3X3方型区域	2	617	100	
620204	快枪	2			Assets/Product/Texture/Image/IconTools/IconWeakGunk.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成四消后出现。\n交换或双击后，随机消除4个信号球	4	618	550	
630101	异血赤蝶	3		22000	Assets/Product/Texture/Image/IconTools/IconWeakKldr01.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	3					
630102	异血赤蝶	3		22000	Assets/Product/Texture/Image/IconTools/IconWeakKldr01.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	3					
630201	未元监视者	3		30000	Assets/Product/Texture/Image/IconTools/IconWeakWyty02.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	3			631		
630202	未元监视者	3		30000	Assets/Product/Texture/Image/IconTools/IconWeakWyty02.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	3			632		
630301	哈提	3		30000	Assets/Product/Texture/Image/IconTools/IconWeakFlr03.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	1	4			641		
630302	哈提	3		30000	Assets/Product/Texture/Image/IconTools/IconWeakFlr03.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			641		
630401	噬月之握	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakSyyz04.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			651		
630402	噬月之握	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakSyyz04.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			651		
630403	噬月之握	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakSyyz04.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			651		
630501	鲨士碧儿【黑化】	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakSsbr05.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	5			661		
630502	鲨士碧儿【黑化】	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakSsbr05.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	5			661		
630503	鲨士碧儿【黑化】	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakSsbr05.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	5			661		
630601	杀神	3		20000	Assets/Product/Texture/Image/IconTools/IconWeakRrt07.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	3	1			671		[6021]
630602	诛魔	3		25000	Assets/Product/Texture/Image/IconTools/IconWeakRrt08.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	4	1			672		[6022]
630603	斩仙	3		30000	Assets/Product/Texture/Image/IconTools/IconWeakRrt06.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	5	1			673		[6023]
630701	红桃	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakLls10.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			681		[6031]
630702	黑桃	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakLls11.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			682		[6032]
630703	方块	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakLls12.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			683		[6033]
630704	梅花	3		15000	Assets/Product/Texture/Image/IconTools/IconWeakLls09.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall05.png	2	4			684		[6034]
