Id	Name	Icon	Desc	Type	Step	Time	TargetColors	TargetBallIds	Duration	DurationTime	DamagePercent	AddEnergy	AddEnergyLimit	ChangeColorCount
55	消球结束再随机消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	消球结束再随机消除1个球	7					2	2				
56	下落的N个球转变为指定颜色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的N个球转变为指定颜色	8			[1]		2	2				5
57	下落的N个球转变为指定颜色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的N个球转变为指定颜色	8			[2]		2	2				5
58	下落的N个球转变为指定颜色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的N个球转变为指定颜色	8			[3]		2	2				5
59	下落的N个球转变为指定颜色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的N个球转变为指定颜色	8			[4]		2	2				5
60	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球70%伤害	3			[1]		2	2	700			
61	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球150%伤害	3			[1]		5	5	1500			
62	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球70%伤害	3			[1]		1	1	700			
63	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球70%伤害	3			[2]		1	1	700			
64	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球70%伤害	3			[3]		1	1	700			
65	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球70%伤害	3			[4]		1	1	700			
69	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		4	4	500			
70	增加步数	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	增加步数1步	1	1									
71	随机消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	消球结束会随机消除1个球	7					1	1				
72	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		2	2	500			
73	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球100%伤害	3			[1]		3	3	1000			
74	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		1	1	500			
75	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		1	1	500			
76	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		1	1	500			
77	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		1	1	500			
82	增加步数	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	增加步数1步	1	1									
83	随机消除1个球	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	消球结束会随机消除1个球	7					1	1				
84	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		2	2	500			
85	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球100%伤害	3			[3]		3	3	1000			
86	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		2	2	500			
87	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球100%伤害	3			[2]		3	3	1000			
88	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		2	2	500			
89	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球100%伤害	3			[4]		3	3	1000			
91	下落的20个球变为红球	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的20个球变为红球	8			[1]		2	2				20
92	下落的20个球变为黄球	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的20个球变为黄球	8			[2]		2	2				20
93	下落的20个球变为蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的20个球变为蓝球	8			[3]		2	2				20
94	下落的20个球变为普攻球	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的20个球变为普攻球	8			[4]		2	2				20
100	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		1	1	500			
101	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球60%伤害	3			[1]		1	1	600			
102	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球70%伤害	3			[1]		1	1	700			
103	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		1	1	500			
104	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球60%伤害	3			[2]		1	1	600			
105	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球70%伤害	3			[2]		1	1	700			
106	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		1	1	500			
107	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球60%伤害	3			[3]		1	1	600			
108	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球70%伤害	3			[3]		1	1	700			
109	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球30%伤害	3			[1]		1	1	300			
110	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球40%伤害	3			[1]		1	1	400			
111	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		1	1	500			
112	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球30%伤害	3			[2]		1	1	300			
113	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球40%伤害	3			[2]		1	1	400			
114	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		1	1	500			
115	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球30%伤害	3			[3]		1	1	300			
116	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球40%伤害	3			[3]		1	1	400			
117	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		1	1	500			
1010	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		7	7	500			
1020	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		3	3	300			
1021	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		3	3	300			
1030	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		7	7	500			
1031	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球70%伤害	4			[2]		7	7	700			
1210	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球50%伤害	4			[1]		3	3	500			
1220	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		5	5	500			
1230	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		3	3	300			
1231	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		3	3	300			
1240	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		5	5	500			
1250	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		5	5	500			
1410	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		5	5	500			
1420	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		6	6	500			
1430	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		7	7	500			
1440	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		8	8	500			
1610	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		5	5				
1611	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球20%伤害	3			[4]		15	15	200			
1620	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		5	5				
1630	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		5	5				
1810	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球50%伤害	4			[1]		3	3	500			
1811	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球50%伤害	4			[4]		3	3	500			
1820	普攻球强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	强化普攻球50%伤害	3			[4]		3	3	500			
1830	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球50%伤害	4			[1]		3	3	500			
1831	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球50%伤害	4			[4]		3	3	500			
1840	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		3	3				
1841	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		3	3				
1842	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		3	3				
1843	免疫普攻球	Assets/Product/Texture/Image/IconAffix/AffixIconMianQianggong.png	免疫普攻球伤害	5			[4]		3	3				
1850	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		3	3	500			
2010	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		5	5				
2011	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		5	5				
2012	免疫普攻球	Assets/Product/Texture/Image/IconAffix/AffixIconMianQianggong.png	免疫普攻球伤害	5			[4]		5	5				
2040	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		3	3				
2041	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		3	3				
2042	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		3	3				
2043	免疫普攻球	Assets/Product/Texture/Image/IconAffix/AffixIconMianQianggong.png	免疫普攻球伤害	5			[4]		3	3				
2050	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球20%伤害	3			[1]		6	6	200			
2051	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球20%伤害	3			[2]		6	6	200			
2052	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球20%伤害	3			[3]		6	6	200			
2053	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球20%伤害	3			[4]		6	6	200			
3001	超算红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球70%伤害	3			[1]		2	2	700			
3002	超算黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球70%伤害	3			[2]		2	2	700			
3003	超算蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球70%伤害	3			[3]		2	2	700			
3010	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		2	2	500			
3011	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		2	2	500			
3012	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		2	2	500			
3013	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		2	2	500			
3020	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		1	1	500			
3021	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		1	1	500			
3022	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		1	1	500			
3023	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		1	1	500			
3030	增加步数	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	增加步数1步	1	1									
3100	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球20%伤害	3			[3]		5	5	200			
3101	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		5	5	500			
3102	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		5	5	500			
3103	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		5	5	500			
3104	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		5	5	500			
3111	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球20%伤害	3			[1]		5	5	200			
3112	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球50%伤害	4			[2]		6	6	500			
3113	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球50%伤害	4			[3]		6	6	500			
3114	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球50%伤害	4			[4]		6	6	500			
3115	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		6	6	500			
3116	下落的20个球变为红球	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	下落的20个球变为红球	8			[1]		2	2				20
3117	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球20%伤害	3			[2]		3	3	200			
3118	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		2	2	500			
3119	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		5	5	500			
3120	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球60%伤害	4			[2]		5	5	600			
3121	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球60%伤害	4			[3]		5	5	600			
3122	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球60%伤害	4			[1]		5	5	600			
3123	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		4	4	300			
3124	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球50%伤害	4			[2]		2	2	500			
3125	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球50%伤害	4			[3]		2	2	500			
3126	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球50%伤害	4			[1]		2	2	500			
3127	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球50%伤害	4			[2]		5	5	500			
3128	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球50%伤害	4			[3]		5	5	500			
3129	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球50%伤害	4			[1]		5	5	500			
3130	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球20%伤害	4			[4]		2	2	200			
3131	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		3	3				
3132	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		3	3				
3133	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		3	3				
3134	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		5	5				
3135	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		5	5				
3136	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		5	5				
3137	免疫普攻	Assets/Product/Texture/Image/IconAffix/AffixIconMianQianggong.png	免疫普攻伤害	5			[4]		5	5				
3138	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球100%伤害	3			[2]		3	3	1000			
3139	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球100%伤害	3			[1]		3	3	1000			
3140	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球100%伤害	3			[3]		3	3	1000			
3141	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球50%伤害	4			[4]		5	5	500			
4011	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球30%伤害	3			[3]		5	30	300			
4021	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		5	30	500			
4031	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球30%伤害	4			[1]		5	30	300			
4032	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球50%伤害	4			[2]		5	30	500			
4033	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球50%伤害	4			[4]		5	30	500			
4034	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		5	30	500			
4035	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		5	30	500			
4111	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球30%伤害	4			[1]		5	30	300			
4121	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		5	30	300			
4131	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		5	30	300			
4141	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球30%伤害	3			[2]		5	30	300			
4151	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球30%伤害	3			[1]		5	30	300			
4311	下落变红	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	下落的15个球变为红球	8			[1]		2					15
4321	下落变普攻	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	下落的25个球变为普攻球	8			[4]		2					25
4331	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球30%伤害	3			[4]		6	36	300			
4341	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球30%伤害	3			[1]		6	36	300			
4351	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		5	30	500			
4361	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		5	30	500			
4371	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		6	36	300			
4381	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		5	30	300			
4411	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球20%伤害	4			[3]		3	18	200			
4421	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		4	24	300			
4431	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球30%伤害	4			[1]		4	24	300			
4432	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		4	24	300			
4433	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		4	24	300			
4441	免疫红球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhong.png	免疫红球伤害	5			[1]		3	18				
4442	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		3	18				
4443	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		3	18				
4001	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		1	5	500			
4002	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		1	5	500			
4003	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		1	5	500			
4004	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		1	5	500			
4005	增加步数	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	增加步数1步	1	1									
4006	遗忘X色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	未来10个球不出现颜色球	9										10
4007	遗忘黄色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	未来25个球不出现黄球	9										25
4008	遗忘蓝色	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	未来25个球不出现蓝球	9										25
40001	随机颜色强化	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	随机增加球20%伤害	3							200			
