Id	Name	Icon	Desc	BossId	TriggerRound	SkipDamage	BuffId	SubEnergyType	SubEnergyCount	WeakBallIds
161	免疫红&弱普攻	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	1回合末削减3能量，免疫红球5回合，弱普攻20%15回合		1		[1610, 1611]	1	3	
162	免疫黄	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	4回合末削减3能量，免疫黄球5回合		4		[1620]	1	3	
163	免疫蓝	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	7回合末削减3能量，免疫蓝球5回合		7		[1630]	1	3	
164	能量攻击	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	11回合末削减20能量		11			1	20	
181	序盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	1回合末检测输出不达10000，削减2能量，增加红球、普攻球抗性50%，持续3回合		1	10000	[1810, 1811]	1	2	
182	弱普攻	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	2回合末削减2能量，弱普攻50%，持续3回合		2		[1820]	1	2	
183	中盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	7回合末检测输出不达80000，削减2能量，增加红、普攻球抗性50%，持续3回合		7	80000	[1830, 1831]	1	2	
184	免疫所有球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	8回合末削减2能量，免疫所有球，持续3回合		8		[1840, 1841, 1842, 1843]	1	2	
185	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	12回合末削减2能量，弱红球50%，持续3回合		12		[1850]	1	2	
186	弱点轮换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	2回合末弱普攻50%，持续3回合。12回合末弱红球50%，持续3回合							
201	免疫红、黄、普攻	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	1回合末免疫红、黄、普攻球，持续5回合		1		[2010, 2011, 2012]			
202	中盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	7回合末检测输出不达100000，削减20能量		7	100000		1	20	
203	能量攻击	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	10回合末削减20能量		10			1	20	
204	免疫所有球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	11回合末免疫所有球，持续3回合		11		[2040, 2041, 2042, 2043]			
205	虚弱	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	14回合末弱所有球20%，持续6回合		14		[2050, 2051, 2052, 2053]			
206	免疫球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	1回合末免疫红、黄、普攻球，持续5回合。11回合末免疫所有球，持续3回合							
301	弱蓝	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合末弱蓝球20%，持续5回合		1		[3100]			
302	弱所有球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	6回合末弱所有球50%，持续5回合		6		[3101, 3102, 3103, 3104]			
303	抗弱均衡	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	6回合末弱红球50%，抗黄球、蓝球、普攻球50%，持续6回合		6		[3112, 3113, 3114, 3115]			
304	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合末弱红球20%，持续5回合		1		[3111]			
305	下落机制	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	8回合末，未来下落的20个球均为红球		8		[3116]			
306	能量初测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	2回合末输出不达20000，扣减当前终结能量的50%		2	20000		2	500	
307	能量削弱	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	5回合末，扣减10点终结能量		5			1	10	
308	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	10回合末，每回合扣减5点终结能量，持续5回合							
309	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	10回合末，扣减5点终结能量		10			1	5	
310	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	11回合末，扣减5点终结能量		11			1	5	
311	弱黄Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合末弱黄球20%，持续3回合		1		[3117]			
312	弱点转移	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	4回合末弱黄球50%，持续2回合。6回合末弱蓝球50%，持续5回合							
313	弱黄Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	4回合末弱黄球50%，持续2回合		4		[3118]			
314	弱蓝	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	6回合末弱蓝球50%，持续5回合		6		[3119]			
315	抗颜色球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	10回合末，抗红球、黄球、蓝球60%，持续5回合		10		[3120, 3121, 3122]			
316	抗黄	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	2回合末输出不达10000，抗黄球30%，持续4回合		2	10000	[3123]			
317	抗颜色球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	6回合末，抗红球、黄球、蓝球50%，持续2回合		6		[3124, 3125, 3126]			
318	抗所有球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	8回合末，抗所有球50%，持续5回合		8		[3127, 3128, 3129, 3141]			
319	抗普攻	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1回合末抗普攻球20%，持续2回合		1		[3130]			
320	免疫轮换	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	3回合末，免疫红球，弱黄球100%，持续3回合；6回合末，免疫蓝球，弱红球100%，持续3回合；9回合末，免疫黄球，弱蓝球100%，持续3回合							
321	免疫转换Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	3回合末，免疫红球，弱黄球100%，持续3回合		3		[3131, 3138]			
322	免疫转换Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	6回合末，免疫蓝球，弱红球100%，持续3回合		6		[3132, 3139]			
323	免疫转换Ⅲ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	9回合末，免疫黄球，弱蓝球100%，持续3回合		9		[3133, 3140]			
324	免疫所有球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	12回合末免疫所有球，持续5回合		12		[3134, 3135, 3136, 3137]			
325	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	12回合末，扣减5点能量		12			1	5	
326	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	13回合末，扣减5点能量		13			1	5	
327	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	14回合末，扣减5点能量		14			1	5	
401	抗弱均衡	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合末，抗红球30%，弱蓝球30%，持续5回合		1		[4011, 4031]			
402	抗弱切换Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	6回合末，抗黄球50%，弱蓝球50%，持续5回合		6		[4021, 4032]			
403	抗弱切换Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	11回合末，抗普攻球50%，弱蓝球50%，持续5回合		11		[4035, 4033]			
411	抗弱均衡	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合末，抗红球30%，弱蓝球30%，持续5回合		1		[4111, 4011]			
412	抗弱切换Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	6回合末，抗黄球30%，弱红球30%，持续5回合。		6		[4121, 4151]			
413	抗弱切换Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	11回合末，抗蓝球30%，弱黄球30%，持续5回合。		11		[4131, 4141]			
421	能量检测Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	1回合末，输出不达10000，扣减3点终结能量		1	10000		1	3	
422	能量检测Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	6回合末，输出不达60000，扣减5点终结能量		6	60000		1	5	
423	能量削弱	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	10回合末，扣减当前50%终结能量		10			2	500	
424	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	12回合末，每回合扣减5点终结能量，持续3回合							
425	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	12回合末，扣减5点能量		12			1	5	
426	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	13回合末，扣减5点能量		13			1	5	
427	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	14回合末，扣减5点能量		14			1	5	
431	反向检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	1回合末，输出不达10000，下落的15个球为红球		1	10000	[4311]			
432	下落变动	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	3回合末，未来下落的25个球均为普攻球		3		[4321]			
433	抗弱均衡Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	4回合末，弱红球、普攻球30%，抗蓝球30%，持续6回合		4		[4331, 4341, 4371]			
434	抗弱均衡Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	10回合末，弱红球、普攻球50%，抗黄球50%，持续5回合		10		[4351, 4361, 4381]			
441	抗蓝	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11040.png	1回合末，抗蓝球20%，持续3回合		1		[4411]			
442	抗黄	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11041.png	4回合末，抗黄球30%，持续4回合		4		[4421]			
443	抗颜色球	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11042.png	8回合末，抗颜色球30%，持续4回合		8		[4431, 4432, 4433]			
444	免疫色彩	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11043.png	12回合末，免疫颜色球，持续3回合		12		[4441, 4442, 4443]			
451	卖萌	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon028.png	鲨士碧儿觉得自己超可爱，不需要放技能！							
511	弱蓝	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合后弱蓝球20%，持续3回合		1		[5311]			
512	弱黄	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	5回合后弱黄球50%，持续4回合		5		[5312]			
513	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	10回合后弱红球50%，持续5回合		10		[5313]			
521	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1回合后弱红球20%，持续3回合		1		[5321]			
522	弱颜色球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	4回合后弱所有颜色球50%，持续5回合		4		[5322, 5323, 5324]			
523	弱红	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	10回合后弱红球50%，持续5回合		10		[5325]			
531	抗红	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11040.png	1回合后，抗红球20%，持续3回合		1		[5331]			
532	抗黄、蓝	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11041.png	5回合后，抗黄球、蓝球30%，持续4回合		5		[5332, 5333]			
533	抗颜色球	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11042.png	10回合后，抗颜色球50%，持续5回合		10		[5334, 5335, 5336]			
541	能量检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	1回合后，输出不达10000，扣减5点终结能量		1	10000		1	5	
542	能量削弱Ⅰ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	3回合后，扣减当前50%终结能量		3			2	500	
543	能量削弱Ⅱ	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	8回合后，扣减当前50%终结能量		8			2	500	
544	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	12回合后，每回合扣减5点终结能量，持续3回合							
545	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	12回合后，扣减5点能量		12			1	5	
546	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	13回合后，扣减5点能量		13			1	5	
547	能量扣减	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	14回合后，扣减5点能量		14			1	5	
551	序盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	1回合后检测输出不达50000，弱红球、蓝球30%，持续3回合		1	50000	[5351, 5352]			
552	中盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	5回合后检测输出不达100000，弱颜色球50%，持续4回合		5	100000	[5353, 5354, 5355]			
553	末盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	10回合后检测输出不达200000，弱所有球50%，持续4回合		10	200000	[5356, 5357, 5358, 5359]			
561	序盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	1回合后检测输出不达50000，抗蓝球20%，持续3回合		1	50000	[5361]			
562	中盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	5回合后检测输出不达100000，抗红球30%，持续4回合		5	100000	[5362]			
563	末盘检测	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	10回合后免疫蓝球，持续3回合		10		[5363]			
571	卖萌	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon028.png	鲨士碧儿觉得自己超可爱，不需要放技能！\n(●'?'●)							
611	异血赤蝶1	Assets/Product/Texture/Image/IconTools/IconWeakKldr01.png	第1回合后，在场上召唤1只异血赤蝶，击破异血赤蝶可以获得大量分数	1	1					[630101]
612	异血赤蝶2	Assets/Product/Texture/Image/IconTools/IconWeakKldr01.png	第7回合后，在场上召唤2只异血赤蝶，击破异血赤蝶可以获得大量分数	1	7					[630102, 630102]
621	未元监视者1	Assets/Product/Texture/Image/IconTools/IconWeakWyty02.png	第1回合后，在场召唤2个未元监视者，击破未元监视者后所有信号球伤害提升50%，持续3回合	2	1					[630201, 630201]
622	未元监视者2	Assets/Product/Texture/Image/IconTools/IconWeakWyty02.png	第7回合后，在场召唤3个未元监视者，击破未元监视者后所有信号球伤害提升50%，持续3回合	2	7					[630202, 630202, 630202]
631	哈提1	Assets/Product/Texture/Image/IconTools/IconWeakFlr03.png	第1回合后，在场上召唤3只哈提，击破哈提时可以消除其所在的一行	3	1					[630301, 630301, 630301]
632	哈提2	Assets/Product/Texture/Image/IconTools/IconWeakFlr03.png	第7回合后，在场上召唤3只更强壮的哈提，击破哈提时可以消除其所在的一行	3	7					[630302, 630302, 630302]
641	噬月之握1	Assets/Product/Texture/Image/IconTools/IconWeakSyyz04.png	第1回合后，在场上召唤1个噬月之握，击破噬月之握可以消除其所在的一列	4	1					[630401]
642	噬月之握2	Assets/Product/Texture/Image/IconTools/IconWeakSyyz04.png	第5回合后，在场上召唤2个噬月之握，击破噬月之握可以消除其所在的一列	4	5					[630402, 630402]
643	噬月之握3	Assets/Product/Texture/Image/IconTools/IconWeakSyyz04.png	第10回合后，在场上召唤3个噬月之握，击破噬月之握可以消除其所在的一列	4	10					[630403, 630403, 630403]
651	（已黑化）1	Assets/Product/Texture/Image/IconTools/IconWeakSsbr05.png	第1回合后，在场上召唤2个鲨士碧儿【黑化】，击破鲨士碧儿【黑化】可以消除其所在的一行一列	5	1					[630501, 630501]
652	（已黑化）2	Assets/Product/Texture/Image/IconTools/IconWeakSsbr05.png	第5回合后，在场上召唤3个鲨士碧儿【黑化】，击破鲨士碧儿【黑化】可以消除其所在的一行一列	5	5					[630502, 630502, 630502]
653	（已黑化）3	Assets/Product/Texture/Image/IconTools/IconWeakSsbr05.png	第10回合后，在场上召唤3个鲨士碧儿【黑化】，击破鲨士碧儿【黑化】可以消除其所在的一行一列	5	10					[630503, 630503, 630503]
661	杀神	Assets/Product/Texture/Image/IconTools/IconWeakRrt07.png	第1回合后，在场上召唤杀神，并抗红球20%，持续2回合。击破杀神可以消除其所在的一行并清除抗红球效果	6	1					[630601]
662	诛魔	Assets/Product/Texture/Image/IconTools/IconWeakRrt08.png	第5回合后，在场上召唤诛魔，并抗黄球30%，持续2回合。击破诛魔可以消除其所在的一列并清除抗黄球效果	6	5					[630602]
663	斩仙	Assets/Product/Texture/Image/IconTools/IconWeakRrt06.png	第10回合后，在场上召唤斩仙，并抗蓝球30%，持续2回合。击破斩仙可以消除其所在的一行一列并清除抗蓝球效果	6	10					[630603]
671	红桃	Assets/Product/Texture/Image/IconTools/IconWeakLls10.png	第1回合后，在场上召唤4个红桃牌，并施加4层永久抗红球5%。击破一张红桃牌可以清除1层减益，并永久提升5%红球伤害	7	1					[630701, 630701, 630701, 630701]
672	黑桃	Assets/Product/Texture/Image/IconTools/IconWeakLls11.png	第4回合后，在场上召唤4个黑桃牌，并施加4层永久抗黄球7.5%。击破一张黑桃牌可以清除1层减益，并永久提升5%黄球伤害	7	4					[630702, 630702, 630702, 630702]
673	方块	Assets/Product/Texture/Image/IconTools/IconWeakLls12.png	第7回合后，在场上召唤4个方块牌，并施加4层永久抗蓝球7.5%。击破一张方块牌可以清除1层减益，并永久提升5%蓝球伤害	7	7					[630703, 630703, 630703, 630703]
674	梅花	Assets/Product/Texture/Image/IconTools/IconWeakLls09.png	第10回合后，在场上召唤4个梅花牌，并施加4层永久抗普攻球7.5%。击破一张梅花牌可以清除1层减益，并永久提升5%普攻球伤害	7	10					[630704, 630704, 630704, 630704]
