Key	Notes	Values
BoardCastTips	播报提示文本	['恭喜<color=#fae94c>%s</color>加入店铺', '<color=#fae94c>%s</color>升级至<color=#fae94c>%s</color>', '恭喜<color=#fae94c>店铺</color>升级至<color=#fae94c>%s</color>']
RestaurantLvUpEffectText	餐厅升级描述	['备材台数量上限:', '制作台数量上限:', '售卖台数量上限:', '员工雇佣上限:', '收银台存储上限:', '热销售价额外提升:']
RestaurantLvUpConditionText	餐厅升级条件文本	['雇佣%s名员工', '%s名员工等级达到<color=#ff8346>%s</color>', '该等级效果已解锁', '该等级效果已解锁，店铺等级已达MAX', '未满足升级条件', '---暂无---']
RestaurantLvUpPopupTip	餐厅升级二次确认框	['店铺升级', '指挥官，请确认是否将露记工房\\n由【<color=#70A998>LV%s</color>】升级至【<color=#70A998>LV%s</color>】？']
StaffRecruitTip	招募提示	['招募员工已达上限']
StaffWorkTip	员工工作提示	['【%s】正在其他地方工作', '当前工作台信息未变更']
OfflineBillText	离线账单文案	['指挥官你离开了%s']
BubbleProperty	聊天气泡属性 1. 气泡展示时长	['2']
ShopBuyTxtColor	商店货币可不可购买颜色区分（values[1]可购买 | values[2]不可购买）	['ffffff', 'B73131']
ShopBuyLimitColor	商店购买次数颜色区分（values[1]够次数 | values[2]不够次数）	['ffd070', 'ffd070']
ShopTimeTxt	商店剩余时间	['剩余时间：<color=#FF8D1E>%s</color>']
ShopRewardId	商店奖励	['63682']
SignedTxt	已经签到提示	['今天已经签到过啦！']
SignNotInTimeTxt	不在签到时间范围内	['当前不在签到时间范围内！']
FoodQualityIcon3DUI	食物品质图标(3DUi)	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMainQuality2.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMainQuality3.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMainQuality4.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMainQuality5.png']
FoodQualityIcon2DUI	食物品质图标(2DUi)	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantQuality3.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantQuality4.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantQuality2.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantQuality1.png']
CommonQualityIconUI	通用品质图标 1：3D; 2:2d	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMainQuality1.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantQuality5.png']
AdditionIcon	增益图标 1：Buff  2: 技能	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantDianIconSkill.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantDianIconBuff.png']
RequestFrequentlyTip	频繁请求提示	['请求过于频繁，请等待%s秒后重试！']
AccelerateTip	加速提示	['加速提示', '是否消耗1个【特制日晷】，对此设施进行加速%s秒\\n你将获得', '是否消耗1个【特制日晷】，对此设施进行加速%s秒\\n因材料/手作不足，你将获得', '仓库增加%s件%s', '收银台增加%s个露记龙币', '加速成功，暂无收益']
SignNpcProperty	签到NPC属性 1.出现位置；2. 头顶红包偏移	['28.6|0|12.5', '0|1.5|0']
CharacterEffect	员工特效	['Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFyanwu.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFzuocai01.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFzuocai02.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxQHappy01.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxQAngry.prefab']
CharacterEffectPos	员工特效生成位置	['0|0|0', '0', '0.063|0.384|0.3', '0|0|0']
SignNPCEffect	签到NPC特效	['Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFyanwu.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFliwu.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxQGift.prefab']
UiEffect	UI特效	['Assets/Product/Effect/Prefab/FxUi/FxUiFubenYuandan/FxUiFuBenYanhua001.prefab']
WorkPauseReason	工作暂停原因	['——   因材料不足暂停工作   ——', '——   因售卖手作数量不足暂停工作   ——', '——   因收银台存储达到上限暂停工作   ——', '——   因库存已满暂停工作   ——']
OrderNpcBehaviourId	订单NPC状态对应行为树Id	['Order_1', 'Order_1', 'Order_2']
SignNpcBehaviourId	签到NPC状态对应行为树Id	['Sign_1', 'Sign_2']
CustomerProperty	顾客属性 1.下次加载最短时间；2.下次加载最长时间	['15', '20']
RecipeTaskTriggerTip	食谱任务触发提示	['恭喜你触发了【%s】，持之以恒地练习可以解锁新手作!']
CommonUnlockText	通用解锁提示	['将在%s解锁', '店铺等级达到%s级后解锁', '还未解锁该手作', '店铺LV%s']
RestaurantNotInBusiness	活动玩法关闭提示	['店铺已经打烊了']
BuffUpdateText		['【%s】已解锁', '%s增益替换成【%s】']
BuffAdditionText	buff增益描述	['生效材料&产出速度的提升百分比', '生效手作&产出速度的提升百分比', '生效手作&销售价格的提升百分比']
TaskDescText	任务描述	['<size=40><color=#567a70>%s</color></size>/%s']
NoStaffWorkText		['没有员工在工作哦~']
OrderTitleText	订单标题文案	['来自%s的订单']
BehaviorTreeEffect	行为树特效打包记录	['Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFliwu.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxSuSheZSCFyanwu.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxCanTinbeicai02.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxCanTinbeicai01.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxCanTinpengren02.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxCanTinpengren01.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxCanTinxiaoshou.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxQHappy01.prefab', 'Assets/Product/Effect/Prefab/FxSushe/FxQAngry.prefab']
PhotoScrollTip		['可使用滚轮对视角进行缩放', '可使用双指对视角进行缩放']
PhotoTaskContainTip		['·', '·']
RestaurantInfo	店铺信息描述	['Lv', '距升级还需<color=#577b70>%s</color>']
PerformUnlockText		['<color=#70A998>%s</color>解锁', '<color=#70A998>%s</color>解锁']
PhotoTaskFinishTip		['完成%s--任务']
PerformTypeIcon	1: 事件；2: 订单	['Assets/Product/Texture/Image/UiRestaurant/UiRestaurantStory.png', 'Assets/Product/Texture/Image/UiRestaurant/UiRestaurantIndent.png']
PerformTypeTitle	1: 事件；2: 订单	['事件', '订单']
PerformTypeTitleIocn	1: 事件；2: 订单	['Assets/Product/Texture/Image/UiRestaurant/UiRestaurantPopupStoryTxt.png', 'Assets/Product/Texture/Image/UiRestaurant/UiRestaurantPopupStoryTxt.png']
SwitchStaffContent	更换员工提示	['更换员工', '【<color=#b55252>%s</color>】正在【<color=#b55252>%s</color>】工作，请确认是否为其更换工作？']
PerformNotStartText		['请先领取%s']
