Id	StoryPointType	PrePointIds	StoryPointTypeParams	OpenCondition	Title	Name	GridShowType	BuffIcon	BuffTitle	BuffDescs	ExtraRobotId
15	3	[14]	['30110208', '1131003', '1221003', '1251002']		大招开启	大招开启	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['连携教学Ⅱ']	['持续连携可提升大招能量，点击释放连携大招！']	
16	3	[15]	['30110209', '1131003', '1221003', '1251002']		第八章剧情+大招实战	第八章剧情+大招实战	1	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['击杀所有怪物']	
17	1	[16]	['30110281']		第九章剧情	第九章剧情	4				
18	3	[17]	['30110286', '1131003', '1221003', '1251002']		第十章剧情+特殊	第十章剧情+特殊	2	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_028.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['认知措糅体', '怪物潮']	['怪物融合成措揉体，集中火力击杀！', '源源不断的怪物如潮水涌出']	
19	3	[18]	['30110252', '1131003', '1221003']	861060	某人机制	某人机制	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12112.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff03.png']	['重伤', '双人成行']	['每秒扣除角色15%HP，持续5秒，连携切换21号回复全队血量', '本关只能使用薇拉、21号']	9185
20	3	[19]	['30110253', '1131003', '1221003']		另一个人机制	另一个人机制	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff03.png']	['刚体Ⅱ', '双人成行']	['怪物霸体值提升，存在霸体时降低50%受到的伤害，连携切换薇拉可快速击破霸体', '本关只能使用薇拉、21号']	9185
21	2	[20]	['1003']		双人通讯	双人通讯	5				
22	3	[18]	['30110256', '1251002']	861061	熟悉角色	熟悉角色	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png']	['独自执行']	['本关只能使用诺克提进行挑战']	
23	2	[22]	['1004']		单人通讯	单人通讯	5				
24	1	[19, 22]	['30110282']		第十一章剧情	第十一章剧情	4				
25	3	[24]	['30110287', '1131003', '1221003', '1251002']		三人特殊	三人特殊	2	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['怪物潮Ⅱ']	['源源不断的怪物如潮水涌出']	
26	3	[25]	['30110255', '1131003', '1221003', '1251002']		三人常规	三人常规	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11041.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff06.png']	['毒雾', '引导伤害']	['每5秒对所有角色叠加剧毒，每层剧毒每秒扣除1%最大生命，连携切换21号清除剧毒', '回复所有霸体值并释放全屏伤害技能，连携切换薇拉可快速击破霸体']	
27	2	[26]	['1005']		三人通讯	三人通讯	5				
28	3	[25]	['30110288', '1131003', '1221003', '1251002']		十三章剧情+BOSS	十三章剧情+BOSS	3	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33283.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['不明废弃机械体', '护卫群']	['关底首领登场，谨慎应对', '有4名守卫保护首领，请快速击杀']	
29	1	[28]	['30110283']		十四章剧情	十四章剧情	4				
30	3		['30110289', '1131003', '1221003', '1251002']		困难1	困难1	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11047.png', 'Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_024.png']	['困难关卡', '亡者复活']	['怪物获得大幅加强，小心应对！', '异合虫巢将持续出生小怪，注意优先击杀']	
31	3	[30]	['30110290', '1131003', '1221003', '1251002']		困难2	困难2	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11047.png', 'Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_028.png']	['困难关卡', '认知措糅体']	['怪物获得大幅加强，小心应对！', '怪物融合成措揉体，集中火力击杀！']	
32	3	[31]	['30110291', '1131003', '1221003', '1251002']		困难3	困难3	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11047.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['困难关卡', '怪物潮Ⅱ']	['怪物获得大幅加强，小心应对！', '源源不断的怪物如潮水涌出']	
33	3	[32]	['30110292', '1131003', '1221003', '1251002']		困难4	困难4	1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11047.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33283.png']	['困难关卡', '不明废弃机械体']	['怪物获得大幅加强，小心应对！', '关底首领登场，谨慎应对']	
40	1		['30110221']		三头犬-1-纯剧情		4				
41	3	[40]	['30110215', '1131003']		完成薇拉教学		1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['角色教学']	['重新熟悉薇拉的战斗操作']	
42	3	[40]	['30110216', '1221003']		完成21号教学		1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['角色教学']	['重新熟悉21号的战斗操作']	
43	3	[40]	['30110217', '1251002']		完成诺克提教学		1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['角色教学']	['重新熟悉诺克提的战斗操作']	
44	3	[41, 42, 43]	['30110218', '1131003', '1221003', '1251002']		完成连携切换教学（本活动所有试玩角色，均为SS品质并携带专武）		1	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['连携教学']	['核心被动、大招后，可以召唤三头犬小队成员出战']	
45	1	[44]	['30110222']		三头犬-2-纯剧情		4				
46	3	[45]	['30110293', '1131003', '1221003', '1251002']		打败帮派成员		3	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_028.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['剧情关1', '词缀标题']	['剧情关1', '词缀描述']	
47	1	[46]	['30110223']		三头犬-3-纯剧情		4				
48	3	[47]	['30110219', '1131003', '1221003', '1251002']		击败所有敌人		1				
49	1	[48]	['30110224']		三头犬-4-纯剧情		4				
50	3	[49]	['30110294', '1131003', '1221003', '1251002']		迎战动作演员		2	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_028.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['剧情关2', '词缀标题']	['剧情关2', '词缀描述']	
51	1	[50]	['30110225']		三头犬-5-纯剧情		4				
52	3	[51]	['30110220', '1131003', '1221003', '1251002']		击败所有敌人		1				
53	3	[52]	['30110295', '1131003', '1221003', '1251002']		迎战动，作，巨，星……？		3	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33283.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png']	['动作明星', '护卫群']	['我是关底BOSS', '有4名守卫保护首领，请快速击杀']	
54	1	[53]	['30110226']		三头犬-6-纯剧情		4				
