Id	Name	Prefab	SectorName	LevelType	LevelSubType	ScriptId	BgmId	AmbientSound	ResSolution	PositionY	PositionX	PositionZ	RotationY	VictoryShowPosX	VictoryShowPosY	VictoryShowPosZ	VictoryShowRotY	DefaultCameraId	ConfigGroups	DeferredConfigGroups	DisableSyncPlayerTransformData	ShouldSaveInstLevelProgress	NavMeshDataName	LoadingGroupId	DisableSystemFuncEnumStr	ForceUsePlayerSelfNpc	UiResId	SkipBornState	SceneName
16	狩猎黑白龙大连续关卡-正式-复刷关	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab		1	1	14	196			2.0	64.0	13.0		64.0	2.0	13.0			[13]										
8000	狩猎万用测试关卡	Assets/Product/Scene/DlcScenePrefab/SceneMHW-StagePrototype1.prefab		1	1	8000													[8000]										
8002	黑龙测试关卡	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab		1	1	8002				2.0	64.0	38.0		64.0	2.0	38.0													
8003	白龙测试关卡	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab		1	1					2.0	64.0	38.0		64.0	2.0	38.0													
1011	魔方弹跳乐	Assets/Product/Scene/DlcScenePrefab/DlcSystem_Casual.prefab		1	1	100	258			0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699			[1011]								2		
1021	魔方弹跳乐	Assets/Product/Scene/DlcScenePrefab/DlcSystem_Casual.prefab		1	1	100	258			0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699			[1011]								2		
1031	魔方弹跳乐	Assets/Product/Scene/DlcScenePrefab/DlcSystem_Casual.prefab		1	1	1031	258			0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699			[1011]								2		
1041	躲猫猫-沙滩	Assets/Product/Scene/DlcScenePrefab/DlcSystem_HideAndSeek01.prefab		1	1	1041	5011			4.78	1.5199	17.37		1.5199	4.78	17.37			[1]								3		
1051	躲猫猫-室内	Assets/Product/Scene/DlcScenePrefab/DlcSystem_HideAndSeek02.prefab		1	1	1041	5011			4.78	1.5199	17.37		1.5199	4.78	17.37			[2, 4]								3		
1061	躲猫猫-超市	Assets/Product/Scene/DlcScenePrefab/DlcSystem_HideAndSeek03.prefab		1	1	1041	5011			4.78	1.5199	17.37		1.5199	4.78	17.37			[1, 2]								3		
1062	躲猫猫-古城	Assets/Product/Scene/DlcScenePrefab/DlcSystem_HideAndSeek04.prefab		1	1	1041													[1]								3		
1071	自走棋关卡01	Assets/Product/Scene/DlcScenePrefab/DlcSystem_RogueBattle01.prefab		1	1	1071				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810105	[1071]								5		
1072	自走棋关卡02	Assets/Product/Scene/DlcScenePrefab/DlcSystem_RogueBattle02.prefab		1	1	1071				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810105	[1072]								5		
1073	自走棋关卡03	Assets/Product/Scene/DlcScenePrefab/DlcSystem_RogueBattle03.prefab		1	1	1071				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810105	[1073]								5		
1074	自走棋关卡04	Assets/Product/Scene/DlcScenePrefab/DlcSystem_RogueBattle04.prefab		1	1	1071				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810105	[1074]								5		
1075	自走棋关卡05	Assets/Product/Scene/DlcScenePrefab/DlcSystem_RogueBattle05.prefab		1	1	1071				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810105	[1075]								5		
1076	自走棋关卡06	Assets/Product/Scene/DlcScenePrefab/DlcSystem_RogueBattle06.prefab		1	1	1071				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810105	[1076]								5		
9999	箱庭玩法-3C标准测试关卡	Assets/Product/BigWorld/Standard3C/StaticPrefabs/Scene_Main/Scene_Main.prefab	Standard3C	1	1				1		20.0	20.0	180.0	41.4599	1.0	48.5699		810102									4		
4001	空中花园-商业A区	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden	1	1	4001			1	144.5858	573.0999	1340.281	-59.1599					810102	[4006, 9001, 2003, 2001, 3002, 4010, 1001]				SkyGarden_merged	1			4		
4002	空中花园-商业A区	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden	1	1	4002			1	-1.0	11.758	13.3051							[4002]				SkyGarden_merged	1			4		
4003	指挥官休息室	Assets/Product/BigWorld/SkyGarden_SuShe/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_SuShe	1	1	4003			1	1.646	11.925	13.3051						810103	[5001, 5002, 1001, 4001]	[5003]			SkyGarden_Sushe_Main	2		True	4		
4004	咖啡厅副本	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden	1	1	4004			1	144.5859	575.5166	1338.368	-54.643					810102	[4004]		True		SkyGarden_merged	3			4		
4005	商店街副本	Assets/Product/BigWorld/SkyGarden_Plaza/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Plaza	1	1				1	189.36	580.63	1187.0	-54.643						[4007]		True		SkyGarden_merged	4			4		
4007	商店街副本	Assets/Product/BigWorld/SkyGarden_Plaza_Show/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Plaza_Show	1	1				1	189.36	580.63	1187.0	-54.643						[4008]		True		SkyGarden_merged	4			4		
4008	跳跳乐副本	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	36.5999	243.6999	322.7	90.0					810102	[6001]		True			1	1|5|4|6|7|8|14|12|15		4		
9000	Relink特效新管线测试地图	Assets/Product/BigWorld/Relink02_Test/StaticPrefabs/SceneFxTest01/SceneFxTest01.prefab	Relink02_Test	1	1	9000	196		1	2.0	86.0	40.0		86.0	2.0	40.0		90002	[1]								6	True	
9001	教学关Relink	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9001	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
9002	Relink白龙-难度1	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9002	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
9003	Relink白龙-难度2	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9002	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
9004	Relink白龙-难度3	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9002	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
9005	Relink白龙-难度4	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9002	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
9006	Relink白龙-难度5	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9002	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
9007	Relink黑辉-难度1	Assets/Product/Scene/ScenePrefab/Scene06203a.prefab		1	1	9007	6403			24.6569	122.4	115.44		86.0	2.0	40.0		90002	[1]								6	True	
9008	Relink黑辉-难度2	Assets/Product/Scene/ScenePrefab/Scene06203a.prefab		1	1	9007	6403			24.6569	122.4	115.44		86.0	2.0	40.0		90002	[1]								6	True	
9009	Relink黑辉-难度3	Assets/Product/Scene/ScenePrefab/Scene06203a.prefab		1	1	9007	6403			24.6569	122.4	115.44		86.0	2.0	40.0		90002	[1]								6	True	
9010	Relink黑辉-难度4	Assets/Product/Scene/ScenePrefab/Scene06203a.prefab		1	1	9007	6403			24.6569	122.4	115.44		86.0	2.0	40.0		90002	[1]								6	True	
9011	Relink黑辉-难度5	Assets/Product/Scene/ScenePrefab/Scene06203a.prefab		1	1	9007	6403			24.6569	122.4	115.44		86.0	2.0	40.0		90002	[1]								6	True	
9012	Relink白龙	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9012	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
90001	自走棋测试关卡	Assets/Product/Scene/DlcScenePrefab/DlcSystem_Casual.prefab		1	1	90001				0.6999	41.4599	48.5699	180.0	41.4599	1.0	48.5699		810102									6		
90002	Relink白龙	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	90002	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
90003	Relink木桩	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	90003				2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6		
90004	小辉辉	Assets/Product/Scene/ScenePrefab/Scene06203a.prefab		1	1	90004	6403			24.6569	122.4	115.44		86.0	2.0	40.0		90002	[1]								6	True	
90005	教学关Relink白龙	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	90005	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
90006	Relink白龙	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	90006	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
90007	Relink白龙	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	90006	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
90008	Relink白龙	Assets/Product/Scene/ScenePrefab/SceneHunt01b.prefab		1	1	9012	196			2.0	86.0	40.0		86.0	2.0	40.0		90002	[90006]								6	True	
90009	Relink千子	Assets/Product/Scene/ScenePrefab/Scene05702b.prefab		1	1	90009	196			2.0	86.0	40.0		86.0	2.0	40.0		90009	[90009]								6	True	
4009	跳跳乐副本	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	38.9199	252.58	241.96						810102	[6002]		True			1	1|5|4|6|7|8|14|12|15		4		
4010	跳跳乐副本	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	55.4599	250.82	270.79	90.0					810102	[6003]		True			1	1|5|4|6|7|8|14|12|15		4		
4012	心跳回忆剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel02/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel02	2	1	4012	5000007		1	143.6056	81.8611	96.9279						810102	[4012]				SkyGarden_LxyStoryLevel02_Main	6	1|5|4|6|7|8|14|12|15	True	4		
4014	搬迁场景一	Assets/Product/BigWorld/SkyGarden_Scene001/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Scene001	1	1	4014			1	1.2599	56.4799	80.0699						810102	[1001]								4		
4015	搬迁场景二	Assets/Product/BigWorld/SkyGarden_Scene002/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Scene002	1	1	4015			1	1.5	6.9699	32.4799						810102	[1001]								4		
4016	搬迁场景三	Assets/Product/BigWorld/SkyGarden_Scene003/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Scene003	1	1	4016			1	28.125	61.3699	110.48						810102	[1001]								4		
4017	搬迁场景四	Assets/Product/BigWorld/SkyGarden_Scene004/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Scene004	1	1	4017			1	11.01	69.828	32.68						810102	[1001]								4		
4013	搬迁场景五	Assets/Product/BigWorld/SkyGarden_Scene005/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Scene005	2	1	4013			1	7.8656	68.7214	54.5763						810102	[200101]					5	1|5|6|7|8|12|15		4		
4018	跳跳乐副本	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	52.77	266.72	327.8299	-179.0					810102	[6004]		True			1	1|5|4|6|7|8|14|12|15		4		
4019	跳跳乐副本	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	54.6399	378.57	290.85	-95.0					810102	[6005]		True			1	1|5|4|6|7|8|14|12|15		4		
4020	跳跳乐副本	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	52.11	271.0	237.3999						810102	[6006]		True			1	1|5|4|6|7|8|14|12|15		4		
4021	商店街副本	Assets/Product/BigWorld/SkyGarden_Plaza/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Plaza	2	1	4021			1	189.3381	605.746	1146.8383	-54.643					810102	[4021]				SkyGarden_merged	5	4|5|6|7|8|9|11|15		4		
4022	商店街副本	Assets/Product/BigWorld/SkyGarden_Plaza/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Plaza	2	1	4021			1	189.3381	605.746	1146.8383	-54.643					810102	[4021]				SkyGarden_merged	5	4|5|6|7|8|9|11|15		4		
4023	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel01/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel01	2	1	4023	5000009		1	56.59	20.9339	40.4414						810102			True		SkyGarden_LxyStoryLevel01_Main	5	1|6|7|8|12|15	True	4		
4024	心跳回忆剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel02/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel02	2	2	4024	5000007		1	144.7299	95.0599	107.79						810102	[4024]		True		SkyGarden_LxyStoryLevel02_Main	6	6|7|8|5|15	True	4		
4025	任务用跳跳乐	Assets/Product/BigWorld/SkyGarden_JumpPlayer/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_JumpPlayer	2	2	6001	205		1	36.5999	243.6999	322.7	90.0					810102	[6007]		True			1	1|5|4|6|7|8|14|12|15		4		
4026	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel03/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel03	2	1	4026	5000009		1	56.5499	42.8699	49.8549	-136.5599					810102	[4026]		True		SkyGarden_LxyStoryLevel03_Main	5	1|6|7|8|12|15	True	4		
4027	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel04/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel04	2	1	4027	5000009		1	56.5699	23.2439	44.685	150.494					810102	[4027]		True		SkyGarden_LxyStoryLevel04_Main	5	1|6|7|8|12|15	True	4		
4028	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel03/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel03	2	1	4028	5000009		1	56.553	22.93	29.8099	47.0859					810102	[4026]		True		SkyGarden_LxyStoryLevel03_Main	5	1|6|7|8|12|15	True	4		
4029	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel03/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel03	2	1	4029	5000009		1	56.5499	42.8699	49.8549	-136.5599					810102	[4026]		True		SkyGarden_LxyStoryLevel03_Main	5	1|6|7|8|12|15	True	4		
4030	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel01/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel01	2	1	4030	5000009		1	56.59	28.4224	40.4414						810102	[4030]		True		SkyGarden_LxyStoryLevel01_Main	5	1|6|7|8|12|15	True	4		
4031	阿呆蛙剧情任务副本	Assets/Product/BigWorld/SkyGarden_LxyStoryLevel04/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_LxyStoryLevel04	2	1	4031	5000009		1	56.5699	23.2439	44.685	150.494					810102	[4027]		True		SkyGarden_LxyStoryLevel04_Main	5	1|6|7|8|12|15	True	4		
4032	军事警备区	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	2	1	4032	5000016		1	235.3125	221.7657	910.5048	20.0					810102	[1002]				SkyGarden_merged	8	5|6|7|8|9|11|12|14|15	True	4		
4033	旧苏菲亚城郊外	Assets/Product/BigWorld/SkyGarden_4_2MainStoryLevel01/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_4_2MainStoryLevel01	2	1	4033		5500089	1	3.283	87.8099	65.0	95.0					810102	[1002]					5	5|6|7|8|9|11|12|14|15|4		4		
4034	军事警备区	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	2	1	4034	5000016		1	234.0579	228.013	900.2249						810102	[4034]				SkyGarden_merged	9	5|6|7|8|9|11|12|14|15|4	True	4		
4035	军事警备区 天台	Assets/Product/BigWorld/SkyGarden_Scene007/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_Scene007	2	1	4035			1	12.663	-4.0	34.63	90.0					810102	[1002]					10	5|6|7|8|9|11|12|14|15|4	True	4		
4036	军事警备区	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	2	1	4036	5000016		1	225.9185	272.51	910.88	90.0					810102	[4036]				SkyGarden_merged	11	5|6|7|8|9|11|12|14|15|4	True	4		
5001	空中花园-商业B区	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	1	1	5001			1	191.0108	578.8911	1090.046	-148.3009					810102	[5001, 2010, 2009, 2011, 500105, 500106, 2008, 500102, 2007, 500103, 500101, 500107]				SkyGarden_merged2	7			4		
8001	空花白龙测试	Assets/Product/BigWorld/SkyGarden_4_2MainStoryLevel01/StaticPrefabs/Scene_Main/Scene_Main.prefab	SkyGarden_4_2MainStoryLevel01	1	1				1	4.4	86.2699	24.69	-59.1599					810102	[9002]				SkyGarden_merged2	1			4		
4037	拍照任务回忆副本	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	2	1	4037			1	188.7458	595.593	900.6921	-148.3009					810102	[4037]				SkyGarden_merged2	7	5|6|7|8|9|11|12|15|4|14		4		
4038	丽芙邀约副本	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	2	1	4038			1	189.615	511.8172	1000.539	-148.3009					810102	[4038]				SkyGarden_merged2	12	5|6|7|8|9|11|12|15|4	True	4		
4039	里邀约副本	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/Scene_Main01.prefab	SkyGarden	2	1	4039			1	185.8999	501.7803	959.0	-148.3009					810102	[4039]				SkyGarden_merged2	13	5|6|7|8|9|11|12|15|4	True	4		
