ChapterId	Note	SkipCondition	TRPGChapterId	StoryImgs	StorySkipId	StorySkipName	StoryChpterType	StoryChapterId	StoryChapterName
1114	第十四章	84201408		['Assets/Product/Texture/Image/StoryJump/StoryExChapterJump05.png']	[5310]	['外篇旧闻·第五章']	[74]	[2005]	['迷境刻痕']
1015	第十五章	84101517		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump15.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump11.png']	[5115, 5211]	['隐藏剧情', '间章']	[0, 77]	[1115, 1012002]	['绝海星火', '名为英雄之物']
1115	第十五章	84201508		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump16.png']	[5016]	['下一章节']	[0]	[1016]	['永夜胎动']
1016	第十六章	84101615		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump16.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump21.png']	[5116, 5221]	['隐藏剧情', '间章']	[0, 77]	[1116, 1021001]	['永夜胎动', '一出好戏']
1116	第十六章	84201610		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump17.png']	[5017]	['下一章节']	[0]	[1017]	['湮灭残昼']
1017	第十七章	84101728		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump18.png', 'Assets/Product/Texture/Image/StoryJump/StoryShortJump03.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump03.png']	[5018, 5403, 5203]	['下一章节', '浮点纪实·第二章', '间章']	[0, 76, 77]	[1018, 2002, 1002002]	['曙星致意', '枯朽为灯', '青鸟']
1018	第十八章	84101821		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump19.png', 'Assets/Product/Texture/Image/StoryJump/StoryShortJump02.png']	[5019, 5402]	['下一章节', '浮点纪实·第一章']	[0, 76]	[1019, 2001]	['空晓界限', '遥岸方舟']
1019	第十九章	84102022		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump20.png']	[5020]	['下一章节']	[0]	[1020]	['烬海异途']
1020	第二十章	84102214		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump21.png', 'Assets/Product/Texture/Image/StoryJump/StoryShortJump04.png']	[5021, 5404]	['下一章节', '浮点纪实·第三章']	[0, 76]	[1021, 2003]	['刻命螺旋', '未语庭言']
1021	第二十一章	84102484		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump22.png']	[5022]	['下一章节']	[0]	[1022]	['创绘映想']
1022	第二十二章	84102529		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump23.png', 'Assets/Product/Texture/Image/StoryJump/StoryShortJump05.png']	[5023, 5405]	['下一章节', '浮点纪实·第四章']	[0, 76]	[1023, 2004]	['凛桎鸣渊', '浮英枕梦行']
1023	第二十三章	84102546		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump24.png']	[5024]	['下一章节']	[0]	[1024]	['萦森歧路']
1024	第二十四章	84102552		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump25.png', 'Assets/Product/Texture/Image/StoryJump/StoryShortJump06.png']	[5025, 20191]	['下一章节', '浮点纪实·第五章']	[0, 76]	[1025, 2005]	['爝火长明', '怒逐沉沙']
1025	第二十五章	1007055		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump26.png']	[5026]	['下一章节']	[0]	[1026]	['摇篮游行']
1026	第二十六章	1007056		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump27.png']	[509]	['下一章节']	[0]	[1027]	['碑火铸脊']
1027	第二十七章	1007057		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump28.png']	[510]	['下一章节']	[0]	[1028]	['络勾陈']
1028	第二十八章	1007058		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump29.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump14.png']	[512, 5214]	['下一章节', '间章']	[0, 77]	[1029, 1015001]	['源解信标', '帝江']
1029	第二十九章	1007060		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump30.png']	[513]	['下一章节']	[96]	[1030]	['镜像星尘']
