Id	Name	BuffBg	BuffTriangleBg	Desc	TeachingContents	BuffSuggestAbility
32159	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>瞄准并攻击水晶，击败直线上的小精灵</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png']	
32160	<color=#34aff9><size=34>瞄准水晶</size></color>			靠近范围会出现方向标记，击破水晶会发出碰撞球击败直线上的小精灵	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png']	
32161	<color=#34aff9><size=34>小精灵</size></color>			只能被碰撞球击破	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain05.png']	
32162	<color=#34aff9><size=34>碰撞FEVER值</size></color>			击破所有水晶或击败所有小精灵结束，结算时，根据击败小精灵数目换算最终FEVER值		
32163	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>躲避红球的同时，平铺红色地块，击破水晶，转化尽量多的地块及红球</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png']	
32164	<color=#34aff9><size=34>FEVER值</size></color>			根据蓝球及蓝色地块数目换算最终FEVER值		
32165	<color=#34aff9><size=34>机制目标</size></color>			瞄准击败直线小精灵的同时，转化尽量多的红色地块	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png']	
32166	<color=#34aff9><size=34>FEVER值</size></color>			根据蓝色地块及击败的小精灵数量换算最终FEVER值		
32167	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>躲避红球的同时，击败尽量多的小精灵</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png']	
32168	<color=#34aff9><size=34>FEVER值</size></color>			根据蓝球及击破小精灵的数量换算最终FEVER值		
32169	<color=#34aff9><size=34>联机机制</size></color>			BOSS每30秒会在成员间移动。除攻击BOSS的成员外，其余队员将面临机制考验。维持FEVER状态，击破BOSS夺取胜利！	['text:利用天赋，通关机制为队友提供支援。通过机制后，会结算FEVER值。当全队FEVER达到100时，将进入FEVER状态，获得高额加成！']	
32170	<color=#34aff9><size=34>音波躲避</size></color>			躲避红球，击破水晶	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png']	
32171	<color=#34aff9><size=34>战场聚光</size></color>			平铺红色地块，击破水晶将其转化为蓝色地块	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png']	
32172	<color=#34aff9><size=34>水晶碰撞</size></color>			瞄准并攻击水晶，击败直线上的小精灵	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png']	
32173	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>尽快拾取所有信号球</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png']	
32174	<color=#34aff9><size=34>信号球</size></color>			拾取后触发天赋2，给自身和队友提供加成	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png']	
32175	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>成功到达终点，了解墙的升降</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain09.png']	
32176	<color=#34aff9><size=34>蓝色墙</size></color>			走过后会升起，当围成闭合图形后，会转变为黄色墙并缓缓下降	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain09.png', 'Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain10.png']	
32177	<color=#34aff9><size=34>红色墙</size></color>			可参与构成闭合图形	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain08.png']	
32178	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>拾取所有信号球</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png']	
32179	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>击败怪物，拾取所有小球</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain14.png']	
32180	<color=#34aff9><size=34>小球</size></color>			击破场上所有怪物后在中部出现，拾取同色小球加2分，拾取异色小球加1分	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain14.png']	
32181	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>躲避红球，击败怪物</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain16.png']	
32182	<color=#34aff9><size=34>愤怒的球员</size></color>			场地边缘出现，会持续朝玩家发射红球。一段时间后冲向玩家，击破可提升FEVER值	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain16.png']	
32183	<color=#34aff9><size=34>清醒的球员</size></color>			击败愤怒球员后转化而来	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain15.png']	
32184	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>击败怪物，点亮星灯</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain11.png']	
32185	<color=#34aff9><size=34>星灯</size></color>			玩家在其中站立5秒可点亮，星灯出现15秒后消失	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain11.png', 'Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain12.png']	
32186	<color=#34aff9><size=34>点亮星灯</size></color>			在点亮的星灯下作战，可获得根据灯的颜色获得不同加成	['text:根据点亮时的职业，灯会变换为红、黄、绿三种颜色', 'text:【红色】：55%伤害加成', 'text:【黄色】：55%减伤', 'text:【绿色】：每秒10%生命上限的回复']	
32187						
