Id	Name	Grid1	Grid2	Grid3	Grid4	Grid5	Grid6
35	盆栽	[2, 2, 0]	[0, 2, 2]	[0]	[0]	[0]	[0]
36	盆栽	[0, 2, 2]	[2, 2, 0]	[0]	[0]	[0]	[0]
37	盆栽	[2, 2, 0]	[0, 2, 2]	[0, 0, 2]	[0]	[0]	[0]
38	盆栽	[0, 2, 2]	[2, 2, 0]	[2, 0, 0]	[0]	[0]	[0]
39	盆栽	[2, 0, 0]	[2, 0, 0]	[2, 2, 2]	[0]	[0]	[0]
40	盆栽	[0, 0, 2]	[2, 2, 2]	[0]	[0]	[0]	[0]
41	盆栽	[2, 2]	[2, 0]	[0]	[0]	[0]	[0]
42	盆栽	[2, 2, 2]	[2, 2, 0]	[0]	[0]	[0]	[0]
43	盆栽	[2, 2, 2]	[0, 2, 2]	[0]	[0]	[0]	[0]
44	盆栽	[2, 0]	[0, 2]	[0]	[0]	[0]	[0]
45	盆栽	[2, 0, 0]	[0, 2, 2]	[0]	[0]	[0]	[0]
46	盆栽	[0, 0, 2]	[2, 2, 0]	[0]	[0]	[0]	[0]
47	盆栽	[2, 0, 0]	[2, 2, 2]	[0]	[0]	[0]	[0]
48	盆栽	[2, 2, 2]	[0, 2, 0]	[0]	[0]	[0]	[0]
49	盆栽	[2, 0, 0]	[0, 2, 0]	[0, 0, 2]	[0]	[0]	[0]
50	盆栽	[2]	[0]	[0]	[0]	[0]	[0]
51	水池	[3, 3]	[3, 3]	[0]	[0]	[0]	[0]
52	水池	[3]	[3]	[3]	[0]	[0]	[0]
53	水池	[3, 3, 3, 3]	[0]	[0]	[0]	[0]	[0]
54	水池	[3]	[3]	[0]	[0]	[0]	[0]
55	水池	[3, 0, 3]	[0]	[0]	[0]	[0]	[0]
56	水池	[3, 0, 3]	[3, 0, 3]	[0]	[0]	[0]	[0]
57	水池	[3, 3, 3]	[3, 0, 3]	[0]	[0]	[0]	[0]
58	水池	[0, 3, 0]	[3, 3, 3]	[0, 3, 0]	[0]	[0]	[0]
59	水池	[0, 3, 0]	[0, 3, 0]	[3, 3, 3]	[0]	[0]	[0]
60	水池	[3, 3, 0]	[0, 3, 3]	[0]	[0]	[0]	[0]
61	水池	[0, 3, 3]	[3, 3, 0]	[0]	[0]	[0]	[0]
62	水池	[3, 3, 0]	[0, 3, 3]	[0, 0, 3]	[0]	[0]	[0]
63	水池	[0, 3, 3]	[3, 3, 0]	[3, 0, 0]	[0]	[0]	[0]
64	水池	[3, 0, 0]	[3, 0, 0]	[3, 3, 3]	[0]	[0]	[0]
65	水池	[0, 0, 3]	[3, 3, 3]	[0]	[0]	[0]	[0]
66	水池	[3, 3]	[3, 0]	[0]	[0]	[0]	[0]
67	水池	[3, 3, 3]	[3, 3, 0]	[0]	[0]	[0]	[0]
68	水池	[3, 3, 3]	[0, 3, 3]	[0]	[0]	[0]	[0]
69	水池	[3, 0]	[0, 3]	[0]	[0]	[0]	[0]
70	水池	[3, 0, 0]	[0, 3, 3]	[0]	[0]	[0]	[0]
71	水池	[0, 0, 3]	[3, 3, 0]	[0]	[0]	[0]	[0]
72	水池	[3, 0, 0]	[3, 3, 3]	[0]	[0]	[0]	[0]
73	水池	[3, 3, 3]	[0, 3, 0]	[0]	[0]	[0]	[0]
74	水池	[3, 0, 0]	[0, 3, 0]	[0, 0, 3]	[0]	[0]	[0]
75	水池	[3]	[0]	[0]	[0]	[0]	[0]
76	桃树	[4, 4]	[4, 4]	[0]	[0]	[0]	[0]
77	桃树	[4]	[4]	[4]	[0]	[0]	[0]
78	桃树	[4, 4, 4, 4]	[0]	[0]	[0]	[0]	[0]
79	桃树	[4]	[4]	[0]	[0]	[0]	[0]
80	桃树	[4, 0, 4]	[0]	[0]	[0]	[0]	[0]
81	桃树	[4, 0, 4]	[4, 0, 4]	[0]	[0]	[0]	[0]
82	桃树	[4, 4, 4]	[4, 0, 4]	[0]	[0]	[0]	[0]
83	桃树	[0, 4, 0]	[4, 4, 4]	[0, 4, 0]	[0]	[0]	[0]
84	桃树	[0, 4, 0]	[0, 4, 0]	[4, 4, 4]	[0]	[0]	[0]
85	桃树	[4, 4, 0]	[0, 4, 4]	[0]	[0]	[0]	[0]
86	桃树	[0, 4, 4]	[4, 4, 0]	[0]	[0]	[0]	[0]
87	桃树	[4, 4, 0]	[0, 4, 4]	[0, 0, 4]	[0]	[0]	[0]
88	桃树	[0, 4, 4]	[4, 4, 0]	[4, 0, 0]	[0]	[0]	[0]
89	桃树	[4, 0, 0]	[4, 0, 0]	[4, 4, 4]	[0]	[0]	[0]
90	桃树	[0, 0, 4]	[4, 4, 4]	[0]	[0]	[0]	[0]
91	桃树	[4, 4]	[4, 0]	[0]	[0]	[0]	[0]
92	桃树	[4, 4, 4]	[4, 4, 0]	[0]	[0]	[0]	[0]
93	桃树	[4, 4, 4]	[0, 4, 4]	[0]	[0]	[0]	[0]
94	桃树	[4, 0]	[0, 4]	[0]	[0]	[0]	[0]
95	桃树	[4, 0, 0]	[0, 4, 4]	[0]	[0]	[0]	[0]
96	桃树	[0, 0, 4]	[4, 4, 0]	[0]	[0]	[0]	[0]
97	桃树	[4, 0, 0]	[4, 4, 4]	[0]	[0]	[0]	[0]
98	桃树	[4, 4, 4]	[0, 4, 0]	[0]	[0]	[0]	[0]
99	桃树	[4, 0, 0]	[0, 4, 0]	[0, 0, 4]	[0]	[0]	[0]
100	桃树	[4]	[0]	[0]	[0]	[0]	[0]
101	春联1	[0, 3, 0]	[0, 1005, 0]	[1005, 1005, 1005]	[0, 1005, 0]	[0]	[0]
102	市肆	[0, 0, 1]	[0, 0, 1]	[1, 1, 1]	[0]	[0]	[0]
103	市肆	[1, 0]	[1, 1]	[0]	[0]	[0]	[0]
104	盆栽	[0, 0, 2]	[0, 0, 2]	[2, 2, 2]	[0]	[0]	[0]
105	盆栽	[2, 0]	[2, 2]	[0]	[0]	[0]	[0]
106	水池	[0, 0, 3]	[0, 0, 3]	[3, 3, 3]	[0]	[0]	[0]
107	水池	[3, 0]	[3, 3]	[0]	[0]	[0]	[0]
108	桃树	[0, 0, 4]	[0, 0, 4]	[4, 4, 4]	[0]	[0]	[0]
109	桃树	[4, 0]	[4, 4]	[0]	[0]	[0]	[0]
110	福	[1003, 1004]	[1001, 1002]	[0]	[0]	[0]	[0]
111	爆竹	[5, 5]	[5, 5]	[0]	[0]	[0]	[0]
112	爆竹	[5]	[5]	[5]	[0]	[0]	[0]
113	爆竹	[5, 5, 5, 5]	[0]	[0]	[0]	[0]	[0]
114	爆竹	[5]	[5]	[0]	[0]	[0]	[0]
115	爆竹	[5, 0, 5]	[0]	[0]	[0]	[0]	[0]
116	爆竹	[5, 0, 5]	[5, 0, 5]	[0]	[0]	[0]	[0]
117	爆竹	[5, 5, 5]	[5, 0, 5]	[0]	[0]	[0]	[0]
118	爆竹	[0, 5, 0]	[5, 5, 5]	[0, 5, 0]	[0]	[0]	[0]
119	爆竹	[0, 5, 0]	[0, 5, 0]	[5, 5, 5]	[0]	[0]	[0]
120	爆竹	[5, 5, 0]	[0, 5, 5]	[0]	[0]	[0]	[0]
121	爆竹	[0, 5, 5]	[5, 5, 0]	[0]	[0]	[0]	[0]
122	爆竹	[5, 5, 0]	[0, 5, 5]	[0, 0, 5]	[0]	[0]	[0]
123	爆竹	[0, 5, 5]	[5, 5, 0]	[5, 0, 0]	[0]	[0]	[0]
124	爆竹	[5, 0, 0]	[5, 0, 0]	[5, 5, 5]	[0]	[0]	[0]
125	爆竹	[0, 0, 5]	[5, 5, 5]	[0]	[0]	[0]	[0]
126	爆竹	[5, 5]	[5, 0]	[0]	[0]	[0]	[0]
127	爆竹	[5, 5, 5]	[5, 5, 0]	[0]	[0]	[0]	[0]
128	爆竹	[5, 5, 5]	[0, 5, 5]	[0]	[0]	[0]	[0]
129	爆竹	[5, 0]	[0, 5]	[0]	[0]	[0]	[0]
130	爆竹	[5, 0, 0]	[0, 5, 5]	[0]	[0]	[0]	[0]
131	爆竹	[0, 0, 5]	[5, 5, 0]	[0]	[0]	[0]	[0]
132	爆竹	[5, 0, 0]	[5, 5, 5]	[0]	[0]	[0]	[0]
133	爆竹	[5, 5, 5]	[0, 5, 0]	[0]	[0]	[0]	[0]
134	爆竹	[5, 0, 0]	[0, 5, 0]	[0, 0, 5]	[0]	[0]	[0]
135	爆竹	[5]	[0]	[0]	[0]	[0]	[0]
136	爆竹	[0, 0, 5]	[0, 0, 5]	[5, 5, 5]	[0]	[0]	[0]
137	爆竹	[5, 0]	[5, 5]	[0]	[0]	[0]	[0]
138	市肆	[6, 6]	[6, 6]	[0]	[0]	[0]	[0]
139	市肆	[6]	[6]	[6]	[0]	[0]	[0]
140	市肆	[6, 6, 6, 6]	[0]	[0]	[0]	[0]	[0]
141	市肆	[6]	[6]	[0]	[0]	[0]	[0]
142	市肆	[6, 0, 6]	[0]	[0]	[0]	[0]	[0]
143	市肆	[6, 0, 6]	[6, 0, 6]	[0]	[0]	[0]	[0]
144	市肆	[6, 6, 6]	[6, 0, 6]	[0]	[0]	[0]	[0]
145	市肆	[0, 6, 0]	[6, 6, 6]	[0, 6, 0]	[0]	[0]	[0]
146	市肆	[0, 6, 0]	[0, 6, 0]	[6, 6, 6]	[0]	[0]	[0]
147	市肆	[6, 6, 0]	[0, 6, 6]	[0]	[0]	[0]	[0]
148	市肆	[0, 6, 6]	[6, 6, 0]	[0]	[0]	[0]	[0]
149	市肆	[6, 6, 0]	[0, 6, 6]	[0, 0, 6]	[0]	[0]	[0]
150	市肆	[0, 6, 6]	[6, 6, 0]	[6, 0, 0]	[0]	[0]	[0]
151	市肆	[6, 0, 0]	[6, 0, 0]	[6, 6, 6]	[0]	[0]	[0]
152	市肆	[0, 0, 6]	[6, 6, 6]	[0]	[0]	[0]	[0]
153	市肆	[6, 6]	[6, 0]	[0]	[0]	[0]	[0]
154	市肆	[6, 6, 6]	[6, 6, 0]	[0]	[0]	[0]	[0]
155	市肆	[6, 6, 6]	[0, 6, 6]	[0]	[0]	[0]	[0]
156	市肆	[6, 0]	[0, 6]	[0]	[0]	[0]	[0]
157	市肆	[6, 0, 0]	[0, 6, 6]	[0]	[0]	[0]	[0]
158	市肆	[0, 0, 6]	[6, 6, 0]	[0]	[0]	[0]	[0]
159	市肆	[6, 0, 0]	[6, 6, 6]	[0]	[0]	[0]	[0]
160	市肆	[6, 6, 6]	[0, 6, 0]	[0]	[0]	[0]	[0]
161	市肆	[6, 0, 0]	[0, 6, 0]	[0, 0, 6]	[0]	[0]	[0]
162	市肆	[6]	[0]	[0]	[0]	[0]	[0]
163	市肆	[0, 0, 6]	[0, 0, 6]	[6, 6, 6]	[0]	[0]	[0]
164	市肆	[6, 0]	[6, 6]	[0]	[0]	[0]	[0]
165	糖水汤圆	[1015, 1015]	[1015, 1015]	[0]	[0]	[0]	[0]
166	糖水汤圆	[1015]	[1015]	[1015]	[0]	[0]	[0]
167	糖水汤圆	[1015, 1015, 1015, 1015]	[0]	[0]	[0]	[0]	[0]
168	糖水汤圆	[1015]	[1015]	[0]	[0]	[0]	[0]
169	糖水汤圆	[1015, 0, 1015]	[0]	[0]	[0]	[0]	[0]
170	糖水汤圆	[1015, 0, 1015]	[1015, 0, 1015]	[0]	[0]	[0]	[0]
171	糖水汤圆	[1015, 1015, 1015]	[1015, 0, 1015]	[0]	[0]	[0]	[0]
172	糖水汤圆	[0, 1015, 0]	[1015, 1015, 1015]	[0, 1015, 0]	[0]	[0]	[0]
173	糖水汤圆	[0, 1015, 0]	[0, 1015, 0]	[1015, 1015, 1015]	[0]	[0]	[0]
174	糖水汤圆	[1015, 1015, 0]	[0, 1015, 1015]	[0]	[0]	[0]	[0]
175	糖水汤圆	[0, 1015, 1015]	[1015, 1015, 0]	[0]	[0]	[0]	[0]
176	糖水汤圆	[1015, 1015, 0]	[0, 1015, 1015]	[0, 0, 1015]	[0]	[0]	[0]
177	糖水汤圆	[0, 1015, 1015]	[1015, 1015, 0]	[1015, 0, 0]	[0]	[0]	[0]
178	糖水汤圆	[1015, 0, 0]	[1015, 0, 0]	[1015, 1015, 1015]	[0]	[0]	[0]
179	糖水汤圆	[0, 0, 1015]	[1015, 1015, 1015]	[0]	[0]	[0]	[0]
180	糖水汤圆	[1015, 1015]	[1015, 0]	[0]	[0]	[0]	[0]
181	糖水汤圆	[1015, 1015, 1015]	[1015, 1015, 0]	[0]	[0]	[0]	[0]
182	糖水汤圆	[1015, 1015, 1015]	[0, 1015, 1015]	[0]	[0]	[0]	[0]
183	糖水汤圆	[1015, 0]	[0, 1015]	[0]	[0]	[0]	[0]
184	糖水汤圆	[1015, 0, 0]	[0, 1015, 1015]	[0]	[0]	[0]	[0]
185	糖水汤圆	[0, 0, 1015]	[1015, 1015, 0]	[0]	[0]	[0]	[0]
186	糖水汤圆	[1015, 0, 0]	[1015, 1015, 1015]	[0]	[0]	[0]	[0]
187	糖水汤圆	[1015, 1015, 1015]	[0, 1015, 0]	[0]	[0]	[0]	[0]
188	糖水汤圆	[1015, 0, 0]	[0, 1015, 0]	[0, 0, 1015]	[0]	[0]	[0]
189	糖水汤圆	[1015]	[0]	[0]	[0]	[0]	[0]
190	糖水汤圆	[0, 0, 1015]	[0, 0, 1015]	[1015, 1015, 1015]	[0]	[0]	[0]
191	糖水汤圆	[1015, 0]	[1015, 1015]	[0]	[0]	[0]	[0]
192	特制汤圆	[1016, 1016]	[1016, 1016]	[0]	[0]	[0]	[0]
193	特制汤圆	[1016]	[1016]	[1016]	[0]	[0]	[0]
194	特制汤圆	[1016, 1016, 1016, 1016]	[0]	[0]	[0]	[0]	[0]
195	特制汤圆	[1016]	[1016]	[0]	[0]	[0]	[0]
196	特制汤圆	[1016, 0, 1016]	[0]	[0]	[0]	[0]	[0]
197	特制汤圆	[1016, 0, 1016]	[1016, 0, 1016]	[0]	[0]	[0]	[0]
198	特制汤圆	[1016, 1016, 1016]	[1016, 0, 1016]	[0]	[0]	[0]	[0]
199	特制汤圆	[0, 1016, 0]	[1016, 1016, 1016]	[0, 1016, 0]	[0]	[0]	[0]
200	特制汤圆	[0, 1016, 0]	[0, 1016, 0]	[1016, 1016, 1016]	[0]	[0]	[0]
201	特制汤圆	[1016, 1016, 0]	[0, 1016, 1016]	[0]	[0]	[0]	[0]
202	特制汤圆	[0, 1016, 1016]	[1016, 1016, 0]	[0]	[0]	[0]	[0]
203	特制汤圆	[1016, 1016, 0]	[0, 1016, 1016]	[0, 0, 1016]	[0]	[0]	[0]
204	特制汤圆	[0, 1016, 1016]	[1016, 1016, 0]	[1016, 0, 0]	[0]	[0]	[0]
205	特制汤圆	[1016, 0, 0]	[1016, 0, 0]	[1016, 1016, 1016]	[0]	[0]	[0]
206	特制汤圆	[0, 0, 1016]	[1016, 1016, 1016]	[0]	[0]	[0]	[0]
207	特制汤圆	[1016, 1016]	[1016, 0]	[0]	[0]	[0]	[0]
208	特制汤圆	[1016, 1016, 1016]	[1016, 1016, 0]	[0]	[0]	[0]	[0]
209	特制汤圆	[1016, 1016, 1016]	[0, 1016, 1016]	[0]	[0]	[0]	[0]
210	特制汤圆	[1016, 0]	[0, 1016]	[0]	[0]	[0]	[0]
211	特制汤圆	[1016, 0, 0]	[0, 1016, 1016]	[0]	[0]	[0]	[0]
212	特制汤圆	[0, 0, 1016]	[1016, 1016, 0]	[0]	[0]	[0]	[0]
213	特制汤圆	[1016, 0, 0]	[1016, 1016, 1016]	[0]	[0]	[0]	[0]
214	特制汤圆	[1016, 1016, 1016]	[0, 1016, 0]	[0]	[0]	[0]	[0]
215	特制汤圆	[1016, 0, 0]	[0, 1016, 0]	[0, 0, 1016]	[0]	[0]	[0]
216	特制汤圆	[1016]	[0]	[0]	[0]	[0]	[0]
217	特制汤圆	[0, 0, 1016]	[0, 0, 1016]	[1016, 1016, 1016]	[0]	[0]	[0]
218	特制汤圆	[1016, 0]	[1016, 1016]	[0]	[0]	[0]	[0]
219	烟花	[2005, 2005]	[2005, 2005]	[0]	[0]	[0]	[0]
220	烟花	[2005]	[2005]	[2005]	[0]	[0]	[0]
221	烟花	[2005, 2005, 2005, 2005]	[0]	[0]	[0]	[0]	[0]
222	烟花	[2005]	[2005]	[0]	[0]	[0]	[0]
223	烟花	[2005, 0, 2005]	[0]	[0]	[0]	[0]	[0]
224	烟花	[2005, 0, 2005]	[2005, 0, 2005]	[0]	[0]	[0]	[0]
225	烟花	[2005, 2005, 2005]	[2005, 0, 2005]	[0]	[0]	[0]	[0]
226	烟花	[0, 2005, 0]	[2005, 2005, 2005]	[0, 2005, 0]	[0]	[0]	[0]
227	烟花	[0, 2005, 0]	[0, 2005, 0]	[2005, 2005, 2005]	[0]	[0]	[0]
228	烟花	[2005, 2005, 0]	[0, 2005, 2005]	[0]	[0]	[0]	[0]
229	烟花	[0, 2005, 2005]	[2005, 2005, 0]	[0]	[0]	[0]	[0]
230	烟花	[2005, 2005, 0]	[0, 2005, 2005]	[0, 0, 2005]	[0]	[0]	[0]
231	烟花	[0, 2005, 2005]	[2005, 2005, 0]	[2005, 0, 0]	[0]	[0]	[0]
232	烟花	[2005, 0, 0]	[2005, 0, 0]	[2005, 2005, 2005]	[0]	[0]	[0]
233	烟花	[0, 0, 2005]	[2005, 2005, 2005]	[0]	[0]	[0]	[0]
234	烟花	[2005, 2005]	[2005, 0]	[0]	[0]	[0]	[0]
235	烟花	[2005, 2005, 2005]	[2005, 2005, 0]	[0]	[0]	[0]	[0]
236	烟花	[2005, 2005, 2005]	[0, 2005, 2005]	[0]	[0]	[0]	[0]
237	烟花	[2005, 0]	[0, 2005]	[0]	[0]	[0]	[0]
238	烟花	[2005, 0, 0]	[0, 2005, 2005]	[0]	[0]	[0]	[0]
239	烟花	[0, 0, 2005]	[2005, 2005, 0]	[0]	[0]	[0]	[0]
240	烟花	[2005, 0, 0]	[2005, 2005, 2005]	[0]	[0]	[0]	[0]
241	烟花	[2005, 2005, 2005]	[0, 2005, 0]	[0]	[0]	[0]	[0]
242	烟花	[2005, 0, 0]	[0, 2005, 0]	[0, 0, 2005]	[0]	[0]	[0]
243	烟花	[2005]	[0]	[0]	[0]	[0]	[0]
244	烟花	[0, 0, 2005]	[0, 0, 2005]	[2005, 2005, 2005]	[0]	[0]	[0]
245	烟花	[2005, 0]	[2005, 2005]	[0]	[0]	[0]	[0]
246	红包	[2006, 2006]	[2006, 2006]	[0]	[0]	[0]	[0]
247	红包	[2006]	[2006]	[2006]	[0]	[0]	[0]
248	红包	[2006, 2006, 2006, 2006]	[0]	[0]	[0]	[0]	[0]
249	红包	[2006]	[2006]	[0]	[0]	[0]	[0]
250	红包	[2006, 0, 2006]	[0]	[0]	[0]	[0]	[0]
251	红包	[2006, 0, 2006]	[2006, 0, 2006]	[0]	[0]	[0]	[0]
252	红包	[2006, 2006, 2006]	[2006, 0, 2006]	[0]	[0]	[0]	[0]
253	红包	[0, 2006, 0]	[2006, 2006, 2006]	[0, 2006, 0]	[0]	[0]	[0]
254	红包	[0, 2006, 0]	[0, 2006, 0]	[2006, 2006, 2006]	[0]	[0]	[0]
255	红包	[2006, 2006, 0]	[0, 2006, 2006]	[0]	[0]	[0]	[0]
256	红包	[0, 2006, 2006]	[2006, 2006, 0]	[0]	[0]	[0]	[0]
257	红包	[2006, 2006, 0]	[0, 2006, 2006]	[0, 0, 2006]	[0]	[0]	[0]
258	红包	[0, 2006, 2006]	[2006, 2006, 0]	[2006, 0, 0]	[0]	[0]	[0]
259	红包	[2006, 0, 0]	[2006, 0, 0]	[2006, 2006, 2006]	[0]	[0]	[0]
260	红包	[0, 0, 2006]	[2006, 2006, 2006]	[0]	[0]	[0]	[0]
261	红包	[2006, 2006]	[2006, 0]	[0]	[0]	[0]	[0]
262	红包	[2006, 2006, 2006]	[2006, 2006, 0]	[0]	[0]	[0]	[0]
263	红包	[2006, 2006, 2006]	[0, 2006, 2006]	[0]	[0]	[0]	[0]
264	红包	[2006, 0]	[0, 2006]	[0]	[0]	[0]	[0]
265	红包	[2006, 0, 0]	[0, 2006, 2006]	[0]	[0]	[0]	[0]
266	红包	[0, 0, 2006]	[2006, 2006, 0]	[0]	[0]	[0]	[0]
267	红包	[2006, 0, 0]	[2006, 2006, 2006]	[0]	[0]	[0]	[0]
268	红包	[2006, 2006, 2006]	[0, 2006, 0]	[0]	[0]	[0]	[0]
269	红包	[2006, 0, 0]	[0, 2006, 0]	[0, 0, 2006]	[0]	[0]	[0]
270	红包	[2006]	[0]	[0]	[0]	[0]	[0]
271	红包	[0, 0, 2006]	[0, 0, 2006]	[2006, 2006, 2006]	[0]	[0]	[0]
272	红包	[2006, 0]	[2006, 2006]	[0]	[0]	[0]	[0]
273	盆栽	[2, 2]	[0]	[0]	[0]	[0]	[0]
274	盆栽	[2, 2, 2]	[0]	[0]	[0]	[0]	[0]
275	市肆	[1, 1]	[0]	[0]	[0]	[0]	[0]
276	市肆	[1, 1, 1]	[0]	[0]	[0]	[0]	[0]
277	水池	[3, 3]	[0]	[0]	[0]	[0]	[0]
278	水池	[3, 3, 3]	[0]	[0]	[0]	[0]	[0]
279	桃树	[4, 4]	[0]	[0]	[0]	[0]	[0]
280	桃树	[4, 4, 4]	[0]	[0]	[0]	[0]	[0]
281	爆竹	[5, 5]	[0]	[0]	[0]	[0]	[0]
282	爆竹	[5, 5, 5]	[0]	[0]	[0]	[0]	[0]
283	市肆	[6, 6]	[0]	[0]	[0]	[0]	[0]
284	市肆	[6, 6, 6]	[0]	[0]	[0]	[0]	[0]
285	糖水汤圆	[1015, 1015]	[0]	[0]	[0]	[0]	[0]
286	糖水汤圆	[1015, 1015, 1015]	[0]	[0]	[0]	[0]	[0]
287	特制汤圆	[1016, 1016]	[0]	[0]	[0]	[0]	[0]
288	特制汤圆	[1016, 1016, 1016]	[0]	[0]	[0]	[0]	[0]
289	烟花	[2005, 2005]	[0]	[0]	[0]	[0]	[0]
290	烟花	[2005, 2005, 2005]	[0]	[0]	[0]	[0]	[0]
291	红包	[2006, 2006]	[0]	[0]	[0]	[0]	[0]
292	红包	[2006, 2006, 2006]	[0]	[0]	[0]	[0]	[0]
293	花鼓	[2002, 2002]	[2002, 2002]	[0]	[0]	[0]	[0]
294	花鼓	[2002]	[2002]	[2002]	[0]	[0]	[0]
295	花鼓	[2002, 2002, 2002, 2002]	[0]	[0]	[0]	[0]	[0]
296	花鼓	[2002]	[2002]	[0]	[0]	[0]	[0]
297	花鼓	[2002, 0, 2002]	[0]	[0]	[0]	[0]	[0]
298	花鼓	[2002, 0, 2002]	[2002, 0, 2002]	[0]	[0]	[0]	[0]
299	花鼓	[2002, 2002, 2002]	[2002, 0, 2002]	[0]	[0]	[0]	[0]
300	花鼓	[0, 2002, 0]	[2002, 2002, 2002]	[0, 2002, 0]	[0]	[0]	[0]
301	花鼓	[0, 2002, 0]	[0, 2002, 0]	[2002, 2002, 2002]	[0]	[0]	[0]
302	花鼓	[2002, 2002, 0]	[0, 2002, 2002]	[0]	[0]	[0]	[0]
303	花鼓	[0, 2002, 2002]	[2002, 2002, 0]	[0]	[0]	[0]	[0]
304	花鼓	[2002, 2002, 0]	[0, 2002, 2002]	[0, 0, 2002]	[0]	[0]	[0]
305	花鼓	[0, 2002, 2002]	[2002, 2002, 0]	[2002, 0, 0]	[0]	[0]	[0]
306	花鼓	[2002, 0, 0]	[2002, 0, 0]	[2002, 2002, 2002]	[0]	[0]	[0]
307	花鼓	[0, 0, 2002]	[2002, 2002, 2002]	[0]	[0]	[0]	[0]
308	花鼓	[2002, 2002]	[2002, 0]	[0]	[0]	[0]	[0]
309	花鼓	[2002, 2002, 2002]	[2002, 2002, 0]	[0]	[0]	[0]	[0]
310	花鼓	[2002, 2002, 2002]	[0, 2002, 2002]	[0]	[0]	[0]	[0]
311	花鼓	[2002, 0]	[0, 2002]	[0]	[0]	[0]	[0]
312	花鼓	[2002, 0, 0]	[0, 2002, 2002]	[0]	[0]	[0]	[0]
313	花鼓	[0, 0, 2002]	[2002, 2002, 0]	[0]	[0]	[0]	[0]
314	花鼓	[2002, 0, 0]	[2002, 2002, 2002]	[0]	[0]	[0]	[0]
315	花鼓	[2002, 2002, 2002]	[0, 2002, 0]	[0]	[0]	[0]	[0]
316	花鼓	[2002, 0, 0]	[0, 2002, 0]	[0, 0, 2002]	[0]	[0]	[0]
317	花鼓	[2002]	[0]	[0]	[0]	[0]	[0]
318	花鼓	[0, 0, 2002]	[0, 0, 2002]	[2002, 2002, 2002]	[0]	[0]	[0]
319	花鼓	[2002, 0]	[2002, 2002]	[0]	[0]	[0]	[0]
320	花鼓	[2002, 2002]	[0]	[0]	[0]	[0]	[0]
321	花鼓	[2002, 2002, 2002]	[0]	[0]	[0]	[0]	[0]
322	花灯	[3001]	[3001]	[3001]	[3001]	[0]	[0]
323	花灯	[3002, 3002]	[3002, 3002]	[3001, 3002]	[0, 3001]	[0]	[0]
