StageId	TimeId	PreStageId	StoryStageDetailBg	StoryStageDetailIcon	TrialDetailBg	TrialDetailSpine	TrialDetailHeadIcon	TrialDetailRecommendLevel	TrialDetailDesc	FinishTag	StoryStageFace	TrialFace	TrialLockIcon
30130419		30130418	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory06.png		
30130420		30130417	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew1.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30130421		30130420	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew1.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory02.png		
30130422		30130417	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew2.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory03.png		
30130423		30130422	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew2.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory04.png		
30101051					Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenFashionStorySailinnaV206.png		Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR3Sailinna8.png		不消耗体力	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted02.png		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting03.png	
30101052					Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenFashionStoryLiV206.png		Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR4Li5.png		不消耗体力	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting01.png	
30130438			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew4.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory08.png		
30130439		30130438	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory05.png		
30130440		30130439	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory06.png		
30130441		30130438	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew1.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30130442		30130441	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew1.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory02.png		
30130443		30130438	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew2.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory03.png		
30130444		30130443	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew2.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory04.png		
30101072					Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenHanyingYongzhuang.png		Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR3Hanying6.png		不消耗体力\n\n一枕浮梦思潋滟，醉旖忆作碧上仙。伊人已踏涟漪去，清淼玉歌步生莲。初见不明镜花意，再看已陷水月渊。	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted02.png		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting03.png	
30101073					Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenLunaYongzhuang.png		Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR4Luna6.png		不消耗体力\n\n湛蓝凝固在回首那一瞬间，随海鸟飞去，和指尖水滴一同汇入洋海。你透过她的眼底窥见了夏日，似琉璃澄净，比海浪更远。	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting02.png	
30130470	39110		Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306CD01.png							Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306GridStory01.png		
30130471	39110	30130470	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306CD02.png							Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306GridStory02.png		
30130472	39110	30130471	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306CD02.png							Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306GridStory03.png		
30130473	39110	30130470	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306CD03.png							Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306GridStory04.png		
30130474	39110	30130473	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306CD03.png							Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306GridStory05.png		
30101097	39110				Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenFashionStoryLuciaV306.png		Assets/Product/Texture/Image/UiSummerFashionNew/UiFubenFashionStoryNewV306/UiFubenFashionStoryNewV306Bg20.png		夜色拥抱深海，潮汐轻柔拍打，细碎的星尘悄然洒下。在这如同被银河亲吻的潮声里，幽蓝的海莹随波光破碎又聚合，如同易逝的梦境。少女静静伫立，任那朦胧的光点没过脚踝，她望向身边人的侧影，忽觉世间一切美好皆如此刻：悄然而至，却恰逢其时。	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted02.png		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting03.png	
