Id	Type	ScreenType	ActivityId	TimeId	ExtraParams	InitQuality	QualityConditions	Qualities	Condition	Name	MainDesc	WorldDesc	Hint	ExpandInfoId	GetDesc	Priority	ShowType	ShowScore	ShowQualityUpTip	IsNotShowGetTip	Medal3D	MedalImg	MedalIcon	ScoreParams	GroupId	GroupLv	ShowMaxLevel	PrefabPath
13005005	999	2				2	[990295, 990296, 990297]	[3, 4, 5]		情巡拾光	收藏品	成员在5.20这天赠予指挥官的重要收藏品，承载着赠予者浓烈真挚的爱意。	['·获得2个【情巡拾光】，品质提升为蓝色', '·获得5个【情巡拾光】，品质提升为紫色', '·获得10个【情巡拾光】，品质提升为橙色']		2025年520活动-赠送【情巡拾光】礼物	1004						Assets/Product/Texture/Image/UiCollection/Iconcollection206.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005006	999	2				2	[990352, 990353, 990354]	[3, 4, 5]		栖光契语	收藏品	成员在5.20这天赠予指挥官的重要收藏品，承载着赠予者浓烈真挚的爱意。	['·获得2个【栖光契语】，品质提升为蓝色', '·获得5个【栖光契语】，品质提升为紫色', '·获得10个【栖光契语】，品质提升为橙色']		2026年520活动-赠送【待曙心稿】礼物	1005						Assets/Product/Texture/Image/IconTools/IconActivityGift2005012.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005100	5	2				3	[850007, 850008]	[4, 5]	850006	欧西里斯纪念章	收藏品	印有欧西里斯形象的纪念章，根据不同档位显示不同品质，能感受到战胜欧西里斯所付出的超凡努力，只有从末世审判中存活下来的人才有资格佩戴它，见证着激战中突破处刑与审判之眼夹击的战斗场景。	['·通关欧西里斯超频-精英级后，品质提升为紫色', '·通关欧西里斯超频-噩梦级后，品质提升为橙色']		通关协同作战【活动】欧西里斯超频难度后获得	1100						Assets/Product/Texture/Image/UiCollection/Iconcollection005.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005101	5	2				2	[850013, 850014, 850015]	[3, 4, 5]	850020	加百列纪念章	收藏品	印有加百列形象的纪念章，根据不同档位显示不同品质，能感受到战胜加百列所付出的超凡努力。	['·通关加百列超频-极简级后，品质提升为蓝色', '·通关加百列超频-精英级后，品质提升为紫色', '·通关加百列超频-噩梦级后，品质提升为橙色']		通关协同作战【活动】加百列暴走或以上难度后获得	1200						Assets/Product/Texture/Image/UiCollection/Iconcollection012.png			1	1		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005102	999	2				5				加百列纪念章	收藏品	印有加百列形象的纪念章，能感受到战胜加百列所付出的超凡努力。			在试玩区【梦魇加百列】关卡中达成相应条件后获得	1201						Assets/Product/Texture/Image/UiCollection/Iconcollection012.png			1	2		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005103	999	2				5				加百列纪念章	收藏品	印有加百列形象的纪念章（进阶样式），能感受到战胜加百列所付出的超凡努力。			在试玩区【梦魇加百列】关卡中达成相应条件后获得	1202						Assets/Product/Texture/Image/UiCollection/Iconcollection023.png			1	3		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005104	999	2				5				加百列纪念章	收藏品	印有加百列形象的纪念章（最终样式），能感受到战胜加百列所付出的超凡努力。			在试玩区【梦魇加百列】关卡中达成相应条件后获得	1203						Assets/Product/Texture/Image/UiCollection/Iconcollection029.png			1	4		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005200	999	2				5				磷铜奖章	收藏品	榜上有名的指挥官荣誉，奖章将根据获得次数更新。运用磷铜的重铸浇灌技术制作而成，象征着久经锻炼的作战实力与操作技术。			列阵每次结算排行前5%~10%所获得的奖励	1300		1				Assets/Product/Texture/Image/UiCollection/Iconcollection008.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005201	999	2				5				镀银奖章	收藏品	排名靠前的指挥官荣誉，奖章将根据获得次数更新。镀银的圣洁与纯白喷涂完美配合的新一代艺术收藏品，象征着自成一格的作战实力与操作技术。			列阵每次结算排行前1%~5%所获得的奖励	1301		1				Assets/Product/Texture/Image/UiCollection/Iconcollection009.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005202	999	2				5				烙金奖章	收藏品	名列前茅的指挥官荣誉，奖章将根据获得次数更新。烙金的烫痕与高贵的纯色雕刻，象征着无与伦比的作战实力与操作技术。			列阵每次结算排行前1%内所获得的奖励	1302		1				Assets/Product/Texture/Image/UiCollection/Iconcollection010.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005301	999	2				2	[850024, 850025, 850026]	[3, 4, 5]		黑星高塔纪念章	收藏品	用以嘉奖在巴别塔计划战略行动中成功达成深度战略模拟的指挥官们，制作工艺非常考究，具备特殊纪念价值。	['·获得3个【黑星高塔纪念章】，品质提升为蓝色', '·获得6个【黑星高塔纪念章】，品质提升为紫色', '·获得10个【黑星高塔纪念章】，品质提升为橙色']		通过道具【黑星高塔纪念章】转化获得	1401						Assets/Product/Texture/Image/IconTools/BabelReward1.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005302	999	2				2	[850027, 850028, 850029]	[3, 4, 5]		沙海高塔纪念章	收藏品	用以嘉奖在巴别塔计划第二期，无垠沙海的战略行动中成功达成深度战略模拟的指挥官们，它是荣耀的象征，亦是一段刚勇传说的见证。	['·获得3个【沙海高塔纪念章】，品质提升为蓝色', '·获得6个【沙海高塔纪念章】，品质提升为紫色', '·获得10个【沙海高塔纪念章】，品质提升为橙色']		通过道具【沙海高塔纪念章】转化获得	1402						Assets/Product/Texture/Image/IconTools/BabelReward2.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005300	2	2	3			2	[850010, 850011, 850012]	[3, 4, 5]		游乐场高塔纪念章	收藏品	巴别塔计划·游乐场中获得的纪念章，用以嘉奖在巴别塔计划第三期战略行动中成功达成深度战略模拟的指挥官们，具备特殊纪念价值，铭刻着难忘的经历。	['·完成巴别塔任务【天空之塔Ⅱ】，品质提升为蓝色', '·完成巴别塔任务【天空之塔Ⅲ】，品质提升为紫色', '·完成巴别塔任务【天空之塔Ⅳ】，品质提升为橙色']		通关一次巴别塔·游乐场获得	1403		1				Assets/Product/Texture/Image/UiCollection/Iconcollection011.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerIconLv1.png					Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005303	2	2	4			2	[850039, 850040, 850041]	[3, 4, 5]		极光天穹纪念章	收藏品	巴别塔计划·极光天穹中获得的纪念章，用以嘉奖在巴别塔计划第四期战略行动中成功达成深度战略模拟的指挥官们，具备特殊纪念价值，铭刻着难忘的经历。	['·完成巴别塔任务【极光之扉Ⅱ】，品质提升为蓝色', '·完成巴别塔任务【极光之扉Ⅲ】，品质提升为紫色', '·完成巴别塔任务【极光之扉Ⅳ】，品质提升为橙色']		通关一次巴别塔·极光天穹获得	1404		1				Assets/Product/Texture/Image/UiCollection/Iconcollection016.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerIconLv2.png					Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005304	2	2	5			2	[850052, 850053, 850054]	[3, 4, 5]		白泽枢纪念章	收藏品	巴别塔计划·白泽枢中获得的纪念章，用以嘉奖在巴别塔计划第五期战略行动中成功达成深度战略模拟的指挥官们，纪念章由顶级匠人手工雕琢，具备特殊纪念价值。	['·完成巴别塔任务【万世诗铭Ⅱ】，品质提升为蓝色', '·完成巴别塔任务【万世诗铭Ⅲ】，品质提升为紫色', '·完成巴别塔任务【万世诗铭Ⅳ】，品质提升为橙色']		通关一次巴别塔·白泽枢获得	1405		1				Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	Assets/Product/Texture/Image/UiCollection/Iconcollection024.png					Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005305	2	2	6			2	[850072, 850073, 850074]	[3, 4, 5]		荒尘蜃楼纪念章	收藏品	巴别塔计划·荒尘蜃楼中获得的纪念章，用以嘉奖在荒尘蜃楼攻略行动中成功达成深度战略模拟的指挥官们。相当重视传统的设计而极具仪式感。	['·完成巴别塔任务【扶摇楼阁Ⅱ】，品质提升为蓝色', '·完成巴别塔任务【扶摇楼阁Ⅲ】，品质提升为紫色', '·完成巴别塔任务【扶摇楼阁Ⅳ】，品质提升为橙色']		通关一次巴别塔·荒尘蜃楼获得	1406		1				Assets/Product/Texture/Image/UiCollection/Iconcollection042.png	Assets/Product/Texture/Image/UiCollection/Iconcollection042.png					Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005400	999	2				5				合金冲浪板	收藏品	承载着夏日回忆的冲浪板，是映画晨星的畅销款式。			完成夏日大作战挑战任务获得	1500						Assets/Product/Texture/Image/UiCollection/Iconcollection013.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005500	7	2				2	[850016, 850017, 850018]	[3, 4, 5]		鲨士碧儿手办	收藏品	鲨士碧儿1:15限量手办，根据不同档位显示不同品质，陪鲨士碧儿“玩耍”后即可获得，不断在那里循环播放着“一起玩吧~碧儿爱吃姜饼人~”的儿歌。	['·获得11星奖励后，品质提升为蓝色', '·获得13星奖励后，品质提升为紫色', '·获得15星奖励后，品质提升为橙色']		在乐园游行关卡中获得9星奖励后解锁	1600						Assets/Product/Texture/Image/UiCollection/Iconcollection014.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005501	7	2				2	[850042, 850043, 850044]	[3, 4, 5]		安博莉亚手办	收藏品	打倒安博莉亚后的纪念品，根据不同档位显示不同品质。一切的罪孽与梦魇，都终结于此——	['·获得11星奖励后，品质提升为蓝色', '·获得13星奖励后，品质提升为紫色', '·获得15星奖励后，品质提升为橙色']		在永罪潮汐关卡中获得9星奖励后解锁	1601						Assets/Product/Texture/Image/UiCollection/Iconcollection017.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005502	7	2				2	[850055, 850056, 850057]	[3, 4, 5]		露娜数据样本	收藏品	空中花园收集到的作战残像，根据不同档位显示不同品质，模拟与露娜的作战后即可获得，即便是部分样本也散发出让人胆寒的力量。	['·获得11星奖励后，品质提升为蓝色', '·获得13星奖励后，品质提升为紫色', '·获得15星奖励后，品质提升为橙色']		在九龙剧院关卡中获得9星奖励后解锁	1602						Assets/Product/Texture/Image/UiCollection/Iconcollection025.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005503	7	2				2	[850069, 850070, 850071]	[3, 4, 5]		枢蛉后采样	收藏品	打倒枢蛉后获得的数据采样，根据不同档位显示不同品质。“随意打开隔离外壳可能会造成不可挽回的后果，还是做好完备防护再靠近该样本比较好。”——阿西莫夫No.179留言。	['·获得11星奖励后，品质提升为蓝色', '·获得13星奖励后，品质提升为紫色', '·获得15星奖励后，品质提升为橙色']		在拟态乱流关卡中获得9星奖励后解锁	1603						Assets/Product/Texture/Image/UiCollection/Iconcollection027.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005600	999	2				5				喜鹊挂件	收藏品	九龙船上量产的纪念品，做工十分精巧，据说收集齐一个鹊桥的量，就可以前往思念之人身边。			完成“盛夏留影”活动获得	1700						Assets/Product/Texture/Image/UiCollection/Iconcollection021.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005700	999	2				2	[850033, 850034, 850035]	[3, 4, 5]		边境突破证书	收藏品	此证书只允许颁发给完成“虚像地平线”作战任务的精英指挥官。过去的航线联合相信他们终将成为足以颠覆全世界的军事力量。	['·获得8个【边境突破证书】，品质提升为蓝色', '·获得16个【边境突破证书】，品质提升为紫色', '·获得24个【边境突破证书】，品质提升为橙色']		通过道具【边境突破证书】转化获得	1800		1				Assets/Product/Texture/Image/UiCollection/Iconcollection019.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005701	999	2				2	[850064, 850065, 850066]	[3, 4, 5]		虚妄讬言证书	收藏品	虚妄讬言证书	['·获得10个【虚妄讬言证书】，品质提升为蓝色', '·获得20个【虚妄讬言证书】，品质提升为紫色', '·获得30个【虚妄讬言证书】，品质提升为橙色']		通过道具【虚妄讬言证书】转化获得	1801		1				Assets/Product/Texture/Image/UiCollection/Iconcollection028.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005800	999	2				2	[850036, 850037, 850038]	[3, 4, 5]		破损的十字饰品	收藏品	似乎是从安博莉亚身上掉落的物品，晨曦的曙光穿过破碎的冰层落在饰品上，噩梦已然苏醒，“罪人”不复存在。	['·累计对安博莉亚造成1000伤害，品质提升为蓝色', '·累计对安博莉亚造成1500伤害，品质提升为紫色', '·累计对安博莉亚造成2000伤害，品质提升为橙色']		在梦魇挽歌中击败安博莉亚后获得	1900						Assets/Product/Texture/Image/UiCollection/Iconcollection022.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005900	999	2				2	[850045, 850046, 850047]	[3, 4, 5]		迈锡尼棱堡	收藏品	受到某种特殊的城堡造型启发而制作的全息徽记。	['·获得5个【迈锡尼棱堡】，品质提升为蓝色', '·获得10个【迈锡尼棱堡】，品质提升为紫色', '·获得20个【迈锡尼棱堡】，品质提升为橙色']		通过参与迈锡尼协议·干戈舆获得	2000						Assets/Product/Texture/Image/UiCollection/Iconcollection018.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006000	8	2				2	[850049, 850050, 850051]	[3, 4, 5]	850048	托罗之书记分牌	收藏品	在托罗之书探索的记录，数据将随探索获得试炼积分而更新（通关试炼模式时刷新）。	['·试炼积分达到1600后，品质提升为蓝色', '·试炼积分达到1800后，品质提升为紫色', '·试炼积分达到2000后，品质提升为橙色']		通关托罗之书试炼模式后获得	2100		1				Assets/Product/Texture/Image/UiCollection/Iconcollection026.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006100	9	2			[1606359600, 1]	6				荣誉纪念章	收藏品	空中花园颁发给在这一年中辛勤作战的指挥官们的纪念章，数据化的面板中记录着指挥官的种种光辉事迹，外围的镶边彰显着勋章的贵重。（统计截止至2020-11-26 10:00）		[1, 2, 3, 4]	通过周年签到获得	300						Assets/Product/Texture/Image/UiCollection/Iconcollection033.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006200	999	2				2	[850061, 850062, 850063]	[3, 4, 5]		算力单元	收藏品	格式塔的算力分量单元，但即使只是算力的单元，仍然有着超乎想象的效能，随着格式塔逐渐修复，能够授权给小队使用的单元等级也会逐渐提高。	['·获得5个【算力单元】，品质提升为蓝色', '·获得6个【算力单元】，品质提升为紫色', '·获得10个【算力单元】，品质提升为橙色']		通过道具【算力单元】转化获得	2200						Assets/Product/Texture/Image/UiCollection/Iconcollection036.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006300	999	2				2				温标失衡录像盘	收藏品	跨越一切困难，终将取得胜利——空中花园最强的指挥官，任何情况下都不会输！记录了温标失衡中指挥官的飒爽表现，附上赛利卡的亲笔题词。			通过道具【温标失衡录像盘】转化获得	2300						Assets/Product/Texture/Image/UiCollection/Iconcollection037.png			2	1		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006301	999	2				3				温标失衡录像盘	收藏品	跨越一切困难，终将取得胜利——空中花园最强的指挥官，任何情况下都不会输！记录了温标失衡中指挥官的飒爽表现，附上赛利卡的亲笔题词。			通过道具【温标失衡录像盘】转化获得	2301						Assets/Product/Texture/Image/UiCollection/Iconcollection037.png			2	2		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006302	999	2				4				温标失衡录像盘	收藏品	跨越一切困难，终将取得胜利——空中花园最强的指挥官，任何情况下都不会输！记录了温标失衡中指挥官的飒爽表现，附上赛利卡的亲笔题词。			通过道具【温标失衡录像盘】转化获得	2302						Assets/Product/Texture/Image/UiCollection/Iconcollection037.png			2	3		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006303	999	2				5				温标失衡录像盘	收藏品	跨越一切困难，终将取得胜利——空中花园最强的指挥官，任何情况下都不会输！记录了温标失衡中指挥官的飒爽表现，附上赛利卡的亲笔题词。			通过道具【温标失衡录像盘】转化获得	2303						Assets/Product/Texture/Image/UiCollection/Iconcollection037.png			2	4		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006400	999	2				5				POD模型	收藏品	POD限量模型			完成寄渊残响的隐藏任务	2400						Assets/Product/Texture/Image/UiCollection/Iconcollection038.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006500	11	2			[101]	4				机械扭蛋	收藏品	空想环廊中获得的收藏品。由七实亲手制作的机械扭蛋，以此纪念成功登上塔顶的机械军团。			完成活动任务-空想环廊·终后获得	2402		1				Assets/Product/Texture/Image/UiCollection/Iconcollection040.png					100	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleTwo.prefab
13006600	999	2				5				凯撒&奇涅-79型	收藏品	白色情人节期间玩家和构造体不断在各处处理事件最后获得的纪念品，传说中黄金时代流传下来的宝贵机械，可以通过添加碟片播放黄金时代的乐曲。			通过白色情人节活动获得	2401						Assets/Product/Texture/Image/UiCollection/Iconcollection043.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006700	999	2				5				利是派发者	收藏品	在这个特殊的节点，库罗罗不再是凭空出现的迷之生物，而是为辛劳了一年的各位带来很多很多螺母的“利是派发者”。在它出现的那一瞬间，恭喜你，中头彩了！新的一年也一定会有满满的福气！			参与限时活动【岁辞候福】获取	2403						Assets/Product/Texture/Image/UiCollection/Iconcollection039.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006800	999	2				4				手工灯笼	收藏品	一盏红色的，长方形手工灯笼，灯笼芯由孩子们在绿洲里搜罗来的战术照明筒组成，因此灯笼里透出温暖的橙色光芒，在萧条的深夜中带来一丝光明。			咏叹回声签到获得	2404						Assets/Product/Texture/Image/UiCollection/Iconcollection041.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006900	999	2				2				伊甸纪旗	收藏品	遍布在文化纪各处的旗帜，旗帜旁点缀的气球在文化纪召开时一齐放飞，带着美好的祝愿飞向天空。地表矗立的伊甸纪旗见证了在没有战争与苦难的世界中盛大举行的欢快庆典，记录了文化纪中与他们共同度过的难忘时光。			完成任务【收下吧，我的热度VI】获得	2405						Assets/Product/Texture/Image/UiCollection/Iconcollection045.png			3	1		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006901	999	2				3				伊甸纪旗	收藏品	遍布在文化纪各处的旗帜，旗帜旁点缀的气球在文化纪召开时一齐放飞，带着美好的祝愿飞向天空。地表矗立的伊甸纪旗见证了在没有战争与苦难的世界中盛大举行的欢快庆典，记录了文化纪中与他们共同度过的难忘时光。			完成任务【收下吧，我的热度VII】，品质提升为蓝色	2408						Assets/Product/Texture/Image/UiCollection/Iconcollection045.png			3	2		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006902	999	2				4				伊甸纪旗	收藏品	遍布在文化纪各处的旗帜，旗帜旁点缀的气球在文化纪召开时一齐放飞，带着美好的祝愿飞向天空。地表矗立的伊甸纪旗见证了在没有战争与苦难的世界中盛大举行的欢快庆典，记录了文化纪中与他们共同度过的难忘时光。			完成任务【收下吧，我的热度VIII】，品质提升为紫色	2409						Assets/Product/Texture/Image/UiCollection/Iconcollection045.png			3	3		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006903	999	2				5				伊甸纪旗	收藏品	遍布在文化纪各处的旗帜，旗帜旁点缀的气球在文化纪召开时一齐放飞，带着美好的祝愿飞向天空。地表矗立的伊甸纪旗见证了在没有战争与苦难的世界中盛大举行的欢快庆典，记录了文化纪中与他们共同度过的难忘时光。			完成任务【收下吧，我的热度IX】，品质提升为橙色	2410						Assets/Product/Texture/Image/UiCollection/Iconcollection045.png			3	4		Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007000	999	2				2	[850075, 850076, 850077]	[3, 4, 5]		历战勋表	收藏品	历史向来由胜利者所书写。既然如此，历经这么多战斗，取得功勋，可说是得到了确实胜利的你们，值得这份勋表代表的意义。——哈桑	['·获得2个【历战勋表】，品质提升为蓝色', '·获得4个【历战勋表】，品质提升为紫色', '·获得5个【历战勋表】，品质提升为橙色']		通过参与迈锡尼协议·盲视模拟获得	2406						Assets/Product/Texture/Image/UiCollection/Iconcollection046.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007100	999	2				2	[850078, 850079, 850080]	[3, 4, 5]		作战手册	收藏品	法奥斯的学生私下总结的手册，一针见血的战术总结，课堂上不会教授的作战知识——话糙理不糙，懂的人都懂。这是库洛姆保存的更加详尽的版本，并且在上面加入了很多自己的注解，不一定都是赞同。	['·收集2个“作战手册”，品质提升为蓝色', '·收集3个“作战手册”，品质提升为紫色', '·收集4个“作战手册”，品质提升为橙色']		完成库洛姆s角色活动挑战关的关卡挑战获得	2407						Assets/Product/Texture/Image/UiCollection/Iconcollection047.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
