Id	Name	Desc	SectionType	ProductId	SkillAddition
68	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[8, 10, 13, 16, 18]	[100, 100, 183, 180, 200]
69	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[8, 9, 10, 11, 17]	[28, 28, 28, 28, 51]
70	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[8, 9, 10, 11, 17]	[54, 54, 54, 54, 98]
71	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[8, 9, 10, 11, 17]	[100, 100, 100, 100, 180]
72	土木工程	偶尔使用微型爆破进行处理，材料产出速度异常缓慢。	1	[1, 2, 3, 4, 5]	[-10, -10, -10, -10, -10]
73	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[1, 4, 5]	[11, 8, 8]
74	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[1, 4, 5]	[21, 16, 16]
75	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 4, 5]	[40, 30, 30]
76	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[8, 10, 15, 12, 13]	[13, 16, 31, 25, 28]
77	八面玲珑	销售能力游刃有余，销售心仪的手作价格有额外加成。	3	[11, 14, 15, 16, 17]	[5, 8, 8, 9, 12]
78	八面玲珑	销售能力出类拔萃，销售心仪的手作价格有小幅加成。	3	[11, 14, 15, 16, 17]	[9, 15, 16, 18, 24]
79	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[11, 14, 15, 16, 17]	[18, 29, 31, 35, 48]
80	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[8, 10, 13, 16, 18]	[100, 100, 183, 180, 200]
81	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[3, 4, 5]	[9, 8, 8]
82	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[3, 4, 5]	[18, 16, 16]
83	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[3, 4, 5]	[33, 30, 30]
84	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[6, 9, 11, 14, 15]	[80, 100, 100, 146, 166]
85	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[1, 3, 5]	[11, 9, 8]
86	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[1, 3, 5]	[21, 18, 16]
87	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 3, 5]	[40, 33, 30]
88	八面玲珑	销售能力遥遥领先，销售心仪的手作价格有大幅加成。	3	[8, 15, 16, 17, 18]	[13, 31, 35, 48, 63]
89	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[4, 5, 8, 10, 18]	[19, 22, 28, 28, 57]
90	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[4, 5, 8, 10, 18]	[36, 43, 54, 54, 109]
91	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[4, 5, 8, 10, 18]	[66, 80, 100, 100, 200]
92	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[2, 3, 5]	[33, 33, 30]
93	惟妙惟肖	技艺尚可，制作擅长的手作产出速度有额外加成。	2	[4, 5, 9, 11, 18]	[19, 22, 28, 28, 57]
94	惟妙惟肖	技艺渐入佳境，制作擅长的手作产出速度有小幅加成。	2	[4, 5, 9, 11, 18]	[36, 43, 54, 54, 109]
95	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[4, 5, 9, 11, 18]	[66, 80, 100, 100, 200]
96	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 3, 4]	[40, 33, 33, 30]
97	刀光剑影	刀工细致，处理擅长的材料产出速度产出有额外加成。	1	[1, 2, 3, 4, 5]	[11, 9, 9, 8, 8]
98	刀光剑影	刀工已经渐入佳境，处理擅长的材料产出速度有小幅加成。	1	[1, 2, 3, 4, 5]	[21, 18, 18, 16, 16]
99	刀光剑影	刀工已经炉火纯青，处理擅长的材料产出速度有大幅加成。	1	[1, 2, 3, 4, 5]	[40, 33, 33, 30, 30]
100	惟妙惟肖	技艺达到最高境界，制作擅长的手作产出速度有大幅加成。	2	[11, 12, 13, 17, 18]	[100, 166, 183, 180, 200]
