Id	Name	BuffName	DistributeTypes	Desc	Region	BuffIds	BuffDesc	StageId	MarkId	IsAbandoned
72	熵钟异数	['机械工厂', '岩流深壑']	[1, 10]	祸不单行：每一波固定刷新2只精英怪物		[4001, 4161]	['物理伤害大幅提升，真意斩伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080125, 30080105]	4	
73	熵钟异数	['猩红冰原', '蚀刃峰岭']	[2, 8]	合军聚众：刷新多只普通怪物与精英怪物		[4002, 4115]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080323, 30080303]	3	
74	熵钟异数	['暗影深林', '涡流围壁']	[5, 7]	困兽犹斗：每一波次固定只刷新1只怪物		[4005, 4114]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080324, 30080304]	5	
75	熵钟异数	['镭射合金', '岩流深壑']	[4, 10]	困兽犹斗：每一波次固定只刷新1只怪物		[4004, 4161]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080324, 30080304]	5	
76	熵钟异数	['暗影深林', '涡流围壁']	[5, 7]	祸不单行：每一波固定刷新2只精英怪物		[4005, 4114]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080125, 30080105]	4	
77	熵钟异数	['火焰轮回', '涡流围壁']	[3, 7]	困兽犹斗：每一波次固定只刷新1只怪物		[4003, 4114]	['火属性伤害大幅提升，焚烧伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080324, 30080304]	5	
78	熵钟异数	['猩红冰原', '岩流深壑']	[2, 10]	困兽犹斗：每一波次固定只刷新1只怪物		[4002, 4161]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080324, 30080304]	5	
79	熵钟异数	['镭射合金', '蚀刃峰岭']	[4, 8]	合军聚众：刷新多只普通怪物与精英怪物		[4004, 4115]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080323, 30080303]	3	
80	熵钟异数	['机械工厂', '袭凛危塔']	[1, 9]	合军聚众：刷新多只普通怪物与精英怪物		[4001, 4143]	['物理伤害大幅提升，真意斩伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080323, 30080303]	3	
81	熵钟异数	['火焰轮回', '晦色渊隙']	[3, 11]	合军聚众：刷新多只普通怪物与精英怪物		[4003, 4175]	['火属性伤害大幅提升，焚烧伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080323, 30080303]	3	
82	熵钟异数	['袭凛危塔', '晦色渊隙']	[9, 11]	困兽犹斗：每一波次固定只刷新1只怪物		[4143, 4175]	['冰属性伤害小幅提升，覆冰属性伤害大幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080324, 30080304]	5	
83	熵钟异数	['猩红冰原', '晦色渊隙']	[2, 11]	困兽犹斗：每一波次固定只刷新1只怪物		[4002, 4175]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080324, 30080304]	5	
84	熵钟异数	['猩红冰原', '晦色渊隙']	[2, 11]	合军聚众：刷新多只普通怪物与精英怪物		[4002, 4175]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080323, 30080303]	3	
85	熵钟异数	['猩红冰原', '晦色渊隙']	[2, 11]	祸不单行：每一波固定刷新2只精英怪物		[4002, 4175]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080125, 30080105]	4	
86	熵钟异数	['机械工厂', '涡流围壁']	[1, 7]	斗众之势：每一波固定刷新3或6只普通怪物		[4001, 4114]	['物理伤害大幅提升，真意斩伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080625, 30080605]	3	
87	熵钟异数	['镭射合金', '岩流深壑']	[4, 10]	合军聚众：刷新多只普通怪物与精英怪物		[4004, 4161]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080323, 30080303]	3	
88	熵钟异数	['镭射合金', '蚀刃峰岭']	[4, 8]	斗众之势：每一波固定刷新3或6只普通怪物		[4004, 4115]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080625, 30080605]	3	
89	熵钟异数	['暗影深林', '岩流深壑']	[5, 10]	祸不单行：每一波固定刷新2只精英怪物		[4005, 4161]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080125, 30080105]	4	
90	熵钟异数	['火焰轮回', '晦色渊隙']	[3, 11]	斗众之势：每一波固定刷新3或6只普通怪物		[4003, 4175]	['火属性伤害大幅提升，焚烧伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080527, 30080507]	3	
91	熵钟异数	['袭凛危塔', '蚀刃峰岭']	[9, 8]	合军聚众：刷新多只普通怪物与精英怪物		[4143, 4115]	['冰属性伤害小幅提升，覆冰属性伤害大幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080123, 30080103]	3	
92	熵钟异数	['机械工厂', '涡流围壁']	[1, 7]	困兽犹斗：每一波次固定只刷新1只怪物		[4001, 4114]	['物理伤害大幅提升，真意斩伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080424, 30080404]	5	
93	熵钟异数	['猩红冰原', '岩流深壑']	[2, 10]	斗众之势：每一波固定刷新3或6只普通怪物		[4002, 4161]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080327, 30080307]	3	
94	熵钟异数	['暗影深林', '蚀刃峰岭']	[5, 8]	斗众之势：每一波固定刷新3或6只普通怪物		[4005, 4115]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080227, 30080207]	3	
95	熵钟异数	['暗影深林', '涡流围壁']	[5, 7]	斗众之势：每一波固定刷新3或6只普通怪物		[4005, 4114]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080127, 30080107]	3	
96	熵钟异数	['暗影深林', '岩流深壑']	[5, 10]	合军聚众：刷新多只普通怪物与精英怪物		[4005, 4161]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080423, 30080403]	3	
97	熵钟异数	['暗影深林', '岩流深壑']	[5, 10]	斗众之势：每一波固定刷新3或6只普通怪物		[4005, 4161]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080427, 30080407]	3	
98	熵钟异数	['暗影深林', '袭凛危塔']	[5, 9]	合军聚众：刷新多只普通怪物与精英怪物		[4005, 4143]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080323, 30080303]	3	
99	熵钟异数	['暗影深林', '袭凛危塔']	[5, 9]	困兽犹斗：每一波次固定只刷新1只怪物		[4005, 4143]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080324, 30080304]	5	
100	熵钟异数	['暗影深林', '袭凛危塔']	[5, 9]	祸不单行：每一波固定刷新2只精英怪物		[4005, 4143]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080325, 30080305]	4	
101	熵钟异数	['暗影深林', '袭凛危塔']	[5, 9]	斗众之势：每一波固定刷新3或6只普通怪物		[4005, 4143]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080327, 30080307]	3	
102	熵钟异数	['火焰轮回', '晦色渊隙']	[3, 11]	困兽犹斗：每一波次固定只刷新1只怪物		[4003, 4175]	['火属性伤害大幅提升，焚烧伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080524, 30080504]	5	
103	熵钟异数	['火焰轮回', '晦色渊隙']	[3, 11]	祸不单行：每一波固定刷新2只精英怪物		[4003, 4175]	['火属性伤害大幅提升，焚烧伤害小幅提升', '暗属性伤害小幅提升，黯衍伤害大幅提升']	[30080525, 30080505]	4	
104	熵钟异数	['火焰轮回', '蚀刃峰岭']	[3, 8]	斗众之势：每一波固定刷新3或6只普通怪物		[4003, 4115]	['火属性伤害大幅提升，焚烧伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080227, 30080207]	3	
105	熵钟异数	['火焰轮回', '袭凛危塔']	[3, 9]	合军聚众：刷新多只普通怪物与精英怪物		[4003, 4143]	['火属性伤害大幅提升，焚烧伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080323, 30080303]	3	
106	熵钟异数	['火焰轮回', '袭凛危塔']	[3, 9]	困兽犹斗：每一波次固定只刷新1只怪物		[4003, 4143]	['火属性伤害大幅提升，焚烧伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080324, 30080304]	5	
107	熵钟异数	['火焰轮回', '袭凛危塔']	[3, 9]	祸不单行：每一波固定刷新2只精英怪物		[4003, 4143]	['火属性伤害大幅提升，焚烧伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080325, 30080305]	4	
108	熵钟异数	['火焰轮回', '袭凛危塔']	[3, 9]	斗众之势：每一波固定刷新3或6只普通怪物		[4003, 4143]	['火属性伤害大幅提升，焚烧伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080327, 30080307]	3	
109	熵钟异数	['机械工厂', '涡流围壁']	[1, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4001, 4114]	['物理伤害大幅提升，真意斩伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080123, 30080103]	3	
110	熵钟异数	['机械工厂', '涡流围壁']	[1, 7]	祸不单行：每一波固定刷新2只精英怪物		[4001, 4114]	['物理伤害大幅提升，真意斩伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080125, 30080105]	4	
111	熵钟异数	['机械工厂', '袭凛危塔']	[1, 9]	困兽犹斗：每一波次固定只刷新1只怪物		[4001, 4143]	['物理伤害大幅提升，真意斩伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080324, 30080304]	5	
112	熵钟异数	['机械工厂', '袭凛危塔']	[1, 9]	斗众之势：每一波固定刷新3或6只普通怪物		[4001, 4143]	['物理伤害大幅提升，真意斩伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080327, 30080307]	3	
113	熵钟异数	['机械工厂', '岩流深壑']	[1, 10]	合军聚众：刷新多只普通怪物与精英怪物		[4001, 4161]	['物理伤害大幅提升，真意斩伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080423, 30080403]	3	
