Id	Key	UiTemplate	UiCotainer	RollCharRandomRangeHorizontal	RollCharRandomRangeVertical	RollCharMinDir	RollCharMaxDir	RollCharSpeed	RollCharLifeTime	RollCharBeginOpacity	RollCharEndOpacity	RollCharChangeOpacityTime	RollCharStayDuration	RollCharStayTime	RollCharOffsetX	RollCharOffsetY	GeneralTemplate	IconUrl	IconColor	IconColorAlpha	TextColor	TextScale
12	CritMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-100.0	-150.0						1.5
13	FireMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-100.0	-150.0						1.5
14	ElectricMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-100.0	-150.0						1.5
15	IceMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-100.0	-150.0						1.5
16	DarkMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-100.0	-150.0						1.5
17	LifestealMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/SuckBloodToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-100.0	-150.0						1.5
18	CureMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/CureToSelfTemplate.prefab	NormalContainer	15.0	15.0			160.0	0.75		1.0	0.2	1.5	0.5								1.5
19	ExecuteMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/Execution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-100.0	-150.0						1.5
20	DoubleCritMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/Execution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-100.0	-150.0						1.5
21	BigNum	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
22	UnionNum	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/CritTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
23	BigDark	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/IceToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-100.0	-150.0						1.5
24	BigFire	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/SuckBloodTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	100.0	150.0						1.5
25	BuffRoll1	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkRollBuff.prefab	NormalContainer			-20.0	-25.0	-150.0	0.6999	0.2	1.0	0.1	0.4	0.1								4.0
26	BuffRoll2	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkRollBuff.prefab	NormalContainer			-20.0	-25.0	-150.0	0.6999	0.2	1.0	0.1	1.0	0.1								4.0
