Id	Describe	UiTemplate	UiCotainer	ConfirmPointMaxNpcDistance	ConfirmPointMaxNpcOffset	RandomBornPosX	RandomBornPosY	BornOffsetX	BornOffsetY	Lifetime	Animation	OriginSpeed	Acceleration	MaxSpeed	MinSpeed	MoveTime	OriginFallSpeed	FallAcceleration	FallMaxSpeed	FallMinSpeed	FallTime	ScaleOrigin	ScaleEnd	ScaleTime	ColorOrigin	ColorEnd	ColorTime	OpacityOrigin	OpacityEnd	OpacityTime	FadeTime	FadeAnimation	FadeDir	FadeSpeed	FadeOpacity	FadeOpacityTime
11	Fire (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25
12	Ice (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25
13	Dark (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25
14	Heal (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightExecution.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8		20.0	-15.0	20.0		0.2						1.0	1.0	0.15	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3					0.3499
15	Take Hit	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	1.0		20.0	20.0		-80.0	0.1												0.8	0.8	0.15	CC1725	CC1725	1.0	1.0	1.0		0.6		180.0	1.0		0.55
16	Fire CRIT	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3
17	Lightning CRIT	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3
18	Ice CRIT	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3
19	Dark CRIT	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3
20	FullChain	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightFullChianTemplate.prefab	NormalContainer	3.0	1.0	220.0	150.0			1.5	SpriteTextImageEnable											1.3999	1.0	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3
