Key	Values
Theatre3SlotEmptyIcon	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Equiptouxiang001.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Equiptouxiang002.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Equiptouxiang003.png']
ShopItemCostColor	['424b54', 'b73a3a', 'FFFFFF', 'ff3838', 'b5ee6b']
Theatre3SlotIndexIcon	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3HeadBg01.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3HeadBg02.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3HeadBg03.png']
Theatre3CharacterIndexIcon	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Number1.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Number2.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Number3.png']
EquipUseTypeIcon	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Equiphong.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3Equiplv.png']
EquipQuantumUseTypeIcon	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3CjTcRw9.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3CjTcRw10.png']
FightRewardGetSound	['0', '4094', '0']
EquipWorkShopTipTitle	['当前选中']
FightRewardTagIcon	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3RewardDifficulty-.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3RewardLuck.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3RewardLuck.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3RewardDifficulty-.png', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3RewardQubit.png']
FightRewardTag	['困难', '额外', '潜质', '入侵', '入侵']
IsShowDamageStatistics	['0']
QuantumBGMCueId	['385', '385']
QuantumBGMDuration	['20000']
TxtLuckCharacterDetail	['· 完成演算时可累计<color=#4a70b9>溢出值</color>\\n· <color=#4a70b9>溢出值</color>越高，进入演算时触发<color=#4a70b9>迭变投影</color>的概率越高\\n· 触发<color=#4a70b9>迭变投影</color>后，累计的<color=#4a70b9>溢出值</color>清空']
TxtLuckCharacterSelectTip	['请先选择一名角色！']
TxtLuckCharacterTitle1	['所需招募能量0']
TxtLuckCharacterTitle2	['激活套装所需装备数-1']
QuantumBgmNodeUrl	['Assets/Product/Ui/ComponentPrefab/UiTheatre3/QuantumBgmNode.prefab']
ToALineCloseCondition	['1020224']
QuantumMainChangeCD	['15000']
QuantumOpenTipCondition	['1020210']
QuantumOpenTipTxt	['检测到未知协议接入许可，伪装病毒可能性低……\\n解包中……将目标模组命名为Beta，配备为Ver.Alpha备选路径', '正在上传%s%%']
QuantumLevelUpScreenEffectMin	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainScreenBlue.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainScreenRed.prefab']
QuantumLevelUpScreenEffectMax	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainScreenBlueEx.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainScreenRedEx.prefab']
ShopBuyExGet	['获得藏品-%s', '算力单元-%s']
AchievementShowCondition	['1020210']
QuantumEffectShowType	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3OutpostSelectBlue.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3OutpostSelectRed.prefab']
QuantumRedCard	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainSelectRed.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3OutpostSelectRedS.prefab']
QuantumRedCardEx	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainSelectRedEx.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3OutpostSelectRedS.prefab']
QuantumBlueCard	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainSelectBlue.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3OutpostSelectBlueS.prefab']
QuantumBlueCardEx	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainSelectBlueEx.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3OutpostSelectBlueS.prefab']
QuantumGoldCard	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainSelectGold.prefab']
QuantumGoldCardEx	['Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainSelectGoldEx.prefab']
ChooseItemGroupId	['99999']
PressureIconMap	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakBlue1.png', '0', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakBlue2.png', '100', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakBlue3.png', '300', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakBlue4.png', '700', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakBlue5.png', '1000']
PressureRedIconMap	['Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakRed1.png', '0', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakRed2.png', '100', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakRed3.png', '300', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakRed4.png', '700', 'Assets/Product/Texture/Atlas/UiTheatre3/UiTheatre3PropChoosePeakRed5.png', '1000']
HiddenEndingIndex	['6']
BgImgMap	['Assets/Product/Texture/Image/UiTheatre3/UiTheatre3HandbookBg1Raw.png', 'Assets/Product/Texture/Image/UiTheatre3/UiTheatre3HandbookBg1QuantumRaw.png', 'Assets/Product/Texture/Image/UiTheatre3/UiTheatre3HandbookBg1NewRaw.png']
