Id	Cvs	CvContent
102024	[102024, 202024, 302024, 402024]	['...Why do I always have to remind you to claim your mission rewards?', '...Why do I always have to remind you to claim your mission rewards?', '...Why do I always have to remind you to claim your mission rewards?', '...Why do I always have to remind you to claim your mission rewards?']
102025	[102025, 202025, 302025, 402025]	"[""Did you forget your mission reward again? Luckily, I'm here to remind you."", ""Did you forget your mission reward again? Luckily, I'm here to remind you."", ""Did you forget your mission reward again? Luckily, I'm here to remind you."", ""Did you forget your mission reward again? Luckily, I'm here to remind you.""]"
102026	[102026, 202026, 302026, 402026]	['Good morning, Commandant. Let us continue to work hard for humanity.', 'Good morning, Commandant. Let us continue to work hard for humanity.', 'Good morning, Commandant. Let us continue to work hard for humanity.', 'Good morning, Commandant. Let us continue to work hard for humanity.']
102027	[102027, 202027, 302027, 402027]	['Humans fall ill without consistent nutritional intake. Please strive for a healthy diet, Commandant.', 'Humans fall ill without consistent nutritional intake. Please strive for a healthy diet, Commandant.', 'Humans fall ill without consistent nutritional intake. Please strive for a healthy diet, Commandant.', 'Humans fall ill without consistent nutritional intake. Please strive for a healthy diet, Commandant.']
102028	[102028, 202028, 302028, 402028]	['Gray Raven will remain on standby at HQ until we receive your orders.', 'Gray Raven will remain on standby at HQ until we receive your orders.', 'Gray Raven will remain on standby at HQ until we receive your orders.', 'Gray Raven will remain on standby at HQ until we receive your orders.']
102029	[102029, 202029, 302029, 402029]	['Good evening. Now is probably not the best time to be going out on missions.', 'Good evening. Now is probably not the best time to be going out on missions.', 'Good evening. Now is probably not the best time to be going out on missions.', 'Good evening. Now is probably not the best time to be going out on missions.']
102030	[102030, 202030, 302030, 402030]	"[""If you run into any trouble, Commandant, please don't hesitate to find me."", ""If you run into any trouble, Commandant, please don't hesitate to find me."", ""If you run into any trouble, Commandant, please don't hesitate to find me."", ""If you run into any trouble, Commandant, please don't hesitate to find me.""]"
102031	[102031, 202031, 302031, 402031]	"[""I hope you're getting used to your work, Commandant."", ""I hope you're getting used to your work, Commandant."", ""I hope you're getting used to your work, Commandant."", ""I hope you're getting used to your work, Commandant.""]"
102032	[102032, 202032, 302032, 402032]	['Unlike Constructs, humans experience fatigue. Please make sure you get enough rest.', 'Unlike Constructs, humans experience fatigue. Please make sure you get enough rest.', 'Unlike Constructs, humans experience fatigue. Please make sure you get enough rest.', 'Unlike Constructs, humans experience fatigue. Please make sure you get enough rest.']
102033	[102033, 202033, 302033, 402033]	"[""The missions are only going to get harder, but don't fret, I'll assist you."", ""The missions are only going to get harder, but don't fret, I'll assist you."", ""The missions are only going to get harder, but don't fret, I'll assist you."", ""The missions are only going to get harder, but don't fret, I'll assist you.""]"
102034	[102034, 202034, 302034, 402034]	['I am your blade. Do not hesitate to use me.', 'I am your blade. Do not hesitate to use me.', 'I am your blade. Do not hesitate to use me.', 'I am your blade. Do not hesitate to use me.']
102035	[102035, 202035, 302035, 402035]	"[""You're saying... I should change how I speak?"", ""You're saying... I should change how I speak?"", ""You're saying... I should change how I speak?"", ""You're saying... I should change how I speak?""]"
102036	[102036, 202036, 302036, 402036]	"[""The recent missions have been difficult... Please don't hesitate to ask for my help."", ""The recent missions have been difficult... Please don't hesitate to ask for my help."", ""The recent missions have been difficult... Please don't hesitate to ask for my help."", ""The recent missions have been difficult... Please don't hesitate to ask for my help.""]"
102037	[102037, 202037, 302037, 402037]	['Remember to get as much rest as you need.', 'Remember to get as much rest as you need.', 'Remember to get as much rest as you need.', 'Remember to get as much rest as you need.']
102038	[102038, 202038, 302038, 402038]	"[""I will make myself stronger, so please don't overwork yourself."", ""I will make myself stronger, so please don't overwork yourself."", ""I will make myself stronger, so please don't overwork yourself."", ""I will make myself stronger, so please don't overwork yourself.""]"
102039	[102039, 202039, 302039, 402039]	['On the day when all this comes to an end… can I see you?', 'On the day when all this comes to an end… can I see you?', 'On the day when all this comes to an end… can I see you?', 'On the day when all this comes to an end… can I see you?']
102040	[102040, 202040, 302040, 402040]	"[""Don't worry. I won't, ever, forget..."", ""Don't worry. I won't, ever, forget..."", ""Don't worry. I won't, ever, forget..."", ""Don't worry. I won't, ever, forget...""]"
102041	[102041, 202041, 302041, 402041]	['If you order so, then I shall never lose.', 'If you order so, then I shall never lose.', 'If you order so, then I shall never lose.', 'If you order so, then I shall never lose.']
102042	[102042, 202042, 302042, 402042]	['A beautiful red flower blooms inside my M.I.N.D.', 'A beautiful red flower blooms inside my M.I.N.D.', 'A beautiful red flower blooms inside my M.I.N.D.', 'A beautiful red flower blooms inside my M.I.N.D.']
102043	[102043, 202043, 302043, 402043]	"[""No matter what the future holds, I am not afraid, as long as you're here."", ""No matter what the future holds, I am not afraid, as long as you're here."", ""No matter what the future holds, I am not afraid, as long as you're here."", ""No matter what the future holds, I am not afraid, as long as you're here.""]"
102044	[102044, 202044, 302044, 402044]	['I tried to imagine the world without you... Please stay my Commandant always.', 'I tried to imagine the world without you... Please stay my Commandant always.', 'I tried to imagine the world without you... Please stay my Commandant always.', 'I tried to imagine the world without you... Please stay my Commandant always.']
102045	[102045, 202045, 302045, 402045]	['Knowing each other better will help us in battle.', 'Knowing each other better will help us in battle.', 'Knowing each other better will help us in battle.', 'Knowing each other better will help us in battle.']
102046	[102046, 202046, 302046, 402046]	"[""Hmm... We've been seeing a lot of each other lately."", ""Hmm... We've been seeing a lot of each other lately."", ""Hmm... We've been seeing a lot of each other lately."", ""Hmm... We've been seeing a lot of each other lately.""]"
102047	[102047, 202047, 302047, 402047]	"[""I feel like something's changing in my M.I.N.D..."", ""I feel like something's changing in my M.I.N.D..."", ""I feel like something's changing in my M.I.N.D..."", ""I feel like something's changing in my M.I.N.D...""]"
102048	[102048, 202048, 302048, 402048]	['Is this what it feels like... to have your heart race?', 'Is this what it feels like... to have your heart race?', 'Is this what it feels like... to have your heart race?', 'Is this what it feels like... to have your heart race?']
102049	[102049, 202049, 302049, 402049]	"[""I think I'm finally beginning to understand you."", ""I think I'm finally beginning to understand you."", ""I think I'm finally beginning to understand you."", ""I think I'm finally beginning to understand you.""]"
102050	[102050, 202050, 302050, 402050]	"[""I'm content right now."", ""I'm content right now."", ""I'm content right now."", ""I'm content right now.""]"
102051	[102051, 202051, 302051, 402051]	"[""I'm glad you are our Commandant."", ""I'm glad you are our Commandant."", ""I'm glad you are our Commandant."", ""I'm glad you are our Commandant.""]"
102052	[102052, 202052, 302052, 402052]	['Are human relationships anything like ours?', 'Are human relationships anything like ours?', 'Are human relationships anything like ours?', 'Are human relationships anything like ours?']
102053	[102053, 202053, 302053, 402053]	"['Do humans refer to our relationship as... ""Love""?', 'Do humans refer to our relationship as... ""Love""?', 'Do humans refer to our relationship as... ""Love""?', 'Do humans refer to our relationship as... ""Love""?']"
102054	[102054, 202054, 302054, 402054]	['If I were human, would it make us closer?', 'If I were human, would it make us closer?', 'If I were human, would it make us closer?', 'If I were human, would it make us closer?']
102055	[102055, 202055, 302055, 402055]	['Please accept this, Commandant.', 'Please accept this, Commandant.', 'Please accept this, Commandant.', 'Please accept this, Commandant.']
102056	[102056, 202056, 302056, 402056]	['You should be able to find a use for this.', 'You should be able to find a use for this.', 'You should be able to find a use for this.', 'You should be able to find a use for this.']
102057	[102057, 202057, 302057, 402057]	['Seeing this makes me think of you... When I came to, I already found myself before you...', 'Seeing this makes me think of you... When I came to, I already found myself before you...', 'Seeing this makes me think of you... When I came to, I already found myself before you...', 'Seeing this makes me think of you... When I came to, I already found myself before you...']
102058	[102058, 202058, 302058, 402058]	['Do you... like it? It would be great... if you do...', 'Do you... like it? It would be great... if you do...', 'Do you... like it? It would be great... if you do...', 'Do you... like it? It would be great... if you do...']
102059	[102059, 202059, 302059, 402059]	['Are you busy, Commandant?', 'Are you busy, Commandant?', 'Are you busy, Commandant?', 'Are you busy, Commandant?']
102060	[102060, 202060, 302060, 402060]	['Are you still here, Commandant?', 'Are you still here, Commandant?', 'Are you still here, Commandant?', 'Are you still here, Commandant?']
102061	[102061, 202061, 302061, 402061]	"[""Commandant. Should we do something if you're free...?"", ""Commandant. Should we do something if you're free...?"", ""Commandant. Should we do something if you're free...?"", ""Commandant. Should we do something if you're free...?""]"
102062	[102062, 202062, 302062, 402062]	['Just staying like this is fine too. Just the two of us...', 'Just staying like this is fine too. Just the two of us...', 'Just staying like this is fine too. Just the two of us...', 'Just staying like this is fine too. Just the two of us...']
102063	[102063, 202063, 302063, 402063]	['Our minds have been linked for over 1 hour. Do you need to rest, Commandant?', 'Our minds have been linked for over 1 hour. Do you need to rest, Commandant?', 'Our minds have been linked for over 1 hour. Do you need to rest, Commandant?', 'Our minds have been linked for over 1 hour. Do you need to rest, Commandant?']
102064	[102064, 202064, 302064, 402064]	['Linking minds for an extended period of time is not advised. Please take care, Commandant.', 'Linking minds for an extended period of time is not advised. Please take care, Commandant.', 'Linking minds for an extended period of time is not advised. Please take care, Commandant.', 'Linking minds for an extended period of time is not advised. Please take care, Commandant.']
102065	[102065, 202065, 302065, 402065]	['Prolonged connection can lead to mental exhaustion. Would you like a break?', 'Prolonged connection can lead to mental exhaustion. Would you like a break?', 'Prolonged connection can lead to mental exhaustion. Would you like a break?', 'Prolonged connection can lead to mental exhaustion. Would you like a break?']
102066	[102066, 202066, 302066, 402066]	"[""I'd prefer staying linked with you, but it bears too much of a strain on you. Please take a break."", ""I'd prefer staying linked with you, but it bears too much of a strain on you. Please take a break."", ""I'd prefer staying linked with you, but it bears too much of a strain on you. Please take a break."", ""I'd prefer staying linked with you, but it bears too much of a strain on you. Please take a break.""]"
102067	[102067, 202067, 302067, 402067]	['Good to see you again, Commandant.', 'Good to see you again, Commandant.', 'Good to see you again, Commandant.', 'Good to see you again, Commandant.']
102068	[102068, 202068, 302068, 402068]	['Connected. Awaiting your orders, Commandant.', 'Connected. Awaiting your orders, Commandant.', 'Connected. Awaiting your orders, Commandant.', 'Connected. Awaiting your orders, Commandant.']
102069	[102069, 202069, 302069, 402069]	['Lucia at your service.', 'Lucia at your service.', 'Lucia at your service.', 'Lucia at your service.']
102070	[102070, 202070, 302070, 402070]	"[""I'm always ready, Commandant."", ""I'm always ready, Commandant."", ""I'm always ready, Commandant."", ""I'm always ready, Commandant.""]"
102071	[102071, 202071, 302071, 402071]	['Are you done with your other missions? Welcome back.', 'Are you done with your other missions? Welcome back.', 'Are you done with your other missions? Welcome back.', 'Are you done with your other missions? Welcome back.']
102072	[102072, 202072, 302072, 402072]	['It has been a while. Do you need a quick debriefing on recent events?', 'It has been a while. Do you need a quick debriefing on recent events?', 'It has been a while. Do you need a quick debriefing on recent events?', 'It has been a while. Do you need a quick debriefing on recent events?']
102073	[102073, 202073, 302073, 402073]	['I was thinking about you when you were away.', 'I was thinking about you when you were away.', 'I was thinking about you when you were away.', 'I was thinking about you when you were away.']
102074	[102074, 202074, 302074, 402074]	"[""I've been waiting for you... Anyway, I'm glad you're back."", ""I've been waiting for you... Anyway, I'm glad you're back."", ""I've been waiting for you... Anyway, I'm glad you're back."", ""I've been waiting for you... Anyway, I'm glad you're back.""]"
102075	[102075, 202075, 302075, 402075]	['I-is this some new form of training?', 'I-is this some new form of training?', 'I-is this some new form of training?', 'I-is this some new form of training?']
102076	[102076, 202076, 302076, 402076]	['Are you trying to improve my reaction time?', 'Are you trying to improve my reaction time?', 'Are you trying to improve my reaction time?', 'Are you trying to improve my reaction time?']
102077	[102077, 202077, 302077, 402077]	"[""Well, I won't fall over so easily."", ""Well, I won't fall over so easily."", ""Well, I won't fall over so easily."", ""Well, I won't fall over so easily.""]"
102078	[102078, 202078, 302078, 402078]	['Okay, okay...', 'Okay, okay...', 'Okay, okay...', 'Okay, okay...']
102079	[102079, 202079, 302079, 402079]	"[""Hm? What's happening to my joints?"", ""Hm? What's happening to my joints?"", ""Hm? What's happening to my joints?"", ""Hm? What's happening to my joints?""]"
102080	[102080, 202080, 302080, 402080]	['This is...?', 'This is...?', 'This is...?', 'This is...?']
102081	[102081, 202081, 302081, 402081]	"[""Ah...! You're always trying to surprise me when I'm in a daze."", ""Ah...! You're always trying to surprise me when I'm in a daze."", ""Ah...! You're always trying to surprise me when I'm in a daze."", ""Ah...! You're always trying to surprise me when I'm in a daze.""]"
102082	[102082, 202082, 302082, 402082]	['If this is a display of your emotions, then allow me to reciprocate.', 'If this is a display of your emotions, then allow me to reciprocate.', 'If this is a display of your emotions, then allow me to reciprocate.', 'If this is a display of your emotions, then allow me to reciprocate.']
102083	[102083, 202083, 302083, 402083]	['Well done, Commandant. You have already reached maximum Activity for today.', 'Well done, Commandant. You have already reached maximum Activity for today.', 'Well done, Commandant. You have already reached maximum Activity for today.', 'Well done, Commandant. You have already reached maximum Activity for today.']
102084	[102084, 202084, 302084, 402084]	"[""The battle is over... What's our next mission?"", ""The battle is over... What's our next mission?"", ""The battle is over... What's our next mission?"", ""The battle is over... What's our next mission?""]"
102085	[102085, 202085, 302085, 402085]	['Good work. Will you be needing me?', 'Good work. Will you be needing me?', 'Good work. Will you be needing me?', 'Good work. Will you be needing me?']
102086	[102086, 202086, 302086, 402086]	['Lucia... joining the battle.', 'Lucia... joining the battle.', 'Lucia... joining the battle.', 'Lucia... joining the battle.']
102087	[102087, 202087, 302087, 402087]	['Commandant, your remaining power levels are low. Please recharge.', 'Commandant, your remaining power levels are low. Please recharge.', 'Commandant, your remaining power levels are low. Please recharge.', 'Commandant, your remaining power levels are low. Please recharge.']
102088	[102088, 202088, 302088, 402088]	['...Morning. Get ready, quickly.', '...Morning. Get ready, quickly.', '...Morning. Get ready, quickly.', '...Morning. Get ready, quickly.']
102089	[102089, 202089, 302089, 402089]	['Get enough rest. And be ready to fight this afternoon.', 'Get enough rest. And be ready to fight this afternoon.', 'Get enough rest. And be ready to fight this afternoon.', 'Get enough rest. And be ready to fight this afternoon.']
102090	[102090, 202090, 302090, 402090]	['Trouble sleeping? May as well keep fighting then.', 'Trouble sleeping? May as well keep fighting then.', 'Trouble sleeping? May as well keep fighting then.', 'Trouble sleeping? May as well keep fighting then.']
102091	[102091, 202091, 302091, 402091]	"[""If you've got nothing on we might as well go and fight, Commandant."", ""If you've got nothing on we might as well go and fight, Commandant."", ""If you've got nothing on we might as well go and fight, Commandant."", ""If you've got nothing on we might as well go and fight, Commandant.""]"
102092	[102092, 202092, 302092, 402092]	"[""Don't slack off. The mission isn't over."", ""Don't slack off. The mission isn't over."", ""Don't slack off. The mission isn't over."", ""Don't slack off. The mission isn't over.""]"
102093	[102093, 202093, 302093, 402093]	['Why do you always find a need to sleep just before a battle?', 'Why do you always find a need to sleep just before a battle?', 'Why do you always find a need to sleep just before a battle?', 'Why do you always find a need to sleep just before a battle?']
102094	[102094, 202094, 302094, 402094]	['Recharge before we begin another battle.', 'Recharge before we begin another battle.', 'Recharge before we begin another battle.', 'Recharge before we begin another battle.']
102095	[102095, 202095, 302095, 402095]	"[""Fighting? Isn't that our only purpose?"", ""Fighting? Isn't that our only purpose?"", ""Fighting? Isn't that our only purpose?"", ""Fighting? Isn't that our only purpose?""]"
102096	[102096, 202096, 302096, 402096]	['The battlefield is my forever home.', 'The battlefield is my forever home.', 'The battlefield is my forever home.', 'The battlefield is my forever home.']
102097	[102097, 202097, 302097, 402097]	"[""Don't worry. l won't cause you trouble."", ""Don't worry. l won't cause you trouble."", ""Don't worry. l won't cause you trouble."", ""Don't worry. l won't cause you trouble.""]"
102098	[102098, 202098, 302098, 402098]	"[""You put on a brave face far more than I do, don't you?"", ""You put on a brave face far more than I do, don't you?"", ""You put on a brave face far more than I do, don't you?"", ""You put on a brave face far more than I do, don't you?""]"
102099	[102099, 202099, 302099, 402099]	"[""Well, we're... okay, I guess."", ""Well, we're... okay, I guess."", ""Well, we're... okay, I guess."", ""Well, we're... okay, I guess.""]"
102100	[102100, 202100, 302100, 402100]	"[""As long as we're together, I'll be fine."", ""As long as we're together, I'll be fine."", ""As long as we're together, I'll be fine."", ""As long as we're together, I'll be fine.""]"
102101	[102101, 202101, 302101, 402101]	"[""Don't worry. I'll protect you."", ""Don't worry. I'll protect you."", ""Don't worry. I'll protect you."", ""Don't worry. I'll protect you.""]"
102102	[102102, 202102, 302102, 402102]	['Your will is mine. I will never go against them!', 'Your will is mine. I will never go against them!', 'Your will is mine. I will never go against them!', 'Your will is mine. I will never go against them!']
102103	[102103, 202103, 302103, 402103]	['I only fight for you.', 'I only fight for you.', 'I only fight for you.', 'I only fight for you.']
102104	[102104, 202104, 302104, 402104]	"[""Our fates are linked. I'll never betray you. What about you?"", ""Our fates are linked. I'll never betray you. What about you?"", ""Our fates are linked. I'll never betray you. What about you?"", ""Our fates are linked. I'll never betray you. What about you?""]"
102105	[102105, 202105, 302105, 402105]	"[""Even if I forsake my humanity, I'll still protect you."", ""Even if I forsake my humanity, I'll still protect you."", ""Even if I forsake my humanity, I'll still protect you."", ""Even if I forsake my humanity, I'll still protect you.""]"
102106	[102106, 202106, 302106, 402106]	"[""I actually... didn't really intend to get too close to you..."", ""I actually... didn't really intend to get too close to you..."", ""I actually... didn't really intend to get too close to you..."", ""I actually... didn't really intend to get too close to you...""]"
102107	[102107, 202107, 302107, 402107]	['Hmm...', 'Hmm...', 'Hmm...', 'Hmm...']
102108	[102108, 202108, 302108, 402108]	"[""You're getting too close."", ""You're getting too close."", ""You're getting too close."", ""You're getting too close.""]"
102109	[102109, 202109, 302109, 402109]	['Hm? No, not a thing. Not at all.', 'Hm? No, not a thing. Not at all.', 'Hm? No, not a thing. Not at all.', 'Hm? No, not a thing. Not at all.']
102110	[102110, 202110, 302110, 402110]	['What... reactions are you expecting from me?', 'What... reactions are you expecting from me?', 'What... reactions are you expecting from me?', 'What... reactions are you expecting from me?']
102111	[102111, 202111, 302111, 402111]	"[""Only because it's you."", ""Only because it's you."", ""Only because it's you."", ""Only because it's you.""]"
102112	[102112, 202112, 302112, 402112]	['My understandings of such matters are... largely theoretical.', 'My understandings of such matters are... largely theoretical.', 'My understandings of such matters are... largely theoretical.', 'My understandings of such matters are... largely theoretical.']
102113	[102113, 202113, 302113, 402113]	['My M.I.N.D. seems compliant with these emotions.', 'My M.I.N.D. seems compliant with these emotions.', 'My M.I.N.D. seems compliant with these emotions.', 'My M.I.N.D. seems compliant with these emotions.']
102114	[102114, 202114, 302114, 402114]	['This feeling... It has a power that could encompass everything.', 'This feeling... It has a power that could encompass everything.', 'This feeling... It has a power that could encompass everything.', 'This feeling... It has a power that could encompass everything.']
102115	[102115, 202115, 302115, 402115]	['You give me the courage to face the darkness.', 'You give me the courage to face the darkness.', 'You give me the courage to face the darkness.', 'You give me the courage to face the darkness.']
102116	[102116, 202116, 302116, 402116]	"[""If I could, I'd keep you in my M.I.N.D. forever..."", ""If I could, I'd keep you in my M.I.N.D. forever..."", ""If I could, I'd keep you in my M.I.N.D. forever..."", ""If I could, I'd keep you in my M.I.N.D. forever...""]"
102117	[102117, 202117, 302117, 402117]	['I found this. You can have it if you like.', 'I found this. You can have it if you like.', 'I found this. You can have it if you like.', 'I found this. You can have it if you like.']
102118	[102118, 202118, 302118, 402118]	"[""I'm not sure if this makes an acceptable gift. But please have it if you like."", ""I'm not sure if this makes an acceptable gift. But please have it if you like."", ""I'm not sure if this makes an acceptable gift. But please have it if you like."", ""I'm not sure if this makes an acceptable gift. But please have it if you like.""]"
102119	[102119, 202119, 302119, 402119]	['Someone said this functions as a souvenir, so I brought it for you.', 'Someone said this functions as a souvenir, so I brought it for you.', 'Someone said this functions as a souvenir, so I brought it for you.', 'Someone said this functions as a souvenir, so I brought it for you.']
102120	[102120, 202120, 302120, 402120]	['Please take good care of it.', 'Please take good care of it.', 'Please take good care of it.', 'Please take good care of it.']
102121	[102121, 202121, 302121, 402121]	['Nose to the grindstone, Commandant.', 'Nose to the grindstone, Commandant.', 'Nose to the grindstone, Commandant.', 'Nose to the grindstone, Commandant.']
102122	[102122, 202122, 302122, 402122]	['Babylonia needing you, Commandant?', 'Babylonia needing you, Commandant?', 'Babylonia needing you, Commandant?', 'Babylonia needing you, Commandant?']
102123	[102123, 202123, 302123, 402123]	"[""Even you're ignoring me..."", ""Even you're ignoring me..."", ""Even you're ignoring me..."", ""Even you're ignoring me...""]"
102124	[102124, 202124, 302124, 402124]	['Look at me...', 'Look at me...', 'Look at me...', 'Look at me...']
102125	[102125, 202125, 302125, 402125]	['Being online so long without rest... Are you ready to forsake your human shell?', 'Being online so long without rest... Are you ready to forsake your human shell?', 'Being online so long without rest... Are you ready to forsake your human shell?', 'Being online so long without rest... Are you ready to forsake your human shell?']
102126	[102126, 202126, 302126, 402126]	"[""Humans are not like us Constructs. Please don't risk your health."", ""Humans are not like us Constructs. Please don't risk your health."", ""Humans are not like us Constructs. Please don't risk your health."", ""Humans are not like us Constructs. Please don't risk your health.""]"
102127	[102127, 202127, 302127, 402127]	"[""I'm not going to let you stay online for this long. It's very bad for you, you know?"", ""I'm not going to let you stay online for this long. It's very bad for you, you know?"", ""I'm not going to let you stay online for this long. It's very bad for you, you know?"", ""I'm not going to let you stay online for this long. It's very bad for you, you know?""]"
102128	[102128, 202128, 302128, 402128]	['If you got hurt because of this... What am I going to do?', 'If you got hurt because of this... What am I going to do?', 'If you got hurt because of this... What am I going to do?', 'If you got hurt because of this... What am I going to do?']
102129	[102129, 202129, 302129, 402129]	"[""Oh, it's you. I'm primed and ready for battle."", ""Oh, it's you. I'm primed and ready for battle."", ""Oh, it's you. I'm primed and ready for battle."", ""Oh, it's you. I'm primed and ready for battle.""]"
102130	[102130, 202130, 302130, 402130]	['Nice to see you. If you need anything, you know where to find me.', 'Nice to see you. If you need anything, you know where to find me.', 'Nice to see you. If you need anything, you know where to find me.', 'Nice to see you. If you need anything, you know where to find me.']
102131	[102131, 202131, 302131, 402131]	"[""It's rare to see you at this time, Commandant."", ""It's rare to see you at this time, Commandant."", ""It's rare to see you at this time, Commandant."", ""It's rare to see you at this time, Commandant.""]"
102132	[102132, 202132, 302132, 402132]	"[""I wasn't expecting you today... But I'm glad to see you..."", ""I wasn't expecting you today... But I'm glad to see you..."", ""I wasn't expecting you today... But I'm glad to see you..."", ""I wasn't expecting you today... But I'm glad to see you...""]"
102133	[102133, 202133, 302133, 402133]	"[""So you're back."", ""So you're back."", ""So you're back."", ""So you're back.""]"
102134	[102134, 202134, 302134, 402134]	['So you do remember.', 'So you do remember.', 'So you do remember.', 'So you do remember.']
102135	[102135, 202135, 302135, 402135]	"[""You've been gone for a long time..."", ""You've been gone for a long time..."", ""You've been gone for a long time..."", ""You've been gone for a long time...""]"
102136	[102136, 202136, 302136, 402136]	"[""As long as you're back... I'll wait for you here forever."", ""As long as you're back... I'll wait for you here forever."", ""As long as you're back... I'll wait for you here forever."", ""As long as you're back... I'll wait for you here forever.""]"
102151	[102151, 202151, 302151, 402151]	['The crimson lotus is in full bloom.', 'The crimson lotus is in full bloom.', 'The crimson lotus is in full bloom.', 'The crimson lotus is in full bloom.']
