Id	StageId	BossImage	TypeDesc	RoundDesc
126	30162367	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4/5波
127	30162367	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	力士-陆型	第3/6波
128	30162367	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	太阿-壹型	第4/5/6波
129	30162368	Assets/Product/Texture/Image/RoleCharacter/Mb1MelodyhuaxuMd10001.png	华胥	BOSS
130	30162369	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-洁霸	第1/2/3/4/5波
131	30162369	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	SSG-游曳者	第4/5波
132	30162370	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	SSG-游曳者	第1/2/3波
133	30162370	Assets/Product/Texture/Image/RoleCharacter/PoliceNormal01.png	PK-43型警长	第3/4/5波
134	30162371	Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	拉弥亚	BOSS
135	30162372	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4波
136	30162372	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	太阿-壹型	第3/4波
137	30162372	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	禄存-拾型	第5波
138	30162373	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	禄存-拾型	第1/2/3/4波
139	30162373	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫-壹型	第2/3波
140	30162373	Assets/Product/Texture/Image/RoleCharacter/ZhizunNormal01.png	至尊-拾型	第4波
141	30162374	Assets/Product/Texture/Image/RoleCharacter/JiabailieNormal01.png	加百列·星陨	BOSS
