Id	Type	TargetType	Params	RoundDuration	NodeDuration	MaxOverlays	Desc	Icon	Name	Condition	EffectId
1007	10	[5]	[2, 2, 3040202, 5]		1	1	每次移动生成2名士兵	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png	士兵招募		41
1008	11	[3]	[5, 6]		1	1	死亡时，在场国王的血量+5	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	牺牲		25
1009	7	[3]	[1, 1, 3040308]		1	1	死亡后，在周围重新复生但血量减半	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon38381.png	卷土		25
1010	5	[1]	[2]		1	1	移动距离+1格	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33003.png	急行军		41
1011	6	[1]	[3050218, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1012	6	[1]	[3050219, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1013	6	[1]	[3050220, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1014	6	[1]	[3050221, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1016	7	[3]	[1, 1, 3140308]		1	1	死亡后，在周围重新复生但血量减半	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon38381.png	卷土		25
1017	8	[6]	[2, 2, 3130602]		1	1	国王受到攻击时，在其周围生成2个士兵	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	士兵招募		21
1018	10	[5]	[2, 2, 3140202, 5]		1	1	每次移动生成2名士兵	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png	士兵招募		41
1020	6	[1]	[3150218, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1021	6	[1]	[3150219, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1022	6	[1]	[3150220, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
1023	6	[1]	[3150221, 0]		1	1	死亡后转生成未知棋子	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	转生		41
2001	1	[5]			1	1	皇后存活时，国王免疫伤害	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	守护		23
2002	17				1	1	原地不动	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	不动		30
