Id	Type	Cost	Range	IsDefault	IsPassive	IsDizzy	IsPenetrate	DelayRound	Params	Desc	Desc2	Name	Name2	Icon	CircleIcon	MapIcon	MapIcon2	UnlockDesc	HitEffectId	AssistHitEffectId	IconBg
11	11		1	True					[6, 0, -3]	造成单体6点伤害（缠住刀刃的雷电改变了光的折射率，使得剑的形状不可见)		深红剑斩		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill5.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessluciaTips01.png		通关ST-06解锁	[55]		
12	13		4	True			True		[9, 0, -3]	移动最多4格，并对沿途的敌人造成9点伤害		囚影鸣闪		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill7.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessluciaTips03.png		通关ST-07解锁	[55]		
13	12								[6, 0, -3]	与露娜换位，落地后对周围造成6点伤害		曳影掠光		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill6.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessluciaTips02.png		通关ST-08解锁	[55]		
14	14		2	True			True		[8, 12, -1, 15]	<color=#FFD584>横竖</color>方向<color=#FFD584>范围大</color>，<color=#FFD584>斜角</color>方向<color=#FFD584>伤害高</color>，命中敌人时<color=#FFD584>怒气+15点</color>		斥挞		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill1.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips03.png		默认解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg1Blue.png
15	15						True		[1, 50]	<color=#FFD584>当前回合</color>内<color=#FFD584>免疫1次伤害</color>，格挡成功时<color=#FFD584>怒气+50点</color>		格挡		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill3.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips04.png		通过序章1/3解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg1Blue.png
16	16	50					True		[1, 1, 1, 18, 10]	<color=#FFD584>当前回合</color>内<color=#FFD584>免疫1次伤害</color>，格挡成功时释放<color=#FFD584>反击并击退相邻敌方</color>（首领无法击退）\n\n<color=#FFD584>击退</color>时被<color=#FFD584>地形/其他单位阻挡</color>会受到<color=#FFD584>10点碰撞伤害</color>（阻挡单位受相同伤害）		燃魂·反击		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill7.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips06.png		通过序章1/3解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg1Red.png
17	17		3				True		[15, 3, 15, 5]	对<color=#FFD584>范围内所有敌人</color>造成伤害，命中时<color=#FFD584>怒气+15点</color>，<color=#FFD584>每多命中1名</color>敌人，<color=#FFD584>怒气额外+5点</color>		迸发		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill2.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips05.png		通过序章2/3解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg1Blue.png
18	18	50	5				True		[22, 3, 15]	对更大<color=#FFD584>范围内所有敌人</color>造成伤害		燃魂·迸发		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill6.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips07.png		通过序章2/3解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg1Red.png
19	19						True		[15, 100, 50, 5, 6]	<color=#FFD584>怒气满额</color>可释放，瞬移至任意单位<color=#FFD584>相邻格</color>并造成<color=#FFD584>范围伤害</color>，<color=#FFD584>击杀敌人</color>则<color=#FFD584>刷新技能冷却</color>。提高下次释放的<color=#FFD584>怒气消耗、伤害与范围</color>		燃魂·淬骨		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill4.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips08.png		通过序章2/3解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg4Blue.png
20	20		1	True			True	1	[15]	对目标造成伤害		不想讲道理		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips17.png		默认解锁			
21	21		4	True			True	1	[20, 3]	对范围内所有目标造成伤害	对更大范围内所有目标造成伤害，技能冷却缩减【必杀强化】	扳手有力量	扳手有力量	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon029.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips18.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips19.png	默认解锁			
22	22			True			True		[21, 8, 9, 10]	获得强化效果：<color=#FFD584>移动距离+1</color>\n【扳手有力量】<color=#FFD584>范围扩大</color>、<color=#FFD584>冷却缩短</color>\n强化效果持续5回合		超级大强化		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon031.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips20.png		默认解锁			
23	23		1	True			True	1	[15]	对目标造成伤害		戳你一下		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips27.png		默认解锁			
24	24			True			True		[8]	每隔<color=#FFD584>4回合</color>切换白形态，当前<color=#FFD584>受白格伤害+5</color>，受伤时<color=#FFD584>切换形态间隔-1</color>		黑之碧		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips22.png		默认解锁			
25	25			True			True	1	[20]	对所有<color=#FFD584>黑格</color>释放雷击		碧打雷劈·黑		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips23.png		默认解锁			
26	26			True			True	1	[60, 2, 4, 31001, 1, 99, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016]	自身进入<color=#FFD584>免伤蓄力状态</color>并召唤多名临时棋子助战，4回合后对<color=#FFD584>所有格子释放雷击</color>并摧毁临时棋子		碧碧滔天		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon028.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips25.png		默认解锁			
27	23		1	True			True	1	[15]	对目标造成伤害		戳你一下		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips26.png		默认解锁			
28	24			True			True		[9, 29, 30, 0]	每隔<color=#FFD584>4回合</color>切换黑形态，当前<color=#FFD584>受黑格伤害+5</color>，受伤时<color=#FFD584>切换形态间隔-1</color>		白之碧		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips21.png		默认解锁			
29	25			True			True	1	[20]	该技能默认封印，每回合结束时<color=#FFD584>未受伤</color>则<color=#FFD584>下回合释放该技能</color>，对所有<color=#FFD584>白格</color>释放雷击		碧打雷劈·白		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips24.png		默认解锁			
30	26			True			True	1	[60, 2, 4, 31001, 1, 99, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016]	自身进入<color=#FFD584>免伤蓄力状态</color>并召唤多名临时棋子助战，4回合后对<color=#FFD584>所有格子释放雷击</color>并摧毁临时棋子		碧碧滔天		Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon028.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips25.png		默认解锁			
31	14		2	True			True		[8, 12, -1, 20]	<color=#FFD584>横竖</color>方向<color=#FFD584>范围大</color>，<color=#FFD584>斜角</color>方向<color=#FFD584>伤害高</color>，命中敌人时<color=#FFD584>怒气+20点</color>		燃魂·斥挞		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill5.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips03.png		默认解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg1Red.png
32	19						True		[15, 100, 50, 5, 6]	<color=#FFD584>怒气满额</color>可释放，瞬移至任意单位<color=#FFD584>相邻格</color>并造成<color=#FFD584>范围伤害</color>，<color=#FFD584>击杀敌人</color>则<color=#FFD584>刷新技能冷却</color>。提高下次释放的<color=#FFD584>怒气消耗、伤害与范围</color>		燃魂·淬骨		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill8.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips08.png		通过序章2/3解锁			Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBg4Red.png
33	21		4	True			True	1	[20, 3]	对范围内所有目标造成伤害		扳手有力量	扳手有力量	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon029.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips18.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips19.png	默认解锁			
